,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.1068,6.6859,6.8534,-0.0347,6.8925,6.9759,-0.05,-0.0027,-0.0167,-0.0059,-0.0034,0.0015,6514,13.64,-44.34,-26.55,228.48,-44.65,0.29,5,42.689,23.55094,87.288826,80.65,NaN,0,10.374194,,13 / 18,5,2020-02-14 12:53:07:849
0.0798,6.8741,6.5594,-0.0051,6.8851,6.9832,0.4456,-0.0634,0.1044,0.0001,-0.0349,0.0282,6459,13.63,-44.45,-26.43,226.99,-44.59,-0.08,5,41.629,23.55094,87.288826,80.65,NaN,0,10.374194,,13 / 18,504,2020-02-14 12:53:08:348
-0.4164,6.8392,6.6025,0.0146,6.8935,6.9749,0.5508,0.133,-0.0836,-0.0078,-0.0147,0.0243,5939,13.79,-44.53,-26.29,225.63,-44.66,-0.12,5,46.902,23.55094,87.288826,80.65,NaN,0,10.374194,,13 / 18,1004,2020-02-14 12:53:08:848
0.1095,6.8628,6.6531,0.0014,6.8909,6.9775,-0.076,0.0641,-0.1014,0.0041,-0.001,0.0062,5933,13.51,-44.51,-26.41,225.43,-44.59,0.01,5,45.015,23.55094,87.288826,80.65,NaN,0,10.374194,,14 / 35,1504,2020-02-14 12:53:09:348
-0.4719,6.9012,6.6124,-0.0256,6.8979,6.9706,-0.0054,-0.033,-0.0027,0.0167,0.0343,-0.002,5933,13.77,-44.45,-26.62,228.57,-44.66,0.14,5,46.565,23.55094,87.288826,80.65,NaN,0,10.374194,,14 / 35,2005,2020-02-14 12:53:09:849
-0.1194,6.7787,6.7826,-0.022,6.8946,6.9738,-0.0787,0.0325,-0.0425,0.0069,0.0101,0.0257,5712,14.04,-44.44,-25.79,227,-44.67,0.18,5,38.29,23.55094,87.288826,80.65,NaN,0,10.374194,,15 / 36,2505,2020-02-14 12:53:10:349
0.0796,6.6694,6.888,-0.0107,6.8905,6.9779,-0.0866,-0.0054,-0.0288,-0.0021,-0.0204,-0.0046,5665,13.93,-44.56,-25.93,225.46,-44.64,0.09,5,54.338,23.55094,87.288826,80.65,NaN,0,10.374194,,15 / 36,3004,2020-02-14 12:53:10:848
0.6619,6.4355,7.0288,0.0684,6.8831,6.9849,0.3355,-0.1736,0.1545,-0.0012,0.007,0.0051,6100,13.77,-44.78,-25.99,225.69,-44.54,-0.61,5,47.987,23.55094,87.288826,80.65,NaN,0,10.374194,,16 / 36,3504,2020-02-14 12:53:11:348
-0.2032,6.778,6.6084,0.0311,6.8898,6.9786,-0.1278,0.0814,-0.1344,-0.0099,-0.0047,0.0101,6243,13.73,-44.96,-25.98,225.68,-44.67,-0.21,5,57.141,23.55094,87.288826,80.65,NaN,0,10.374194,,16 / 36,4005,2020-02-14 12:53:11:849
-0.666,8.0495,5.462,0.015,6.8816,6.9867,-0.5184,0.4806,-0.7818,0.0065,0,-0.0053,5740,14.13,-44.73,-26.34,225.45,-44.57,-0.12,5,63.37,23.55094,87.288826,80.65,NaN,0,10.374194,,17 / 36,4504,2020-02-14 12:53:12:348
-0.3648,6.283,7.8597,0.0599,6.8951,6.9731,-0.3145,-0.2937,-0.2107,0.0028,-0.0386,0.0015,5059,13.83,-44.94,-26.02,225.86,-44.68,-0.49,5,60.805,23.55094,87.288826,80.65,NaN,0,10.374194,,17 / 36,5005,2020-02-14 12:53:12:849
1.5399,6.9173,5.8854,0.0399,6.9172,6.9514,0.4231,0.7454,-0.5136,-0.0657,-0.0447,-0.012,4953,14.01,-44.65,-26.06,225.9,-44.7,-0.49,5,59.006,23.55094,87.288826,80.65,NaN,0,10.374194,,22 / 36,5504,2020-02-14 12:53:13:348
0.858,6.7509,5.5117,-0.0174,7.0636,6.8026,0.2403,0.6776,-0.6692,0.0206,-0.0148,-0.032,6173,14.05,-44.56,-25.85,228.19,-46.08,0.15,5,61.899,23.55094,87.288826,80.65,NaN,0,10.374194,,22 / 36,6004,2020-02-14 12:53:13:848
0.7727,6.3793,7.0849,-0.4559,7.1776,6.6666,0.5784,0.2625,-0.765,-0.0289,-0.1033,-0.2589,6531,14.31,-42.15,-25.49,231.91,-46.86,2.81,5,62.113,23.55094,87.288826,80.65,NaN,0,10.374194,,23 / 36,6504,2020-02-14 12:53:14:348
-2.414,4.4532,11.1119,-0.1411,7.2974,6.5497,-0.3985,-1.4422,1.5325,-0.0894,-0.0142,0.1013,6913,12.35,-41.16,-25.57,235.52,-48.08,1.23,5,63.237,23.55094,87.288826,80.65,NaN,0,10.374194,,23 / 36,7004,2020-02-14 12:53:14:848
-0.3294,5.9026,5.1963,0.5852,7.4496,6.3507,0.2686,1.1015,-4.5927,0.2392,0.0929,0.2189,6399,12.21,-42.82,-24.64,235.23,-49.43,-5.26,5,62.846,23.55094,87.28881,80.65,NaN,3.67,31.122583,305.4,23 / 36,7504,2020-02-14 12:53:15:348
2.3843,6.2829,4.2788,0.8507,7.4959,6.2657,-0.9545,3.0902,-2.13,0.111,0.1881,0.1837,6035,12.48,-43.53,-25.09,236.9,-50.75,-7.04,5,64.359,23.55094,87.28881,80.65,NaN,3.67,31.122583,305.4,23 / 36,8005,2020-02-14 12:53:15:849
2.7713,15.9717,-3.6024,0.6119,7.7553,5.9709,-0.3304,2.6824,-3.582,-0.4888,0.0028,-0.1031,5479,13.88,-43.58,-23.58,240.73,-52.26,-5.85,5,67.02,23.550953,87.2888,80.65,NaN,4.86,31.122583,298.7,25 / 37,8505,2020-02-14 12:53:16:349
-0.3076,7.252,7.4725,0.6025,7.6413,6.117,-0.9154,1.9068,-2.5715,0.0994,0.0034,0.1304,5256,13.39,-43.85,-24.07,236.92,-51.19,-5.63,5,67.055,23.550953,87.2888,80.65,NaN,4.86,31.122583,298.7,25 / 37,9004,2020-02-14 12:53:16:848
-1.9298,2.1562,5.4119,0.9039,7.6206,6.1057,1.3639,2.8289,-2.965,0.3086,0.0908,-0.0102,4093,13.62,-46.36,-22.46,231.45,-50.96,-10.11,5,65.962,23.550953,87.28875,77.42,NaN,13.64,31.122583,275.6,25 / 37,9504,2020-02-14 12:53:17:348
2.2324,9.2242,0.4725,0.5576,7.7637,5.9653,0.45,1.664,-3.4257,0.0542,0.0686,0.0472,3521,15.13,-46.23,-20.96,233.16,-52.34,-5.34,5,65.289,23.550953,87.28875,77.42,NaN,13.64,31.122583,275.6,25 / 37,10005,2020-02-14 12:53:17:849
-0.5692,3.4088,20.3115,0.4067,7.6058,6.1771,-0.5819,-3.2752,3.7821,0.487,-0.0359,0.1146,3408,15.42,-45.95,-21.17,231.33,-51.41,-3.76,5,64.523,23.550953,87.288704,77.42,NaN,15.34,31.122583,272,26 / 37,10505,2020-02-14 12:53:18:349
3.7384,7.8336,-0.0298,0.635,7.2535,6.5691,0.7685,2.4893,-5.6393,0.4629,0.0896,0.0857,2281,14.92,-47.14,-20.44,223.16,-47.7,-5.52,5,64.246,23.550953,87.288704,77.42,NaN,15.34,31.122583,272,26 / 37,11004,2020-02-14 12:53:18:848
-1.5361,1.6628,10.9402,0.3838,7.1312,6.7208,0.8646,0.6111,-1.2191,0.3303,0.0357,0.0225,2066,15.32,-47.84,-19.25,220.66,-47.7,-4.59,5,65.122,23.55096,87.28866,77.42,NaN,16.99,31.122583,273.9,26 / 37,11505,2020-02-14 12:53:19:349
-2.0774,5.7404,10.8531,0.1251,7.2696,6.5808,0.6142,1.7521,0.5386,-0.1997,0.0861,-0.1059,2774,16.35,-47.36,-17.91,221.87,-47.96,-1.89,5,63.975,23.55096,87.28866,77.42,NaN,16.99,31.122583,273.9,26 / 37,12004,2020-02-14 12:53:19:848
-3.7327,1.3116,17.8764,0.0722,7.144,6.7178,2.0601,3.7554,-6.8342,0.644,-0.0169,0.0475,3406,17,-46.88,-17.77,221.81,-46.76,-0.62,5,64.219,23.550966,87.288605,80.65,NaN,17.93,31.122583,271.3,26 / 37,12504,2020-02-14 12:53:20:348
-2.1042,4.3452,13.3233,0.2397,7.3792,6.4545,-0.2866,2.4011,-4.7621,0.2652,0.0385,0.0122,4168,16.31,-46.95,-18.07,222.99,-48.8,-2.13,5,67.177,23.550966,87.288605,80.65,NaN,17.93,31.122583,271.3,26 / 37,13005,2020-02-14 12:53:20:849
1.012,5.0323,6.7022,0.2202,7.2736,6.5739,-0.3924,0.6773,-2.9552,-0.0665,-0.0635,0.0516,4826,16.7,-46.81,-17.96,223.85,-48.25,-1.79,5,67.045,23.550968,87.28856,74.19,NaN,18.18,31.122583,271.7,26 / 37,13505,2020-02-14 12:53:21:349
1.2472,5.7813,-5.3639,0.404,7.5374,6.2606,-1.1085,0.6855,0.1337,-0.6676,0.0847,-0.1094,5774,16.36,-48.26,-17.17,222.75,-50.23,-3.69,5,66.729,23.550968,87.28856,74.19,NaN,18.18,31.122583,271.7,26 / 37,14004,2020-02-14 12:53:21:848
1.2288,3.9275,8.2748,0.3768,7.2504,6.5924,-0.3015,1.7353,-3.1032,-0.0942,0.0503,0.0207,6474,16.12,-48.46,-17.74,221.66,-48.38,-3.46,5,67.353,23.550966,87.28851,77.42,NaN,19.22,31.122583,265.9,26 / 37,14505,2020-02-14 12:53:22:349
-1.3214,9.2264,4.62,-0.0099,7.3483,6.494,0.4891,-0.509,2.2202,-0.2346,0.0357,-0.1092,6795,17.13,-47.65,-16.87,221.73,-48.53,0.09,5,66.434,23.550966,87.28851,77.42,NaN,19.22,31.122583,265.9,26 / 37,15004,2020-02-14 12:53:22:848
-4.6185,-0.7801,24.2414,0.1005,7.1529,6.7079,-0.2831,0.821,-0.5076,0.3775,-0.0644,0.0679,5712,16.94,-47.37,-17.6,223.02,-47.69,-0.94,5,66.513,23.55098,87.28846,77.42,NaN,22.82,31.122583,273.8,13 / 17,15504,2020-02-14 12:53:23:348
0.2329,6.9637,0.1204,-0.0322,7.0518,6.8148,1.1337,-1.0367,-0.9512,-0.0337,0.03,-0.1461,5265,17.14,-47.01,-17.4,218.88,-45.18,0.05,5,66.473,23.55098,87.28846,77.42,NaN,22.82,31.122583,273.8,13 / 17,16004,2020-02-14 12:53:23:848
-1.617,3.1521,20.7163,0.023,6.9959,6.8722,0.6382,-1.1645,0.7637,0.3155,-0.1062,0.0828,4925,17.29,-47.13,-17.22,219.29,-45.51,-0.19,5,66.828,23.550987,87.28841,74.19,NaN,20.3,31.122583,272.6,17 / 20,16504,2020-02-14 12:53:24:348
-1.3828,6.6483,16.1648,-0.1283,6.8377,7.0285,2.6919,1.1108,-1.5909,-0.1665,0.1597,-0.1767,5139,17.35,-46.65,-17.33,217.66,-44.21,1.05,5,65.635,23.550987,87.28841,74.19,NaN,20.3,31.122583,272.6,17 / 20,17004,2020-02-14 12:53:24:848
-2.1575,12.5352,6.5394,-0.5216,6.8704,6.9783,-1.3738,-6.3655,8.2995,0.1983,-0.1119,-0.143,5134,18.3,-44.66,-17.22,222,-45.24,3.06,5,65.033,23.55099,87.28835,74.19,NaN,20.34,31.122583,272.6,17 / 20,17504,2020-02-14 12:53:25:348
