,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.5308,6.653,6.8951,-0.3911,6.7977,7.0575,-0.0884,-0.0185,0.0173,0.0036,-0.005,-0.0045,2995,19.04,-41.77,-21.41,229.94,-43.9,2.98,5,45.093,23.552092,87.2897,106.45,NaN,0,10.374194,,13 / 19,6,2020-02-14 12:46:20:166
1.5373,6.8793,6.6432,-0.3238,6.7985,7.0602,-0.3297,0.203,-0.2472,0.0149,0.0136,0.0089,3116,18.86,-41.9,-21.49,229.94,-43.9,2.97,5,40.772,23.552092,87.2897,106.45,NaN,0,10.374194,,13 / 19,506,2020-02-14 12:46:20:666
-0.3958,6.5285,6.976,-0.3063,6.7994,7.0601,0.0688,0.0773,-0.0851,0.0013,0.0049,-0.007,3116,18.84,-42.03,-21.51,231.36,-43.94,2.46,5,48.352,23.552092,87.2897,106.45,NaN,0,10.374194,,13 / 19,1006,2020-02-14 12:46:21:166
-0.4353,6.5242,7.1067,-0.309,6.8183,7.0417,0.078,0.0749,-0.037,-0.0112,0.0184,-0.0176,3083,19.23,-42.09,-21.22,230.14,-43.96,2.4,5,39.223,23.552092,87.2897,106.45,NaN,0,10.374194,,13 / 19,1506,2020-02-14 12:46:21:666
-0.2048,6.6684,6.8214,-0.3606,6.805,7.0521,-0.2312,0.0988,-0.1493,-0.0009,-0.014,0.0198,3035,18,-41.89,-21.31,228.32,-43.94,2.93,5,53.089,23.552092,87.2897,106.45,NaN,0,10.374194,,15 / 21,2007,2020-02-14 12:46:22:167
0.3801,6.3768,7.142,-0.237,6.8226,7.0404,-0.0664,0.0749,-0.0983,-0.0109,-0.0294,0.0073,3146,17.65,-42.3,-21.39,228.67,-44.03,2.01,5,43.354,23.552092,87.2897,106.45,NaN,0,10.374194,,15 / 21,2507,2020-02-14 12:46:22:667
-0.2798,6.3656,7.2038,-0.0011,6.8218,7.0451,0.1408,0.1843,-0.0748,0.0249,-0.0435,0.0519,3146,17.02,-42.7,-21.89,227.25,-44.05,0.68,5,43.061,23.552092,87.2897,106.45,NaN,0,10.374194,,15 / 21,3006,2020-02-14 12:46:23:166
0.3539,7.0527,6.3513,0.0199,6.8123,7.0542,0.1184,0.1146,-0.1112,-0.0079,0.0009,0.0015,3257,16.53,-43.41,-21.87,227.51,-44.06,-0.19,5,50.409,23.552092,87.2897,106.45,NaN,0,10.374194,,15 / 21,3506,2020-02-14 12:46:23:666
-0.599,7.3259,6.1106,-0.0197,6.8175,7.0492,-0.5002,0.2196,-0.1727,-0.0148,-0.0243,-0.0196,3257,17.1,-42.84,-22.66,228.68,-44.04,0.16,5,58.117,23.552092,87.2897,106.45,NaN,0,10.374194,,14 / 20,4006,2020-02-14 12:46:24:166
0.0491,6.3293,6.1012,0.0006,6.8169,7.0499,0.1007,-0.0962,-0.1156,-0.0144,-0.0196,-0.0263,3219,16.99,-42.92,-21.85,227.44,-44.05,-0.01,5,59.502,23.552092,87.2897,106.45,NaN,0,10.374194,,14 / 20,4507,2020-02-14 12:46:24:667
-0.2998,6.6083,7.5962,-0.0798,6.831,7.0357,-0.271,0.0585,0.4429,-0.0064,0.0023,-0.026,3114,17.34,-42.54,-22.04,227.37,-44.09,0.44,5,55.928,23.552092,87.2897,106.45,NaN,0,10.374194,,11 / 19,5006,2020-02-14 12:46:25:166
1.0449,6.8849,7.7815,-0.1046,6.8932,6.9745,0.4361,0.945,-1.2923,0.0183,0.0033,-0.1012,3225,17.54,-42.25,-21.89,231.17,-44.66,0.86,5,61.834,23.552092,87.2897,106.45,NaN,0,10.374194,,11 / 19,5506,2020-02-14 12:46:25:666
-1.1844,7.9613,1.0289,-0.7061,7.0487,6.7814,-0.2914,0.2818,0.8207,0.1154,-0.1078,-0.3005,3603,18.02,-38.68,-23.15,239.03,-45.89,4.86,5,61.969,23.552092,87.2897,106.45,NaN,0,10.374194,,11 / 19,6006,2020-02-14 12:46:26:166
-1.0949,7.0669,8.5571,-0.6225,7.0877,6.7488,-0.1176,0.111,2.2339,0.1882,-0.1181,0.0274,5027,17.03,-36.41,-24.98,247.38,-45.87,6.59,5,62.445,23.552092,87.2897,106.45,NaN,0,10.374194,,11 / 19,6507,2020-02-14 12:46:26:667
0.2709,9.9404,-2.0271,0.2938,7.2999,6.5419,-0.8477,-1.6837,-0.1559,-0.0213,0.0117,0.312,4841,14.35,-40.03,-25.91,243.2,-48.42,-0.6,5,62.83,23.552095,87.28969,109.68,NaN,5.18,24.206451,299.1,11 / 18,7007,2020-02-14 12:46:27:167
