,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.007,6.1826,6.5096,0.2141,6.9628,6.9025,-0.0618,0.0101,0.4778,-0.0086,-0.011,0.0131,8684,17.28,-40.84,-24.82,236.88,-45.14,-1.69,5,59.679,23.552074,87.29003,61.29,NaN,0,10.374194,,14 / 18,3,2020-02-14 12:51:01:999
-0.0635,6.7593,8.1421,0.3095,6.9572,6.9045,0.0682,-0.1632,-0.5891,-0.0134,0.0002,0.016,8266,17.54,-41.27,-24.81,238.34,-45.15,-2.57,5,58.957,23.552074,87.29003,61.29,NaN,0,10.374194,,14 / 18,503,2020-02-14 12:51:02:499
-0.1337,6.5657,5.1636,0.2755,6.9519,6.9112,-0.4277,0.0821,0.5318,-0.0103,-0.026,-0.0002,8579,17.18,-40.89,-24.95,236.97,-45.15,-2.28,5,59.064,23.552074,87.29003,61.29,NaN,0,10.374194,,14 / 18,1003,2020-02-14 12:51:02:999
0.2216,6.7133,5.9599,0.2684,6.9548,6.9087,-0.1246,-0.0746,0.145,-0.0302,-0.0013,-0.0129,8329,17.36,-41.08,-24.88,237.01,-45.17,-2.22,5,59.092,23.552074,87.29003,61.29,NaN,0,10.374194,,15 / 19,1503,2020-02-14 12:51:03:499
0.8975,7.0428,4.2895,0.3463,7.0319,6.8266,0.101,0.4857,0.4165,-0.0028,0.0018,0.0294,8312,17.37,-41.53,-24.69,236.67,-45.81,-2.69,5,60.822,23.552074,87.29003,61.29,NaN,0,10.374194,,15 / 19,2003,2020-02-14 12:51:03:999
0.7675,7.8598,3.8332,0.3031,7.1665,6.6872,0.0586,1.2113,0.338,-0.1012,0.0013,-0.0893,8729,17.55,-41.75,-24.35,237.71,-46.57,-2.99,5,60.528,23.552074,87.29003,61.29,NaN,0,10.374194,,15 / 19,2504,2020-02-14 12:51:04:500
0.5388,6.8952,3.6647,0.1899,7.2145,6.6397,1.2419,1.074,0.0788,-0.0729,-0.0986,0.0173,8758,16,-40.19,-24.75,241.57,-47.36,-1.64,5,63.091,23.552074,87.29003,61.29,NaN,0,10.374194,,15 / 19,3003,2020-02-14 12:51:04:999
0.5126,9.3967,6.9446,0.853,7.3129,6.478,0.3717,0.5705,-2.2755,0.0602,0.0246,0.2503,8482,15.48,-43.8,-23.62,234.1,-48.22,-7.5,5,62.693,23.552074,87.29003,61.29,NaN,0,10.374194,,15 / 19,3504,2020-02-14 12:51:05:500
3.8339,7.0612,4.7475,0.3818,7.4221,6.3982,0.3022,0.3515,0.8726,0.2098,0.0823,-0.2617,8287,16.82,-44,-21.94,233.63,-48.45,-5.48,5,66.054,23.552074,87.29003,61.29,NaN,0,10.374194,,14 / 17,4004,2020-02-14 12:51:06:000
2.7264,7.5474,-1.2765,0.0521,7.2381,6.6165,-0.3982,-1.885,6.4482,0.2623,0.0804,0.1015,8196,16.98,-40.79,-23.88,239.69,-47.57,-0.45,5,66.553,23.552076,87.29001,58.06,NaN,7.7,13.832258,154.7,14 / 17,4503,2020-02-14 12:51:06:499
