,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.7516,7.068,6.8529,0.1243,7.1203,6.7421,-0.2241,0.0982,-0.0531,0.0051,-0.0062,-0.0008,18294,-38.47,-23.76,-33.11,77.98,-46.56,-1.06,5,47.697,23.547056,87.29253,90.32,NaN,0,13.832258,,15 / 18,2,2020-02-14 12:37:35:187
1.0734,7.146,6.1906,0.1722,7.1139,6.7479,0.9597,-0.1648,0.2689,0.0308,0.0401,-0.0662,18294,-38.4,-23.58,-33.46,77.63,-46.59,-1.42,5,47.494,23.547056,87.29253,90.32,NaN,0,13.832258,,15 / 18,502,2020-02-14 12:37:35:687
-0.5428,6.223,6.0708,0.1695,7.1528,6.7067,-0.0112,-0.0501,-0.2392,0.0061,0.0004,0.0258,18294,-38.28,-23.51,-33.47,77.86,-46.68,-1.05,5,50.136,23.547056,87.29253,90.32,NaN,0,13.832258,,16 / 19,1002,2020-02-14 12:37:36:187
0.5033,7.9963,4.02,0.2856,7.211,6.6401,0.0634,0.8135,0.1411,0.0583,0.0073,0.0276,18294,-38.06,-23.4,-33.29,75.34,-47.08,-2.27,5,57.561,23.547056,87.29253,90.32,NaN,0,13.832258,,16 / 19,1503,2020-02-14 12:37:36:688
1.1608,8.4054,6.2411,0.6323,7.2615,6.5606,0.7554,0.9533,-1.1332,-0.0808,0.037,0.1657,18294,-39.33,-21.14,-35.62,66.76,-47.77,-5.5,5,60.989,23.547056,87.29253,90.32,NaN,0,13.832258,,15 / 18,2002,2020-02-14 12:37:37:187
3.1487,6.9492,3.753,1.236,7.2161,6.5246,2.1963,-0.0961,-0.3383,-0.0335,0.0039,0.1497,18294,-35.18,-18.78,-36.97,55.82,-47.38,-10.73,5,59.076,23.547056,87.29253,90.32,NaN,0,13.832258,,15 / 18,2502,2020-02-14 12:37:37:687
2.0501,5.8006,1.5699,0.3824,7.3453,6.4862,0.0044,-0.142,-1.378,0.068,-0.0674,-0.157,18294,-36.3,-19.85,-38.65,59.9,-49.06,-5.24,5,57.529,23.547056,87.29253,90.32,NaN,0,13.832258,,15 / 18,3002,2020-02-14 12:37:38:187
1.3822,6.9927,3.9933,0.6406,7.3366,6.4757,1.3016,0.8863,-3.2084,-0.2856,0.1916,0.1605,29630,-35.37,-19.25,-39.15,58.48,-48.43,-5.65,5,59.807,23.547056,87.29253,90.32,NaN,0,13.832258,,15 / 18,3502,2020-02-14 12:37:38:687
1.3297,10.2229,1.3876,0.1997,7.3276,6.5144,-0.989,-0.2769,1.3809,-0.154,0.0484,0.1929,21067,-35.87,-21.35,-37.37,69.65,-47.48,-0.39,5,59.241,23.547068,87.29253,87.1,NaN,6.7,10.374194,33.8,15 / 18,4003,2020-02-14 12:37:39:188
-0.4329,10.6534,3.6693,0.4167,7.3593,6.4682,0.9018,0.8596,-0.248,-0.0849,0.1225,0.1981,21067,-33.09,-21.04,-36.92,63.22,-48.63,-3.69,5,59.219,23.547068,87.29253,87.1,NaN,6.7,10.374194,33.8,15 / 18,4502,2020-02-14 12:37:39:687
