,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0319,6.8386,6.6846,0.0094,7.0207,6.8469,0.0295,-0.0768,0.0564,0.0047,-0.007,0.0053,7117,-21.9,-21.2,-39.81,57.64,-45.76,0.1,5,42.532,23.549906,87.2927,116.13,NaN,0,10.374194,,13 / 18,7,2020-02-14 12:40:10:800
0.7344,6.8795,6.7462,0.0232,7.0319,6.8354,-0.4307,0.0776,-0.1567,0.0044,0.0276,-0.0536,8825,-21.64,-21.26,-40.36,56.78,-45.8,-0.51,5,43.916,23.549906,87.2927,116.13,NaN,0,10.374194,,12 / 18,507,2020-02-14 12:40:11:300
-0.1712,6.5681,6.7787,0.0548,7.0236,6.8437,-0.0787,0.1774,-0.1895,-0.0352,-0.0369,0.0186,9222,-22.77,-20.8,-41.86,55.59,-45.88,-0.28,5,43.974,23.549906,87.2927,116.13,NaN,0,10.374194,,12 / 18,1007,2020-02-14 12:40:11:800
0.322,6.7554,6.8191,0.0353,7.0266,6.8407,0.1366,-0.005,0.0224,-0.0084,-0.0123,0.0107,9163,-21.34,-21.36,-39.93,55.88,-45.77,-0.3,5,41.471,23.549906,87.2927,116.13,NaN,0,10.374194,,14 / 19,1507,2020-02-14 12:40:12:300
0.3147,7.0557,6.3967,0.0105,7.0315,6.8358,0.2123,-0.0255,0.0485,-0.003,-0.0101,0.0006,8749,-21.25,-21.23,-40.23,56.26,-45.75,-0.04,5,49.89,23.549906,87.2927,116.13,NaN,0,10.374194,,14 / 19,2007,2020-02-14 12:40:12:800
0.0458,6.8535,6.6816,-0.0071,7.0279,6.8396,-0.0529,-0.0156,0.0157,0.0019,0.0015,-0.0078,8749,-21.16,-21.42,-39.71,56.36,-45.78,0.06,5,39.803,23.549906,87.2927,116.13,NaN,0,10.374194,,17 / 21,2510,2020-02-14 12:40:13:303
0.1229,6.5867,7.0957,0.0115,7.0158,6.8519,0.3644,-0.0194,0.0039,0.0072,0.0217,-0.0197,8522,-21.24,-21.25,-40.17,56.28,-45.73,-0.04,5,49.218,23.549906,87.2927,116.13,NaN,0,10.374194,,17 / 21,3008,2020-02-14 12:40:13:801
-0.2719,6.5094,7.0479,0.0447,7.0154,6.8521,0.7691,-0.1453,0.2197,-0.013,-0.0069,-0.0045,8582,-21.34,-21.35,-40.2,55.65,-45.8,-0.43,5,47.074,23.549906,87.2927,116.13,NaN,0,10.374194,,17 / 21,3507,2020-02-14 12:40:14:300
-0.3997,6.6969,6.8453,0.0397,7.0212,6.8462,-0.2465,-0.0392,0.0106,-0.0004,-0.0137,0.0023,8556,-21.27,-21.27,-40.21,55.89,-45.72,-0.33,5,50.369,23.549906,87.2927,116.13,NaN,0,10.374194,,17 / 21,4007,2020-02-14 12:40:14:800
0.3125,7.0378,6.2738,0.0719,7.0348,6.832,0.1273,0.0374,-0.1107,-0.0069,-0.0059,-0.0008,9660,-21.23,-21.13,-40.3,55.68,-45.78,-0.43,5,42.86,23.549906,87.2927,116.13,NaN,0,10.374194,,13 / 17,4507,2020-02-14 12:40:15:300
