,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.3286,6.132,5.6411,0.3398,6.9979,6.8618,0.1266,0.2391,0.3894,0.0276,-0.0295,0.0236,12160,-51.08,-56.86,-0.52,126.49,-45.48,-2.52,5,61.809,23.548073,87.28982,90.32,NaN,0,13.832258,,13 / 17,5,2020-02-14 13:02:16:792
0.2458,7.2218,6.2671,0.374,7.0115,6.8462,-0.1633,-0.0005,-0.8893,0.0064,0.0457,-0.0254,12315,-51.02,-56.86,-0.15,126.63,-45.64,-3.13,5,65.01,23.548073,87.28982,90.32,NaN,0,13.832258,,15 / 20,505,2020-02-14 13:02:17:292
0.0239,6.7463,6.4733,0.2517,7.0136,6.8496,-0.1855,-0.0676,0.8814,-0.023,0.0108,-0.0297,12375,-50.72,-57.29,-0.21,127.05,-45.63,-2.17,5,64.23,23.548073,87.28982,90.32,NaN,0,13.832258,,15 / 20,1005,2020-02-14 13:02:17:792
0.6878,7.3983,6.4033,0.3783,7.136,6.7161,0.2853,0.4879,-1.2309,0.0052,0.0219,0.0236,12896,-51.05,-56.9,-0.36,126.01,-46.69,-3.22,5,66.302,23.548073,87.28982,90.32,NaN,0,13.832258,,15 / 19,1505,2020-02-14 13:02:18:292
2.3923,8.0696,2.3307,0.2169,7.2271,6.6251,0.005,0.5377,0.4849,-0.0724,0.0164,-0.0802,13019,-50.99,-57.62,-0.33,126.61,-47.14,-2.45,5,66.433,23.548073,87.28982,90.32,NaN,0,13.832258,,15 / 19,2005,2020-02-14 13:02:18:792
0.4398,7.3002,4.9435,0.0587,7.3941,6.4416,-1.2417,1.1686,-0.3647,-0.0198,-0.0531,0.1506,12432,-50.16,-60.36,0.58,129.14,-48.49,0.27,5,66.683,23.548073,87.28982,90.32,NaN,0,13.832258,,13 / 16,2505,2020-02-14 13:02:19:292
0.4511,9.5073,10.467,0.222,7.5335,6.2744,-0.3561,-0.1638,-1.9502,-0.0414,0.175,-0.1154,14190,-52.5,-59.19,0.58,125.53,-50.19,-2.03,5,64.019,23.548073,87.28982,90.32,NaN,0,13.832258,,13 / 16,3006,2020-02-14 13:02:19:793
-2.5138,6.2337,4.963,-0.812,7.6209,6.1182,1.0146,1.818,-2.8651,0.1413,-0.1754,-0.2876,12353,-45.78,-62.05,2.31,134.95,-51,7.56,5,64.52,23.548073,87.28982,90.32,NaN,0,13.832258,,15 / 19,3505,2020-02-14 13:02:20:292
1.1393,13.888,0.557,0.2591,7.786,5.9566,2.4491,3.4371,-2.119,-0.2442,-0.0008,0.0712,11247,-50.84,-59.55,2.17,126.39,-51.38,-2,5,65.791,23.548073,87.28982,90.32,NaN,0,13.832258,,15 / 19,4004,2020-02-14 13:02:20:791
0.8155,7.8798,7.4937,0.2472,7.6355,6.1488,0.8901,-0.554,0.2599,0.0604,0.039,0.1263,10407,-51.1,-61.12,3.69,127.58,-52.59,-1.31,5,64.506,23.548054,87.28984,90.32,NaN,15.7,13.832258,124.7,17 / 19,4505,2020-02-14 13:02:21:292
2.6584,13.8564,3.5428,0.5024,7.662,6.1002,-1.4352,-3.8519,3.1822,-0.3587,0.0828,0.0881,9637,-51.52,-60.19,5.39,126.04,-51.38,-4.71,5,64.572,23.548054,87.28984,90.32,NaN,15.7,13.832258,124.7,17 / 19,5005,2020-02-14 13:02:21:792
-2.2337,-2.9313,13.865,0.392,7.3911,6.4334,-1.4673,-4.004,6.1106,0.4801,-0.0312,0.1664,10167,-50.59,-58.69,3.82,127.64,-48.91,-3.49,5,67.212,23.548033,87.28988,90.32,NaN,19.84,13.832258,123.9,17 / 20,5505,2020-02-14 13:02:22:292
0.2819,8.3921,7.897,0.3999,7.7226,6.0309,0.0619,1.2374,-3.333,-0.0112,0.0193,-0.0346,9366,-51.24,-58.52,3.57,126.24,-51.06,-3.91,5,66.208,23.548033,87.28988,90.32,NaN,19.84,13.832258,123.9,17 / 20,6004,2020-02-14 13:02:22:791
3.0645,10.5293,1.7933,0.4333,7.689,6.0714,1.7274,0.4196,-3.145,-0.312,0.0318,-0.0023,8396,-51.35,-57.74,2.77,124.8,-51.63,-4.08,5,64.775,23.548008,87.289925,93.55,NaN,23.4,13.832258,122.7,16 / 19,6504,2020-02-14 13:02:23:291
3.0498,12.3941,-4.8211,0.1958,7.4778,6.3415,0.6623,3.0549,-4.0923,0.1422,-0.0193,-0.0614,8763,-52.46,-57.76,0.67,125.48,-49.69,-1.77,5,64.942,23.548008,87.289925,93.55,NaN,23.4,13.832258,122.7,16 / 19,7005,2020-02-14 13:02:23:792
0.9073,7.3826,0.5414,0.2426,7.3233,6.5178,0.4597,-0.0063,-1.725,0.7125,0.1062,0.1059,8679,-50.6,-57.98,1.18,126.62,-48.31,-2.13,5,65.681,23.547976,87.289986,93.55,NaN,23.4,17.290323,121.1,16 / 19,7505,2020-02-14 13:02:24:292
1.8981,6.5453,7.9568,0.0124,7.2369,6.618,0.7628,-1.3562,0.4191,0.2264,0.0054,-0.0162,9698,-49.41,-58.37,1.24,129.02,-47.31,-0.56,5,60.962,23.547976,87.289986,93.55,NaN,23.4,17.290323,121.1,16 / 19,8005,2020-02-14 13:02:24:792
0.5735,9.4764,8.154,0.0978,7.2843,6.5651,-0.3444,0.1183,-0.7535,-0.0007,0.112,-0.0095,10255,-49.59,-58,1.54,128.48,-47.97,-0.85,5,65.059,23.547953,87.29004,93.55,NaN,21.92,13.832258,120.5,15 / 19,8504,2020-02-14 13:02:25:291
0.938,8.3993,1.9566,0.0437,7.114,6.7498,0.003,-0.9135,1.6872,0.2405,0.0428,-0.0399,11020,-49.97,-58.33,1.19,128.94,-46.5,-0.37,5,64.53,23.547953,87.29004,93.55,NaN,21.92,13.832258,120.5,15 / 19,9004,2020-02-14 13:02:25:791
1.7225,7.0505,2.293,0.0333,7.4009,6.4339,0.53,1.1997,-3.0839,-0.0518,0.0123,-0.0961,10930,-48.36,-57.93,2.66,129.89,-49,-0.3,5,65.707,23.547924,87.290085,93.55,NaN,21.92,17.290323,120.2,15 / 19,9505,2020-02-14 13:02:26:292
1.5001,9.1507,5.5857,0.1214,7.2833,6.5657,0.7217,1.6553,-1.3822,0.3187,-0.0637,0.0831,11284,-47.16,-57.38,1.07,129.15,-47.96,-1.06,5,65.561,23.547924,87.290085,93.55,NaN,21.92,17.290323,120.2,15 / 19,10005,2020-02-14 13:02:26:792
0.6902,6.6927,7.5723,0.3104,7.1432,6.7119,-0.7596,0.2089,2.4282,-0.0907,-0.0201,0.0743,11799,-50.2,-57.59,0.87,127.31,-47.72,-2.57,5,66.097,23.547892,87.290146,90.32,NaN,23.4,13.832258,119.6,15 / 19,10505,2020-02-14 13:02:27:292
-1.0912,2.5197,13.6499,0.2315,7.0966,6.7642,-0.12,-2.5904,2.6501,-0.0182,0.0458,-0.0154,12280,-49.99,-57.31,1.26,127.83,-46.36,-1.96,5,64.717,23.547892,87.290146,90.32,NaN,23.4,13.832258,119.6,15 / 19,11005,2020-02-14 13:02:27:792
-1.017,8.1412,13.3242,0.1676,6.9624,6.9042,-0.0837,-0.7032,3.308,0.0302,0.1015,-0.0653,12299,-50.1,-57.46,0.92,128.65,-45.23,-1.39,5,65.234,23.547861,87.2902,90.32,NaN,22.46,13.832258,119.2,15 / 17,11505,2020-02-14 13:02:28:292
1.9496,9.6265,-8.7498,0.0621,7.0067,6.8609,-0.4243,-0.6337,-0.8082,-0.1237,-0.0419,-0.0022,11359,-49.27,-57.67,1.12,129.3,-46.69,-0.65,5,64.943,23.547861,87.2902,90.32,NaN,22.46,13.832258,119.2,15 / 17,12005,2020-02-14 13:02:28:792
-1.4099,6.288,7.9924,-0.0494,7.0453,6.8214,0.1726,-1.319,2.0504,-0.2112,0.043,-0.1337,12208,-50.52,-57.63,0.25,127.63,-47.08,-0.28,5,65.951,23.547832,87.29025,90.32,NaN,20.38,13.832258,118.7,17 / 19,12506,2020-02-14 13:02:29:293
-2.6874,3.213,7.5215,-0.0818,7.0558,6.8103,0.5492,0.9718,0.168,0.0099,0.0644,-0.009,12400,-49.6,-58.66,1,130.12,-46.01,0.69,5,65.235,23.547832,87.29025,90.32,NaN,20.38,13.832258,118.7,17 / 19,13005,2020-02-14 13:02:29:792
2.5197,4.2891,9.4655,0.0967,7.1108,6.7526,0.2815,2.5132,-4.3736,0.2104,-0.0845,0.0516,11960,-50.47,-57.82,-0.1,128.26,-46.48,-0.82,5,66.027,23.547804,87.2903,93.55,NaN,21.96,13.832258,121.8,12 / 14,13506,2020-02-14 13:02:30:293
1.1084,10.6009,3.4361,0.1702,7.1168,6.7448,0.3586,0.2152,1.308,0.5195,0.0272,0.0063,12149,-50.89,-58.38,1.06,127.53,-46.91,-1.81,5,65.504,23.547804,87.2903,93.55,NaN,21.96,13.832258,121.8,12 / 14,14004,2020-02-14 13:02:30:791
