,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.0495,6.3621,7.698,-0.2184,6.9603,6.9048,-0.1892,-0.2035,0.304,0.0109,0.0157,0.0042,3581,-8.35,-70.54,11.11,172.49,-45.21,1.81,5,47.424,23.550222,87.29073,106.45,NaN,0,10.374194,,28 / 37,3,2020-02-14 13:00:17:134
0.2544,7.1026,5.8811,-0.2117,6.9776,6.8875,0.1309,0.0233,0.1626,0.0005,0.0055,-0.013,3640,-8,-70.7,10.68,172.44,-45.34,1.65,5,49.299,23.550222,87.29073,106.45,NaN,0,10.374194,,28 / 37,503,2020-02-14 13:00:17:634
-0.2344,7.0571,6.0901,-0.2682,6.9799,6.8832,0.1447,-0.0571,-0.6086,0.0024,-0.0002,0.0061,3651,-7.98,-70.53,10.66,172.56,-45.34,2.22,5,47.624,23.550222,87.29073,106.45,NaN,0,10.374194,,28 / 37,1003,2020-02-14 13:00:18:134
-0.3762,7.2121,6.1732,-0.2316,6.9832,6.8813,-0.2979,0.2571,-0.2757,0.0283,0.0028,-0.0225,3714,-8.09,-70.67,10.91,172.53,-45.33,2.07,5,49.959,23.550222,87.29073,106.45,NaN,0,10.374194,,28 / 37,1504,2020-02-14 13:00:18:635
0.0071,7.7784,7.4544,-0.2012,6.9927,6.8725,-0.0455,0.6732,-0.7743,0.0345,0.0013,0.0297,3614,-8.22,-70.67,11.24,172.43,-45.48,1.68,5,60.711,23.550222,87.29073,106.45,NaN,0,10.374194,,28 / 37,2004,2020-02-14 13:00:19:135
-0.4347,6.5074,7.568,0.106,7.169,6.6907,0.153,1.2568,-0.8813,-0.0302,0.064,0.0703,3803,-9.85,-71.22,11.21,169.78,-46.9,-0.91,5,63.962,23.550222,87.29073,106.45,NaN,0,10.374194,,28 / 37,2504,2020-02-14 13:00:19:635
0.4262,7.8696,4.2133,-0.3616,7.2758,6.5652,0.5747,-0.2998,1.0854,-0.0666,-0.1156,-0.4438,3843,-8.22,-70.7,10.94,172.03,-47.82,0.87,5,63.957,23.550213,87.29072,109.68,NaN,2.27,10.374194,196.4,28 / 37,3004,2020-02-14 13:00:20:135
-1.9982,7.7791,0.1932,0.0063,7.4058,6.4285,1.2308,-1.039,4.4196,0.2045,0.1199,0.422,4773,-6.74,-70.47,10.4,172.53,-49.04,-0.06,5,63.685,23.550213,87.29072,109.68,NaN,2.27,10.374194,196.4,28 / 37,3504,2020-02-14 13:00:20:635
-1.0562,5.2298,12.3188,0.4797,7.6754,6.0852,2.1794,3.1228,-3.3966,0.0396,0.0949,-0.0359,4449,-10.8,-71.09,11.83,167.39,-50.72,-4.81,5,64.156,23.550196,87.29071,109.68,NaN,7.67,10.374194,195.2,28 / 37,4004,2020-02-14 13:00:21:135
2.9351,13.9665,-3.8517,0.2202,7.5396,6.2671,-0.1593,-1.2016,2.4722,-0.0991,0.1102,0.1364,4664,-8.59,-70.8,10.96,170.23,-50.71,-0.96,5,65.639,23.550196,87.29071,109.68,NaN,7.67,10.374194,195.2,28 / 37,4504,2020-02-14 13:00:21:635
-0.272,7.9573,5.1149,0.1411,7.6547,6.1282,0.9276,1.5342,-1.5368,0.045,-0.0519,0.0148,5199,-9.3,-70.9,11.12,169.83,-52.32,-1.61,5,66.169,23.55016,87.2907,109.68,NaN,13.86,10.374194,194.4,29 / 37,5004,2020-02-14 13:00:22:135
1.2025,12.1868,-1.6226,0.1979,7.8085,5.9295,-1.1006,-3.2251,2.4259,-0.0663,-0.0249,-0.0189,5414,-9.06,-71.02,11.37,170.03,-51.04,-1.65,5,65.942,23.55016,87.2907,109.68,NaN,13.86,10.374194,194.4,29 / 37,5504,2020-02-14 13:00:22:635
-0.2605,11.291,2.3334,0.1591,7.7297,6.0329,-0.0063,-2.9186,4.149,-0.2607,-0.0511,-0.0072,3821,-9.07,-71.03,12.07,170.03,-52.02,-1.51,5,66.495,23.55012,87.29069,109.68,NaN,16.34,10.374194,192,29 / 37,6004,2020-02-14 13:00:23:135
-0.4084,3.9978,13.5359,-0.0056,7.6298,6.1609,-0.1226,0.0981,-0.9181,0.1966,0.0076,-0.1864,2642,-8.51,-71.05,12.23,170.56,-50.35,-0.28,5,67.347,23.55012,87.29069,109.68,NaN,16.34,10.374194,192,29 / 37,6504,2020-02-14 13:00:23:635
0.4057,4.2553,9.5685,0.0146,7.6872,6.0891,0.5875,-1.9651,1.1016,-0.0484,-0.0519,-0.0765,3567,-8.44,-70.83,12.26,171.45,-51.14,-0.43,5,68.401,23.550076,87.29068,109.68,NaN,4.86,10.374194,194,29 / 37,7005,2020-02-14 13:00:24:136
-0.7892,8.4078,5.0886,-0.0967,7.6908,6.0837,0.468,4.3483,-4.4056,0.4725,0.0426,-0.0779,4135,-7.48,-68.42,13.42,172.41,-51.35,-0.07,5,68.143,23.550076,87.29068,109.68,NaN,4.86,10.374194,194,29 / 37,7504,2020-02-14 13:00:24:635
2.213,9.275,0.8461,-0.1642,7.6124,6.1802,1.1111,0.7779,-0.9279,-0.1952,0.0004,-0.1163,5842,-7.52,-72.27,11.24,171.89,-50.92,1.52,5,68.684,23.549978,87.29064,112.9,NaN,25.7,10.374194,196.1,29 / 37,8003,2020-02-14 13:00:25:134
