,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0064,6.7495,6.6889,0.1178,6.7861,7.0785,-0.0497,0.002,-0.0344,-0.005,-0.0059,0.0045,6318,15.07,-38.98,-25.96,236.18,-43.79,-0.95,5,45.603,23.550463,87.29023,83.87,NaN,0,10.374194,,24 / 37,5,2020-02-14 12:48:40:719
0.1975,6.6163,6.8709,0.1261,6.809,7.0563,-0.0139,0.1261,-0.0803,-0.0014,0.0013,-0.001,6700,14.59,-38.7,-26.07,236.28,-43.83,-1.03,5,50.926,23.550463,87.29023,83.87,NaN,0,10.374194,,23 / 37,505,2020-02-14 12:48:41:219
0.134,6.7469,6.749,0.1304,6.7897,7.0748,0.0307,-0.0503,-0.0153,-0.0195,-0.0067,0.0081,7303,15.05,-38.75,-25.79,236.38,-43.88,-0.96,5,56.948,23.550463,87.29023,83.87,NaN,0,10.374194,,23 / 37,1004,2020-02-14 12:48:41:718
-1.024,6.477,7.105,0.1505,6.7951,7.0693,-0.2151,0.0121,-0.0566,0.0063,0.0461,-0.028,7214,15.23,-39.25,-26.29,236.4,-43.86,-1.22,5,53.874,23.55046,87.29022,80.65,NaN,0,10.374194,,25 / 37,1504,2020-02-14 12:48:42:218
0.875,7.1658,5.7549,0.2288,6.7893,7.0727,0.4175,0.0065,0.1299,0.0132,-0.0409,-0.0117,6680,14.58,-39.3,-26.54,238.38,-43.88,-1.55,5,56.941,23.55046,87.29022,80.65,NaN,0,10.374194,,25 / 37,2005,2020-02-14 12:48:42:719
-0.0201,6.6828,6.7932,0.2011,6.7954,7.0677,0.035,-0.0456,0.1189,0.0077,0.0141,-0.0042,6689,14.74,-39.63,-26.17,234.73,-43.87,-1.6,5,54.904,23.55046,87.29022,80.65,NaN,0,10.374194,,25 / 37,2504,2020-02-14 12:48:43:218
-0.0709,6.7703,6.7831,0.2413,6.7805,7.0807,-0.3636,-0.0835,0.1492,-0.0051,0.0159,-0.0131,6689,15.26,-39.65,-26.16,234.6,-43.74,-1.95,5,59.296,23.55046,87.29022,80.65,NaN,0,10.374194,,25 / 37,3004,2020-02-14 12:48:43:718
0.6518,6.4024,7.1357,0.2,6.7887,7.0742,0.4707,-0.058,0.0817,-0.0169,0.015,0.0025,6486,15,-39.34,-26.3,236.51,-43.85,-1.68,5,47.018,23.55046,87.290215,80.65,NaN,0,13.832258,,25 / 37,3504,2020-02-14 12:48:44:218
-0.7563,7.7842,7.0498,0.1569,6.7778,7.0857,-0.6045,0.6037,0.6789,-0.0245,-0.0175,0.0148,6486,15.2,-39.26,-26.18,236.13,-43.72,-1.27,5,53.901,23.55046,87.290215,80.65,NaN,0,13.832258,,25 / 37,4004,2020-02-14 12:48:44:718
-0.1447,6.9782,5.7546,0.2632,6.771,7.089,0.8364,0.1471,0.2305,-0.0226,-0.0332,0.039,6536,15.07,-39.57,-26.1,234.79,-43.88,-1.69,5,60.157,23.55046,87.290215,80.65,NaN,0,13.832258,,25 / 37,4505,2020-02-14 12:48:45:219
