,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.2497,7.2724,5.2937,-0.2321,7.0657,6.7965,-0.0942,0.1412,0.0741,0.0214,0.0025,0.0027,6864,-18.76,-68.13,14.11,162.21,-46.1,1.96,5,49.939,23.548458,87.290855,103.23,NaN,1.08,10.374194,55.8,25 / 40,3,2020-02-14 12:32:44:215
0.3203,6.9847,7.0245,-0.2583,7.0603,6.8012,0.0036,-0.0598,0.1898,-0.0203,-0.0029,-0.0193,6864,-18.54,-68.3,14.04,162.29,-46.05,2.18,5,46.273,23.548458,87.290855,103.23,NaN,1.08,10.374194,55.8,25 / 40,502,2020-02-14 12:32:44:714
0.2682,6.8217,6.4841,-0.2663,7.0614,6.7998,0.0966,-0.0697,0.0069,-0.0005,-0.0032,-0.0006,6604,-18.4,-68.31,14.06,163.18,-46.17,2.25,5,47.076,23.548458,87.290855,103.23,NaN,1.08,10.374194,55.8,25 / 40,1002,2020-02-14 12:32:45:214
-0.6959,6.2991,8.2722,-0.2572,7.0573,6.8043,-0.0518,-0.1489,0.2484,-0.0228,0.0022,0.0054,5928,-18.34,-68.33,13.95,163.19,-46.03,2.17,5,53.552,23.548458,87.290855,103.23,NaN,1.08,10.374194,55.8,25 / 40,1502,2020-02-14 12:32:45:714
0.0203,7.1182,5.4896,-0.2492,7.0627,6.799,-0.1704,0.0612,0.2102,0.0094,0.015,0.0058,5791,-18.43,-68.24,13.9,163.16,-46.07,2.1,5,50.716,23.548458,87.290855,103.23,NaN,1.08,10.374194,55.8,25 / 40,2002,2020-02-14 12:32:46:214
-0.1131,6.9759,5.6851,-0.2575,7.0626,6.7988,-0.1842,0.0034,0.7806,0.0017,0.004,0.0048,5856,-18.21,-68.29,14.04,163.19,-46.02,2.17,5,52.237,23.548458,87.290855,103.23,NaN,1.08,10.374194,55.8,25 / 40,2502,2020-02-14 12:32:46:714
0.0197,6.9181,6.1893,-0.2654,7.0645,6.7965,0.1042,0.0086,-0.0182,-0.0006,-0.0046,-0.0046,5617,-18.2,-68.28,13.9,163.2,-46.09,2.24,5,55.988,23.548458,87.290855,103.23,NaN,1.08,10.374194,55.8,25 / 40,3003,2020-02-14 12:32:47:215
0.2123,6.6998,5.6202,-0.2609,7.0653,6.7959,0.1217,-0.0499,0.0614,-0.0067,0.0051,-0.0073,5287,-18.35,-68.35,14.06,163.17,-46.15,2.2,5,50.382,23.548458,87.290855,103.23,NaN,1.08,10.374194,55.8,25 / 40,3503,2020-02-14 12:32:47:715
-0.2858,6.8495,5.684,-0.2926,7.0706,6.7891,-0.0405,-0.2038,-0.267,-0.0048,-0.0007,-0.0043,4510,-18.08,-68.3,14.22,163.25,-46.14,2.47,5,47.275,23.548458,87.290855,103.23,NaN,1.08,10.374194,55.8,25 / 40,4002,2020-02-14 12:32:48:214
-0.0119,7.0543,7.019,-0.2857,7.0685,6.7915,0.1291,0.033,-0.2566,0.0017,-0.0045,-0.0022,4177,-18.32,-68.41,13.97,163.28,-46.06,2.52,5,49.323,23.548458,87.290855,103.23,NaN,1.08,10.374194,55.8,25 / 40,4503,2020-02-14 12:32:48:715
