,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
161,-1.1363,6.8433,10.8038,0.1089,7.3953,6.4396,-1.345,-0.331,2.5596,0.132,-0.0848,-0.0916,8961,-53.75,-46.43,-10.21,112.22,-48.95,-0.97,5,63.42100000000001,23.549235999999997,87.292465,109.68,,20.77,10.374194000000001,90.4,25 / 37,80502,2020-02-14 12:38:55:687
162,0.6373,5.6215,5.7066,0.7385,7.4536,6.3301,-1.2054,-1.9558,2.8848,0.4314,-0.1519,0.1534,9503,-54.99,-44.97,-8.87,109.78,-48.44,-5.22,5,60.86600000000001,23.54924,87.29252,106.45,,20.52,10.374194000000001,92.6,22 / 37,81002,2020-02-14 12:38:56:187
163,1.9471,2.4833,7.4776,1.9512,7.0645,6.5158,-3.2631,-3.4683,12.4949,-0.28800000000000003,0.0358,0.3025,9069,-57.79,-40.28,-6.51,98.37,-49.63,-17.05,5,60.188,23.54924,87.29252,106.45,,20.52,10.374194000000001,92.6,22 / 37,81502,2020-02-14 12:38:56:687
164,-3.3815,1.517,-0.6509999999999999,3.0198,6.6809,6.5128,0.573,1.1582,-6.3663,0.3737,0.3236,0.5489,10935,-59.19,-30.66,-8.22,92.74,-43.12,-21.96,5,64.692,23.549246,87.292564,106.45,,17.14,10.374194000000001,91.5,23 / 37,82002,2020-02-14 12:38:57:187
165,-0.6134,13.0323,-3.986,3.1696,6.4399,6.6822,-0.3677,-4.2278,1.4475,-0.3932,0.5866,0.3867,14715,-54.94,-21.86,-16.84,78.05,-41.05,-25.38,5,65.141,23.549246,87.292564,106.45,,17.14,10.374194000000001,91.5,23 / 37,82502,2020-02-14 12:38:57:687
166,-4.5935,0.9915,14.7879,2.3891,6.8058,6.6441,-0.9736,0.9415,0.0679,0.6031,0.1714,0.376,6290,-52.47,-21.61,-23.02,74.53,-43.95,-19.78,5,63.678999999999995,23.549269,87.29261,103.23,,14.44,10.374194000000001,78.0,26 / 37,83002,2020-02-14 12:38:58:187
167,7.397,14.8275,-10.7499,2.8142,6.1185,7.1285,-1.8066,-1.4901,8.1121,0.0605,0.3923,0.6223,8679,-47.88,-17.04,-25.11,66.24,-42.24,-22.53,5,64.848,23.549269,87.29261,103.23,,14.44,10.374194000000001,78.0,26 / 37,83502,2020-02-14 12:38:58:687
168,1.4261,5.2281,6.8929,2.6115,6.4041,6.9526,-0.9143,-0.3879,-0.4527,-0.0056,0.4877,0.0926,8679,-37.21,-14.27,-33.42,51.89,-40.77,-20.59,5,62.648,23.549303,87.29265,103.23,,16.16,10.374194000000001,60.1,26 / 37,84002,2020-02-14 12:38:59:187
169,2.1304,8.613999999999999,-0.5448,1.7199,6.9254,6.7269,-1.8624,0.1465,4.1493,0.4196,0.6026,0.0789,30000,-25.12,-17.41,-39.66,26.85,-45.31,-19.15,5,61.751999999999995,23.549303,87.29265,103.23,,16.16,10.374194000000001,60.1,26 / 37,84502,2020-02-14 12:38:59:687
170,2.1159,6.2283,5.8708,-0.7256,7.433,6.3557,-1.0204,-0.2926,-0.8287,0.5357,0.0703,-0.474,18339,-20.35,-20.69,-40.5,57.77,-49.28,6.51,5,61.305,23.549335,87.29264,100.0,,10.55,10.374194000000001,19.0,26 / 37,85002,2020-02-14 12:39:00:187
