,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.7822,1.2782,9.2946,0.7335,1.6071,9.6462,0.6895,-0.8704,-0.0856,-0.1738,0.2096,0.3443,17358.766,-12.02,-34,-25.2,160.16,-11.02,-3.91,2,51.848,23.552109,87.28787,43.93,NaN,0,13.832258,,14 / 22,12,2020-02-14 12:58:25:240
1.2267,-0.8503,9.6849,-0.1683,-1.4591,9.696,0.6043,0.4278,0.2245,-1.1687,0.9339,-0.8786,32768,-9.01,-27.79,-27.77,166.09,2.13,-3.66,2,52.734,23.552109,87.28787,43.93,NaN,0,13.832258,,15 / 22,511,2020-02-14 12:58:25:739
-4.8617,-8.3944,6.8884,-3.4728,-7.801,4.8223,-0.7892,-0.167,1.3547,-2.2351,1.7766,-0.1031,32768,14.96,0.31,-37.7,162.33,52.7,35.76,2,51.853,23.552109,87.28787,43.93,NaN,0,13.832258,,15 / 22,1011,2020-02-14 12:58:26:239
-1.7301,-7.4535,3.1319,-2.5188,-8.8273,3.4504,-0.6459,-0.4846,1.1055,0.4846,-1.0389,-0.5366,27.058,17.96,9.02,-35.98,144.71,64.68,55.9,0,61.594,23.552118,87.28788,61.02,NaN,1.22,13.832258,313.7,15 / 22,1510,2020-02-14 12:58:26:738
-0.8179,-9.1079,4.5397,-0.2618,-8.7015,4.515,-0.5006,-0.4889,-0.2482,-0.1663,0.0594,-0.0253,29.7638,11.51,3.2,-39.61,192.9,61.62,5.74,0,59.445,23.552118,87.28788,61.02,NaN,1.22,13.832258,313.7,15 / 22,2011,2020-02-14 12:58:27:239
-0.2744,-9.5221,4.3506,-0.0817,-8.8593,4.2043,-0.3126,-0.2581,0.0896,-0.0651,-0.0482,0.0045,32.4696,10.49,7.34,-38.19,196.41,64.09,1.18,0,52.681,23.552118,87.28788,61.02,NaN,1.22,13.832258,313.7,15 / 22,2511,2020-02-14 12:58:27:739
0.0679,-9.558,4.25,0.0564,-8.9573,3.9917,-0.0245,-0.1044,-0.0341,-0.0065,-0.0216,-0.0381,32.4696,10.57,6.5,-38.75,199.27,65.98,-0.81,0,54.164,23.552118,87.28788,61.02,NaN,1.22,13.832258,313.7,15 / 22,3013,2020-02-14 12:58:28:241
0.044,-9.2419,4.0657,-0.0403,-8.951,4.0061,-0.0633,0.0536,0.0377,0.0137,0.0274,0.0631,21.6464,10.53,5.85,-38.44,199.6,66.09,-0.7,0,51.816,23.552118,87.28788,61.02,NaN,1.22,13.832258,313.7,15 / 22,3511,2020-02-14 12:58:28:739
-0.6192,-9.5316,4.7768,-0.3649,-8.8786,4.1482,0.0642,0.1138,0.134,-0.0875,0.0082,0.0344,21.6464,11.59,5.29,-38.73,195.04,64.33,4.28,0,52.08,23.552124,87.28789,66.49,NaN,0,13.832258,,15 / 22,4011,2020-02-14 12:58:29:239
0.044,-9.8549,3.7281,-0.2277,-9.0294,3.8195,0.1916,-0.3672,-0.3419,-0.0012,0.3363,-0.2309,8.1174,11.44,6.58,-39.22,192.68,66.61,4.95,0,52.928,23.552124,87.28789,66.49,NaN,0,13.832258,,15 / 22,4512,2020-02-14 12:58:29:740
