,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.6264,2.5663,9.1629,0.4406,1.8369,9.623,1.16,-1.4977,1.87,-0.0822,-0.0887,-0.5867,7955.06,33.22,10.74,-32.37,295.62,-10.8,-2.62,2,51.792,23.552078,87.28968,46.51,NaN,3.89,24.206451,209.3,12 / 35,12,2020-02-14 12:46:15:214
0.6593,0.0476,9.3856,-0.014,0.2553,9.8033,0.434,-0.0602,-0.348,-0.5626,0.3853,-0.1648,12268.525,30.31,17.18,-28.12,301.75,-5.4,-2.89,2,48.834,23.552078,87.28968,46.51,NaN,3.89,24.206451,209.3,12 / 35,512,2020-02-14 12:46:15:714
-5.3621,-6.1941,6.1103,-3.9794,-5.8101,6.8248,-0.3643,0.4679,0.9081,-1.8825,0.723,0.4871,10452.724,33.59,26.57,8.43,295.17,36.33,30.25,2,36.352,23.552078,87.28968,46.51,NaN,3.89,24.206451,209.3,12 / 35,1011,2020-02-14 12:46:16:213
-5.6877,-7.2548,6.6275,-3.4003,-7.7987,4.8774,-0.1413,1.0087,0.2962,1.2718,0.2469,-1.6552,1049.0189,31.94,18.12,22.66,273.51,50.71,53.05,2,40.323,23.552078,87.28968,46.51,NaN,3.89,24.206451,209.3,12 / 35,1512,2020-02-14 12:46:16:714
-2.0414,-8.6578,5.4974,-0.5215,-8.3892,5.0517,-0.1691,-0.4387,-0.2387,0.0936,-0.3263,-0.6059,0,22.78,32.43,16.33,318.96,58.81,5.89,0,55.637,23.552078,87.28968,46.51,NaN,3.89,24.206451,209.3,12 / 35,2012,2020-02-14 12:46:17:214
-0.2337,-9.0025,4.9061,0.1961,-8.451,4.9712,-0.3242,-0.2373,-0.0216,-0.1227,-0.0621,-0.0274,0,22.98,31,16.51,324.46,58.59,-2,0,54.622,23.552078,87.28968,46.51,NaN,3.89,24.206451,209.3,12 / 35,2512,2020-02-14 12:46:17:714
0.1326,-9.3449,4.851,0.2184,-8.6533,4.6091,-0.1683,-0.3238,-0.0003,0.0201,-0.0237,0.0333,0,21.43,30.7,15.89,326.17,61.49,-3.32,0,37.927,23.552078,87.28968,46.51,NaN,3.89,24.206451,209.3,12 / 35,3012,2020-02-14 12:46:18:214
0.2595,-9.3521,4.7624,0.1665,-8.7294,4.4654,0.0252,-0.0726,0.0027,0.0031,-0.0173,-0.0274,0,21.21,32.78,16.54,326.59,62.89,-2.14,0,37.919,23.55216,87.28979,102.57,NaN,0,24.206451,,24 / 37,3511,2020-02-14 12:46:18:713
0.0751,-9.1031,4.9779,0.0979,-8.6803,4.5621,0.0612,0.0622,-0.0499,0.0307,0.0168,-0.0061,0,24.21,31.4,17.91,322.45,62.49,-1.19,0,38.134,23.55216,87.28979,102.57,NaN,0,24.206451,,25 / 33,4011,2020-02-14 12:46:19:213
-0.023,-9.1342,4.8199,0.1235,-8.708,4.5083,-0.1667,-0.0014,0.0309,-0.0055,-0.0099,-0.0125,0,22.48,31.14,17.64,324.98,62.54,-1.42,0,41.002,23.55216,87.28979,102.57,NaN,0,24.206451,,25 / 33,4511,2020-02-14 12:46:19:713
-0.0111,-9.5197,4.76,0.2633,-8.7774,4.3655,-0.043,-0.0458,0.1742,-0.0736,-0.0045,-0.0573,0,22.54,31.12,15.34,321.89,63.06,-2.73,0,41.078,23.552156,87.28979,73.06,NaN,0,17.290323,,25 / 33,5013,2020-02-14 12:46:20:215
0.0632,-9.5125,4.602,0.3225,-8.8347,4.2443,0.0509,-0.1623,-0.2112,0.0638,0.0264,0.0333,0,20.64,30.5,16.61,326.53,64.28,-4.34,0,44.789,23.552156,87.28979,73.06,NaN,0,17.290323,,25 / 33,5511,2020-02-14 12:46:20:713
0.0847,-9.455,4.7744,0.1863,-8.7905,4.3432,-0.0971,-0.041,0.1584,-0.047,-0.0844,-0.0104,0,21.58,31.46,18.13,325.08,63.44,-1.94,0,42.598,23.552156,87.28979,73.06,NaN,0,17.290323,,25 / 33,6012,2020-02-14 12:46:21:214
0.3241,-9.1773,4.6547,0.2019,-8.7386,4.4459,0.1089,0.1133,-0.0994,0.051,-0.0024,0.045,0,21.96,30.55,16.14,324.21,63.31,-3.12,0,42.841,23.552156,87.28979,73.06,NaN,0,17.290323,,25 / 33,6513,2020-02-14 12:46:21:715
0.5683,-9.4024,4.5685,0.2903,-8.7605,4.3977,0.2514,-0.0638,-0.0765,0.0414,0.0168,-0.0029,0,21.61,30.17,15.95,324.17,63.54,-3.76,0,44.84,23.552153,87.28978,92.12,NaN,0,13.832258,,25 / 33,7013,2020-02-14 12:46:22:215
0.3481,-9.1701,4.7576,0.2598,-8.74,4.4403,0.0516,-0.084,-0.0723,-0.0097,0.0338,-0.0125,0,21.26,31.78,15.93,326.13,63.03,-3.35,0,52.107,23.552153,87.28978,92.12,NaN,0,13.832258,,25 / 33,7513,2020-02-14 12:46:22:715
0.5779,-9.2874,4.5757,0.3097,-8.7714,4.3746,-0.0122,0.096,-0.0771,-0.0182,0.02,0.0013,0,20.68,33.63,16.57,328.08,63.44,-4.05,0,57.898,23.552149,87.28978,92.07,NaN,0,13.832258,,22 / 33,8012,2020-02-14 12:46:23:214
0.3193,-9.2563,4.8079,0.2172,-8.7551,4.4127,0.0149,0.0487,0.0169,-0.0119,0.0082,0.0045,0,21.68,31.92,17.7,326.38,63.32,-3.2,0,56.427,23.552149,87.28978,92.07,NaN,0,13.832258,,22 / 33,8512,2020-02-14 12:46:23:714
0.135,-9.0097,5.4088,0.0084,-8.6962,4.5328,-0.2749,0.0512,0.6124,0.051,0.1116,0.0706,0,23,30.92,17.39,323.03,62.93,-1.73,0,57.684,23.552149,87.28978,92.07,NaN,0,13.832258,,22 / 33,9012,2020-02-14 12:46:24:214
-1.2536,-9.0552,5.6507,-0.3582,-8.5372,4.8124,-0.6882,0.4577,0.7487,0.0009,0.0413,0.0173,0,22.6,31.59,15.67,319.87,60.82,3.39,0,58.687,23.552149,87.28978,92.07,NaN,0,13.832258,,22 / 33,9512,2020-02-14 12:46:24:714
-0.4564,-8.5309,5.6171,-0.5423,-8.4737,4.9064,-0.0845,0.3516,0.4309,0.0414,0.2256,-0.1201,5.4116,19.69,31.74,18.45,323.62,59.78,6.31,0,57.824,23.552149,87.28978,92.07,NaN,0,13.832258,,23 / 33,10011,2020-02-14 12:46:25:213
-1.9121,-8.2867,6.2133,-0.8341,-8.146,5.3961,-0.1906,-0.4315,0.3035,0.0659,0.07,-0.0903,8.1174,18.69,31.91,19.12,325.43,57.12,7.75,0,57.764,23.552149,87.28978,92.07,NaN,0,13.832258,,23 / 33,10512,2020-02-14 12:46:25:714
-1.2058,-8.2436,5.6076,-0.8036,-7.9493,5.6862,-0.5766,0.2072,-0.037,0.0094,-0.1633,0.0631,8.1174,16.17,34.42,16.6,329.9,54.56,8.3,0,57.94,23.552149,87.28978,92.07,NaN,0,13.832258,,23 / 33,11012,2020-02-14 12:46:26:214
