,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.296,-0.0865,10.7527,-0.0772,0.0812,9.806,0.2365,-0.0222,0.7776,-0.4124,0.0892,0.7129,14948.519,26.49,29.11,-25.09,318.54,-0.47,0.45,5,49.637,23.548803,87.29117,,NaN,,110.96774,,0 / 36,12,2020-02-14 12:50:57:148
0.6569,-1.8415,9.5556,-0.4136,-1.4185,9.6947,1.0101,-0.1896,0.2071,-0.8683,1.196,-0.4972,13687.198,28.68,27.01,-22.02,309.87,6.49,-0.46,5,54.75,23.548803,87.29117,,NaN,,110.96774,,0 / 36,512,2020-02-14 12:50:57:648
-3.4084,-7.2572,8.4136,-2.9602,-7.4805,5.608,-0.5603,0.3656,2.0941,-1.3158,1.4826,0.3433,8691.871,32.77,28.77,10.76,304.48,38.03,10.52,5,62.005,23.548803,87.29117,,NaN,,110.96774,,0 / 36,1012,2020-02-14 12:50:58:148
-3.4898,-8.6362,6.2588,-3.7932,-8.4315,3.2697,-1.2299,0.1938,-1.0458,1.7054,-0.7311,-1.3484,1861.5922,26.37,24.9,24.86,285.37,59.29,49.24,0,61.376,23.548803,87.29117,,NaN,,110.96774,,0 / 36,1512,2020-02-14 12:50:58:648
-1.8929,-10.7263,5.4136,-0.6175,-8.5796,4.7095,-0.6925,-1.5188,0.2549,0.1671,-0.648,-0.8764,0,20.81,31.06,19.39,313.73,60.47,19.08,0,63.639,23.548803,87.29117,,NaN,,110.96774,,0 / 37,2012,2020-02-14 12:50:59:148
-0.6934,-9.139,4.4512,-0.6132,-8.7328,4.4196,-0.0842,-0.163,-0.0504,-0.0151,-0.0535,0.0429,0,21.25,30.7,20.79,321.82,62.9,7.83,0,63.782,23.548803,87.29117,,NaN,,110.96774,,0 / 37,2513,2020-02-14 12:50:59:649
-0.6671,-9.2395,4.5038,-0.6326,-8.8152,4.2501,-0.0714,-0.0674,0.0241,-0.0044,-0.0141,0.0013,0,21.33,30.06,20.69,320.8,63.89,8.23,0,58.528,23.552132,87.28999,108.37,NaN,0,24.206451,,0 / 37,3013,2020-02-14 12:51:00:149
-0.5905,-9.6394,4.5517,-0.5843,-8.8399,4.2053,0.0669,-0.035,-0.0056,0.0126,0.0264,-0.0008,0,20.45,31.27,20.26,321.83,64.33,8.04,0,56.685,23.552132,87.28999,108.37,NaN,0,24.206451,,0 / 37,3512,2020-02-14 12:51:00:648
-0.5761,-9.297,4.5493,-0.6494,-8.8328,4.2108,-0.0024,0.096,0.0628,-0.0119,0.0104,-0.0051,0,22.66,30.2,21.46,317.77,64.25,8.77,0,59.705,23.552141,87.29,106.48,NaN,0,20.748388,,20 / 37,4012,2020-02-14 12:51:01:148
-0.9711,-9.7615,4.5541,-0.7176,-8.8137,4.2396,0.0376,-0.0387,-0.1113,0.0648,0.02,0.0386,0,20.23,30.32,20.15,320.7,64.4,8.99,0,60.831,23.552141,87.29,106.48,NaN,0,20.748388,,20 / 37,4513,2020-02-14 12:51:01:649
