,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.5019,0.3875,8.3465,1.0436,-0.9013,9.7092,-0.6872,0.6622,-1.3897,-0.2505,-0.4967,0.0706,32768,-43.94,31.36,-20.15,55.49,5.27,-6.13,2,52.017,23.54706,87.29245,110.96,NaN,1.33,13.832258,218.7,12 / 39,22,2020-02-14 12:37:28:581
0.8676,-1.6188,11.2052,0.6619,-1.3602,9.6893,0.1491,0.3866,0.7531,-0.1152,-0.0461,0.0439,32768,-41.08,33.17,-20.09,52.86,5.47,-0.55,2,54.521,23.54708,87.29246,110.32,NaN,0,10.374194,,10 / 34,521,2020-02-14 12:37:29:080
-0.2194,1.0723,9.7687,-0.0735,0.3603,9.7998,-1.6656,0.8185,0.8397,0.0126,1.4389,0.1015,32768,-40.58,28.78,-27.44,55.2,3.38,-3.77,2,54.227,23.54708,87.29246,110.32,NaN,0,10.374194,,10 / 34,1021,2020-02-14 12:37:29:580
-4.5385,-6.9268,9.7998,-5.4303,-5.2489,6.2554,1.1659,-1.3264,3.9389,-4.2623,1.8767,1.2008,19576.691,-20.76,45.03,-12.28,30.34,32.36,40.96,2,51.792,23.547071,87.29246,107.22,NaN,0,10.374194,,23 / 34,1521,2020-02-14 12:37:30:080
-4.0932,-5.8757,4.8486,-5.911,-7.6915,1.439,-0.709,-1.4754,1.2291,-0.7149,-0.126,0.1494,414.6122,-15.49,44.33,15.39,341.74,47.73,85.3,0,51.997,23.547071,87.29246,107.22,NaN,0,10.374194,,23 / 34,2021,2020-02-14 12:37:30:580
-1.5721,-11.1094,5.3945,-2.055,-8.6761,4.0832,-0.5956,-0.6906,0.4397,0.7072,0.3694,-0.5622,5.4116,-35.43,32.76,4.47,27.41,66.15,47.88,0,52.328,23.547052,87.29252,117.38,NaN,0,13.832258,,23 / 34,2521,2020-02-14 12:37:31:080
-1.6702,-8.8301,5.5022,-1.9237,-8.7404,4.0095,0.799,0.0978,1.0372,0.8915,1.5763,-0.6133,0,-35.62,30.38,0.08,49.74,63.03,25.63,0,51.908,23.547052,87.29252,117.38,NaN,0,13.832258,,23 / 34,3021,2020-02-14 12:37:31:580
-1.0765,-8.7942,5.938,-0.6874,-8.1172,5.4597,0.0307,-0.5105,-0.2011,0.1309,-0.1856,-0.2778,0,-40.78,25.91,-2.84,64.75,56.35,12.23,0,56.005,23.547052,87.29254,114.78,NaN,0,13.832258,,23 / 34,3521,2020-02-14 12:37:32:080
-0.4061,-8.289,5.1096,-0.7153,-8.4543,4.9177,0.0963,-0.2216,0.5327,0.0052,-0.012,-0.0434,8.1174,-41.36,25.01,-1.78,68.36,58.93,8.2,0,55.345,23.547052,87.29254,114.78,NaN,0,13.832258,,23 / 34,4020,2020-02-14 12:37:32:579
-0.7581,-9.2036,4.9276,-0.6328,-8.6098,4.652,0.0479,-0.2682,0.1268,0.0094,0.0221,0.0525,8.1174,-42.16,24.28,0.68,67.28,61.63,7.91,0,52.08,23.547054,87.29254,113.31,NaN,0,10.374194,,25 / 34,4522,2020-02-14 12:37:33:081
-0.6503,-9.2132,5.0808,-0.6826,-8.5987,4.6655,-0.0095,-0.128,0.1088,-0.0044,-0.0131,0.0024,8.1174,-42.68,22.18,0.1,69.35,61.26,8.32,0,52.473,23.547054,87.29254,113.31,NaN,0,10.374194,,25 / 34,5022,2020-02-14 12:37:33:581
-0.7605,-8.8589,4.9467,-0.7233,-8.5641,4.7227,0.0168,0.0761,-0.0179,-0.0065,-0.0045,0.0088,8.1174,-41.56,24.28,1.02,66.36,60.84,8.71,0,52.372,23.547054,87.29254,113.31,NaN,0,10.374194,,25 / 34,5521,2020-02-14 12:37:34:080
-0.94,-9.1965,4.8558,-0.6928,-8.6315,4.603,-0.1355,-0.0073,0.0987,-0.1077,-0.0376,-0.0509,8.1174,-40.09,24.12,0.69,65.73,61.24,8.77,0,52.262,23.547054,87.29254,113.31,NaN,0,10.374194,,25 / 34,6021,2020-02-14 12:37:34:580
-0.7126,-9.2491,5.1982,-0.7943,-8.5935,4.6573,0.022,-0.0168,0.1064,0.0031,0.0061,-0.0221,8.1174,-39.48,22.75,-0.77,67.54,61.2,9.68,0,57.674,23.547054,87.29254,113.31,NaN,0,10.374194,,25 / 34,6520,2020-02-14 12:37:35:079
-1.5481,-8.799,5.8781,-1.0553,-8.336,5.0564,-0.2795,0.7086,0.429,0.1096,0.02,-0.0605,8.1174,-40.84,25.21,-1.68,65.33,58.22,11.79,0,60.248,23.547054,87.29254,113.31,NaN,0,10.374194,,25 / 34,7021,2020-02-14 12:37:35:580
-1.1794,-9.1079,6.1941,-0.7405,-8.261,5.2323,-0.6629,-0.393,0.5957,-0.0428,-0.1313,0.0642,8.1174,-40.76,22.71,-0.6,68.3,57.2,7.67,0,59.253,23.547054,87.29254,113.31,NaN,0,10.374194,,25 / 34,7522,2020-02-14 12:37:36:081
1.3273,-6.6394,5.4974,-0.4524,-8.4624,4.9349,1.2028,1.9496,-0.1918,-0.1898,-0.0291,0.3635,5.4116,-43.59,22.71,2.05,70.09,59.21,3.59,0,57.829,23.547054,87.29254,113.31,NaN,0,10.374194,,25 / 34,8021,2020-02-14 12:37:36:580
-1.6655,-8.9714,5.0042,-0.7334,-8.5168,4.8058,-0.7209,-0.3924,0.2346,-0.1131,-0.0759,-0.2863,8.1174,-41.56,22.17,2.26,63.9,59.35,11.31,0,57.254,23.547056,87.292534,115.12,NaN,2.81,10.374194,8,25 / 34,8521,2020-02-14 12:37:37:080
1.1118,-9.1151,3.764,-0.447,-8.7026,4.4983,2.1691,-0.8064,-0.7112,0.0766,0.2192,0.436,8.1174,-40.18,21.89,5.6,64.21,62.55,5.68,0,58.343,23.547056,87.292534,115.12,NaN,2.81,10.374194,8,25 / 34,9021,2020-02-14 12:37:37:580
-1.347,-8.8708,5.0282,-0.7328,-8.6058,4.6448,-1.07,0.5806,0.334,0.0776,0.0743,-0.0274,8.1174,-42.62,20.3,0.6,68.89,61.35,8.97,0,57.009,23.547064,87.29254,114.58,NaN,4.54,10.374194,12,25 / 34,9521,2020-02-14 12:37:38:080
-1.3087,-10.5085,5.0856,-1.0491,-8.5259,4.7306,0.0146,0.7749,-0.3967,0.1106,0.1084,0.2517,8.1174,-41.81,23.19,2.85,64.93,61.54,8.78,0,57.58,23.547064,87.29254,114.58,NaN,4.54,10.374194,12,25 / 34,10021,2020-02-14 12:37:38:580
-2.2736,-9.8573,5.7416,-1.8749,-8.0754,5.2387,-0.0279,-0.8592,0.4066,0.2779,-0.0908,0.5255,8.1174,-38.52,29.15,3.44,53.8,58.17,15.94,0,56.53,23.547073,87.29255,110.02,NaN,5.72,10.374194,20.2,25 / 34,10521,2020-02-14 12:37:39:080
-2.4364,-6.5006,6.4024,-2.6517,-7.4744,5.7682,0.408,1.0518,-0.1058,-0.3304,-0.0365,-0.3044,8.1174,-34.94,31.63,-4.1,47.78,47.61,25.82,0,57.348,23.547073,87.29255,110.02,NaN,5.72,10.374194,20.2,25 / 34,11021,2020-02-14 12:37:39:580
