,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1541,0.8089,9.8261,0.4503,0.6762,9.7729,-0.2641,0.0614,0.443,-0.0513,-0.3156,0.0972,32768,-35.98,-15.17,-24.65,110.66,-3.95,-2.64,2,52.425,23.548523,87.28981,76.92,NaN,2.81,10.374194,216.2,24 / 36,10,2020-02-14 13:02:12:378
-0.4779,-3.1535,10.9682,-1.0192,-2.9196,9.3063,-1.2805,-0.4889,-0.3772,-1.842,0.4173,-0.0381,32768,-27.29,-10.02,-33.77,121.52,17.32,6.25,2,51.775,23.548523,87.28981,76.92,NaN,2.81,10.374194,216.2,24 / 36,509,2020-02-14 13:02:12:877
-4.7181,-6.8094,2.5262,-6.0823,-7.5203,1.619,1.4304,0.9673,0.9569,-1.8516,0.0221,0.7172,30508.967,0.08,24.13,-34.75,82.28,48.15,63.13,2,54.325,23.548523,87.28981,76.92,NaN,2.81,10.374194,216.2,24 / 36,1010,2020-02-14 13:02:13:378
-3.4755,-9.9171,6.6418,-2.4301,-8.6621,3.903,-0.171,0.799,0.0308,0.3727,-0.6884,-1.1811,21.6464,-9.77,10.47,-40.06,117.1,55.76,36.14,0,52.743,23.547884,87.28992,140.75,NaN,0,38.038708,,0 / 38,1509,2020-02-14 13:02:13:877
0.1733,-5.5429,4.0226,-0.3649,-8.7295,4.4534,-0.7215,-1.5524,0.4078,-0.0151,0.0519,0.1366,24.3522,-18.45,5.96,-37.53,142.82,61.22,5.78,0,60.606,23.547884,87.28992,140.75,NaN,0,38.038708,,0 / 38,2010,2020-02-14 13:02:14:378
-0.5282,-9.4574,4.2931,-0.3334,-8.8082,4.2982,0.0115,-0.2695,-0.179,-0.0012,-0.0152,-0.0285,24.3522,-18.45,7.22,-36.5,144.16,63.92,4.44,0,58.576,23.547892,87.289894,138.92,NaN,0,27.664516,,25 / 38,2509,2020-02-14 13:02:14:877
-0.3439,-9.5532,4.365,-0.2995,-8.8914,4.1259,0.0445,-0.0943,-0.0567,0.0041,0.0029,-0.0189,21.6464,-19.58,7.07,-36.44,141.39,64.88,4.14,0,56.806,23.547892,87.289894,138.92,NaN,0,27.664516,,25 / 38,3009,2020-02-14 13:02:15:377
-0.5354,-9.2803,4.4775,-0.4201,-8.8732,4.1545,-0.0245,-0.0227,0.0422,0.0094,0.0018,0.0269,21.6464,-18.39,7.22,-38.45,143.83,64.94,5.7,0,57.888,23.5479,87.28988,138.85,NaN,0,24.206451,,24 / 33,3510,2020-02-14 13:02:15:878
-0.5067,-9.546,4.2381,-0.4759,-8.8777,4.139,-0.0878,0.006,-0.0713,-0.0193,0.0168,-0.0221,21.6464,-17.08,7.72,-37.56,143.66,64.73,6.66,0,57.75,23.5479,87.28988,138.85,NaN,0,24.206451,,24 / 33,4009,2020-02-14 13:02:16:377
-1.6966,-8.8804,4.9731,-0.6235,-8.8309,4.2185,-0.7255,0.4218,0.6712,0.133,0.0572,0.0024,21.6464,-17.69,6.69,-37.25,139.88,64.22,8.41,0,66.138,23.547907,87.28986,146.9,NaN,0,20.748388,,24 / 33,4509,2020-02-14 13:02:16:877
-1.3039,-8.4423,5.6937,-0.7287,-8.6668,4.5305,-0.853,0.6563,0.8076,0.002,-0.1121,-0.0285,24.3522,-15.92,5.43,-39.32,143.52,62.47,9.01,0,66.078,23.547907,87.28986,146.9,NaN,0,20.748388,,24 / 33,5009,2020-02-14 13:02:17:377
