,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.331,0.0332,10.7024,-0.9653,0.0524,9.7589,0.9079,0.9376,0.2809,-0.4369,-0.5766,0.1984,13167.685,32.36,20.13,-22.4,305.88,-1.33,8.3,5,40.201,23.550346,87.29069,57.45,NaN,0,17.290323,,24 / 36,14,2020-02-14 12:43:47:049
0.3002,-1.2525,9.7782,-0.7646,-1.2919,9.6911,-0.923,-0.2922,0.0519,0.0084,-0.0291,-0.1201,13342.521,32.37,23.06,-18.59,303.3,7.57,4.51,5,50.044,23.550346,87.29069,57.45,NaN,0,17.290323,,24 / 36,514,2020-02-14 12:43:47:549
-2.1299,-4.6068,8.076,-3.0271,-3.2554,8.7413,-0.0725,-0.821,-0.6047,-1.0665,0.1979,-0.2607,8609.448,30.28,29.83,-4.08,313.16,14.9,17.59,5,51.292,23.55034,87.29069,57.44,NaN,0,13.832258,,24 / 36,1014,2020-02-14 12:43:48:049
-3.7771,-7.0919,5.6339,-4.1663,-6.9673,5.5018,0.3913,0.0653,0.6015,-1.042,0.5473,0.0514,5514.8423,31.2,24.6,16.95,291.71,45.27,37.13,5,35.616,23.55034,87.29069,57.44,NaN,0,13.832258,,24 / 36,1514,2020-02-14 12:43:48:549
-0.4612,-4.1662,3.8454,-3.2723,-8.4046,3.8503,1.8829,3.5199,-0.0982,0.6422,-0.4285,-1.0192,3826.005,27.27,23.18,23.97,281.6,55.61,52.69,0,38.275,23.55034,87.29069,57.44,NaN,0,13.832258,,24 / 36,2014,2020-02-14 12:43:49:049
-0.6958,-9.3904,5.2436,-0.6302,-8.3773,5.0591,0.183,-1.2821,-0.4894,-0.0023,-0.1228,-0.1393,10.8232,25.21,28.65,15.69,312.08,58.63,10.18,0,64.213,23.55034,87.29069,57.44,NaN,0,13.832258,,24 / 36,2514,2020-02-14 12:43:49:549
-0.533,-8.9523,5.1215,-0.2456,-8.5979,4.7102,-0.2691,-0.1342,0.2553,-0.095,-0.0706,-0.0594,10.8232,23.5,28.82,14.72,317.51,60.74,3.41,0,48.032,23.55033,87.290695,59.4,NaN,2.23,13.832258,146.5,24 / 36,3014,2020-02-14 12:43:50:049
-0.2265,-9.3497,4.8366,-0.1992,-8.6801,4.5592,-0.0203,-0.201,0.0601,-0.0119,0.0072,-0.0178,10.8232,23.33,28.01,14.48,316.11,62.27,2.5,0,38.803,23.55033,87.290695,59.4,NaN,2.23,13.832258,146.5,24 / 36,3513,2020-02-14 12:43:50:548
-0.1882,-9.2491,4.7816,-0.1741,-8.7071,4.5085,0.0357,-0.0707,-0.0612,-0.0097,0.0231,0.0141,10.8232,24.2,28.98,15.23,316.53,62.49,2.15,0,39.65,23.55033,87.290695,59.4,NaN,2.23,13.832258,146.5,24 / 36,4013,2020-02-14 12:43:51:048
-0.6862,-9.3353,5.0832,-0.3431,-8.6731,4.5639,-0.3021,0.1896,0.2026,-0.0289,-0.0567,0.0226,10.8232,23.66,29.2,16.14,316.03,62.18,4.3,0,40.136,23.55033,87.290695,59.4,NaN,2.23,13.832258,146.5,24 / 36,4513,2020-02-14 12:43:51:548
