,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2289,1.7091,9.8381,0.3644,0.9658,9.7522,0.3875,0.0808,-0.3348,-0.7756,0.1148,-0.3055,31460.576,29.92,18.49,-33.17,306.98,-10.49,-2.13,2,56.941,23.550495,87.29004,12.62,NaN,2.56,17.290323,47,18 / 38,11,2020-02-14 12:48:35:603
-1.3111,-3.0338,8.4375,-1.0773,-3.1731,9.2164,0.0508,-0.0989,-0.3453,-1.5735,-0.6139,0.0578,20599.275,32.21,28.09,-15.56,310.27,6.95,6.35,2,49.547,23.550495,87.29004,12.62,NaN,2.56,17.290323,47,12 / 35,509,2020-02-14 12:48:36:101
-4.651,-7.0489,9.2946,-4.6139,-7.6861,3.9758,0.0749,0.9732,3.9757,-0.6958,0.0647,0.5308,4690.613,31.71,23.83,21.92,287.4,51.52,39.83,2,42.875,23.550508,87.290146,127.82,NaN,14.54,31.122583,238.2,0 / 35,1009,2020-02-14 12:48:36:601
-4.924,-9.6753,3.3546,-3.6341,-7.6586,4.9304,-1.0297,-2.5143,-0.3308,0.3088,0.7007,-0.347,4091.1736,28.26,27.28,21.37,296.03,51.35,36.39,2,53,23.550508,87.290146,127.82,NaN,14.54,31.122583,238.2,16 / 36,1510,2020-02-14 12:48:37:102
-3.2528,-8.9499,4.6858,-2.5978,-8.1021,4.8762,-0.2328,0.5421,0.9962,-0.471,-0.4488,-0.9787,0,24.98,27.61,21.7,299.37,54.79,36.04,0,56.965,23.550508,87.290146,127.82,NaN,14.54,31.122583,238.2,16 / 36,2009,2020-02-14 12:48:37:601
-0.9065,-8.732,5.4615,-0.6746,-8.2053,5.328,-0.2752,-0.4445,0.0581,-0.0033,0.0956,-0.0605,0,20.14,33.18,17.86,324.37,56.19,7.6,0,58.011,23.550474,87.29022,116.73,NaN,0,17.290323,,0 / 34,2509,2020-02-14 12:48:38:101
-0.1523,-9.1845,4.7025,-0.2721,-8.5737,4.7528,0.0965,-0.3944,-0.1566,-0.0481,0.0082,-0.0274,0,19.05,33.83,20.66,329.24,60.96,3.28,0,45.94,23.550474,87.29022,116.73,NaN,0,17.290323,,0 / 34,3009,2020-02-14 12:48:38:601
-0.4037,-9.0696,4.8151,-0.2915,-8.6728,4.5682,-0.2379,-0.2955,0.0318,-0.0215,-0.0173,0.0344,0,19.2,31.54,20.55,328.42,61.88,3.06,0,44.293,23.550474,87.29021,115.95,NaN,0,17.290323,,22 / 34,3511,2020-02-14 12:48:39:103
-0.5976,-9.0384,4.9108,-0.4501,-8.622,4.6507,-0.0564,-0.014,-0.0441,0.0063,0.004,0.0471,5.4116,17.96,31.92,19.68,328.04,61.91,4.67,0,45.468,23.550474,87.29021,115.95,NaN,0,17.290323,,22 / 34,4010,2020-02-14 12:48:39:602
-0.6982,-9.1965,4.9252,-0.5532,-8.5932,4.6927,0.0533,-0.3191,-0.1331,0.0702,0.0136,0.0099,5.4116,17.91,32.99,21.94,328.42,61.39,6.57,0,49.861,23.550474,87.29021,115.95,NaN,0,17.290323,,22 / 34,4510,2020-02-14 12:48:40:102
-0.6695,-9.2874,4.9252,-0.4565,-8.714,4.4753,-0.0175,-0.0732,0.1236,-0.0971,-0.0141,-0.0786,5.4116,19.15,31.43,20.06,325.26,62.7,5.82,0,58.028,23.550474,87.29021,115.95,NaN,0,17.290323,,22 / 34,5010,2020-02-14 12:48:40:602
-0.1451,-9.2228,4.3985,-0.3226,-8.872,4.1658,0.003,-0.019,0.0011,-0.0704,-0.0557,0.0344,5.4116,18.25,31.56,21.72,328.63,64.78,4.43,0,54.982,23.550468,87.29019,111.5,NaN,0,13.832258,,22 / 34,5510,2020-02-14 12:48:41:102
0.0392,-9.5005,4.2979,-0.4219,-8.817,4.2723,0.4563,-0.1131,-0.1389,0.0638,0.0764,-0.0349,5.4116,19.11,30.32,22.39,325.62,64.6,5.84,0,47.431,23.550468,87.29019,111.5,NaN,0,13.832258,,22 / 34,6010,2020-02-14 12:48:41:602
-0.5641,-9.1677,4.8151,-0.4758,-8.6911,4.5176,0.0027,-0.1251,0.0035,-0.0097,0.0125,-0.037,0,17.6,32.74,20.27,327.26,62.36,6.22,0,52.459,23.550468,87.29019,111.5,NaN,0,13.832258,,22 / 34,6511,2020-02-14 12:48:42:103
-0.3486,-9.3401,4.7385,-0.3972,-8.755,4.4004,0.0855,0.0717,-0.0255,-0.0161,-0.0056,-0.0061,5.4116,19.37,31.28,21.66,326.85,63.22,5.16,0,53.942,23.550468,87.29019,111.5,NaN,0,13.832258,,22 / 34,7011,2020-02-14 12:48:42:603
-0.3989,-9.3569,4.6355,-0.4272,-8.7489,4.4095,0.0466,-0.0557,-0.064,0.034,0.0104,0.0152,5.4116,18.04,32.35,19.42,326.45,63.14,5.53,0,44.648,23.550468,87.29019,111.5,NaN,0,13.832258,,22 / 34,7510,2020-02-14 12:48:43:102
-0.5426,-9.4095,4.614,-0.4347,-8.7416,4.4233,-0.1039,0.025,0.0313,-0.0023,0.0253,-0.02,0,18.25,31.69,20.29,326.85,63.08,5.92,0,58.754,23.550468,87.29019,111.5,NaN,0,13.832258,,22 / 34,8009,2020-02-14 12:48:43:601
-0.2265,-9.5125,4.3626,-0.4363,-8.8179,4.2691,0.3257,0.0259,-0.0905,-0.0097,0.0029,0.0248,0,17.49,32.23,21.67,329.26,64.1,5.73,0,59.073,23.550476,87.29019,117.91,NaN,0,10.374194,,22 / 35,8509,2020-02-14 12:48:44:101
-0.7892,-9.0815,4.8845,-0.5348,-8.7541,4.3875,-0.3224,0.2359,0.4461,0.0499,0.02,0.029,5.4116,18.89,31.14,20.42,324.44,63.59,6.61,0,56.193,23.550476,87.29019,117.91,NaN,0,10.374194,,22 / 35,9010,2020-02-14 12:48:44:602
-1.7157,-8.4255,5.6507,-0.6805,-8.5998,4.6637,-0.6352,0.6511,0.7385,0.0553,0.021,0.0439,5.4116,18.5,32.58,22.5,327.79,61.28,8.3,0,57.425,23.550476,87.29019,117.91,NaN,0,10.374194,,22 / 35,9509,2020-02-14 12:48:45:101
-2.3646,-8.7942,6.1965,-1.0272,-8.4344,4.8965,-0.9215,0.2529,0.7577,0.0712,-0.0535,0.0003,0,19.3,31.03,19.09,321.84,59.65,11.41,0,58.333,23.550476,87.29019,117.91,NaN,0,10.374194,,22 / 35,10009,2020-02-14 12:48:45:601
-2.1347,-8.6673,5.8853,-1.0965,-8.2487,5.1892,-0.0617,0.2702,0.5239,0.0126,-0.0173,-0.0285,0,19.61,33.19,19.62,322.26,57.5,12.11,0,59.044,23.550476,87.29019,117.91,NaN,0,10.374194,,21 / 35,10509,2020-02-14 12:48:46:101
-2.1132,-7.0704,7.1015,-1.8962,-6.7716,6.8352,-0.2156,0.4043,0.2087,0.4675,-0.1111,0.3838,5.4116,25.09,34.49,12.81,315.25,47.59,14.29,0,59.25,23.550476,87.29019,117.91,NaN,0,10.374194,,21 / 35,11010,2020-02-14 12:48:46:602
-4.2943,-5.8134,7.9922,-2.9601,-6.3258,6.8842,-1.2235,-0.4196,1.0571,-0.4678,0.2128,-0.004,5.4116,30.37,29.36,12.16,303.8,40.17,23.27,0,63.09,23.55048,87.290184,114.26,NaN,0,10.374194,,20 / 35,11511,2020-02-14 12:48:47:103
-3.1618,-8.2484,8.0257,-2.823,-6.5086,6.7705,0.112,0.0003,0.0405,0.0904,-0.1675,-0.0743,5.4116,27.73,30.06,13.15,306.47,41.79,23.68,0,63.906,23.55048,87.290184,114.26,NaN,0,10.374194,,20 / 35,12009,2020-02-14 12:48:47:601
-3.102,-7.8629,7.0896,-2.6917,-6.5918,6.7434,0.0218,-0.6718,0.1358,-0.0278,0.0785,0.0876,0,27.75,30.82,11.99,307.62,42.24,21.76,0,68.489,23.55048,87.290184,114.26,NaN,0,10.374194,,21 / 35,12510,2020-02-14 12:48:48:102
-3.4156,-7.1949,6.7233,-2.7672,-6.6434,6.6617,0.5141,-0.1182,-0.3442,-0.0715,-0.0205,-0.0892,0,28.26,29.3,13.52,306.09,42.52,22.79,0,71.058,23.55048,87.290184,114.26,NaN,0,10.374194,,21 / 35,13011,2020-02-14 12:48:48:603
-1.9815,-6.7137,6.6658,-2.7222,-6.6894,6.6341,-0.071,-0.8322,0.2978,0.0489,0.0477,0.0525,0,27.85,30.36,12.33,306.16,43.01,22.31,0,69.507,23.550491,87.29009,105.21,NaN,15.23,13.832258,286.2,21 / 35,13510,2020-02-14 12:48:49:102
-3.0685,-5.9499,6.9268,-2.8563,-6.5956,6.6716,0.082,0.4827,-0.0105,-0.0097,0.0455,0.0408,5.4116,29.4,30.73,12.23,306,42.73,22.4,0,69.654,23.550491,87.29009,105.21,NaN,15.23,13.832258,286.2,21 / 35,14009,2020-02-14 12:48:49:601
-2.7069,-6.8262,5.6578,-2.5918,-7.048,6.3071,0.3127,0.2702,-0.9498,-0.0758,-0.0621,-0.1755,5.4116,29.33,28.86,13.28,303.75,44.55,23.66,0,72.745,23.550516,87.29011,112.05,NaN,16.31,13.832258,289.3,21 / 35,14510,2020-02-14 12:48:50:102
-2.4843,-8.6937,5.1862,-2.3484,-7.1309,6.3092,0.4105,-0.4116,-0.6647,-0.0385,-0.1015,-0.0882,5.4116,27.33,26.15,11.76,303.01,45.85,21.09,0,73.212,23.550516,87.29011,112.05,NaN,16.31,13.832258,289.3,21 / 35,15010,2020-02-14 12:48:50:602
-2.0485,-8.6362,6.6012,-2.2573,-7.348,6.0895,0.3444,-0.4036,-0.4424,0.0297,0.0104,-0.0477,5.4116,22.56,28.37,18.32,312.17,48.53,20.34,0,73.317,23.55053,87.29004,108.6,NaN,18.86,13.832258,291.2,21 / 35,15509,2020-02-14 12:48:51:101
-2.659,-8.6769,6.3881,-1.2491,-7.5984,6.0725,0,0,0,-0.0129,-0.0589,-0.0051,5.4116,26.07,30.92,15.74,309.92,49.61,19.49,0,71.132,23.55053,87.29004,108.6,NaN,18.86,13.832258,291.2,21 / 35,16010,2020-02-14 12:48:51:602
-2.7261,-7.5253,7.1135,-2.5115,-6.9357,6.4621,-0.0928,0.2303,0.1383,-0.0332,-0.0482,0.1143,5.4116,28.81,30.65,12.43,305.52,45.01,21.24,0,70.885,23.550528,87.28998,106.07,NaN,15.84,13.832258,288.6,21 / 35,16509,2020-02-14 12:48:52:101
-2.2736,-7.0058,6.7568,-2.5397,-6.9671,6.4171,-0.0203,0.0528,-0.0385,0.0105,0.0029,0.0216,0,27.71,31.21,13.07,306.83,45.27,21.59,0,68.327,23.550528,87.28998,106.07,NaN,15.84,13.832258,288.6,21 / 35,17011,2020-02-14 12:48:52:603
-2.3598,-6.7687,6.4934,-2.44,-6.8948,6.5329,-0.082,0.6796,-0.1371,-0.0001,-0.094,-0.0541,0,28.11,31.5,12.56,307.31,44.97,20.86,0,70.603,23.550545,87.28992,98.98,NaN,16.42,13.832258,285.5,21 / 35,17510,2020-02-14 12:48:53:102
-2.4244,-8.1334,6.2109,-2.4672,-7.025,6.3822,0.2407,-0.2537,0.1938,0.0041,0.1318,0.094,0,28.88,31.43,13.11,306.35,45.44,20.15,0,74.959,23.550545,87.28992,98.98,NaN,16.42,13.832258,285.5,21 / 35,18010,2020-02-14 12:48:53:602
-2.5513,-6.9244,5.6435,-2.5636,-7.0496,6.3168,0.5193,0.337,-0.6999,0.002,-0.0056,0.0067,0,29.15,31.41,14.86,306.09,45.96,22.09,0,74.195,23.550562,87.289856,97.54,NaN,19.3,13.832258,282.9,20 / 35,18509,2020-02-14 12:48:54:101
-3.169,-8.1502,7.1303,-2.4707,-7.0112,6.396,-0.0563,-0.443,0.1478,0.0094,0.0082,-0.0317,0,27.68,31.11,14.07,307.25,45.89,21.14,0,73.919,23.550562,87.289856,97.54,NaN,19.3,13.832258,282.9,20 / 35,19011,2020-02-14 12:48:54:603
-3.4827,-7.7336,7.0297,-2.3944,-7.0425,6.3906,0.1437,0.0275,-0.5493,-0.0896,-0.0738,-0.1563,0,28.44,31.13,14.49,307.5,45.57,20.9,0,72.193,23.550566,87.2898,99.16,NaN,20.41,13.832258,281.1,18 / 35,19510,2020-02-14 12:48:55:102
-1.857,-10.135,6.1678,-2.1236,-7.3541,6.1301,-0.2798,-0.608,0.1191,-0.1109,-0.1643,-0.1116,0,27.22,31.75,15.02,309.85,48.01,19.06,0,68.059,23.550566,87.2898,99.16,NaN,20.41,13.832258,281.1,18 / 35,20010,2020-02-14 12:48:55:602
-1.347,-7.633,5.598,-2.2487,-7.4754,5.9357,0.7142,-0.3388,-0.6375,-0.0182,0.0477,-0.0509,0,26.45,32.3,15.78,309.93,49.67,20.75,0,70.87,23.550585,87.289734,97.97,NaN,21.85,13.832258,288.9,17 / 35,20511,2020-02-14 12:48:56:103
-1.8857,-6.7759,4.9084,-2.0192,-7.459,6.0379,-0.3758,-1.3958,-0.0261,0.0808,-0.093,0.077,0,26.46,32.05,15.07,310.72,49.52,18.49,0,68.974,23.550585,87.289734,97.97,NaN,21.85,13.832258,288.9,17 / 35,21010,2020-02-14 12:48:56:602
-2.1132,-8.1454,5.6387,-2.0393,-7.4724,6.0145,0.2061,-0.5765,0.1114,0.0499,-0.0567,0.0727,0,27.64,32.2,14.74,308.42,49.59,18.45,0,69.335,23.5506,87.28967,97.96,NaN,21.24,13.832258,288.7,19 / 35,21511,2020-02-14 12:48:57:103
-2.2808,-8.9235,6.3186,-2.0824,-7.6307,5.7971,0.4636,-0.9499,-0.3274,0.0499,0.1425,0.0226,0,28.06,31.06,15.14,306.35,50.74,19.96,0,67.008,23.5506,87.28967,97.96,NaN,21.24,13.832258,288.7,19 / 35,22009,2020-02-14 12:48:57:601
-2.6279,-9.0983,5.8278,-2.053,-7.8076,5.5674,0.0367,-0.0328,-0.274,-0.014,-0.0344,-0.0029,0,27.26,30.65,15.5,306.43,52.76,20.24,0,67.095,23.550615,87.28964,92.48,NaN,18.94,13.832258,290.5,19 / 35,22510,2020-02-14 12:48:58:102
-2.185,-6.7544,5.5884,-2.174,-7.7736,5.5692,0.3104,-0.0183,-0.2444,-0.0768,0.0423,-0.0796,0,27,31.25,15.88,306.52,52.44,21.32,0,65.694,23.550615,87.28964,92.48,NaN,18.94,13.832258,290.5,19 / 35,23010,2020-02-14 12:48:58:602
-2.3933,-8.3417,5.2293,-2.1411,-7.8131,5.5265,0.1168,-0.5517,-0.0876,-0.0055,0.0594,0.0716,0,26.65,31.52,16.7,307.92,52.43,21.08,0,65.559,23.550646,87.289604,85.61,NaN,18.22,13.832258,293.1,19 / 35,23510,2020-02-14 12:48:59:102
-1.3039,-5.3801,4.6642,-2.3879,-7.8851,5.3191,0.4946,-0.6489,0.1986,-0.0694,0.0849,-0.0509,0,26.57,32.88,18.61,307.62,52.52,24.33,0,65.576,23.550646,87.289604,85.61,NaN,18.22,13.832258,293.1,19 / 35,24011,2020-02-14 12:48:59:603
-2.8003,-7.7264,7.1231,-2.7146,-7.5421,5.6496,0.252,0.9109,0.8865,0.0063,0.2309,-0.1286,0,24.46,32.4,20.52,310.68,50.89,26.39,0,61.007,23.550648,87.28957,86.41,NaN,15.73,13.832258,291,20 / 35,24511,2020-02-14 12:49:00:103
