,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.6354,1.7379,9.2898,0.7138,1.6538,9.6398,0.394,-0.5622,-0.3746,-0.2324,0.0444,-0.0636,19294.455,-5.21,-31.12,-21.79,171.42,-10.98,-2.71,2,53.412,23.548405,87.29086,127.01,NaN,0,10.374194,,21 / 30,14,2020-02-14 12:32:45:237
0.9035,1.7043,9.5245,0.7762,1.3365,9.6841,0.1275,0.2188,-0.0281,-0.0161,0.0711,0.0642,21200.172,-7.1,-30.78,-22.12,169.31,-7.83,-4.58,2,51.936,23.548405,87.29086,127.01,NaN,0,10.374194,,21 / 30,515,2020-02-14 12:32:45:738
1.301,0.2654,8.2651,-0.4918,0.5545,9.7786,-2.0106,0.5708,1.4343,0.0904,1.4772,1.4299,24924.19,-4.97,-28.97,-25.03,167.22,-3.24,2.88,2,51.54,23.548405,87.29086,127.01,NaN,0,10.374194,,21 / 30,1015,2020-02-14 12:32:46:238
-4.6438,-5.9475,8.0808,-3.1972,-6.0392,7.034,0.4015,0.4105,3.9506,-2.3267,1.6402,0.6053,32768,11.66,-12.83,-36.77,172.66,38.01,24.44,2,62.571,23.548405,87.29086,127.01,NaN,0,10.374194,,21 / 30,1514,2020-02-14 12:32:46:737
-4.9886,-7.7695,1.9899,-3.5632,-8.5187,3.3022,-2.2392,0.5654,-0.3024,-0.0715,-0.1611,-0.641,32768,18.17,1.77,-35.22,156.66,60.3,47.18,2,59.588,23.548405,87.29086,127.01,NaN,0,10.374194,,21 / 30,2014,2020-02-14 12:32:47:237
-1.3183,-8.1406,4.5421,-1.2481,-8.8453,4.0463,0.6736,0.8919,0.4677,0.9937,-0.6853,-1.4336,29.7638,15.51,5.51,-36.3,174.19,66.93,28.96,0,58.766,23.548405,87.29086,127.01,NaN,0,10.374194,,21 / 30,2515,2020-02-14 12:32:47:738
0.542,-9.6992,5.0641,1.0417,-8.5362,4.7137,-0.3545,-0.494,0.0902,-0.0012,-0.0365,-0.0455,29.7638,10.65,2.56,-39.52,212.42,60.43,-12.4,0,54.739,23.548405,87.29086,127.01,NaN,0,10.374194,,21 / 30,3015,2020-02-14 12:32:48:238
1.0999,-9.3473,4.8079,0.9437,-8.6495,4.5238,-0.1438,-0.1695,-0.0698,-0.0736,0.0679,-0.0498,5.4116,11.1,1.97,-39.81,210.96,61.5,-11.72,0,53.038,23.548405,87.29086,127.01,NaN,0,10.374194,,13 / 16,3514,2020-02-14 12:32:48:737
0.9346,-9.4191,4.6882,0.9662,-8.7408,4.34,0.018,-0.0508,-0.0473,-0.0097,-0.0173,0.0013,5.4116,9.16,3.69,-39.61,209.22,63.04,-12.55,0,52.951,23.548405,87.29086,127.01,NaN,0,10.374194,,13 / 16,4015,2020-02-14 12:32:49:238
0.5252,-9.0504,5.6028,0.5851,-8.5902,4.6944,-0.5069,0.2636,0.5376,0.149,0.0903,0.0876,29.7638,12.51,2.15,-38.71,211.34,62.16,-9.16,0,58.174,23.548405,87.29086,127.01,NaN,0,10.374194,,11 / 21,4515,2020-02-14 12:32:49:738
0.1158,-8.8708,6.0553,0.6923,-8.4543,4.921,-0.3909,0.1951,0.6702,-0.0704,0.0796,-0.1276,32.4696,11.45,2.81,-39.42,207.61,59.55,-7.5,0,60.617,23.548405,87.29086,127.01,NaN,0,10.374194,,11 / 21,5014,2020-02-14 12:32:50:237
-0.0159,-10.0703,6.1965,0.2884,-8.3675,5.1061,-0.3618,0.8214,0.2574,-0.0321,0.0264,-0.102,32.4696,13.27,2.43,-36.21,207.37,58.57,-3.23,0,56.743,23.548405,87.29086,127.01,NaN,0,10.374194,,13 / 22,5515,2020-02-14 12:32:50:738
-0.9232,-8.2484,5.9404,0.2255,-8.2831,5.2449,-0.4167,0.6908,0.3377,-0.1088,-0.1281,0.0961,32.4696,14.52,0.99,-36.9,208.81,57.63,-2.46,0,57.295,23.548405,87.29086,127.01,NaN,0,10.374194,,13 / 22,6014,2020-02-14 12:32:51:237
0.4343,-9.4143,5.586,-0.1044,-8.2527,5.2964,-0.7788,-0.5372,0.6499,0.0936,0.005,0.2858,32.4696,13.64,1.63,-37.35,204.42,58.08,0.3,0,58.508,23.548405,87.29086,127.01,NaN,0,10.374194,,13 / 21,6514,2020-02-14 12:32:51:737
0.858,-8.4351,8.3417,-1.1225,-7.1456,6.622,0.4332,0.7239,-0.5944,0.3631,0.1808,0.3731,29.7638,16.1,-6.63,-37.35,196.06,46.77,9.62,0,59.963,23.548405,87.29086,127.01,NaN,0,10.374194,,13 / 21,7014,2020-02-14 12:32:52:237
-1.9192,-4.8917,6.0625,-1.5675,-6.7506,6.9385,0.4598,2.1415,-1.1902,0.2534,0.0913,-0.0605,27.058,16.56,-6.83,-36.37,195.93,43.7,12.08,0,61.723,23.548405,87.29086,127.01,NaN,0,10.374194,,19 / 29,7514,2020-02-14 12:32:52:737
0.0368,-5.0497,2.847,-1.4984,-7.0669,6.6321,0.4326,2.0947,1.2435,-0.4699,0.0583,0.0408,29.7638,14.7,-3.99,-37.48,191.74,46.11,12.73,0,62.179,23.548405,87.29086,127.01,NaN,0,10.374194,,19 / 29,8015,2020-02-14 12:32:53:238
0.3457,-5.9427,3.5557,-1.1743,-7.6185,6.0622,0.9733,1.8524,0.25,0.2353,-0.1995,0.1089,29.7638,14.82,-2.38,-37.67,194.02,51.15,10.11,0,59.883,23.548405,87.29086,127.01,NaN,0,10.374194,,18 / 30,8515,2020-02-14 12:32:53:738
-0.1739,-8.1023,6.7472,-1.4592,-7.3965,6.2716,0.6156,-0.1514,-0.3464,0.0648,0.0498,0.0216,29.7638,15.46,-5.52,-36.77,190.47,48.96,13.1,0,57.143,23.548405,87.29086,127.01,NaN,0,10.374194,,18 / 30,9014,2020-02-14 12:32:54:237
-1.8043,-7.1781,6.91,-1.5955,-7.3428,6.3015,0.1254,0.7895,-0.9388,0.0158,0.0444,-0.1382,29.7638,16.73,-4.62,-36.63,191.58,48.34,15.03,0,58.12,23.54836,87.29086,135.91,NaN,10.87,10.374194,176.7,15 / 31,9515,2020-02-14 12:32:54:738
-0.9304,-6.558,6.6012,-1.2402,-7.2905,6.4406,0.8391,0.9949,-0.9057,0.0084,-0.1484,-0.0636,29.7638,17.51,-4.74,-36.78,197.99,48.02,10.9,0,59.331,23.54836,87.29086,135.91,NaN,10.87,10.374194,176.7,15 / 31,10015,2020-02-14 12:32:55:238
-0.7365,-9.4981,5.2388,-0.9669,-7.6313,6.0827,0.2862,-0.9896,-0.2044,0.0148,0.07,0.1153,29.7638,15.76,-2.3,-35.6,199.93,51.09,7.57,0,60.55,23.54836,87.29086,135.91,NaN,10.87,10.374194,176.7,17 / 31,10514,2020-02-14 12:32:55:737
-1.9839,-8.3154,5.1646,-1.0961,-7.5638,6.1447,0.5414,0.4567,-0.5509,-0.0779,-0.0365,-0.0636,29.7638,15.54,-4.6,-35.44,196.52,49.92,10.39,0,60.064,23.548311,87.29086,137.65,NaN,13.28,10.374194,176,17 / 31,11014,2020-02-14 12:32:56:237
-1.0932,-8.5237,6.3426,-0.965,-7.7666,5.9093,-0.2073,-0.5335,0.0042,0.2129,-0.078,-0.183,29.7638,14.96,-4.58,-34.47,196.19,51.49,9.65,0,58.776,23.548311,87.29086,137.65,NaN,13.28,10.374194,176,17 / 31,11514,2020-02-14 12:32:56:737
-1.0406,-8.4088,7.1087,-0.94,-7.6472,6.0669,-0.0684,-0.3547,0.3852,0.0414,-0.0216,0.0855,24.3522,13.89,-4.74,-33.93,195.55,51.24,8.81,0,55.944,23.548285,87.29086,135.81,NaN,13.18,10.374194,175.9,18 / 31,12014,2020-02-14 12:32:57:237
-1.2704,-7.9084,6.8071,-1.1294,-7.6915,5.978,-0.6908,-0.5377,-0.3213,-0.0875,0.0956,0.2091,24.3522,11.48,-5.21,-35.31,189.58,51.32,9.12,0,57.443,23.548252,87.29086,136.84,NaN,12.1,10.374194,178.4,20 / 31,12516,2020-02-14 12:32:57:739
-1.1292,-8.2029,6.412,-1.1412,-7.7986,5.8352,0.3527,-0.9515,-0.1411,0.0148,0.0583,0.0269,24.3522,11.43,-4.8,-34.52,188.15,53.32,10.23,0,56.006,23.548252,87.29086,136.84,NaN,12.1,10.374194,178.4,20 / 31,13014,2020-02-14 12:32:58:237
-2.659,-10.6952,8.2316,-1.0023,-7.6188,6.0926,-0.4422,-1.2277,1.4887,0.3056,-0.0759,0.1547,24.3522,12.17,-6.36,-38.15,189.36,50.98,9.34,0,56.839,23.54822,87.29086,144.5,NaN,12.42,10.374194,177.6,20 / 31,13514,2020-02-14 12:32:58:737
-0.9903,-7.8773,6.1726,-0.7812,-7.734,5.9787,-0.4736,-0.1088,0.1885,-0.194,-0.1952,-0.0146,24.3522,11.22,-6.65,-38.19,189.66,52.06,7.44,0,59.014,23.54822,87.29086,144.5,NaN,12.42,10.374194,177.6,20 / 31,14015,2020-02-14 12:32:59:238
-0.0111,-10.2667,8.5069,-1.0256,-7.6667,6.0283,1.2543,3.735,-2.1033,0.3493,0.3928,-0.1521,24.3522,12.05,-4.73,-39.14,188.54,54.24,9.55,0,61.442,23.548187,87.29086,142.49,NaN,11.92,10.374194,177.4,20 / 31,14515,2020-02-14 12:32:59:738
-1.0118,-8.4399,8.7679,-1.0873,-7.7421,5.9201,0.6723,1.5089,-0.9842,0.2353,0.1521,-0.2149,27.058,12.65,-6.14,-39.85,188.33,53.48,10.58,0,58.603,23.548187,87.29086,142.49,NaN,11.92,10.374194,177.4,20 / 31,15015,2020-02-14 12:33:00:238
-1.7014,-7.1446,2.9021,-0.8614,-7.6837,6.0323,-0.6842,-0.8703,1.8228,0.2811,0.2256,0.1387,27.058,11.89,-4.9,-37.29,191.35,51.58,8.13,0,58.23,23.548153,87.29086,142.73,NaN,12.13,10.374194,175.6,20 / 31,15515,2020-02-14 12:33:00:738
0.3289,-7.4439,5.4783,-1.0303,-7.6674,6.0266,0.5583,-0.862,-0.1104,0.1948,0.2447,0.1494,27.058,11.68,-4.39,-38.2,189.24,51.43,9.7,0,59.574,23.548153,87.29086,142.73,NaN,12.13,10.374194,175.6,20 / 31,16015,2020-02-14 12:33:01:238
-1.7397,-11.0065,6.8166,-0.8408,-7.7652,5.9301,-0.9512,-1.1994,-0.414,0.3067,-0.0855,-0.0519,27.058,13.97,-4.27,-39.48,193.08,53.5,8.42,0,57.994,23.548153,87.29086,142.73,NaN,12.13,10.374194,175.6,20 / 31,16515,2020-02-14 12:33:01:738
0.0871,-7.0345,4.3291,-0.6718,-7.8336,5.8613,0.9442,1.0002,-0.6776,0.2683,0.005,-0.0157,27.058,11.94,-3.81,-40.06,190.74,53.32,7.44,0,57.882,23.548119,87.29087,128.46,NaN,12.06,10.374194,174.2,20 / 31,17014,2020-02-14 12:33:02:237
0.4343,-9.2348,6.2372,-0.7146,-7.8749,5.8005,-0.4254,-1.274,-0.4363,0.0169,0.0317,-0.037,21.6464,14.41,-5.29,-37.01,195.48,53.42,7.02,0,62.975,23.548119,87.29087,128.46,NaN,12.06,10.374194,174.2,20 / 31,17515,2020-02-14 12:33:02:738
-0.4061,-7.1063,5.8661,-0.6715,-7.9482,5.7048,-0.2123,-0.0045,-0.4144,-0.0374,-0.1643,0.1292,21.6464,11.58,-3.59,-39.09,191.92,54.14,6.71,0,56.526,23.548084,87.29087,130.02,NaN,11.3,10.374194,174.7,20 / 31,18014,2020-02-14 12:33:03:237
-0.1667,-11.2938,3.8167,-0.7902,-8.0303,5.5732,0.4294,-1.5043,-0.1257,-0.1418,-0.1803,0.1675,21.6464,12.03,-2.88,-38.57,190.91,54.23,7.75,0,56.124,23.548054,87.29088,131.33,NaN,10.51,10.374194,174.3,20 / 31,18514,2020-02-14 12:33:03:737
-1.4117,-13.6497,3.424,-0.9964,-7.923,5.6924,-1.0974,-3.1407,2.9184,-0.3815,0.069,0.094,10.8232,10.72,-4.17,-38.41,186.44,54.78,10.5,0,56.718,23.548054,87.29088,131.33,NaN,10.51,10.374194,174.3,20 / 31,19015,2020-02-14 12:33:04:238
-2.3334,-7.1398,7.3362,-1.3242,-7.5335,6.137,-0.8858,0.8609,0.5831,0.0148,-0.061,0.0269,21.6464,10.3,-6.17,-37.98,182.96,50.19,12.18,0,58.317,23.548025,87.29088,132.14,NaN,9.5,10.374194,170.9,20 / 31,19514,2020-02-14 12:33:04:737
-0.0781,-9.0384,5.3657,-0.9401,-7.862,5.7858,0.281,0.1808,-0.6552,-0.0577,-0.0855,0.1079,21.6464,6.02,-6.24,-40.22,179.22,53.29,9.23,0,60.35,23.548025,87.29088,132.14,NaN,9.5,10.374194,170.9,20 / 31,20015,2020-02-14 12:33:05:238
-1.4787,-8.5117,7.9898,-1.2678,-7.6767,5.9692,-0.0889,1.2445,0.2011,0.5847,0.3065,0.1952,8.1174,6.76,-12.15,-32.51,182.54,55.05,9.37,0,59.791,23.548,87.29088,134.58,NaN,9.47,10.374194,171.5,20 / 31,20515,2020-02-14 12:33:05:738
-0.2026,-9.3138,5.076,-0.7061,-8.1947,5.3402,0.2962,-0.0124,-0.1157,0.1447,0.1126,-0.1851,5.4116,11.87,0.25,-28.78,196.49,56.9,8.55,0,60.751,23.548,87.29088,134.58,NaN,9.47,10.374194,171.5,20 / 31,21015,2020-02-14 12:33:06:238
-1.3566,-6.7233,5.9404,-0.7133,-8.1015,5.4797,-0.0996,0.2514,-0.0202,0.1522,0.1403,-0.119,10.8232,15.18,-0.66,-38.73,196.09,55.7,7.42,0,58.701,23.547977,87.29088,133.87,NaN,6.84,10.374194,175.9,20 / 31,21515,2020-02-14 12:33:06:738
-1.2656,-9.4311,7.633,-1.0016,-7.4225,6.3304,-0.4195,0.3467,0.1387,0.279,0.1148,0.0663,18.9406,16.74,-5.71,-37.04,198.14,49.19,8.99,0,60.223,23.547977,87.29088,133.87,NaN,6.84,10.374194,175.9,20 / 31,22015,2020-02-14 12:33:07:238
0.0129,-9.4957,5.6147,-0.2925,-7.827,5.9012,0.5109,-0.773,-1.0461,-0.3985,-0.2815,-0.1233,21.6464,13.24,-4.07,-36.6,196.64,50.06,5.36,0,60.475,23.547977,87.29088,133.87,NaN,6.84,10.374194,175.9,20 / 31,22514,2020-02-14 12:33:07:737
-0.7245,-9.4311,5.3035,-0.1897,-7.8648,5.8548,-0.3609,-0.0916,-1.2792,-0.0715,-0.2996,0.1441,18.9406,8.26,-4.46,-39.57,190.89,52.46,1.98,0,58.853,23.547956,87.29088,134.75,NaN,9.43,10.374194,174.9,20 / 31,23015,2020-02-14 12:33:08:238
-1.1579,-9.2467,5.8206,-0.2605,-7.8893,5.8191,-0.6133,-0.5496,-0.5047,0.1085,-0.3018,0.143,18.9406,2.44,-5.5,-39.94,180.34,53.56,2.56,0,57.827,23.547956,87.29088,134.75,NaN,9.43,10.374194,174.9,20 / 31,23515,2020-02-14 12:33:08:738
0.1039,-7.1614,6.9579,-0.4335,-7.9571,5.7155,-0.8888,0.2231,-1.1189,-0.0396,-0.2197,0.3955,5.4116,-4.8,-5.63,-41.93,167.62,54.23,4.34,0,54.921,23.547928,87.29088,133.86,NaN,9.61,10.374194,172.6,20 / 31,24014,2020-02-14 12:33:09:237
-1.4979,-5.9787,6.7161,-0.9173,-7.6293,6.0929,-0.8134,-0.3194,0.7051,-0.0023,-0.2421,0.257,5.4116,-8.73,-7.36,-40.98,157.86,51.73,7.63,0,57.797,23.547928,87.29088,133.86,NaN,9.61,10.374194,172.6,20 / 31,24514,2020-02-14 12:33:09:737
-0.9424,-4.8342,5.076,-1.0227,-7.558,6.1645,0.6103,-0.6643,-0.7233,-0.2665,-0.3369,-0.0178,5.4116,-14.98,-5.25,-40.55,144.07,48.32,11.11,0,58.234,23.5479,87.290886,135.85,NaN,10.58,10.374194,164,20 / 31,25014,2020-02-14 12:33:10:237
-0.6599,-7.7025,6.8094,-0.9209,-7.7925,5.8821,-0.4057,-0.2481,0.8441,0.0233,-0.0216,0.1665,0,-18.2,-5.77,-40.42,143.87,52.62,8.9,0,58.514,23.547876,87.29089,138,NaN,10.12,10.374194,142.9,21 / 31,25515,2020-02-14 12:33:10:738
-2.2784,-7.748,5.5836,-0.9073,-7.524,6.2239,-1.3074,0.0846,0.0527,0.2577,-0.3241,0.3401,0,-25.3,-6.02,-36.62,134.13,50.11,8.29,0,56.612,23.547876,87.29089,138,NaN,10.12,10.374194,142.9,21 / 31,26015,2020-02-14 12:33:11:238
-1.1387,-9.534,9.3042,-1.2378,-7.2217,6.5181,-1.3344,0.3005,-0.3385,0.1543,-0.2922,0.3369,5.4116,-29.39,-4.55,-34.9,126.45,47.7,9.46,0,58.318,23.54786,87.29092,138.81,NaN,8.17,10.374194,118.8,20 / 31,26514,2020-02-14 12:33:11:737
-1.7325,-7.8006,6.8334,-1.8796,-7.2102,6.3758,0.2984,0.4273,0.4399,-0.1929,-0.0589,0.3092,16.2348,-35.31,-0.07,-29.18,108.5,46.86,15.01,0,58.881,23.54786,87.29092,138.81,NaN,8.17,10.374194,118.8,20 / 31,27015,2020-02-14 12:33:12:238
