,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,k
0,0.3457,2.7841,9.1151,0.1172,3.0173,9.3302,-0.1416,0.1601,-0.2836,-0.1344,-0.1295,0.1431,2325.3252,3.34,-55.12,-15.21,183.82,-17.92,-0.72,2,45.169,23.54794,87.29186999999999,123.23,,,68.00968,,16 / 39,9,2020-02-12 14:38:38:570,0.0
1,0.1422,3.2965,9.2946,0.3648,2.4992,9.4758,-0.4411,1.1625,0.3401,-0.0364,-0.0517,-0.2926,2070.5635,4.57,-54.71,-16.11,186.63,-14.54,-2.64,2,44.318999999999996,23.54794,87.29186999999999,123.23,,,68.00968,,16 / 39,510,2020-02-12 14:38:39:071,-0.2897029989802081
2,0.6473,1.8959,9.0911,0.5222,2.5476,9.4555,0.0864,-0.6769,-0.4037,-0.1035,-0.0688,0.1059,2542.6220000000003,5.34,-53.32,-18.45,187.2,-16.33,-2.55,2,44.288000000000004,23.547787,87.29189000000001,114.72,,0.83,17.290323,219.5,0 / 39,1008,2020-02-12 14:38:39:569,-0.09278573965238793
3,0.7,1.7642,10.9059,0.6779999999999999,2.7538,9.3876,0.0788,-0.9298,1.1738,0.6326,-0.1934,0.059000000000000004,2185.456,1.3,-54.8,-16.66,182.65,-16.31,-4.13,2,37.044000000000004,23.547787,87.29189000000001,114.72,,0.83,17.290323,219.5,0 / 39,1509,2020-02-12 14:38:40:070,-0.04227388678141942
4,0.9299,3.2749,12.0384,0.1027,2.8228,9.391,0.7235,0.1983,3.4834,0.7764,0.3158,-0.5045,2095.54,3.22,-55.9,-16.4,183.7,-16.73,-0.63,2,38.23,23.547789,87.2919,111.32,,2.45,17.290323,192.5,19 / 33,2009,2020-02-12 14:38:40:570,-0.15794752805126278
5,-0.1834,2.6884,8.811,0.1981,2.5301,9.4726,-0.5785,0.6827,-1.3509,-0.1802,0.0122,-0.087,2190.4514,7.09,-55.53,-17.59,188.47,-14.95,-1.2,2,45.648,23.547789,87.2919,111.32,,2.45,17.290323,192.5,19 / 33,2510,2020-02-12 14:38:41:071,-0.14370116853028198
6,0.4271,2.0012,8.1071,0.4682,2.5018,9.4706,-0.023,0.2434,-1.278,-0.1333,-0.0411,0.0888,2372.7808,0.04,-54.98,-17.88,180.83,-14.82,-2.25,2,38.345,23.54778,87.29191,100.71,,2.88,20.748388000000002,192.4,22 / 33,3008,2020-02-12 14:38:41:569,-0.10466056503657645
7,0.8293,1.2207,8.7703,0.6711,2.1087,9.5537,0.0534,-0.6047,-1.0105,-0.2643,-0.0912,-0.1104,2540.1243,3.85,-53.08,-16.62,186.08,-15.13,-3.33,2,38.846,23.54778,87.29191,100.71,,2.88,20.748388000000002,192.4,22 / 33,3509,2020-02-12 14:38:42:070,-0.10548994975858418
8,1.7008,0.9933,8.2077,0.5157,2.1788,9.5476,0.2889,-1.0646,-1.5556,0.4451,0.5075,0.0803,2627.5425,-0.52,-52.04,-17.06,179.9,-12.84,-3.09,2,42.048,23.547775,87.29191999999999,96.39,,1.98,17.290323,192.5,22 / 33,4008,2020-02-12 14:38:42:569,-0.08189024180485369
9,0.5085,1.0842,13.202,0.2744,1.962,9.6045,0.2703,0.0462,1.8869,-0.2974,0.1965,-0.2372,2879.8066,1.64,-52.67,-18.61,183.2,-12.61,-1.99,2,39.299,23.547775,87.29191999999999,96.39,,1.98,17.290323,192.5,22 / 33,4509,2020-02-12 14:38:43:070,-0.09951692455396358
