,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1206,1.4194,9.9147,0.5152,1.3722,9.6965,-0.2833,0.1038,-0.0713,-0.0918,0.0665,-0.0145,4568.2275,26.33,-40.62,-20.25,215.8,-8.31,-4.14,2,40.436,23.547112,87.29254,117.97,NaN,0,65.703224,,18 / 41,12,2020-02-12 14:28:49:727
0.7766,1.5894,9.8956,0.5459,0.9444,9.7458,0.2541,0.6728,0.0546,-0.1013,-0.0283,-0.0454,4997.8257,25.73,-39.59,-23.29,215.89,-6.18,-2.78,2,42.642,23.547094,87.29255,118.47,NaN,0,48.412903,,19 / 41,511,2020-02-12 14:28:50:226
0.4271,0.3588,11.4374,0.6215,1.3706,9.6905,-0.0478,-0.3605,-1.3002,0.1532,-0.1178,0.2454,6234.1694,20.94,-42.56,-19.58,208.56,-7.21,-2.7,2,41.782,23.547094,87.29255,118.47,NaN,0,48.412903,,19 / 41,1011,2020-02-12 14:28:50:726
0.4151,1.836,11.2459,0.7808,1.2272,9.6982,-0.3085,0.914,0.6897,0.1863,-0.186,-0.1871,6708.7256,20.95,-42.83,-21.51,208.95,-6.27,-3.76,2,41.091,23.547071,87.29256,129.61,NaN,1.84,41.496777,191.7,18 / 34,1511,2020-02-12 14:28:51:226
0.3577,1.4434,8.2316,0.3955,1.197,9.7253,0.0697,0.5097,-0.4655,-0.1003,0.075,-0.0454,6878.5674,25.54,-40.23,-20.2,215.88,-7.48,-2.74,2,39.564,23.547071,87.29256,129.61,NaN,1.84,41.496777,191.7,18 / 34,2010,2020-02-12 14:28:51:725
0.6282,0.7179,8.131,0.6468,1.5978,9.654,-0.3189,-1.0895,-0.6106,-0.0758,0.3254,0.1644,6873.5713,22.48,-42.32,-19.98,211.22,-9.38,-3.83,2,41.105,23.547071,87.29256,129.61,NaN,1.84,41.496777,191.7,18 / 34,2510,2020-02-12 14:28:52:225
0.7407,2.9493,10.8221,0.5499,1.6996,9.6426,-0.1024,0.6849,0.5102,-0.3634,0.0953,-0.479,6586.34,24.56,-40.46,-19.58,215.8,-9.98,-3.26,2,40.645,23.547071,87.29256,129.61,NaN,1.84,41.496777,191.7,18 / 34,3010,2020-02-12 14:28:52:725
0.8676,2.7267,10.4965,0.4586,1.5023,9.68,0.3041,0.7107,1.1588,0.0979,-0.1561,0.1698,6666.265,26.9,-40.83,-20.3,216.5,-9.13,-2.12,2,41.332,23.54707,87.29254,100.28,NaN,3.1,34.580647,208.2,18 / 34,3511,2020-02-12 14:28:53:226
0.3768,1.2758,8.9427,0.4632,0.9851,9.746,-0.2911,-0.7703,0.6337,-0.1823,0.0345,0.1815,6973.4785,21.67,-41.01,-21.14,210.89,-6.83,-2.6,2,41.928,23.54707,87.29254,100.28,NaN,3.1,34.580647,208.2,18 / 34,4012,2020-02-12 14:28:53:727
0.8006,0.2702,7.3386,0.4739,1.2554,9.7144,0.0214,-0.746,-0.3322,0.0457,-0.0688,0.0419,6778.66,23.14,-40.61,-20.48,211.66,-6.86,-2.03,2,41.033,23.547064,87.29253,86.28,NaN,3.24,34.580647,215.2,18 / 34,4511,2020-02-12 14:28:54:226
