,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,k
0,0.7671,1.7953,9.5125,0.6295,1.0589,9.729,0.1345,0.6889,-0.2467,-0.046,0.0377,0.1165,541.1605,-17.03,16.4,-25.0,39.38,-6.08,-3.76,2,48.068999999999996,23.547209,87.292496,115.21,,0.65,17.290323,26.4,21 / 33,11,2020-02-12 14:30:53:679,0.0
1,0.5133,1.7522,9.9937,0.5303,0.6724,9.7692,0.0611,1.1632,0.0008,0.0031,-0.138,-0.1008,541.1605,-16.15,18.36,-21.7,37.13,-3.93,-3.11,2,46.619,23.547209,87.292496,115.21,,0.65,17.290323,26.4,21 / 33,509,2020-02-12 14:30:54:177,-0.09980199007930614
2,1.0496,0.8592,9.1917,0.5955,1.1569,9.7199,0.244,-0.0981,-0.6573,-0.3368,-0.1231,-0.2798,541.1605,-18.6,13.16,-23.61,49.36,-4.79,-3.42,2,45.55,23.547209,87.292496,115.21,,0.65,17.290323,26.4,21 / 33,1010,2020-02-12 14:30:54:678,-0.18939866879361011
3,0.609,1.6181,11.0328,0.746,1.1133,9.7146,0.08800000000000001,-0.4504,2.546,-0.6617,-0.5332,0.1112,759.2899,-18.8,15.1,-21.45,45.61,-6.37,-3.37,2,44.516999999999996,23.547209,87.29251,118.4,,1.91,17.290323,26.5,21 / 33,1510,2020-02-12 14:30:55:178,-0.08936426657581949
4,0.1254,1.1202,11.5883,0.4773,1.0393,9.7397,-0.2399,0.1753,1.5862,0.1309,-0.0848,-0.1189,511.3967,-17.45,14.01,-24.7,44.41,-4.41,-3.1,2,44.427,23.547209,87.29251,118.4,,1.91,17.290323,26.5,21 / 33,2011,2020-02-12 14:30:55:679,-0.09675568331980332
5,0.7551,1.994,8.4519,0.664,1.1842,9.7122,0.0394,0.7509,-2.1609,0.2608,0.0249,0.1666,495.1619,-19.58,12.32,-25.93,50.08,-6.94,-3.91,2,43.20399999999999,23.547213,87.29252,116.24,,2.77,17.290323,26.5,21 / 33,2511,2020-02-12 14:30:56:179,-0.04387350617394707
6,0.1829,1.2231,9.1031,0.6913,1.3229,9.6924,-0.1551,0.1311,-0.7345,-0.0353,0.1251,-0.0902,489.7503,-18.56,11.93,-28.03,46.57,-7.82,-4.43,2,44.14,23.547213,87.29252,116.24,,2.77,17.290323,26.5,21 / 33,3010,2020-02-12 14:30:56:678,-0.05165245321386687
7,1.0472,1.089,9.2563,0.4097,1.1154,9.7344,-0.1944,-0.6845,0.1633,-0.35700000000000004,-0.0166,-0.3543,543.8664,-18.43,12.0,-30.72,47.04,-6.53,-2.41,2,45.66,23.54721,87.292534,112.77,,0.0,17.290323,,21 / 33,3511,2020-02-12 14:30:57:179,-0.09538694154890162
8,-0.1068,-0.2254,10.779000000000002,0.6642,1.1823,9.7124,-0.0596,-0.0661,-2.5186,0.6688,0.1134,0.3498,666.8763,-19.67,11.1,-32.66,50.94,-6.72,-2.8,2,44.405,23.54721,87.292534,112.77,,0.0,17.290323,,21 / 33,4010,2020-02-12 14:30:57:678,-0.03883769429941129
9,1.1621,2.1449,9.6729,0.4596,0.9095,9.7536,-0.2624,0.5275,1.042,0.0148,0.2114,-0.1328,904.1544,-21.59,13.85,-33.78,49.85,-5.32,-2.7,2,46.582,23.547209,87.29254,115.79,,0.0,17.290323,,21 / 33,4510,2020-02-12 14:30:58:178,-0.04950182623938953
