,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,k
0,0.0751,2.03,9.4191,-0.0167,2.3719,9.5155,0.0797,-0.1676,-0.4579,-0.3165,-0.5205,-0.2191,10777.42,29.31,7.73,-34.48,298.93,-14.0,0.1,2,45.745,23.546782999999998,87.29223,103.7,,1.98,10.374194000000001,297.3,15 / 22,7,2020-02-12 14:33:52:383,0.0
1,1.2890000000000001,2.4130000000000003,9.7687,0.5224,1.5381,9.6712,0.419,1.16,0.285,0.1437,0.1166,0.1964,12533.278,27.27,10.35,-33.58,296.38,-7.91,-3.37,2,48.916000000000004,23.546782999999998,87.29223,103.7,,1.98,10.374194000000001,297.3,15 / 22,507,2020-02-12 14:33:52:883,0.1944554647973782
2,0.396,1.0986,7.2763,0.5576,1.2759,9.7073,0.3457,-0.5431,0.9174,0.0158,0.0654,0.1453,12960.378999999999,30.27,7.56,-34.26,292.34,-8.55,-1.99,2,46.013000000000005,23.546782999999998,87.29223,103.7,,1.98,10.374194000000001,297.3,16 / 23,1007,2020-02-12 14:33:53:383,0.16998760324466758
3,0.0703,0.9095,7.6857,0.5058,1.4436,9.6866,-0.2787,-0.9899,1.5756,0.29600000000000004,0.2753,-0.0912,13137.713,30.92,7.49,-32.46,289.58,-9.65,-4.34,2,44.531000000000006,23.546782999999998,87.29223,103.7,,1.98,10.374194000000001,297.3,16 / 23,1508,2020-02-12 14:33:53:884,0.08306856976346141
4,0.5444,1.508,9.8932,0.3814,0.9927,9.7488,0.5505,0.7592,1.8869,-0.1951,0.1357,0.1122,13477.3955,32.24,7.74,-32.13,288.42,-5.81,-2.24,2,43.643,23.546782999999998,87.29222,103.93,,4.07,10.374194000000001,297.4,15 / 21,2007,2020-02-12 14:33:54:383,0.09035880827334268
5,0.6617,1.1585,8.2172,0.6512,1.0251,9.7312,-0.0572,0.1139,-1.5179,-0.1205,-0.1221,0.027000000000000003,13939.462,31.74,7.33,-32.72,286.61,-6.0,-3.83,2,45.341,23.546782999999998,87.29222,103.93,,4.07,10.374194000000001,297.4,15 / 21,2508,2020-02-12 14:33:54:884,0.07763627394021215
6,1.3776,0.8209,8.4782,0.7025,1.1715,9.711,0.2271,0.4217,-0.8617,-0.0832,0.0985,-0.1051,14096.816,29.72,8.47,-33.4,289.68,-7.07,-4.79,2,48.619,23.546787,87.29221,104.8,,3.13,10.374194000000001,296.9,17 / 24,3008,2020-02-12 14:33:55:384,0.046951979061548785
7,0.4869,0.0092,11.5859,0.9633,0.9401,9.7138,-0.3508,-0.9974,0.8331,0.0382,-0.1093,0.125,15015.957,29.65,7.23,-32.52,288.06,-6.86,-4.51,2,53.004,23.546787,87.29221,104.8,,3.13,10.374194000000001,296.9,17 / 24,3507,2020-02-12 14:33:55:883,0.05823041266377893
8,-0.4779,-0.2613,10.779000000000002,0.5604,0.8083,9.7572,-0.8261,-0.9442,0.8408,0.6539,0.0058,0.1474,14319.107,31.67,9.76,-31.69,290.23,-4.73,-3.29,2,48.571999999999996,23.546791,87.2922,105.11,,3.74,10.374194000000001,297.1,15 / 22,4007,2020-02-12 14:33:56:383,0.06955705450971253
9,1.0328,1.0412,12.5891,0.6327,0.5941,9.7682,0.4075,0.7845,1.7964,-0.4156,0.3328,0.1314,14354.075,32.07,9.61,-31.73,289.13,-3.47,-3.71,2,50.036,23.546791,87.2922,105.11,,3.74,10.374194000000001,297.1,15 / 22,4507,2020-02-12 14:33:56:883,0.07657584066388387
