,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.4654,1.5775,8.9547,0.1849,0.805,9.7718,0.3873,0.5817,0.0519,-0.4992,0.5956,-0.0725,0,27.24,-27.17,-14.31,226.57,-4.71,-1.08,2,26.457,23.547194,87.29255,91.35,NaN,0,38.038708,,9 / 28,6,2020-02-06 18:55:50:060
0.5228,2.2263,9.704,0.8004,0.7932,9.7417,-0.3764,1.1579,-0.5011,-0.611,-0.2428,0.1118,0,24.28,-26.2,-16.51,225.7,-4.64,-4.7,2,29.028,23.547194,87.29255,91.35,NaN,0,38.038708,,9 / 28,508,2020-02-06 18:55:50:562
0.3672,1.3692,8.8972,0.5315,0.5321,9.7778,-0.1178,0.6122,-0.2238,0.206,-0.2417,0.0809,0,22.39,-27.82,-18.42,220.21,-2.96,-2.98,2,27.914,23.547194,87.29255,91.35,NaN,0,38.038708,,11 / 29,1007,2020-02-06 18:55:51:061
1.1549,0.7538,8.1957,0.3895,0.9307,9.7546,0.1341,0.0961,-1.9525,-0.0358,-0.0957,0.0042,0,23.25,-28.24,-18.82,222.22,-5.45,-2.29,2,31.422,23.547194,87.29255,91.35,NaN,0,38.038708,,11 / 29,1507,2020-02-06 18:55:51:561
0.2667,0.6653,9.4718,0.3147,0.8448,9.7651,0.1174,0.1026,-0.592,-0.0582,0.1173,0.05,0,24.45,-29.73,-17.82,220.75,-4.43,-2.05,2,41.151,23.547184,87.29254,90.61,NaN,2.12,38.038708,252.8,12 / 29,2007,2020-02-06 18:55:52:061
0.8963,0.8472,8.2388,0.4489,0.7144,9.7703,0.6304,0.0478,-0.7673,0.0878,-0.1895,0.1277,0,27.91,-28.48,-18.92,227.28,-4.18,-2.63,2,36.298,23.547184,87.29254,90.61,NaN,2.12,38.038708,252.8,12 / 29,2506,2020-02-06 18:55:52:560
-0.1284,-0.1943,9.1869,0.4493,0.7156,9.7702,-0.3239,-0.6456,-1.7892,0.0132,0.0449,0.3142,0,27.44,-28.77,-21.26,225.56,-3.9,-3.29,2,30.4,23.54718,87.29254,89.75,NaN,2.84,34.580647,235.5,12 / 29,3006,2020-02-06 18:55:53:060
3.0655,0.7299,11.131,0.4632,0.682,9.7719,-0.5452,-0.3611,-3.7669,0.3403,0.1205,0.0542,0,28.93,-29.44,-22.11,227.34,-2.49,-4.12,2,30.896,23.54718,87.29254,89.75,NaN,2.84,34.580647,235.5,12 / 29,3506,2020-02-06 18:55:53:560
-0.0087,-0.5318,13.7502,0.4439,0.735,9.769,-0.2263,-1.0535,3.7164,0.0963,-0.2651,0.2407,0,26.93,-31.33,-20.39,223.38,-4.3,-2.6,2,33.905,23.547176,87.292534,88.62,NaN,3.6,31.122583,237.7,12 / 29,4007,2020-02-06 18:55:54:061
0.8556,1.6756,10.4151,0.5625,0.6271,9.7704,-0.1189,0.3545,2.7089,0.1283,-0.4377,-0.0619,0,25.67,-32.8,-20.89,220.6,-3.67,-3.29,2,32.198,23.547176,87.292534,88.62,NaN,3.6,31.122583,237.7,12 / 29,4507,2020-02-06 18:55:54:561
1.3656,0.8233,12.6561,0.3436,0.7714,9.7702,-0.5061,-0.0906,1.3496,-0.3,-0.2001,0.0596,0,28.31,-31.77,-19.73,223,-3.35,-2.26,2,30.833,23.547169,87.29253,85.84,NaN,3.67,31.122583,228.6,13 / 29,5006,2020-02-06 18:55:55:060
-0.2194,0.694,10.621,0.3,0.3723,9.795,-0.2765,0.3455,-0.6765,0.0271,0.1003,0.2971,6.5003,26.05,-32.77,-20.47,219.52,-2.18,-1.75,2,31.619,23.547169,87.29253,85.84,NaN,3.67,31.122583,228.6,13 / 29,5507,2020-02-06 18:55:55:561
0.8604,1.52,10.3169,0.3405,1.1245,9.736,0.3286,0.2712,0.1207,0.2156,0.1098,0.0564,6.5003,29.94,-30.53,-17.68,226.22,-5.1,-2.17,2,33.02,23.547157,87.29253,86.86,NaN,4.21,24.206451,225.7,14 / 29,6006,2020-02-06 18:55:56:060
-0.102,0.5695,8.7751,0.3817,0.7053,9.7738,-0.0224,0.7041,-0.5348,-0.0486,-0.181,0.0755,6.5003,26.78,-31.99,-19.4,222.09,-4.54,-1.57,2,34.198,23.547157,87.29253,86.86,NaN,4.21,24.206451,225.7,14 / 29,6506,2020-02-06 18:55:56:560
