,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,k
0,0.0632,2.4609,10.2547,0.6623,1.7842,9.6202,-0.5968,0.6596,0.3174,-0.0815,-0.1499,-0.3532,4.9953,20.83,-33.36,-15.71,216.25,-10.72,-2.69,5,45.16,23.547165,87.2926,91.07,,0.79,20.748388000000002,279.2,17 / 28,27,2020-02-05 18:31:28:224,0.0
1,0.5899,1.2471,7.7001,1.0283,2.2736,9.4839,0.0495,-1.0572,-1.196,-0.2285,0.1495,-0.1646,4.9953,23.74,-29.47,-16.92,225.75,-12.95,-6.35,5,44.131,23.547165,87.2926,91.07,,0.79,20.748388000000002,279.2,17 / 28,528,2020-02-05 18:31:28:725,-0.16297031316521618
2,0.6952,1.5751,10.3098,0.9462,1.5113,9.6432,-0.2413,0.0346,-0.0506,-0.3031,0.158,0.3978,4.9953,21.31,-31.5,-17.65,217.83,-8.87,-5.6,5,42.726000000000006,23.547165,87.2926,91.07,,0.79,20.748388000000002,279.2,16 / 27,1028,2020-02-05 18:31:29:225,0.1161614261430148
3,0.6378,2.0108,10.0512,0.6312,1.3034,9.6991,0.0276,0.3492,0.7489,0.0111,0.0163,0.0985,4.9953,18.17,-32.87,-16.56,211.92,-6.92,-4.36,5,45.32,23.547165,87.2926,91.07,,0.79,20.748388000000002,279.2,16 / 27,1527,2020-02-05 18:31:29:724,0.11028398758475164
4,0.9754,1.5679,10.3529,0.6925,1.3073,9.6944,0.0315,-0.4123,-0.0446,-0.2445,0.027000000000000003,0.091,4.9953,18.1,-34.51,-18.99,210.84,-7.66,-4.09,5,45.012,23.547165,87.29259,79.73,,1.33,17.290323,246.5,16 / 27,2028,2020-02-05 18:31:30:225,0.10545810475740945
5,-0.1619,1.994,10.0727,0.7998,1.4013,9.673,0.1785,0.5685,0.899,-0.2104,0.0941,-0.2786,4.9953,22.38,-32.33,-20.39,218.92,-8.42,-4.15,5,42.721000000000004,23.547165,87.29259,79.73,,1.33,17.290323,246.5,16 / 27,2528,2020-02-05 18:31:30:725,0.02833871825296061
6,0.5803,1.5822,9.218,0.6051,1.4192,9.6845,0.1824,0.4097,-0.5209,-0.0528,0.1793,0.3062,4.9953,23.31,-32.45,-18.57,219.65,-8.32,-3.58,5,42.647,23.547165,87.292564,75.23,,2.99,13.832258,244.6,16 / 27,3028,2020-02-05 18:31:31:225,0.07499599828089343
7,0.9634,1.587,6.8717,0.6086,1.4515,9.6795,0.3336,-0.8272,-0.1202,-0.3574,-0.0273,0.1166,4.9953,23.25,-33.28,-17.25,219.82,-11.81,-4.94,5,48.258,23.547165,87.292564,75.23,,2.99,13.832258,244.6,16 / 27,3528,2020-02-05 18:31:31:725,0.08100804016656848
8,0.621,1.7498,10.032,1.0236,1.1871,9.6806,-0.5365,0.3346,0.5231,-0.5428,0.2027,-0.1689,4.9953,27.57,-29.82,-22.6,227.88,-6.95,-6.04,5,41.931999999999995,23.54716,87.29255,81.33,,2.05,17.290323,239.1,16 / 27,4027,2020-02-05 18:31:32:224,0.04926382165053077
9,1.2555,1.35,9.4742,0.7985,0.7587,9.7446,0.4936,1.1176,0.9463,-0.0922,0.2102,0.2807,4.9953,24.73,-32.57,-22.12,220.57,-4.79,-4.74,5,42.879,23.54716,87.29255,81.33,,2.05,17.290323,239.1,16 / 27,4527,2020-02-05 18:31:32:724,0.07553037527755198
