,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.2906,2.3125,9.7088,0.065,1.5742,9.6793,0.2506,0.7632,-0.15,-0.0048,0.0751,0.0404,673.7449,-15.05,21.35,-24.45,31.1,-9.61,-0.2,2,37.019,23.547192,87.292694,109.28,NaN,0,86.451614,,10 / 38,22,2020-02-06 12:06:16:703
-0.217,2.3675,9.5436,0.4206,1.6346,9.6603,0.2525,0.6926,0.3222,-0.3446,0.0421,-0.1887,725.1551,-15.31,19.37,-23.78,31.4,-9.6,-2.49,2,37.014,23.547192,87.292694,109.28,NaN,0,86.451614,,10 / 38,520,2020-02-06 12:06:17:201
0.7455,2.4777,8.811,0.3118,1.7797,9.6388,0.3302,0.2921,-0.5108,0.0421,0.2008,-0.3825,725.1551,-17.49,18.35,-24.39,36.2,-10.46,-1.85,2,38.974,23.547192,87.2927,113.85,NaN,0,31.122583,,11 / 38,1021,2020-02-06 12:06:17:702
-2.0988,1.9821,8.2244,0.307,2.5948,9.4522,-2.3129,-0.6976,-1.3982,-0.0975,-0.2178,0.5645,754.919,-18.17,14.49,-26.02,39.87,-15.34,-1.86,2,38.161,23.547192,87.2927,113.85,NaN,0,31.122583,,11 / 38,1521,2020-02-06 12:06:18:202
0.8365,0.5575,11.028,0.7811,1.0907,9.7145,-0.3316,-0.1449,-0.46,0.2583,-0.1124,-0.2441,689.9797,-19.76,18.85,-25.08,39.46,-5.29,-5.3,2,39.543,23.5472,87.29272,98.9,NaN,3.17,24.206451,320.2,11 / 30,2021,2020-02-06 12:06:18:702
2.2586,1.6158,12.7447,1.1605,0.6659,9.7149,0.9461,0.7641,3.6895,0.7313,0.4746,-0.0374,730.5667,-21.54,20.48,-24.67,40.87,-3.89,-6.81,2,38.858,23.5472,87.29272,98.9,NaN,3.17,24.206451,320.2,11 / 30,2522,2020-02-06 12:06:19:203
0.7431,1.1202,9.4143,0.9391,0.8392,9.7254,-0.0409,0.3676,-0.4678,-0.2956,-0.1092,-0.1279,855.0336,-19.39,20.7,-30.76,33.36,-6.22,-5.27,2,43.721,23.547195,87.292725,117.94,NaN,1.91,20.748388,332.4,14 / 30,3021,2020-02-06 12:06:19:702
1.2603,0.4785,9.3641,1.026,0.9292,9.7085,-0.0345,-0.3506,-1.2703,0.0303,0.2615,-0.2345,1576.026,-22.62,20.21,-31.54,39.66,-5.68,-6.36,2,39.584,23.547195,87.292725,117.94,NaN,1.91,20.748388,332.4,14 / 30,3520,2020-02-06 12:06:20:201
0.633,0.3588,9.0983,0.8548,1.0073,9.7173,-0.2304,-0.6077,-0.5096,-0.1795,-0.0474,-0.048,4116.1504,-22.58,22.28,-32.92,38.17,-5.9,-5.03,2,40.626,23.5472,87.29272,127.5,NaN,3.96,17.290323,321.6,17 / 30,4021,2020-02-06 12:06:20:702
2.285,0.4809,11.7056,0.9076,0.8465,9.7278,0.7128,-0.4147,2.3092,-0.4501,0.2509,-0.3591,8756.81,-24.69,23.27,-31.97,37.19,-5.66,-8.48,2,39.881,23.5472,87.29272,127.5,NaN,3.96,17.290323,321.6,17 / 30,4522,2020-02-06 12:06:21:203
