x=-0.20928955 , y=3.8473053 , z=8.853104
x=-0.13641357 , y=3.8457642 , z=8.872437
x=-0.09968567 , y=3.8622742 , z=8.887634
x=-0.14833069 , y=3.8913727 , z=8.931992
x=-0.22296143 , y=3.900467 , z=8.831314
x=-0.20306396 , y=3.92482 , z=8.795242
x=-0.14492798 , y=3.9512634 , z=8.832947
x=-0.080093384 , y=3.8981476 , z=8.864548
x=-0.09951782 , y=3.8566742 , z=8.943146
x=-0.17404175 , y=3.823761 , z=8.962479
x=-0.20321655 , y=3.8331757 , z=8.940018
x=-0.14710999 , y=3.8685455 , z=8.90213
x=-0.077316284 , y=3.8870544 , z=8.863281
x=-0.06510925 , y=3.9023285 , z=8.858978
x=-0.116378784 , y=3.8711548 , z=8.907288
x=-0.17210388 , y=3.8319244 , z=8.971558
x=-0.2163086 , y=3.8359528 , z=8.967941
x=-0.22187805 , y=3.8703003 , z=8.920746
x=-0.15412903 , y=3.9268188 , z=8.838333
x=-0.10934448 , y=3.9700317 , z=8.804413
x=-0.13801575 , y=3.966034 , z=8.815414
x=-0.16200256 , y=4.1015625 , z=8.743759
x=-0.29086304 , y=4.2560883 , z=8.930649
x=-0.49150085 , y=3.7314758 , z=8.368088
x=-0.45928955 , y=4.2330627 , z=8.6595
x=0.05618286 , y=3.5555115 , z=8.522034
x=0.6651306 , y=3.86409 , z=10.494217
x=0.40733337 , y=3.4228363 , z=8.731415
x=-0.7548981 , y=3.9692078 , z=9.175034
x=-1.0567932 , y=3.617096 , z=8.5772705
x=-0.0541687 , y=3.801239 , z=9.215958
x=0.47792053 , y=3.7391663 , z=9.452774
x=0.10331726 , y=3.8649597 , z=9.148331
x=-0.25834656 , y=4.0051575 , z=8.574371
x=-0.66111755 , y=4.09169 , z=8.423584
x=-0.83099365 , y=4.16745 , z=8.580261
x=-0.16229248 , y=4.2451324 , z=8.328918
x=0.63378906 , y=4.322418 , z=8.500549
x=0.40126038 , y=3.9705353 , z=8.924973
x=-0.4476471 , y=3.6800995 , z=9.28183
x=-0.7923126 , y=3.7053223 , z=9.044022
x=-0.50375366 , y=3.853119 , z=8.761261
x=0.07624817 , y=3.901245 , z=8.93663
x=0.6398773 , y=3.8726196 , z=9.126251
x=0.44969177 , y=3.849411 , z=9.162186
x=-0.45962524 , y=3.7099457 , z=9.066711
x=-0.9098816 , y=3.6963806 , z=9.037079
x=-0.33522034 , y=3.9200134 , z=8.968903
x=0.3942566 , y=4.155838 , z=8.761185
x=0.5635681 , y=4.304657 , z=8.585724
x=0.17295837 , y=4.270981 , z=8.38472
x=-0.42019653 , y=4.129822 , z=8.550949
x=-0.7617645 , y=3.8933563 , z=8.851395
x=-0.3049469 , y=3.842102 , z=9.025024
x=0.4022827 , y=3.9171753 , z=9.023514
x=0.5301056 , y=3.9214783 , z=8.98793
x=-0.023468018 , y=3.89328 , z=8.849762
x=-0.53382874 , y=3.8418732 , z=8.735306
x=-0.5079193 , y=3.7750092 , z=8.896835
x=-0.038253784 , y=3.7098694 , z=9.170639
x=0.38331604 , y=3.759735 , z=9.235031
x=0.3076477 , y=3.8851776 , z=8.940689
x=-0.19140625 , y=4.007187 , z=8.613556
x=-0.5160217 , y=4.034027 , z=8.556854
x=-0.30438232 , y=3.9937897 , z=8.73082
x=0.08572388 , y=3.9535828 , z=8.945206
x=0.19151306 , y=3.929779 , z=8.992065
x=-0.08151245 , y=3.9356995 , z=8.897736
x=-0.44137573 , y=3.9384308 , z=8.790482
x=-0.47607422 , y=3.9514008 , z=8.749847
x=-0.12322998 , y=3.984375 , z=8.779968
x=0.1426239 , y=3.9655151 , z=8.909317
x=0.012771606 , y=3.9048767 , z=9.034058
x=-0.27345276 , y=3.8601227 , z=8.967957
x=-0.4038086 , y=3.9067383 , z=8.8535
x=-0.21868896 , y=3.9232025 , z=8.8315735
x=0.093048096 , y=3.9665833 , z=8.950714
x=0.23799133 , y=3.9984741 , z=8.911804
x=-0.06173706 , y=3.9888916 , z=8.7595215
x=-0.46644592 , y=3.9619293 , z=8.764038
x=-0.41186523 , y=3.9174194 , z=8.742172
x=-0.04196167 , y=3.880844 , z=8.896683
x=0.107284546 , y=3.8783722 , z=9.019897
x=-0.008850098 , y=3.8625946 , z=8.980057
x=-0.26089478 , y=3.8858643 , z=8.85701
x=-0.3650818 , y=3.9016724 , z=8.779266
x=-0.19221497 , y=3.8800354 , z=8.826508
x=0.09812927 , y=3.8727264 , z=8.939774
x=0.1884613 , y=3.873581 , z=9.009628
x=-0.04269409 , y=3.8798523 , z=8.950943
x=-0.26660156 , y=3.9177094 , z=8.827148
x=-0.26255798 , y=3.949829 , z=8.765427
x=-0.054626465 , y=3.9407501 , z=8.847534
x=0.08824158 , y=3.9032593 , z=8.955933
x=0.01977539 , y=3.8654022 , z=8.976456
x=-0.21513367 , y=3.852127 , z=8.943268
x=-0.3556366 , y=3.8567963 , z=8.907547
x=-0.22761536 , y=3.9086761 , z=8.859604
x=0.0063934326 , y=3.9779968 , z=8.803207
x=0.09490967 , y=4.004837 , z=8.755234
x=-0.020095825 , y=3.9654083 , z=8.748917
x=-0.21224976 , y=3.8730469 , z=8.817825
x=-0.2859192 , y=3.8214111 , z=8.893845
x=-0.12637329 , y=3.8663635 , z=8.957489
x=0.13737488 , y=3.884903 , z=8.92421
x=0.2002716 , y=3.8667145 , z=8.93869
x=0.03302002 , y=3.8193817 , z=8.9944
x=-0.17129517 , y=3.7567139 , z=9.013977
x=-0.2552948 , y=3.7648468 , z=9.028641
x=-0.18173218 , y=3.8091583 , z=9.029663
x=-0.010543823 , y=3.9028625 , z=8.945236
x=0.10235596 , y=4.012985 , z=8.809967
x=0.12307739 , y=4.083008 , z=8.720306
x=0.07310486 , y=4.057007 , z=8.70108
x=-0.034301758 , y=3.9933624 , z=8.763306
x=-0.051071167 , y=3.9838867 , z=8.792145
x=-0.0037841797 , y=3.994629 , z=8.770767
x=0.12832642 , y=3.9967957 , z=8.841568
x=0.24368286 , y=4.0112 , z=8.951782
x=0.18981934 , y=3.9487 , z=8.939178
x=0.1728363 , y=3.8384247 , z=8.901093
x=0.2935791 , y=3.8296814 , z=8.821045
x=0.19961548 , y=3.967575 , z=9.239456
x=0.041015625 , y=3.9095764 , z=9.307922
x=0.23677063 , y=3.7326202 , z=8.541565
x=0.3296051 , y=3.8455048 , z=8.724304
x=-0.24124146 , y=3.7778015 , z=8.963013
x=-0.6366272 , y=3.5235596 , z=9.013611
x=-0.076538086 , y=3.7170868 , z=9.271454
x=0.36575317 , y=3.9764557 , z=8.975296
x=-0.22302246 , y=3.8916168 , z=8.800598
x=-0.5183563 , y=3.8670044 , z=8.992081
x=0.047729492 , y=4.03421 , z=8.5633545
x=0.014663696 , y=4.068634 , z=8.601334
x=-0.53215027 , y=3.989334 , z=8.876465
x=-0.38172913 , y=3.9732056 , z=8.577759
x=0.014816284 , y=3.9799194 , z=8.774368
x=0.0014038086 , y=3.907837 , z=8.945084
x=-0.1816864 , y=3.7151947 , z=8.914291
x=-0.23199463 , y=3.7368927 , z=9.250092
x=-0.22473145 , y=3.6104736 , z=9.171341
x=-0.10650635 , y=3.6332397 , z=9.1297455
x=0.03895569 , y=3.8054962 , z=9.019867
x=-0.087020874 , y=3.8559113 , z=8.815552
x=-0.33979797 , y=3.8380585 , z=8.900528
x=-0.25715637 , y=3.8851929 , z=8.862869
x=-0.038360596 , y=3.9654236 , z=8.824829
x=-0.04675293 , y=3.9628448 , z=8.867096
x=-0.08129883 , y=3.9745789 , z=8.796875
x=-0.090652466 , y=4.004059 , z=8.746033
x=-0.19859314 , y=3.9597778 , z=8.800293
x=-0.21983337 , y=3.8559418 , z=8.871597
x=-0.031417847 , y=3.8258057 , z=8.978256
x=-0.0049591064 , y=3.7816315 , z=8.990524
x=-0.2876587 , y=3.732544 , z=9.028992
x=-0.28097534 , y=3.7694702 , z=8.994934
x=-0.073150635 , y=3.830429 , z=8.899155
x=-0.08256531 , y=3.8216553 , z=8.977905
x=-0.14804077 , y=3.7829742 , z=8.998611
x=-0.09579468 , y=3.8801117 , z=8.9071045
x=-0.10687256 , y=3.9294128 , z=8.8824005
x=-0.25476074 , y=3.9107819 , z=8.827072
x=-0.24797058 , y=3.950058 , z=8.792923
x=-0.16227722 , y=4.0069733 , z=8.792496
x=-0.19851685 , y=4.0023956 , z=8.794159
x=-0.24082947 , y=3.9604492 , z=8.822525
x=-0.18492126 , y=3.9574432 , z=8.870605
x=-0.18902588 , y=3.909668 , z=8.91156
x=-0.18867493 , y=3.8712769 , z=8.983368
x=-0.09887695 , y=3.9180908 , z=8.939301
x=-0.070632935 , y=3.9935913 , z=8.82579
x=-0.14135742 , y=4.015625 , z=8.783356
x=-0.1459198 , y=4.0054474 , z=8.802109
x=-0.09989929 , y=3.9743347 , z=8.864853
x=-0.1421051 , y=3.9655457 , z=8.950745
x=-0.19326782 , y=3.9828796 , z=9.005692
x=-0.1493988 , y=4.015915 , z=8.906387
x=-0.12792969 , y=4.0711823 , z=8.7178955
x=-0.16503906 , y=4.1033173 , z=8.520752
x=-0.10966492 , y=4.083786 , z=8.401062
x=-0.014328003 , y=3.9394226 , z=8.731323
x=-0.057357788 , y=3.7099762 , z=9.321671
x=-0.110061646 , y=3.6301727 , z=9.534439
x=-0.10159302 , y=3.822937 , z=9.244064
x=-0.061203003 , y=4.067108 , z=8.845947
x=-0.08207703 , y=4.187561 , z=8.720398
x=-0.1917572 , y=4.261673 , z=8.591827
x=-0.41654968 , y=4.3224945 , z=8.298035
x=-0.54519653 , y=4.3439484 , z=7.89505
x=-0.23059082 , y=4.3302 , z=7.891556
x=0.2710724 , y=3.9275513 , z=8.536697
x=0.45535278 , y=3.4617004 , z=9.943634
x=0.28271484 , y=3.226944 , z=10.802567
x=-0.12850952 , y=3.353653 , z=10.204742
x=-0.58332825 , y=3.8530273 , z=8.987503
x=-0.7241211 , y=4.349869 , z=7.899719
x=-0.313385 , y=4.552658 , z=7.3809357
x=0.19390869 , y=4.5180206 , z=7.876602
x=0.19160461 , y=4.209854 , z=8.626678
x=-0.1322937 , y=3.9479675 , z=9.238876
x=-0.31533813 , y=3.8804474 , z=9.1707
x=-0.21328735 , y=3.8991394 , z=8.748947
x=0.012649536 , y=3.814621 , z=8.82135
x=0.2320404 , y=3.615738 , z=9.477341
x=0.18972778 , y=3.4496155 , z=9.944717
x=-0.2059784 , y=3.4941406 , z=9.759338
x=-0.59439087 , y=3.730774 , z=8.880844
x=-0.4416046 , y=4.1569214 , z=8.121948
x=0.13243103 , y=4.4633636 , z=7.7039795
x=0.49319458 , y=4.5945435 , z=7.9595947
x=0.32255554 , y=4.418289 , z=8.411774
x=-0.08369446 , y=4.0553894 , z=9.018875
x=-0.3691864 , y=3.6345978 , z=9.348282
x=-0.3768158 , y=3.503479 , z=9.5585785
x=-0.2127533 , y=3.6357727 , z=9.3293915
x=-0.041152954 , y=3.8917694 , z=8.961426
x=0.024917603 , y=4.0606384 , z=8.629517
x=0.008377075 , y=4.0569916 , z=8.672943
x=-0.074417114 , y=3.876831 , z=8.946259
x=-0.26937866 , y=3.708603 , z=9.151627
x=-0.4292755 , y=3.7285767 , z=9.099487
x=-0.3396454 , y=3.9680939 , z=8.875473
x=-0.0435791 , y=4.214142 , z=8.519104
x=0.19137573 , y=4.319214 , z=8.406662
x=0.17602539 , y=4.187683 , z=8.547501
x=-0.06037903 , y=3.9281464 , z=8.827667
x=-0.2992859 , y=3.7011719 , z=9.120941
x=-0.33087158 , y=3.667282 , z=9.207855
x=-0.12696838 , y=3.8119812 , z=9.139832
x=0.08590698 , y=3.989975 , z=8.875427
x=0.09840393 , y=4.045944 , z=8.505432
x=-0.0572052 , y=3.9452362 , z=8.49942
x=-0.29006958 , y=3.7229614 , z=8.830719
x=-0.31608582 , y=3.5419006 , z=9.393616
x=-0.081085205 , y=3.529251 , z=9.537552
x=0.23187256 , y=3.813202 , z=9.219559
x=0.23623657 , y=4.0914 , z=8.750549
x=-0.073394775 , y=4.131485 , z=8.478638
x=-0.4355774 , y=4.0037384 , z=8.741165
x=-0.42778015 , y=3.885025 , z=9.176788
x=-0.27134705 , y=3.8875275 , z=9.077591
x=-0.15283203 , y=4.057541 , z=8.742813
x=-0.13555908 , y=4.249359 , z=8.439758
x=-0.2666626 , y=4.2082977 , z=8.335236
x=-0.45224 , y=4.041916 , z=8.503525
x=-0.49253845 , y=3.8251648 , z=8.824997
x=-0.24980164 , y=3.6375885 , z=9.091797
x=-0.057861328 , y=3.4698334 , z=9.27066
x=-0.058425903 , y=3.4268494 , z=9.315079
x=-0.0831604 , y=3.5233917 , z=9.318069
x=-0.13578796 , y=3.6584015 , z=9.141556
x=-0.2612915 , y=3.7589874 , z=8.886917
x=-0.27149963 , y=3.84581 , z=8.855423
x=-0.10498047 , y=3.954834 , z=8.839966
x=-0.052871704 , y=4.008438 , z=8.709015
x=-0.1708374 , y=4.104309 , z=8.62117
x=-0.26176453 , y=4.1777954 , z=8.515839
x=-0.23622131 , y=4.1860046 , z=8.601517
x=-0.0763855 , y=4.1349335 , z=8.623001
x=0.020599365 , y=4.054306 , z=8.764893
x=-0.122680664 , y=3.8847046 , z=8.998749
x=-0.33937073 , y=3.7064972 , z=9.25705
x=-0.32843018 , y=3.7444763 , z=9.414017
x=-0.12528992 , y=3.8596954 , z=9.127762
x=-0.10536194 , y=4.0220184 , z=8.792923
x=-0.26496887 , y=4.0292664 , z=8.674576
x=-0.31559753 , y=4.0315857 , z=8.716141
x=-0.30700684 , y=4.023285 , z=8.7417145
x=-0.27182007 , y=3.9472961 , z=8.730789
x=-0.2572937 , y=3.8864594 , z=8.876114
x=-0.20954895 , y=3.8050232 , z=9.137665
x=-0.17112732 , y=3.7853546 , z=9.321121
x=-0.18907166 , y=3.8623657 , z=9.177521
x=-0.25552368 , y=3.9474487 , z=8.798721
x=-0.26293945 , y=4.00885 , z=8.704086
x=-0.15029907 , y=4.0434875 , z=8.740219
x=-0.0284729 , y=4.155075 , z=8.732788
x=-0.11871338 , y=4.257004 , z=8.522705
x=-0.29389954 , y=4.278351 , z=8.326691
