x=-0.10464317304511185 , y=1.923623193502141 , z=4.426484038440854
x=-0.06820574271094342 , y=1.922852636453617 , z=4.436150333297092
x=-0.04984207126740418 , y=1.9311075149338452 , z=4.443749093894419
x=-0.07416420860101576 , y=1.9456565475233047 , z=4.465927404192038
x=-0.1114790058716225 , y=1.9502035970373677 , z=4.415589429873603
x=-0.10153042774018288 , y=1.9623799242595898 , z=4.397553817371515
x=-0.07246287967209626 , y=1.9756014625278298 , z=4.416405762588376
x=-0.04004607869012774 , y=1.9490439468257275 , z=4.432205996721974
x=-0.04975814921261443 , y=1.9283075700149508 , z=4.4715044061967015
x=-0.08701954153926406 , y=1.9118512179984513 , z=4.48117070105294
x=-0.10160672051726448 , y=1.9165584823443855 , z=4.469940404266529
x=-0.07355386638436302 , y=1.9342431480718987 , z=4.45099690771717
x=-0.038657550147242765 , y=1.9434974619318957 , z=4.431572766672197
x=-0.032554127980715386 , y=1.9511343689177632 , z=4.429421310358496
x=-0.058188501080130364 , y=1.9355477545599937 , z=4.453575603582528
x=-0.08605062327032784 , y=1.9159328815723164 , z=4.485710121289294
x=-0.10815264079086509 , y=1.9179470108872705 , z=4.48390198247246
x=-0.11093732715434321 , y=1.9351205150083368 , z=4.460304626521124
x=-0.07706333413011628 , y=1.9633793596393587 , z=4.419098897619357
x=-0.05467140405666896 , y=1.9849854741088655 , z=4.402139013274118
x=-0.06900681687030014 , y=1.9829866033493277 , z=4.407639722501701
x=-0.08100004142752643 , y=2.050749847953198 , z=4.371812634384185
x=-0.14542929167293103 , y=2.1280115433037263 , z=4.465256027753719
x=-0.2457466642575166 , y=1.8657093464195043 , z=4.1839798172093055
x=-0.22964125901559249 , y=2.116498963242114 , z=4.32968376287973
x=0.028091000521442245 , y=1.7777285158890122 , z=4.260951600006924
x=0.33256021529866037 , y=1.9320153989811162 , z=5.247028114508795
x=0.20366356841931035 , y=1.7113919462165679 , z=4.365640548718284
x=-0.377443256055761 , y=1.9845734931126249 , z=4.587446539527598
x=-0.5283885155116912 , y=1.8085202807191427 , z=4.28856958531046
