x=-0.09152222 , y=4.2017365 , z=8.779968
x=-0.11579895 , y=4.2174377 , z=8.753677
x=-0.10798645 , y=4.21904 , z=8.709442
x=-0.09832764 , y=4.2435455 , z=8.702408
x=-0.11550903 , y=4.229309 , z=8.718674
x=-0.12835693 , y=4.2201843 , z=8.718689
x=-0.13545227 , y=4.2276306 , z=8.7155
x=-0.11930847 , y=4.2269287 , z=8.724518
x=-0.07936096 , y=4.2014465 , z=8.769394
x=-0.08148193 , y=4.186508 , z=8.787537
x=-0.11457825 , y=4.1790466 , z=8.771133
x=-0.13995361 , y=4.1795197 , z=8.800293
x=-0.13536072 , y=4.1633453 , z=8.794846
x=-0.12974548 , y=4.1824493 , z=8.82756
x=-0.14961243 , y=4.1666718 , z=8.8063965
x=-0.15553284 , y=4.20549 , z=8.75325
x=-0.13269043 , y=4.2596283 , z=8.689087
x=-0.18214417 , y=4.29541 , z=8.639374
x=-0.14924622 , y=4.2662964 , z=8.635345
x=-0.1769867 , y=4.261429 , z=8.663239
x=-0.16694641 , y=4.213379 , z=8.689987
x=-0.19967651 , y=4.1878204 , z=8.768204
x=-0.19769287 , y=4.1391144 , z=8.811188
x=-0.18156433 , y=4.1536255 , z=8.83168
x=-0.18521118 , y=4.1536255 , z=8.815216
x=-0.19132996 , y=4.1467896 , z=8.801498
x=-0.21109009 , y=4.145813 , z=8.778503
x=-0.21234131 , y=4.1652527 , z=8.774338
x=-0.21502686 , y=4.18602 , z=8.744766
x=-0.19354248 , y=4.238968 , z=8.707733
x=-0.16519165 , y=4.2747498 , z=8.672104
x=-0.1665802 , y=4.26001 , z=8.65892
x=-0.1897583 , y=4.2321625 , z=8.663361
x=-0.21446228 , y=4.190048 , z=8.727325
x=-0.2086029 , y=4.1395416 , z=8.795975
x=-0.16316223 , y=4.126648 , z=8.808563
x=-0.14289856 , y=4.1494293 , z=8.774094
x=-0.15287781 , y=4.1753693 , z=8.719696
x=-0.18603516 , y=4.1738586 , z=8.7517395
