x=-0.04576040769353899 , y=2.1008360561072634 , z=4.389916910385647
x=-0.05789858852722031 , y=2.108686582868959 , z=4.3767716648944885
x=-0.05399239834064279 , y=2.109487657028316 , z=4.354654388818536
x=-0.049163065551378005 , y=2.1217402770276195 , z=4.351137291795074
x=-0.05775363225076529 , y=2.114622160925907 , z=4.359270101831972
x=-0.06417748408103535 , y=2.110059852856428 , z=4.35927773110968
x=-0.06772509821532939 , y=2.1137829403780093 , z=4.357683212068674
x=-0.05965332240009693 , y=2.113431993603434 , z=4.362192115194197
x=-0.0396798733601361 , y=2.1006910998308084 , z=4.384629820933893
x=-0.04074034296157023 , y=2.0932220369545202 , z=4.393701032128894
x=-0.05728824631056757 , y=2.0894913201552305 , z=4.385499558592623
x=-0.06997573513923636 , y=2.0897278277641833 , z=4.400079108292915
x=-0.06767932254908043 , y=2.0816407933935346 , z=4.397355456151103
x=-0.06487174835247783 , y=2.09119264908415 , z=4.413712627557396
x=-0.07480506792850114 , y=2.0833039759339136 , z=4.403130819376179
x=-0.07776522767926691 , y=2.1027128584234704 , z=4.37655804511866
x=-0.06634419895015256 , y=2.1297815357320196 , z=4.3444769323558505
x=-0.09107068800229659 , y=2.147672191957653 , z=4.319620745582668
x=-0.07462196526350531 , y=2.133115530090485 , z=4.317606616267714
x=-0.08849199213693879 , y=2.130681790501582 , z=4.331552935918229
x=-0.08347192740497002 , y=2.1066571949985886 , z=4.344927059740632
x=-0.09983672808897154 , y=2.093878154837422 , z=4.384034737272656
x=-0.09884492198691083 , y=2.069525500392978 , z=4.405526412576541
x=-0.09078077544938655 , y=2.0767809434934374 , z=4.415772532538599
x=-0.0926041728216366 , y=2.0767809434934374 , z=4.407540541891495
x=-0.09566351318260845 , y=2.073363027080182 , z=4.40068182123186
x=-0.10554342781467463 , y=2.0728747533068597 , z=4.389184499725664
x=-0.1061690285867437 , y=2.082594453107055 , z=4.387101706911336
x=-0.10751178146337971 , y=2.092977900067859 , z=4.372316166712924
