x=-0.2443695 , y=6.223419 , z=7.0839386
x=-0.10888672 , y=6.220764 , z=7.482712
x=-0.05796814 , y=6.1738434 , z=7.614197
x=-0.32557678 , y=6.0723724 , z=7.4691772
x=-0.41731262 , y=6.2127075 , z=7.3512726
x=-0.1681366 , y=6.4481354 , z=7.092804
x=-0.0030822754 , y=6.4984894 , z=7.2009125
x=0.03161621 , y=6.4079742 , z=7.186966
x=0.12841797 , y=6.453842 , z=7.173233
x=0.052856445 , y=6.4207764 , z=7.1840363
x=-0.2529297 , y=6.3875427 , z=7.2716064
x=-0.2942047 , y=6.406128 , z=7.0699463
x=-0.08224487 , y=6.480484 , z=6.8951263
x=-0.1507721 , y=6.469986 , z=7.314911
x=-0.49137878 , y=6.098358 , z=7.273361
x=-0.62231445 , y=6.096344 , z=7.7589264
x=-0.48010254 , y=6.057892 , z=7.606247
x=-0.38175964 , y=6.105301 , z=7.2992554
x=-0.34080505 , y=6.3713226 , z=7.404709
x=-0.33093262 , y=6.3183746 , z=6.8806915
x=-0.45365906 , y=6.4322357 , z=7.424713
x=-0.54112244 , y=6.2113495 , z=7.3220673
x=-0.3836975 , y=6.1947327 , z=7.3986206
x=-0.2959137 , y=6.33165 , z=7.7079315
x=-0.37228394 , y=6.2524414 , z=7.168213
x=-0.3475952 , y=6.491516 , z=7.222702
x=-0.29763794 , y=6.454834 , z=7.006485
x=-0.41140747 , y=6.332718 , z=7.184601
x=-0.56352234 , y=6.1861877 , z=7.587158
x=-0.55952454 , y=6.0596466 , z=7.6475677
x=-0.4998169 , y=6.0413666 , z=7.6484222
x=-0.43984985 , y=6.1302185 , z=7.6829834
x=-0.30644226 , y=6.0915375 , z=7.3392944
x=-0.26293945 , y=6.143448 , z=7.455353
x=-0.3925171 , y=6.0393677 , z=7.446747
x=-0.39645386 , y=5.903839 , z=7.5294952
x=-0.06448364 , y=6.1541443 , z=7.84198
x=0.15625 , y=6.3766327 , z=7.3401184
x=-0.28068542 , y=6.379013 , z=6.705963
x=-0.7119293 , y=6.3039093 , z=7.1130524
x=-0.07917786 , y=6.218521 , z=7.6572113
x=0.8563385 , y=6.288849 , z=7.625244
x=0.41703796 , y=6.3185577 , z=7.266968
x=-0.743515 , y=6.3316345 , z=6.9726105
x=-0.76945496 , y=6.4919434 , z=6.8545227
x=0.04826355 , y=6.5803986 , z=6.920044
x=0.30526733 , y=6.4934998 , z=7.119339
x=0.13363647 , y=6.2326202 , z=6.9549713
x=0.15431213 , y=6.287979 , z=7.3671417
x=0.05973816 , y=6.1516266 , z=7.790329
x=-0.22059631 , y=5.99028 , z=7.7153473
x=-0.20310974 , y=6.030472 , z=7.687668
x=0.14726257 , y=6.1118774 , z=7.6067047
x=0.3283081 , y=6.239609 , z=7.599289
x=0.07180786 , y=6.4327393 , z=7.2863617
x=-0.2928009 , y=6.61969 , z=6.6500854
x=-0.44638062 , y=6.71344 , z=6.5764923
x=-0.29122925 , y=6.6390076 , z=6.7745667
x=0.050079346 , y=6.4954987 , z=7.125641
x=0.2260437 , y=6.3936768 , z=7.245102
x=0.084228516 , y=6.315689 , z=7.2397156
x=-0.19078064 , y=6.289093 , z=7.475769
x=-0.25894165 , y=6.115265 , z=7.3425293
x=-0.026367188 , y=6.1224976 , z=7.6953735
x=0.09933472 , y=6.055374 , z=7.7724915
x=-0.11000061 , y=6.029129 , z=7.671707
x=-0.37294006 , y=6.2092285 , z=7.5582123
x=-0.2594452 , y=6.3677673 , z=7.126068
x=0.010177612 , y=6.5502167 , z=7.139328
x=0.106658936 , y=6.39711 , z=7.025772
x=0.03475952 , y=6.209152 , z=7.518265
x=-0.12548828 , y=6.0261993 , z=7.8943176
x=-0.29730225 , y=5.881256 , z=7.8283234
x=-0.22897339 , y=5.9778137 , z=7.896866
x=0.020492554 , y=6.0229797 , z=7.657654
x=0.2861786 , y=6.131119 , z=7.6443634
x=0.22531128 , y=6.1695557 , z=7.675995
x=-0.040802002 , y=6.128708 , z=7.4999695
x=-0.16851807 , y=6.2309113 , z=7.2947083
x=-0.022842407 , y=6.4028015 , z=7.0956573
x=0.15527344 , y=6.5575256 , z=6.7473755
x=0.17208862 , y=6.6823425 , z=6.519943
x=0.022232056 , y=6.6882477 , z=6.5835724
x=-0.15541077 , y=6.432434 , z=6.897934
x=-0.1543274 , y=6.1633453 , z=7.3891907
x=0.009033203 , y=5.982727 , z=7.674103
x=0.113082886 , y=5.9692383 , z=7.7840576
x=0.022827148 , y=5.9788513 , z=7.773987
x=-0.1006012 , y=6.014618 , z=7.606262
x=-0.12513733 , y=6.1206055 , z=7.5027924
x=-0.0725708 , y=6.1821594 , z=7.490631
x=-0.022338867 , y=6.1924744 , z=7.481476
x=-0.05795288 , y=6.255829 , z=7.465576
x=-0.11663818 , y=6.3936615 , z=7.332138
x=-0.12661743 , y=6.5430756 , z=7.0095673
x=-0.03892517 , y=6.667923 , z=6.9608307
x=0.13093567 , y=6.644699 , z=7.0134277
x=0.20518494 , y=6.5594025 , z=7.0989227
x=0.06472778 , y=6.4391174 , z=7.1813965
x=-0.103393555 , y=6.271591 , z=7.078247
x=-0.16453552 , y=6.3665314 , z=7.623184
x=-0.0066833496 , y=6.078018 , z=7.241394
x=0.09477234 , y=6.261154 , z=7.4743195
x=0.027908325 , y=6.2163086 , z=7.267212
x=0.018539429 , y=6.179352 , z=7.14653
x=0.06455994 , y=6.2212067 , z=7.5648956
x=0.082839966 , y=6.0849 , z=7.5830994
x=0.10501099 , y=6.161331 , z=7.48555
x=0.13386536 , y=6.294815 , z=7.284973
x=-0.004623413 , y=6.3717346 , z=7.192398
x=-0.12451172 , y=6.371292 , z=7.2244263
x=-0.08847046 , y=6.411606 , z=7.180588
x=-0.008605957 , y=6.387741 , z=7.0962677
x=0.011886597 , y=6.318924 , z=7.238159
x=0.03288269 , y=6.2460175 , z=7.389084
x=-0.004470825 , y=6.243561 , z=7.396698
x=-0.15083313 , y=6.30072 , z=7.297409
x=-0.2074585 , y=6.2908325 , z=7.143738
x=-0.05583191 , y=6.254776 , z=7.290085
x=0.10958862 , y=6.210037 , z=7.517273
x=0.03213501 , y=6.2343597 , z=7.6236115
x=-0.115448 , y=6.1155243 , z=7.203705
x=-0.17643738 , y=6.2276917 , z=7.261551
x=-0.21697998 , y=6.307251 , z=7.371231
x=-0.20489502 , y=6.211731 , z=7.268509
x=-0.03703308 , y=6.29747 , z=7.259796
x=0.027252197 , y=6.215378 , z=7.3602753
x=-0.12214661 , y=6.103775 , z=7.6138153
x=-0.20776367 , y=6.034775 , z=7.5848083
x=-0.08459473 , y=6.2097015 , z=7.4579315
x=-0.112960815 , y=6.1617737 , z=7.1874084
x=-0.17312622 , y=6.228836 , z=7.372818
x=-0.1104126 , y=6.187683 , z=7.3447723
x=-0.19541931 , y=6.1291656 , z=7.481888
x=-0.31672668 , y=6.0575256 , z=7.548401
x=-0.27241516 , y=6.104843 , z=7.5345917
x=-0.17211914 , y=6.1913147 , z=7.4228973
x=-0.21476746 , y=6.2442474 , z=7.2893524
x=-0.22871399 , y=6.272522 , z=7.257721
x=-0.18876648 , y=6.2391815 , z=7.2715454
x=-0.22216797 , y=6.171753 , z=7.3720703
x=-0.23512268 , y=6.1256866 , z=7.455261
x=-0.20159912 , y=6.1533356 , z=7.4327393
x=-0.19744873 , y=6.1711426 , z=7.375
x=-0.20300293 , y=6.1836395 , z=7.350525
x=-0.15383911 , y=6.182068 , z=7.3204346
x=-0.1559906 , y=6.1271515 , z=7.3765106
x=-0.2587433 , y=6.017395 , z=7.4737244
x=-0.23146057 , y=5.7785034 , z=7.383316
x=-0.2068634 , y=6.3198853 , z=8.112549
x=-0.24351501 , y=6.1192627 , z=7.135895
x=-0.15184021 , y=6.0978394 , z=7.035721
x=-0.056411743 , y=6.331238 , z=7.819931
x=-0.17199707 , y=5.861023 , z=7.5530396
x=-0.11383057 , y=6.2698975 , z=7.696213
x=-0.039916992 , y=6.231674 , z=6.9817505
x=-0.115615845 , y=6.2878723 , z=7.2460938
x=-0.030578613 , y=6.2963715 , z=7.376343
x=0.11854553 , y=6.389435 , z=7.253769
x=-0.017166138 , y=6.3149567 , z=7.0938263
x=-0.1558075 , y=6.2112274 , z=7.3464813
x=0.028305054 , y=6.164734 , z=7.5048065
x=0.15620422 , y=6.193329 , z=7.5286865
x=0.066207886 , y=6.1791687 , z=7.3476105
x=-0.010864258 , y=6.1150055 , z=7.365921
x=-0.027328491 , y=6.065628 , z=7.607193
x=-0.04208374 , y=5.9962463 , z=7.6958923
x=1.6784668E-4 , y=6.0383453 , z=7.560364
x=0.11987305 , y=6.178177 , z=7.3840637
x=0.101135254 , y=6.238449 , z=7.291214
x=0.0055236816 , y=6.3147736 , z=7.2730713
x=0.010894775 , y=6.357971 , z=7.1026306
x=0.026306152 , y=6.356659 , z=7.0385437
x=0.017196655 , y=6.306839 , z=7.216156
x=2.4414062E-4 , y=6.2120056 , z=7.3474274
x=-0.07495117 , y=6.2109375 , z=7.371048
x=-0.18870544 , y=6.1431274 , z=7.247711
x=-0.17416382 , y=6.0361176 , z=7.214386
x=-0.021408081 , y=6.003067 , z=7.5822754
x=0.2693329 , y=6.305847 , z=8.816742
x=0.6048126 , y=5.937546 , z=6.9196777
x=0.29663086 , y=6.551239 , z=6.285248
x=-0.651886 , y=6.949417 , z=6.489975
x=-1.1875153 , y=6.582733 , z=7.0499268
x=0.081970215 , y=5.499237 , z=7.7161713
x=1.3534241 , y=5.6371613 , z=8.651779
x=0.43936157 , y=5.9654083 , z=8.054565
x=-1.0627594 , y=6.128601 , z=6.9228973
x=-0.6729126 , y=6.516342 , z=6.667618
x=0.5788574 , y=6.370682 , z=6.8771057
x=0.7080078 , y=6.0858 , z=7.956436
x=-0.0736084 , y=5.7780457 , z=8.105911
x=-0.536438 , y=5.968811 , z=7.6501007
x=-0.41906738 , y=6.4154053 , z=6.9111786
x=0.18952942 , y=6.847534 , z=6.343155
x=0.8216095 , y=6.9761505 , z=6.386963
x=0.7133484 , y=6.520767 , z=6.9679413
x=-0.046661377 , y=5.9337616 , z=7.9164276
x=-0.5726166 , y=5.6107635 , z=8.312485
x=-0.39523315 , y=5.7820587 , z=8.16835
x=0.10803223 , y=6.0058136 , z=7.5306854
x=0.62716675 , y=6.5239105 , z=7.157028
x=0.7350311 , y=6.866165 , z=6.763565
x=0.18106079 , y=6.713272 , z=6.45166
x=-0.38974 , y=6.4498444 , z=7.048294
