x=-0.12218288249616989 , y=3.1116619474944027 , z=3.5419150638460417
x=-0.054442525725424185 , y=3.110334453173183 , z=3.741298607471075
x=-0.028983626013296872 , y=3.086874424220593 , z=3.807040093482283
x=-0.16278589845899324 , y=3.0361397274613346 , z=3.7345314381439376
x=-0.20865311604044648 , y=3.106306194543275 , z=3.6755800092929913
x=-0.08406701106620643 , y=3.2240183203024637 , z=3.5463476741944824
x=-0.0015411140970481622 , y=3.249194936739389 , z=3.6004011067567903
x=0.0158078634113059 , y=3.2039380613745885 , z=3.593427946931533
x=0.06420800119186798 , y=3.226871670165315 , z=3.5865615969941897
x=0.026427817981063535 , y=3.210339025371734 , z=3.5919631256115663
x=-0.1264629072904472 , y=3.1937224585233634 , z=3.6357475503786922
x=-0.1471001034910179 , y=3.2030149187719013 , z=3.53491901618766
x=-0.04112180684697819 , y=3.240192389043761 , z=3.4475103814852797
x=-0.07538489303432123 , y=3.2349434459805475 , z=3.657399440514448
x=-0.24568563003585134 , y=3.0491323873983296 , z=3.6366249173151304
x=-0.3111524620495656 , y=3.048125322740853 , z=3.879403792544173
x=-0.24004759380952168 , y=3.0288995429162915 , z=3.803065239796332
x=-0.1908768989804355 , y=3.052603708755542 , z=3.6495718015858767
x=-0.17039991761173615 , y=3.18561253631959 , z=3.7022977398269648
x=-0.16546377493455713 , y=3.1591389426722776 , z=3.4402930847733613
x=-0.22682605554128174 , y=3.216068612930562 , z=3.7122997229023618
x=-0.2705570753644504 , y=3.1056271888272486 , z=3.6609775717595747
x=-0.19184581724937172 , y=3.097318905403063 , z=3.6992536580214095
x=-0.14795458259433172 , y=3.165776414278376 , z=3.853906746443505
x=-0.18613911752366863 , y=3.1261728336953216 , z=3.584051564628205
x=-0.173794946191867 , y=3.24570835682676 , z=3.611295715324042
x=-0.14881669097535372 , y=3.2273675732163456 , z=3.5031888501994257
x=-0.20570058556738885 , y=3.1663104637179473 , z=3.592245408886768
x=-0.2817568550400281 , y=3.093046509886494 , z=3.7935210133834247
x=-0.2797579842804904 , y=3.0297769098527296 , z=3.8237253238300273
x=-0.24990462060846338 , y=3.020637035158355 , z=3.824152563381684
x=-0.21992155921539763 , y=3.065062319252966 , z=3.8414328773906647
x=-0.1532187842129616 , y=3.0457221002627826 , z=3.6695910262920863
x=-0.13146771346699965 , y=3.0716769030259403 , z=3.7276193125403454
x=-0.19625553976468774 , y=3.0196375997785863 , z=3.7233163999129437
x=-0.19822389341339283 , y=2.951874355174716 , z=3.764689972924291
x=-0.03224132759468086 , y=3.07702502669936 , z=3.9209299511096836
x=0.0781238037315504 , y=3.1882675249620296 , z=3.670003007288327
x=-0.14034056344158882 , y=3.189457692284502 , z=3.35293022573723
x=-0.3559592100295847 , y=3.1519063874049427 , z=3.5564717257132097
x=-0.039588322027638186 , y=3.1092129493500837 , z=3.8285470273415836
x=0.4281626942596035 , y=3.1443762903069894 , z=3.8125636905429903
x=0.20851578904169962 , y=3.1592304940047753 , z=3.633428249955412
x=-0.37175181488547426 , y=3.165768785000668 , z=3.486251853687312
x=-0.38472158698934494 , y=3.2459219766025886 , z=3.427208873503868
x=0.02413140539090761 , y=3.2901488994767876 , z=3.4599689919827035
x=0.15263132982943334 , y=3.246700162928821 , z=3.5596149881289714
x=0.06681721416805844 , y=3.1162624019524228 , z=3.47743240865668
x=0.07715488546261418 , y=3.1439414214776242 , z=3.6835144581094768
x=0.029868622227443343 , y=3.0757661958775135 , z=3.895104846067565
x=-0.11029646782685783 , y=2.9950942133914378 , z=3.8576145754096705
x=-0.10155331557330737 , y=3.0151897308747295 , z=3.8437750656470695
x=0.07363015916144462 , y=3.055891927447759 , z=3.803294118127577
x=0.16415153916875375 , y=3.1197566111427597 , z=3.7995862891614114
x=0.035903380894597284 , y=3.216320379094931 , z=3.643125061922482
x=-0.14639820994186725 , y=3.3097942895752976 , z=3.324991810769951
x=-0.2231868900744898 , y=3.356668571814228 , z=3.288195804383499
x=-0.14561239433792686 , y=3.319452955153827 , z=3.3872314583131136
x=0.025039289438178555 , y=3.2476995983085897 , z=3.562765879822441
x=0.11302011996867067 , y=3.196789428162043 , z=3.6224954949996193
x=0.04211361294903889 , y=3.1577961897956417 , z=3.6198023599686393
x=-0.09538885918511471 , y=3.14449835875032 , z=3.7378272861138626
x=-0.12946884270746195 , y=3.05758562709897 , z=3.6712084331662163
x=-0.01318339187969913 , y=3.0612019047326378 , z=3.84762785088969
x=0.049666597880116514 , y=3.027640712094445 , z=3.8861862204267266
x=-0.05499946299811981 , y=3.014518354436411 , z=3.835794841164335
x=-0.18646717646511946 , y=3.1045667192258146 , z=3.7790482735710467
x=-0.1297206088718312 , y=3.183834914613589 , z=3.5629794995982693
x=0.005088728231342199 , y=3.275058188170049 , z=3.5696093419266597
x=0.05332865118003294 , y=3.198506015646379 , z=3.512832257222539
