x=0.049072266 , y=5.809189 , z=8.109802
x=-0.21028137 , y=5.995529 , z=7.6682587
x=-0.26461792 , y=6.2158813 , z=7.1179047
x=-0.06930542 , y=6.4401703 , z=6.946533
x=0.093948364 , y=6.508377 , z=6.8644714
x=0.1356659 , y=6.494812 , z=6.9079895
x=0.07980347 , y=6.436722 , z=7.009781
x=0.0062713623 , y=6.313614 , z=7.1051025
x=0.06803894 , y=6.1570435 , z=7.4310913
x=0.3032074 , y=6.002762 , z=7.60408
x=0.40911865 , y=5.9192963 , z=7.710373
x=0.22174072 , y=5.8200836 , z=7.7643127
x=0.13938904 , y=5.848709 , z=7.75856
x=0.11628723 , y=5.9726562 , z=7.62471
x=0.059661865 , y=6.033951 , z=7.335037
x=0.055770874 , y=6.0485687 , z=7.290329
x=0.21992493 , y=6.1091614 , z=7.5045013
x=0.3987732 , y=6.134781 , z=7.5055237
x=0.37669373 , y=6.2121124 , z=7.461746
x=0.23239136 , y=6.2344513 , z=7.406723
x=0.18373108 , y=6.2042694 , z=7.429077
x=0.28564453 , y=6.2160034 , z=7.6472473
x=0.3901825 , y=6.265335 , z=7.6910553
x=0.4547882 , y=6.3786163 , z=7.4040985
x=0.49102783 , y=6.335678 , z=6.6546936
x=0.035354614 , y=6.681427 , z=6.0569
x=-0.6005554 , y=7.0180817 , z=7.0056
x=0.47763062 , y=5.997284 , z=7.156006
x=1.6510773 , y=6.1347504 , z=8.807999
x=0.20864868 , y=5.0268097 , z=9.078476
x=-1.2223663 , y=5.5759277 , z=8.129822
x=0.10134888 , y=6.696823 , z=6.611252
x=0.72618103 , y=6.339966 , z=6.071121
x=-0.12762451 , y=5.9125977 , z=8.455399
x=0.10850525 , y=5.4528503 , z=7.845749
x=0.28076172 , y=6.4968567 , z=7.640976
x=-1.1664429 , y=5.508438 , z=6.649948
x=-0.9700928 , y=6.4862823 , z=7.921814
x=0.7623596 , y=6.7815857 , z=6.044281
x=0.72387695 , y=7.005615 , z=6.4890594
x=-0.28424072 , y=6.0711823 , z=6.9421234
x=-0.09379578 , y=5.636627 , z=8.569931
x=-0.26911926 , y=5.5200043 , z=8.715164
x=-1.2524414 , y=5.625412 , z=7.76828
x=-0.91152954 , y=6.076294 , z=7.212967
x=0.40925598 , y=6.346054 , z=6.9955597
x=0.575943 , y=6.0975494 , z=7.656616
x=-0.1940918 , y=5.8759155 , z=7.9333496
x=-0.55648804 , y=5.903061 , z=7.577606
x=-0.58815 , y=5.9092865 , z=7.782242
x=-0.45336914 , y=5.9230194 , z=7.7190094
x=-0.03868103 , y=6.336075 , z=7.2204437
x=-0.15022278 , y=6.5413666 , z=6.6592712
x=-0.9325104 , y=6.225067 , z=6.944992
x=-1.0177002 , y=5.8253326 , z=7.8073273
x=-0.3037262 , y=5.8552246 , z=7.9716797
x=-0.07167053 , y=5.888565 , z=7.513443
x=-0.42756653 , y=5.8971863 , z=7.5393066
x=-0.5283661 , y=5.953079 , z=7.5364685
x=-0.62239075 , y=5.8376007 , z=7.5973053
x=-0.799942 , y=5.8722534 , z=8.034805
x=-0.19918823 , y=5.8695526 , z=7.4282227
x=0.5861664 , y=6.316742 , z=7.594116
x=0.20716858 , y=6.206726 , z=7.2532043
x=-0.5284729 , y=6.2761383 , z=7.4183655
x=-0.3625641 , y=6.3469696 , z=7.556183
x=-0.020477295 , y=6.1892548 , z=7.399185
x=-0.16912842 , y=6.1616974 , z=7.5935516
x=-0.20469666 , y=6.4093933 , z=7.3343964
x=-0.13882446 , y=6.5249786 , z=6.808487
x=-0.39111328 , y=6.287567 , z=7.08934
x=-0.55766296 , y=5.936249 , z=7.5719147
x=-0.39630127 , y=5.8103485 , z=7.7035675
x=-0.42416382 , y=5.8039246 , z=7.6202393
x=-0.43385315 , y=5.8120575 , z=7.5007324
x=0.020248413 , y=5.923813 , z=7.483368
x=0.27763367 , y=5.986389 , z=7.4830933
x=-0.102996826 , y=5.831726 , z=7.596649
x=-0.38671875 , y=5.7113953 , z=7.810684
x=-0.14146423 , y=5.7716675 , z=7.8546906
x=0.050704956 , y=5.9402466 , z=7.6831055
x=0.023895264 , y=6.178406 , z=7.3370667
x=0.1251831 , y=6.438568 , z=7.015808
x=0.23872375 , y=6.514206 , z=6.934326
x=0.1335144 , y=6.3394165 , z=7.1532135
x=0.08477783 , y=6.1075287 , z=7.3133087
x=0.10292053 , y=5.9843903 , z=7.6966705
x=-0.11584473 , y=5.78508 , z=7.7962036
x=-0.28186035 , y=5.70549 , z=7.816345
x=-0.0063323975 , y=5.781784 , z=7.75
x=0.285141 , y=5.8280945 , z=7.658493
x=0.22909546 , y=5.6901093 , z=7.9187164
x=-0.0101623535 , y=5.5851746 , z=8.177002
x=-0.018753052 , y=5.66568 , z=8.063965
x=0.22010803 , y=5.9540405 , z=7.5897675
x=0.3500061 , y=6.264389 , z=7.1373596
x=0.217453 , y=6.417267 , z=6.9649963
x=0.04425049 , y=6.4515686 , z=6.8629303
x=-0.021392822 , y=6.3974 , z=6.950348
x=-0.06336975 , y=6.2344055 , z=7.1412964
x=-0.025466919 , y=6.0814667 , z=7.4387665
x=0.052200317 , y=6.014786 , z=7.597229
x=0.10890198 , y=6.0057526 , z=7.6390076
x=0.14097595 , y=6.014389 , z=7.664139
x=0.1864624 , y=6.0526886 , z=7.5731964
x=0.17193604 , y=6.116272 , z=7.5396576
x=0.11817932 , y=6.172943 , z=7.448059
x=0.23788452 , y=6.287155 , z=7.310974
x=0.48579407 , y=6.415329 , z=7.251129
x=0.58239746 , y=6.496155 , z=7.0434265
x=0.54022217 , y=6.6119843 , z=6.998062
x=0.4163971 , y=6.563492 , z=6.853668
x=0.46113586 , y=6.4381256 , z=7.075943
x=0.6291046 , y=6.244171 , z=7.3952637
x=0.92381287 , y=5.7904205 , z=6.8888702
x=1.5541382 , y=6.274185 , z=8.820557
x=2.0519104 , y=6.017151 , z=7.5434875
x=0.17585754 , y=6.6469574 , z=7.5657654
x=-2.7182465 , y=5.3567657 , z=4.9674225
x=-1.7480164 , y=6.3274994 , z=8.321411
x=2.5348206 , y=6.076706 , z=7.89415
x=3.613678 , y=6.161209 , z=7.901657
x=0.51474 , y=5.978653 , z=8.080536
x=-0.8123474 , y=5.8182983 , z=7.347885
x=0.9957123 , y=6.6367493 , z=7.263977
x=1.9394073 , y=6.5539856 , z=6.7301483
x=1.409378 , y=6.438141 , z=7.3728333
x=1.2541809 , y=6.368683 , z=7.422714
x=1.0117798 , y=6.244705 , z=7.547989
x=0.81443787 , y=6.0672455 , z=7.7818604
x=1.5996094 , y=6.343796 , z=7.643814
x=1.7941132 , y=6.6110077 , z=7.1739655
x=0.5269623 , y=6.554489 , z=7.1010895
x=0.25961304 , y=6.696045 , z=6.9886475
x=1.6639099 , y=6.937851 , z=6.2747345
x=1.9358063 , y=6.941147 , z=6.866913
x=0.63752747 , y=6.338669 , z=7.33136
x=0.059387207 , y=6.299713 , z=7.309677
x=0.5269928 , y=6.6639404 , z=7.069519
x=0.94725037 , y=6.4676666 , z=6.714035
x=1.2852783 , y=6.613861 , z=7.5249634
x=1.3512268 , y=6.318268 , z=6.977249
x=0.67271423 , y=6.295578 , z=7.685074
x=0.36805725 , y=5.7693634 , z=7.9596252
x=1.0743713 , y=5.919235 , z=7.930664
x=1.3554688 , y=6.229645 , z=7.6644897
x=0.62646484 , y=6.2493896 , z=7.046234
x=0.13557434 , y=6.4873047 , z=6.747055
x=0.4867401 , y=6.598816 , z=6.7803497
x=0.8326416 , y=6.370865 , z=7.060074
x=0.84799194 , y=6.1536865 , z=7.447296
x=0.7937317 , y=6.114334 , z=7.426895
x=0.6212158 , y=6.134598 , z=7.466385
x=0.5771179 , y=6.1318665 , z=7.391922
x=0.9730835 , y=6.2082214 , z=7.4450684
x=1.1220398 , y=6.0848694 , z=7.3806
x=0.5920105 , y=6.014801 , z=7.6443634
x=0.18791199 , y=5.970398 , z=7.726822
x=0.5514984 , y=6.045578 , z=7.467621
x=1.0591888 , y=6.153412 , z=7.3564606
x=1.1796875 , y=6.1979523 , z=7.493286
x=1.1248627 , y=6.239929 , z=7.479126
x=0.85284424 , y=6.1921387 , z=7.363495
x=0.42060852 , y=6.0851135 , z=7.365616
x=0.4243927 , y=5.999649 , z=7.5300293
x=0.7880707 , y=6.1114044 , z=7.6933746
x=0.84576416 , y=6.138748 , z=7.5409546
