x=0.02453575710944005 , y=2.9045499455510044 , z=4.054839033443295
x=-0.10513907609614219 , y=2.997718684923045 , z=3.834070624402291
x=-0.13230693401489718 , y=3.107893084306572 , z=3.5588978360244043
x=-0.034652179350459174 , y=3.2200358373388043 , z=3.473213418084068
x=0.04697346284913631 , y=3.254138708694276 , z=3.4321831625695878
x=0.06783190810324362 , y=3.2473562808117227 , z=3.453941862593258
x=0.03990112241367271 , y=3.2183116205767606 , z=3.504836774184388
x=0.003135633138053439 , y=3.156758608027332 , z=3.5524968720272585
x=0.03401894930068196 , y=3.07847458946391 , z=3.715488760984372
x=0.15160137733883183 , y=3.001334962556712 , z=3.8019818823617735
x=0.20455619391116497 , y=2.959602813493081 , z=3.85512743087681
x=0.11086866365496977 , y=2.90999724983463 , z=3.8820969275751533
x=0.06969345186403446 , y=2.9243097748151365 , z=3.879220689879177
x=0.05814272541388141 , y=2.986282397638514 , z=3.8122966658232045
x=0.029830475838902547 , y=3.0169292061921897 , z=3.66746245781151
x=0.027885010023321943 , y=3.0242380542366063 , z=3.6451086741266034
x=0.10996077960769882 , y=3.0545339160157066 , z=3.7521932160383265
x=0.19938354362503302 , y=3.0673434732877056 , z=3.752704377644773
x=0.18834397878132664 , y=3.106008652712657 , z=3.730815979900064
x=0.1161938994952649 , y=3.1171779152774017 , z=3.703304804484442
x=0.09186413288394515 , y=3.102087203970663 , z=3.7144816963268954
x=0.14282007869674057 , y=3.1079541185282373 , z=3.8235651089981557
x=0.19508826027533938 , y=3.132619573358716 , z=3.8454687652982806
x=0.2273906220916855 , y=3.18925933106409 , z=3.7019925687186386
x=0.24551015664856365 , y=3.16779054359333 , z=3.327295852637815
x=0.01767703644980491 , y=3.34066234718251 , z=3.028403639865261
x=-0.30027311203773055 , y=3.5089871012576266 , z=3.5027463520923523
x=0.23881165082079986 , y=2.998596051859483 , z=3.5779481424616777
x=0.8255259944113683 , y=3.0673282147322896 , z=4.403931893535535
x=0.10432274338136915 , y=2.5133663603428484 , z=4.539168470190366
x=-0.6111738079229269 , y=2.7879211772263743 , z=4.064848645796399
x=0.05067366253759353 , y=3.3483602883900425 , z=3.3055752990026854
x=0.36308495540900537 , y=3.169934370629323 , z=3.0355141266892653
x=-0.06381127875104371 , y=2.9562535605791993 , z=4.227634544255393
x=0.05425179378272021 , y=2.7263834232323623 , z=3.922814382703599
x=0.14037870983012962 , y=3.248378604024616 , z=3.8204294758601023
x=-0.5832125051225233 , y=2.754176881923186 , z=3.324923147270577
x=-0.4850389595739305 , y=3.2430915145728614 , z=3.9608463320787726
x=0.3811739728550509 , y=3.390740926058867 , z=3.0220942272006135
x=0.36193293447507335 , y=3.5027539813700606 , z=3.2444800431157463
x=-0.14211818514758992 , y=3.0355446438000984 , z=3.47100855682641
x=-0.04689717007205472 , y=2.818270443949432 , z=4.284899902732835
x=-0.13455757093880413 , y=2.759959874425971 , z=4.3575153679590946
x=-0.6262111142857086 , y=2.8126629248339348 , z=3.8840805397792746
x=-0.4557577917300154 , y=3.0381004518323316 , z=3.606428236146236
x=0.2046248574105384 , y=3.1729784524348785 , z=3.4977262873603836
x=0.2879670870944697 , y=3.0487280356797974 , z=3.8282494855109657
x=-0.09704441244778526 , y=2.9379127769687847 , z=3.966614066026141
x=-0.2782397580165667 , y=2.9514852620116 , z=3.788745085538117
x=-0.2940705092609971 , y=2.954598007316529 , z=3.89106132888224
x=-0.2266810992648267 , y=2.961464357253872 , z=3.8594456020596284
x=-0.01934021899018362 , y=3.1679889048137424 , z=3.610166582223234
x=-0.07511023903682751 , y=3.2706332070993165 , z=3.3295846359502628
x=-0.46624804857873436 , y=3.112485909486884 , z=3.472442861035544
x=-0.5088423060233873 , y=2.9126217213662366 , z=3.903603861434454
x=-0.15186077278090926 , y=2.9275674763965207 , z=3.985778811629037
x=-0.03583471739522385 , y=2.9442374481888485 , z=3.7566639727753075
x=-0.21377999066032946 , y=2.9485479900939584 , z=3.7695955984906373
x=-0.26417899920042925 , y=2.9764940343389457 , z=3.7681765528369198
x=-0.31119060843810636 , y=2.9187556606435967 , z=3.7985944830593508
x=-0.39996488385024703 , y=2.9360817503188263 , z=4.017341133507692
x=-0.09959259120231044 , y=2.934731368164482 , z=3.7140544567752385
x=0.2930787031589364 , y=3.1583226099575046 , z=3.796999964018345
x=0.10358270344367772 , y=3.1033155176816765 , z=3.626546641462652
x=-0.26423240414438637 , y=3.1380211019760926 , z=3.7091259433757675
x=-0.1812792676235712 , y=3.173436209097368 , z=3.7780335796358613
x=-0.010238490684349672 , y=3.094579994705834 , z=3.6995359412966113
x=-0.08456291411723678 , y=3.0808015191648987 , z=3.7967176807431433
x=-0.10234676045495592 , y=3.2046475842014472 , z=3.6671420281477674
x=-0.06941116858883258 , y=3.2624393628407535 , z=3.4041913426583514
x=-0.19555364621553709 , y=3.143735430979504 , z=3.5446158281547304
x=-0.27882721240009495 , y=2.968078941026846 , z=3.7858993649529737
x=-0.19814760063631123 , y=2.9051297706568247 , z=3.8517247730189714
x=-0.21207866173140996 , y=2.9019178447416896 , z=3.810061287454714
x=-0.21692325307609106 , y=2.9059842497601385 , z=3.7503087844444107
x=0.010124051518727284 , y=2.9618610796946965 , z=3.7416266664125257
x=0.13881470789995698 , y=2.9931487475758574 , z=3.741489339413779
x=-0.051497624530074726 , y=2.9158183887259557 , z=3.7982664241179
x=-0.19335641423558725 , y=2.855653904719412 , z=3.905282302530249
x=-0.07073103363234412 , y=2.8857895516666408 , z=3.9272851394405803
x=0.025352089824213084 , y=2.9700778117863837 , z=3.84149391161233
x=0.011947448890977336 , y=3.089155578255333 , z=3.668477151746695
x=0.06259059431773824 , y=3.219234763179448 , z=3.507850338879111
x=0.11936004974415097 , y=3.257053092778793 , z=3.4671099959175407
x=0.06675617994639317 , y=3.169659716631829 , z=3.5765519846410845
x=0.04238826694653262 , y=3.0537175833009336 , z=3.6565983663550914
x=0.05145947814153393 , y=2.9921493121960885 , z=3.8482763394948836
x=-0.05792147636034479 , y=2.8924956867721128 , z=3.898042117985206
x=-0.1409280178251171 , y=2.8527013742463545 , z=3.9081127645599762
x=-0.0031661502488860758 , y=2.8908477627871503 , z=3.8749406650849
x=0.14256831253237132 , y=2.914002620631414 , z=3.829187886669069
x=0.11454597551030252 , y=2.8450110623165297 , z=3.9592975887040165
x=-0.00508109895363404 , y=2.7925445195175187 , z=4.088438372470027
x=-0.00937638230332768 , y=2.832796588705767 , z=4.031920683207984
x=0.11005233094019673 , y=2.97697467883456 , z=3.79482561987152
x=0.17500037206975616 , y=3.13214655814081 , z=3.5686251651023073
x=0.10872483661897703 , y=3.2085842914988576 , z=3.482444844110941
x=0.022124905353661736 , y=3.225734907786799 , z=3.431412605521064
x=-0.010696247346839225 , y=3.198650971922834 , z=3.4751207375111077
x=-0.03168439032198524 , y=3.1171550274442774 , z=3.5705935187510125
x=-0.012733264494917736 , y=3.0406867769753974 , z=3.7193262876715765
x=0.02609975903961269 , y=3.007346833390742 , z=3.79855633667081
x=0.05445015500313234 , y=3.0028303009875112 , z=3.81944529903575
x=0.07048689674568302 , y=3.0071484721703294 , z=3.832010719421088
x=0.09322977359370566 , y=3.026297959217809 , z=3.786540224280459
x=0.08596670121553808 , y=3.0580891594277086 , z=3.769771071877925
x=0.05908875584969315 , y=3.086424296835812 , z=3.723972517795845
x=0.11894043947020222 , y=3.143529440481384 , z=3.6554310868657427
x=0.24289331439466505 , y=3.2076153732299213 , z=3.6255090596943425
x=0.2911942715650211 , y=3.2480276572500406 , z=3.5216593315308793
x=0.270106947979669 , y=3.305941504332677 , z=3.4989774889045218
x=0.2081953593779569 , y=3.281695659776147 , z=3.4267816339522112
x=0.23056440161827976 , y=3.219013514125911 , z=3.537917322326966
