x=-0.22219849 , y=9.432404 , z=-0.79626465
x=-0.13397217 , y=9.451279 , z=-0.9920502
x=-0.11224365 , y=9.628433 , z=-1.209671
x=-0.22894287 , y=9.797195 , z=-1.3834839
x=-0.35694885 , y=9.867126 , z=-1.572937
x=-0.36984253 , y=9.877731 , z=-1.5923767
x=-0.2723236 , y=9.760788 , z=-1.4530792
x=-0.20489502 , y=9.544556 , z=-1.1930084
x=-0.2565155 , y=9.334274 , z=-0.87857056
x=-0.3821869 , y=9.21199 , z=-0.6388397
x=-0.5080414 , y=9.21669 , z=-0.5094452
x=-0.48631287 , y=9.36351 , z=-0.6113281
x=-0.34973145 , y=9.556946 , z=-0.87301636
x=-0.22872925 , y=9.724869 , z=-1.1151581
x=-0.23220825 , y=9.761841 , z=-1.2926025
x=-0.36175537 , y=9.733063 , z=-1.3338776
x=-0.52238464 , y=9.655945 , z=-1.312561
x=-0.49598694 , y=9.609131 , z=-1.259552
x=-0.28129578 , y=9.652267 , z=-1.12854
x=-0.06858826 , y=9.655273 , z=-1.1547852
x=-0.074539185 , y=9.625366 , z=-1.1382751
x=-0.23524475 , y=9.480133 , z=-1.0345917
x=-0.41285706 , y=9.337326 , z=-0.85980225
x=-0.44641113 , y=9.27211 , z=-0.63668823
x=-0.33476257 , y=9.341522 , z=-0.58631897
x=-0.19177246 , y=9.472794 , z=-0.77230835
x=-0.095443726 , y=9.719574 , z=-1.0692749
x=-0.08213806 , y=9.858597 , z=-1.3938293
x=-0.18334961 , y=9.895676 , z=-1.5112152
x=-0.28945923 , y=9.768845 , z=-1.3964081
x=-0.29244995 , y=9.556335 , z=-1.1513519
x=-0.21937561 , y=9.442276 , z=-0.9119873
x=-0.16035461 , y=9.426086 , z=-0.90444946
x=-0.20594788 , y=9.517761 , z=-1.0023804
x=-0.28279114 , y=9.630295 , z=-1.1547241
x=-0.3244171 , y=9.643875 , z=-1.2912903
x=-0.33988953 , y=9.555511 , z=-1.193924
x=-0.33346558 , y=9.447815 , z=-0.964859
x=-0.32157898 , y=9.399536 , z=-0.8292694
x=-0.3083954 , y=9.468048 , z=-0.8390045
x=-0.28437805 , y=9.584259 , z=-1.063446
x=-0.2744751 , y=9.703232 , z=-1.3211365
x=-0.2867279 , y=9.735992 , z=-1.4528046
x=-0.3093567 , y=9.6801605 , z=-1.3641968
x=-0.33753967 , y=9.549133 , z=-1.2003174
x=-0.3733368 , y=9.441986 , z=-1.0302277
x=-0.3018036 , y=9.442352 , z=-0.9454193
x=-0.2098999 , y=9.545715 , z=-1.057785
x=-0.18173218 , y=9.663849 , z=-1.2167664
x=-0.21768188 , y=9.674683 , z=-1.3312683
x=-0.22705078 , y=9.618607 , z=-1.2369995
x=-0.17677307 , y=9.51738 , z=-1.0671234
x=-0.16757202 , y=9.47287 , z=-0.893219
x=-0.21315002 , y=9.462891 , z=-0.93052673
x=-0.21435547 , y=9.581589 , z=-1.1638641
x=-0.19972229 , y=9.685425 , z=-1.3891449
x=-0.18107605 , y=9.716766 , z=-1.5299683
x=-0.13465881 , y=9.685196 , z=-1.4349213
x=-0.13952637 , y=9.588043 , z=-1.2665863
x=-0.19529724 , y=9.490936 , z=-1.098938
x=-0.23576355 , y=9.451782 , z=-1.0157166
x=-0.23446655 , y=9.493835 , z=-1.0717163
x=-0.20735168 , y=9.543777 , z=-1.1962738
x=-0.19589233 , y=9.569168 , z=-1.2286072
x=-0.21940613 , y=9.566818 , z=-1.1719971
x=-0.29109192 , y=9.533173 , z=-1.1159668
x=-0.40438843 , y=9.510147 , z=-1.0987244
x=-0.4618988 , y=9.524384 , z=-1.159317
x=-0.39674377 , y=9.61087 , z=-1.2727814
x=-0.30342102 , y=9.700378 , z=-1.4036255
x=-0.27853394 , y=9.7070465 , z=-1.4286804
x=-0.28349304 , y=9.645081 , z=-1.3431854
x=-0.342865 , y=9.561951 , z=-1.2127838
x=-0.42236328 , y=9.485107 , z=-1.0469971
x=-0.47590637 , y=9.420563 , z=-1.1047058
x=-0.3685913 , y=9.458679 , z=-1.0394135
x=-0.2646637 , y=9.570297 , z=-1.1209259
x=-0.31062317 , y=9.625961 , z=-1.17099
x=-0.43875122 , y=9.616577 , z=-1.199173
x=-0.4006195 , y=9.60994 , z=-1.0970306
x=-0.34510803 , y=9.542984 , z=-1.1209412
x=-0.35891724 , y=9.528168 , z=-1.2492218
x=-0.43049622 , y=9.638504 , z=-1.422409
x=-0.45539856 , y=9.769775 , z=-1.5570831
x=-0.41445923 , y=9.864899 , z=-1.5846405
x=-0.32022095 , y=9.826691 , z=-1.4893494
x=-0.28349304 , y=9.629929 , z=-1.2333527
x=-0.31874084 , y=9.421082 , z=-0.86958313
x=-0.3711548 , y=9.27298 , z=-0.6076813
x=-0.40733337 , y=9.262833 , z=-0.5540161
x=-0.39395142 , y=9.363281 , z=-0.67910767
x=-0.37483215 , y=9.540802 , z=-0.8926697
x=-0.355011 , y=9.675232 , z=-1.1275177
x=-0.3038025 , y=9.7235565 , z=-1.2876282
x=-0.25585938 , y=9.682114 , z=-1.3193207
x=-0.306015 , y=9.621262 , z=-1.2658081
x=-0.38867188 , y=9.598068 , z=-1.1937714
x=-0.3795166 , y=9.583054 , z=-1.162323
x=-0.25205994 , y=9.5924225 , z=-1.1463318
x=-0.17951965 , y=9.569351 , z=-1.0563812
x=-0.20899963 , y=9.502869 , z=-0.89933777
x=-0.29341125 , y=9.434479 , z=-0.73654175
x=-0.38104248 , y=9.407928 , z=-0.63694763
x=-0.43434143 , y=9.381546 , z=-0.65415955
x=-0.41955566 , y=9.457794 , z=-0.769104
x=-0.3853302 , y=9.547043 , z=-0.9841461
x=-0.38493347 , y=9.643387 , z=-1.1280823
x=-0.5012512 , y=9.657684 , z=-1.129242
x=-0.5727997 , y=9.628174 , z=-1.0226746
x=-0.5762329 , y=9.551956 , z=-0.9480896
x=-0.53897095 , y=9.434189 , z=-0.91651917
x=-0.42469788 , y=9.396194 , z=-0.8210144
x=-0.33795166 , y=9.456955 , z=-0.7875824
x=-0.3553772 , y=9.5103 , z=-0.95433044
x=-0.44226074 , y=9.552643 , z=-1.1217499
x=-0.5079193 , y=9.569763 , z=-1.1568756
x=-0.49993896 , y=9.586853 , z=-1.071701
x=-0.497406 , y=9.542831 , z=-1.026413
x=-0.50971985 , y=9.520615 , z=-0.9414978
x=-0.5386963 , y=9.550262 , z=-0.9251251
x=-0.5726929 , y=9.590195 , z=-0.950943
x=-0.5019989 , y=9.575073 , z=-0.94892883
x=-0.37376404 , y=9.520737 , z=-0.8948059
x=-0.41828918 , y=9.452942 , z=-0.83413696
x=-0.67256165 , y=9.441956 , z=-0.8752899
x=-0.9192047 , y=9.510147 , z=-1.0355377
x=-0.90063477 , y=9.681763 , z=-1.2083282
x=-0.6471405 , y=9.771301 , z=-1.374115
x=-0.46705627 , y=9.773178 , z=-1.3441162
x=-0.4737091 , y=9.621582 , z=-1.2269287
x=-0.52168274 , y=9.484238 , z=-0.9709778
x=-0.6257019 , y=9.380783 , z=-0.81843567
x=-0.7285309 , y=9.361053 , z=-0.8567505
x=-0.76345825 , y=9.485428 , z=-0.9427185
x=-0.68278503 , y=9.609436 , z=-1.1877289
x=-0.58192444 , y=9.693054 , z=-1.2787018
x=-0.5815277 , y=9.662857 , z=-1.2754211
x=-0.64382935 , y=9.576126 , z=-1.0657959
x=-0.6755676 , y=9.501724 , z=-0.90267944
x=-0.6838989 , y=9.434296 , z=-0.9961853
x=-0.62646484 , y=9.477402 , z=-1.0502472
x=-0.49853516 , y=9.600189 , z=-1.1145935
x=-0.4550171 , y=9.677673 , z=-1.1955261
x=-0.58496094 , y=9.615433 , z=-1.213562
x=-0.663208 , y=9.513214 , z=-1.1162567
x=-0.5833435 , y=9.471085 , z=-0.95370483
x=-0.48310852 , y=9.470581 , z=-0.9230194
x=-0.44326782 , y=9.528748 , z=-1.0198822
x=-0.4113617 , y=9.635605 , z=-1.122406
x=-0.33648682 , y=9.680252 , z=-1.1684418
x=-0.3740387 , y=9.650589 , z=-1.0994415
x=-0.5179901 , y=9.536331 , z=-0.9716034
x=-0.57637024 , y=9.4040985 , z=-0.87120056
x=-0.5481262 , y=9.379105 , z=-0.81715393
x=-0.5305786 , y=9.408356 , z=-0.9143982
x=-0.46443176 , y=9.539841 , z=-1.021759
x=-0.34733582 , y=9.708801 , z=-1.1776276
x=-0.30743408 , y=9.7656555 , z=-1.2709503
x=-0.42893982 , y=9.730515 , z=-1.218216
x=-0.5161438 , y=9.605209 , z=-1.1490936
x=-0.5559845 , y=9.518127 , z=-1.0888672
x=-0.62120056 , y=9.51622 , z=-1.0249786
x=-0.63786316 , y=9.522903 , z=-0.9966583
x=-0.5560303 , y=9.563568 , z=-1.0356903
x=-0.45570374 , y=9.629105 , z=-1.0776062
x=-0.48634338 , y=9.601334 , z=-1.0558777
x=-0.55714417 , y=9.527313 , z=-1.013916
x=-0.61087036 , y=9.492722 , z=-1.0107117
x=-0.6360321 , y=9.498856 , z=-1.0061798
x=-0.61683655 , y=9.546738 , z=-0.97810364
x=-0.5369415 , y=9.633102 , z=-0.98405457
x=-0.44418335 , y=9.656082 , z=-1.0793457
x=-0.4438324 , y=9.584702 , z=-1.1485748
x=-0.50953674 , y=9.518585 , z=-1.0765839
x=-0.5770416 , y=9.478699 , z=-0.94914246
x=-0.64816284 , y=9.44548 , z=-0.88246155
x=-0.6609497 , y=9.434586 , z=-0.8559723
x=-0.6001282 , y=9.377243 , z=-1.1570282
x=-0.44563293 , y=9.8823395 , z=-0.21109009
x=-0.32382202 , y=9.466721 , z=-1.5752869
x=-0.4548645 , y=9.559891 , z=-1.752121
x=-0.7253113 , y=9.8736725 , z=-0.5205536
