x=-0.11109754198621455 , y=4.716129566631119 , z=-0.3981262279225807
x=-0.06698505827763794 , y=4.725566983156112 , z=-0.49601749019597163
x=-0.05612096682121921 , y=4.814142897347841 , z=-0.6048262488697383
x=-0.11446968273322092 , y=4.898522708800082 , z=-0.69173135124338
x=-0.17847169342696861 , y=4.933487688536575 , z=-0.7864564632678849
x=-0.18491843309036315 , y=4.938790036543746 , z=-0.7961761630680798
x=-0.13615971925751758 , y=4.880319252188413 , z=-0.7265284868702943
x=-0.10244594106516199 , y=4.772204757786089 , z=-0.5964950776124285
x=-0.12825578755186462 , y=4.667065681689947 , z=-0.4392785518803915
x=-0.19109051875626396 , y=4.6059246501367594 , z=-0.319414969807502
x=-0.2540168012931612 , y=4.6082744676708725 , z=-0.25471869484231185
x=-0.24315270983674248 , y=4.68168337777878 , z=-0.30565938209969096
x=-0.1748630450710093 , y=4.7783997312851145 , z=-0.4365014947946215
x=-0.11436287284530669 , y=4.862359932463407 , z=-0.5575705027454002
x=-0.11610234816276699 , y=4.880845672350277 , z=-0.6462913732135838
x=-0.18087491590503876 , y=4.8664568545926885 , z=-0.6669285694141545
x=-0.2611883223388309 , y=4.827898485055652 , z=-0.656270468455856
x=-0.2479896719037154 , y=4.804491861047019 , z=-0.6297663576977108
x=-0.1406457345499152 , y=4.826059829127985 , z=-0.5642613792954558
x=-0.03429360329817569 , y=4.827562796836492 , z=-0.5773837369534897
x=-0.037269021604357785 , y=4.8126094125285 , z=-0.5691288584732614
x=-0.11762057442669067 , y=4.739993947302241 , z=-0.5172879164463196
x=-0.20642536694966399 , y=4.668591537231579 , z=-0.42989454029935564
x=-0.22320214862990612 , y=4.6359840043069065 , z=-0.3183392416506516
x=-0.16737872363930512 , y=4.670689588601323 , z=-0.29315499593601796
x=-0.09588476223614506 , y=4.736324264724616 , z=-0.38614826192077073
x=-0.04772113206453591 , y=4.859712573098675 , z=-0.5346292646769655
x=-0.04106840190302107 , y=4.929222922297714 , z=-0.696904001529512
x=-0.09167340094124117 , y=4.947762067128541 , z=-0.7555960349383809
x=-0.14472739812378038 , y=4.884347510818322 , z=-0.6981933494621909
x=-0.1462227365545796 , y=4.778094560176788 , z=-0.5756671494691539
x=-0.10968612561020509 , y=4.721065709308298 , z=-0.4559866700612602
x=-0.08017607943504523 , y=4.712971045659941 , z=-0.45221780687342955
x=-0.10297236122702498 , y=4.758807746130562 , z=-0.5011825112043954
x=-0.1413934037653148 , y=4.815073669228236 , z=-0.5773532198426571
x=-0.16220607335317316 , y=4.821863726388497 , z=-0.6456352553306821
x=-0.1699421609492466 , y=4.7776825791805475 , z=-0.5969528342749181
x=-0.16673023503411158 , y=4.72383513711636 , z=-0.4824221173200319
x=-0.16078702769945555 , y=4.699696102447744 , z=-0.41462835560532907
x=-0.15419533175960598 , y=4.733951559357379 , z=-0.4194958347831346
x=-0.14218684864696335 , y=4.79205613838272 , z=-0.5317148805924486
x=-0.13723544741436802 , y=4.851541616673237 , z=-0.6605581225278415
x=-0.14336175741401988 , y=4.867921675912655 , z=-0.7263911598715473
x=-0.15467597625522 , y=4.8400061487785 , z=-0.6820879442202668
x=-0.16876725218219008 , y=4.774493541098537 , z=-0.6001495016346368
x=-0.1866655376855316 , y=4.720920753031843 , z=-0.515105943021786
x=-0.15089948378968118 , y=4.721103855696839 , z=-0.47270241751983705
x=-0.10494834415343822 , y=4.7727845828919095 , z=-0.5288844185627215
x=-0.09086469750417629 , y=4.831850450908478 , z=-0.6083738630040324
x=-0.10883927578459941 , y=4.837267238081271 , z=-0.6656239629260592
x=-0.11352365229740918 , y=4.809229642503786 , z=-0.6184902852450516
x=-0.08838518224902456 , y=4.758617014187858 , z=-0.533553536520115
x=-0.08378472779100454 , y=4.7363624111131575 , z=-0.44660265848022435
x=-0.10657338030527613 , y=4.731372863492021 , z=-0.46525624247667363
x=-0.10717609324422071 , y=4.7907210147837915 , z=-0.5819231571898444
x=-0.09985961592209601 , y=4.842638249587815 , z=-0.6945618132731072
x=-0.09053663856272545 , y=4.858308786000374 , z=-0.7649724172417086
x=-0.06732837577450511 , y=4.842523810422193 , z=-0.7174496463975848
x=-0.0697621153634079 , y=4.793948199254343 , z=-0.6332834547211723
x=-0.09764712538672984 , y=4.745395475919618 , z=-0.5494605805416269
x=-0.11787996986876809 , y=4.7258187493204815 , z=-0.5078504999213266
x=-0.11723148126357456 , y=4.746845038684168 , z=-0.535849949110271
x=-0.10367425477617563 , y=4.771815664622973 , z=-0.5981277430419746
x=-0.09794466721734806 , y=4.78451078272935 , z=-0.614294182505564
x=-0.1097013841656214 , y=4.783335873962294 , z=-0.5859895622082932
x=-0.14554373083855343 , y=4.766513316615803 , z=-0.5579748544639326
x=-0.20219111782163562 , y=4.75500073655419 , z=-0.5493537706537127
x=-0.2309458655036877 , y=4.762118852655902 , z=-0.579649632432813
x=-0.19836884968984786 , y=4.805361598705749 , z=-0.6363809414706849
x=-0.15170818722674606 , y=4.850114941741811 , z=-0.7018019978181502
x=-0.13926483528473838 , y=4.853448936100277 , z=-0.7143292718149477
x=-0.14174435053989012 , y=4.822466439327442 , z=-0.6715824288161315
x=-0.17142987010233765 , y=4.780902134373391 , z=-0.6063826215222029
x=-0.21117840696184717 , y=4.742481091835101 , z=-0.523490519223053
x=-0.23794954243977787 , y=4.710209247129588 , z=-0.5523444475153111
x=-0.1842928323182941 , y=4.729267182844569 , z=-0.5196987682020978
x=-0.13232982184802164 , y=4.7850753492797535 , z=-0.5604543697190844
x=-0.15530920630499723 , y=4.812906954359119 , z=-0.5854860298795548
x=-0.21937225122041018 , y=4.808214948568601 , z=-0.5995773058065249
x=-0.2003066862277203 , y=4.804896212765551 , z=-0.548506920828107
x=-0.17255137392543704 , y=4.771418942182149 , z=-0.5604619989967925
x=-0.17945587025132115 , y=4.764010913527526 , z=-0.6246013366892871
x=-0.21524481198029605 , y=4.819178220635226 , z=-0.7111936386768942
x=-0.22769579320001188 , y=4.884812896758519 , z=-0.7785296437291075
x=-0.2072264411090207 , y=4.932373813991184 , z=-0.7923081192700431
x=-0.16010802198342935 , y=4.913270102609953 , z=-0.7446632799825887
x=-0.14174435053989012 , y=4.81489056656324 , z=-0.6166668878728016
x=-0.15936798204573793 , y=4.710468642571665 , z=-0.43478490731028574
x=-0.18557455097326483 , y=4.636418873136272 , z=-0.3038359847274409
x=-0.20366356841931035 , y=4.631345403460346 , z=-0.27700381502784494
x=-0.1969726918692547 , y=4.681568938613157 , z=-0.3395486336793342
x=-0.18741320690093122 , y=4.770327955469882 , z=-0.44632800448273063
x=-0.1775027751580324 , y=4.8375418920787645 , z=-0.5637502176890091
