x=0.044174194 , y=9.569199 , z=-1.2114868
x=0.04159546 , y=9.486664 , z=-1.281784
x=0.037124634 , y=9.359177 , z=-1.2438202
x=0.008483887 , y=9.45784 , z=-0.9368744
x=-0.16497803 , y=9.5338745 , z=-1.3525238
x=-0.23072815 , y=9.672195 , z=-1.414978
x=0.09767151 , y=9.685898 , z=-1.2354279
x=0.48283386 , y=9.71315 , z=-1.1644135
x=0.30326843 , y=9.72023 , z=-1.354187
x=-0.23957825 , y=9.618927 , z=-1.5595703
x=-0.3474884 , y=9.536026 , z=-1.3194733
x=-0.026443481 , y=9.470749 , z=-1.0724487
x=0.16819763 , y=9.41037 , z=-1.0892487
x=0.15722656 , y=9.446945 , z=-1.0786133
x=0.13977051 , y=9.50473 , z=-1.2309875
x=-0.015411377 , y=9.603729 , z=-1.4013672
x=-0.25660706 , y=9.644043 , z=-1.5578766
x=-0.14691162 , y=9.645401 , z=-1.6098328
x=0.28903198 , y=9.727478 , z=-1.3330841
x=0.41322327 , y=9.645645 , z=-1.1891785
x=0.1159668 , y=9.55423 , z=-1.1396179
x=-0.07092285 , y=9.555237 , z=-1.1345825
x=-0.049942017 , y=9.520355 , z=-1.2220764
x=-0.04121399 , y=9.459824 , z=-1.1117859
x=0.022338867 , y=9.431152 , z=-1.0170746
x=0.21684265 , y=9.433365 , z=-1.1295929
x=0.27656555 , y=9.527222 , z=-1.1525116
x=0.08409119 , y=9.564438 , z=-1.2818451
x=-0.049438477 , y=9.585602 , z=-1.5446014
x=-0.038482666 , y=9.599899 , z=-1.614624
x=-0.06008911 , y=9.559967 , z=-1.4703674
x=-0.09222412 , y=9.58255 , z=-1.3384552
x=0.10597229 , y=9.569962 , z=-1.2310638
x=0.36538696 , y=9.575592 , z=-1.0945587
x=0.3348236 , y=9.576645 , z=-1.1465607
x=0.013961792 , y=9.531921 , z=-1.2418976
x=-0.19831848 , y=9.51207 , z=-1.2376404
x=-0.13819885 , y=9.492493 , z=-1.1941376
x=0.0010070801 , y=9.469269 , z=-1.0711212
x=0.14137268 , y=9.471985 , z=-1.0595703
x=0.2232666 , y=9.542923 , z=-1.2610626
x=0.10429382 , y=9.646362 , z=-1.4362793
x=-0.0993042 , y=9.712952 , z=-1.5858002
x=-0.12538147 , y=9.717499 , z=-1.6885834
x=0.053253174 , y=9.719116 , z=-1.5371857
x=0.2636261 , y=9.61644 , z=-1.3442078
