BUMPER : 1
time : 2019-11-17 21:07:31
position : 23.54982545 , 87.29913071
----------------------------------
ACCELEROMETER DATA
----------------------------------
x=-0.940506 , y=1.2179565 , z=15.19519
x=3.2949371 , y=6.1902466 , z=11.064865
x=3.54451 , y=13.253357 , z=4.501831
x=0.693985 , y=17.997284 , z=4.5973053
x=-2.6313171 , y=16.066284 , z=-1.099411
x=-3.6084595 , y=11.34166 , z=2.7247162
x=-3.6589355 , y=3.1297455 , z=-5.9071045
x=-2.9080048 , y=-5.82045 , z=-10.306213
x=0.17286682 , y=-6.652298 , z=0.13798523
x=4.2917786 , y=-1.264267 , z=6.023636
x=5.8773346 , y=11.834274 , z=4.368225
x=3.0128174 , y=24.958511 , z=-6.0884857
x=-0.66578674 , y=32.683777 , z=-15.242279
x=0.41558838 , y=28.591736 , z=-19.07019
x=3.9269714 , y=18.975601 , z=-11.770493
x=3.5976562 , y=5.765686 , z=-6.8462067
x=-1.4121704 , y=-3.5261688 , z=5.6792603
x=-5.063553 , y=-8.899185 , z=16.936874
x=-3.771469 , y=-6.49559 , z=27.786621
x=-0.122421265 , y=2.317398 , z=26.399094
x=-0.43229675 , y=15.35347 , z=17.03128
x=-3.2963867 , y=27.268082 , z=9.846512
x=0.88731384 , y=25.131912 , z=-5.592209
x=10.477982 , y=19.500183 , z=-4.68515
x=10.9844055 , y=6.322098 , z=-10.380341
x=-0.24845886 , y=0.8944702 , z=3.908371
x=-9.138962 , y=-9.853836 , z=-0.47956848
x=-7.220932 , y=0.8562622 , z=31.01149
x=2.244751 , y=3.6990814 , z=22.001282
x=6.7570953 , y=26.555038 , z=22.946579
x=1.0301971 , y=34.408356 , z=-17.872818
x=-2.525879 , y=36.202972 , z=-28.958923
-----------------------------------
GPS DATA
-----------------------------------
 23.55085903 , 87.29736426 , 27.612000274658204
 23.5508212 , 87.29743301 , 29.412000274658205
 23.55078661 , 87.2975057 , 29.412000274658205
 23.55075881 , 87.29754689 , 18.68400020599365
 23.55073588 , 87.29758217 , 17.17199993133545
 23.55070738 , 87.29762305 , 18.82800006866455
 23.55067575 , 87.29767381 , 24.912000274658205
 23.55064245 , 87.29773586 , 28.25999965667725
 23.55059969 , 87.29780118 , 30.204001235961915
 23.55056181 , 87.29788008 , 33.587999725341795
 23.55051768 , 87.29794761 , 29.483998489379882
 23.55049156 , 87.29801364 , 23.36399917602539
 23.55046402 , 87.29807112 , 23.219999313354492
 23.55042833 , 87.29812412 , 23.147999382019044
 23.55039296 , 87.2981828 , 25.41599979400635
 23.55035938 , 87.29823754 , 27.756000137329103
 23.55033448 , 87.29828027 , 26.675999450683594
 23.55030129 , 87.29833772 , 20.303999519348146
 23.55027734 , 87.29838788 , 16.12800006866455
 23.55025349 , 87.29842901 , 20.231999588012695
 23.55021583 , 87.29848224 , 22.824000549316406
 23.55018066 , 87.29853361 , 26.13600082397461
 23.55014864 , 87.29859313 , 28.11599979400635
 23.55011374 , 87.29866303 , 30.492000961303713
 23.55007571 , 87.29872805 , 26.712000274658205
 23.5500395 , 87.29877785 , 17.1
 23.55001153 , 87.29882112 , 19.187999725341797
 23.5499809 , 87.2988707 , 22.3560001373291
 23.54994806 , 87.2989232 , 25.703999519348145
 23.54991251 , 87.29898775 , 27.82800006866455
 23.54987134 , 87.29905648 , 30.41999931335449
 23.54982545 , 87.29913071 , 29.8439998626709
-----------------------------------
