x=0.02208675896512094 , y=4.784526041284766 , z=-0.6057341329170094
x=0.02079741103244203 , y=4.743259278161333 , z=-0.6408822153184989
x=0.01856203266395138 , y=4.679516662909663 , z=-0.6219005723805987
x=0.004241878405736526 , y=4.72884757257062 , z=-0.4684300220032679
x=-0.08248775058061747 , y=4.766864263390378 , z=-0.676251546773525
x=-0.11536230822507555 , y=4.836023665814841 , z=-0.7074781804330207
x=0.04883500660992716 , y=4.8428747571967685 , z=-0.6177044696411111
x=0.24141323451928215 , y=4.85650064718354 , z=-0.5821978111873382
x=0.15163189444966446 , y=4.860040632040127 , z=-0.6770831380437143
x=-0.1197872892958079 , y=4.809389857335657 , z=-0.7797732159955374
x=-0.1737415412479099 , y=4.7679399915472285 , z=-0.6597265312576521
x=-0.013221538268239926 , y=4.7353019415117235 , z=-0.5362161544402625
x=0.08409752817703907 , y=4.705112889620537 , z=-0.5446159891969459
x=0.07861207750487259 , y=4.723400268286995 , z=-0.5392983826343588
x=0.06988418380673844 , y=4.7522923429677935 , z=-0.6154843498280368
x=-0.007705570485240811 , y=4.801791096738331 , z=-0.7006728647173427
x=-0.1283015632181136 , y=4.821947648443287 , z=-0.7789263661699317
x=-0.07345468577415695 , y=4.822626654159314 , z=-0.8049040567662139
x=0.14451377834795193 , y=4.863664538951502 , z=-0.6665318469733301
x=0.2066084696146598 , y=4.822748722602644 , z=-0.5945801289076805
x=0.057982510582010066 , y=4.777041719853062 , z=-0.5698002349115794
x=-0.03546088278752405 , y=4.777545252181801 , z=-0.5672825732678869
x=-0.024970625938805124 , y=4.760104723340949 , z=-0.6110288516464718
x=-0.02060667908973805 , y=4.729839378672681 , z=-0.555884432371897
x=0.011169262564745097 , y=4.71550396585905 , z=-0.5085295056373528
x=0.10841966551065066 , y=4.716610211126733 , z=-0.5647877994573188
x=0.13828065846038584 , y=4.763537898309621 , z=-0.576246974574974
x=0.042044949449665456 , y=4.782145706639821 , z=-0.6409127324293316
x=-0.02471885977443587 , y=4.7927275148210375 , z=-0.7722888945638332
x=-0.01924103837997755 , y=4.799876148033583 , z=-0.8072996499665759
x=-0.030044095614731006 , y=4.77991032827133 , z=-0.7351724585136387
x=-0.04611135446811432 , y=4.791201659279405 , z=-0.6692173527266022
x=0.052985333683165776 , y=4.784907505170175 , z=-0.6155224962165776
x=0.18269068399958066 , y=4.787722708644485 , z=-0.5472709778393853
x=0.16740924075013774 , y=4.788249128806348 , z=-0.5732715562687919
x=0.006980789102965685 , y=4.765887715843734 , z=-0.6209392833893707
x=-0.09915772237294537 , y=4.7559620255454185 , z=-0.6188107149087942
x=-0.06909836820279805 , y=4.74617366224585 , z=-0.5970596441628323
x=5.035323287385084E-4 , y=4.734561901574032 , z=-0.5355524072796527
x=0.07068525796609516 , y=4.735919913006084 , z=-0.5297770440545762
x=0.11163159142578569 , y=4.771388425071316 , z=-0.6305216561908187
x=0.05214611313526826 , y=4.823107298654928 , z=-0.718128652113611
x=-0.04965133932470019 , y=4.856401466573335 , z=-0.7928879443758632
x=-0.06268977492794431 , y=4.858674991330366 , z=-0.8442787590180236
x=0.026626179201475673 , y=4.859483694767431 , z=-0.7685810655976679
x=0.13181103096386682 , y=4.808146285069228 , z=-0.6720935904225782
x=0.12207607260825566 , y=4.779589898607587 , z=-0.5906586801656867
x=0.03659764516603977 , y=4.780017138159244 , z=-0.5961670186709777
x=-0.05128400475424627 , y=4.7611804514978 , z=-0.6300410116952047
x=-0.05840975013366698 , y=4.754016559729838 , z=-0.5821367769656729
x=0.02674824764480622 , y=4.734065998523001 , z=-0.5739505619848181
x=0.15287546671609442 , y=4.759044253739515 , z=-0.5659855960574998
x=0.15505744014062797 , y=4.77038136041384 , z=-0.5550299532685832
x=0.04423455215190715 , y=4.780131577324867 , z=-0.5939392695801952
x=-0.02654988642439408 , y=4.812617041806209 , z=-0.6563772783437702
x=-0.011062452676830868 , y=4.832163251294513 , z=-0.7166867186267689
x=0.05626592309767424 , y=4.818377146475869 , z=-0.7239726788380609
x=0.08562338371867091 , y=4.79445936086079 , z=-0.6817675145565241
x=0.05693729953599225 , y=4.766375989617056 , z=-0.6457954701625535
x=-0.0015868897632971175 , y=4.749728905657852 , z=-0.5848070241635286
x=-0.008621083810219917 , y=4.73485944340465 , z=-0.5318216904803629
