x=-0.18678284 , y=0.27207947 , z=11.66124
x=-3.31781 , y=-0.4058075 , z=9.983643
x=-0.40016174 , y=0.047454834 , z=8.924088
x=2.3838806 , y=0.38545227 , z=9.601868
x=-1.0807495 , y=-1.5239105 , z=9.481964
x=-1.728302 , y=-1.020401 , z=11.280731
x=1.5841064 , y=-0.7997589 , z=9.952423
x=0.3726654 , y=-0.457489 , z=9.735199
x=-1.9094849 , y=0.4494171 , z=11.97728
x=-0.2666626 , y=0.57369995 , z=9.568024
x=0.31950378 , y=1.0736694 , z=8.25502
x=-0.5662079 , y=0.98526 , z=9.462967
x=0.21969604 , y=-0.14598083 , z=8.341888
x=0.378891 , y=-1.1149597 , z=8.108856
x=0.066848755 , y=-1.0580292 , z=10.073486
x=0.9459686 , y=-0.030807495 , z=11.401047
x=-0.40185547 , y=0.6022339 , z=10.621368
x=-2.7410736 , y=0.37208557 , z=8.241196
x=-0.74586487 , y=0.696167 , z=7.876587
x=1.5653534 , y=0.3398285 , z=9.400787
x=-0.44682312 , y=-1.293335 , z=10.673691
x=-1.1594543 , y=-1.6695557 , z=11.89653
x=0.9233856 , y=-0.8627167 , z=10.303925
x=0.10441589 , y=0.34417725 , z=10.440826
x=-1.8287354 , y=0.51797485 , z=11.301239
x=-0.91845703 , y=0.75231934 , z=8.919571
x=-0.19789124 , y=1.3853912 , z=7.9745483
x=-1.2312622 , y=1.0096436 , z=9.236343
x=-1.2349854 , y=-0.9352722 , z=7.7167816
x=0.22854614 , y=-1.3040771 , z=8.451538
x=1.5596924 , y=-0.8561249 , z=10.090454
x=1.5370483 , y=-0.2982483 , z=10.638809
x=-0.013793945 , y=0.58781433 , z=11.193619
x=-0.73565674 , y=0.44610596 , z=8.858765
x=0.45335388 , y=0.5798187 , z=8.925049
x=1.2251434 , y=-0.35572815 , z=10.225967
x=1.137497 , y=-1.5742035 , z=10.314362
x=1.6889038 , y=-1.281784 , z=11.693939
x=1.1406097 , y=-1.3189087 , z=10.884613
x=-0.7399292 , y=-0.53964233 , z=10.275864
x=-0.3784027 , y=0.36535645 , z=10.946579
x=1.3941193 , y=0.43093872 , z=9.470505
x=1.7301636 , y=0.69007874 , z=10.068863
x=1.5113525 , y=0.621109 , z=10.772919
x=0.7926178 , y=-0.8543396 , z=8.214325
x=-0.29797363 , y=-1.2799072 , z=8.86142
x=0.647583 , y=-0.52760315 , z=10.671143
x=1.7054138 , y=0.4392395 , z=11.193375
x=-0.22340393 , y=0.95999146 , z=10.680222
x=-1.2030487 , y=0.89793396 , z=8.044556
x=0.87739563 , y=1.4082947 , z=7.5778503
x=1.1660767 , y=0.2883911 , z=8.730087
x=-0.20046997 , y=-0.939209 , z=9.724579
x=1.0066986 , y=-0.8508606 , z=10.461914
x=1.4230042 , y=0.032424927 , z=9.346603
x=-0.9266968 , y=1.0897217 , z=10.020508
x=-1.1613007 , y=1.0475006 , z=9.080093
x=0.088974 , y=1.303421 , z=7.4443665
x=0.022583008 , y=1.0851288 , z=9.10257
x=0.016143799 , y=0.19830322 , z=10.304489
x=0.06021118 , y=-1.3873901 , z=8.773865
x=-0.49777222 , y=-1.5809631 , z=9.381287
x=-0.59806824 , y=-0.7915344 , z=10.494705
x=-0.9599304 , y=0.07394409 , z=10.9188385
x=-1.8747559 , y=0.15048218 , z=10.494965
x=-0.85783386 , y=-0.09307861 , z=9.503891
x=0.7385864 , y=-0.36065674 , z=9.597839
x=-0.2166748 , y=-1.4572296 , z=10.371384
x=-0.85424805 , y=-1.8474579 , z=11.040741
x=0.8221741 , y=-1.5904694 , z=10.886978
x=0.8139038 , y=-1.1963501 , z=10.2388
x=-0.7658386 , y=-0.12489319 , z=11.517105
x=-0.58872986 , y=0.27198792 , z=10.623596
x=-0.11315918 , y=0.35331726 , z=9.07428
x=-0.068603516 , y=0.64627075 , z=10.80101
x=0.7009125 , y=0.005050659 , z=9.903519
x=0.33570862 , y=-1.3683167 , z=8.397369
x=-0.5490875 , y=-1.1350555 , z=10.375977
x=0.6255951 , y=0.12670898 , z=10.387085
x=0.67671204 , y=1.1361847 , z=9.959702
x=-1.580246 , y=1.090683 , z=9.395691
x=-0.68782043 , y=0.60321045 , z=6.832306
x=1.6046143 , y=1.4304352 , z=8.680878
x=0.021591187 , y=-0.4664154 , z=9.33786
x=-0.28041077 , y=-0.96173096 , z=10.569138
x=2.497467 , y=-0.012969971 , z=9.913544
x=1.710556 , y=1.2440491 , z=9.094284
x=-1.194931 , y=1.0569763 , z=9.946213
x=-0.3912506 , y=0.77853394 , z=8.9653015
x=1.4411011 , y=1.1655273 , z=8.796371
x=0.52238464 , y=0.6882782 , z=10.157852
x=-0.53189087 , y=-0.64486694 , z=9.396759
x=0.19848633 , y=-1.1328583 , z=8.259384
x=1.1666412 , y=-0.59173584 , z=9.134232
x=1.2164307 , y=-0.24876404 , z=10.669159
x=0.48973083 , y=0.094573975 , z=11.764999
x=-0.13191223 , y=-0.11036682 , z=10.323151
x=-0.11854553 , y=-0.07672119 , z=9.291077
x=-0.12445068 , y=-0.7502594 , z=9.291153
x=0.16496277 , y=-1.0147552 , z=10.653656
x=1.4384766 , y=-1.5029297 , z=12.064606
x=1.2728424 , y=-1.5814362 , z=11.207169
x=-0.700058 , y=-0.0642395 , z=11.482666
x=-1.2131805 , y=0.30523682 , z=9.897461
x=0.016723633 , y=0.43771362 , z=7.427475
x=1.6726685 , y=1.196106 , z=10.156586
x=2.2988586 , y=0.20803833 , z=10.056229
x=0.2687378 , y=-1.6254272 , z=8.067566
x=-1.1711578 , y=-0.5699005 , z=11.324646
x=0.4419403 , y=0.08859253 , z=10.123062
x=0.7665558 , y=0.46406555 , z=9.96402
x=-0.36260986 , y=0.4976349 , z=8.561157
x=0.5608978 , y=0.8360748 , z=5.7822113
x=0.8929291 , y=1.1274261 , z=8.342667
x=-0.9380188 , y=-0.622345 , z=12.806778
x=-0.29870605 , y=-3.1134949 , z=11.692017
x=2.0944824 , y=0.17556763 , z=11.388916
x=0.2098999 , y=1.3040161 , z=8.430252
x=-2.7136993 , y=0.45539856 , z=5.290161
x=0.64030457 , y=1.0383759 , z=8.3372345
x=4.0799103 , y=-0.17694092 , z=9.3689575
x=0.76979065 , y=-0.8276825 , z=11.423782
x=-1.8481293 , y=-0.6357269 , z=14.95784
x=-0.0065307617 , y=-0.826004 , z=11.100296
x=0.5143738 , y=-0.3711548 , z=7.828247
x=-0.23202515 , y=0.5390625 , z=6.28421
x=0.6810913 , y=0.04399109 , z=5.9631653
x=0.9075012 , y=-1.7712708 , z=10.557373
x=0.43345642 , y=-1.7278442 , z=17.127716
x=-0.07543945 , y=-2.1128082 , z=14.439682
x=-2.3490753 , y=0.58236694 , z=10.562836
x=-1.5622559 , y=-0.0027618408 , z=4.743805
x=4.3964844 , y=0.72872925 , z=2.4549408
x=5.463608 , y=2.6410065 , z=11.032684
x=-1.0687256 , y=-2.7290802 , z=15.112656
x=-3.5817719 , y=-3.0668182 , z=14.951111
x=0.73812866 , y=0.49951172 , z=13.296051
x=0.4130249 , y=1.4743042 , z=4.4570465
x=-2.3917542 , y=0.27752686 , z=0.13175964
x=1.4623718 , y=2.0400085 , z=9.657944
x=4.4384155 , y=-0.10229492 , z=10.848785
x=-1.0219269 , y=-1.0996246 , z=15.518875
x=-4.278076 , y=-2.2049103 , z=12.501755
x=0.8197632 , y=1.2696991 , z=7.107483
x=4.7002106 , y=3.0111847 , z=7.477646
x=1.6252899 , y=0.14500427 , z=6.5726624
x=-0.303833 , y=0.042373657 , z=8.70253
x=0.44960022 , y=0.036071777 , z=10.033676
x=-1.6163177 , y=-0.99224854 , z=8.37355
x=-1.9793854 , y=-0.8561249 , z=11.845749
x=1.9877167 , y=0.4192505 , z=11.183777
x=2.475418 , y=1.4684448 , z=9.342651
x=-1.5121002 , y=-0.083114624 , z=8.097046
x=-1.5528107 , y=0.1194458 , z=7.364609
x=2.6088562 , y=0.7188263 , z=12.737091
x=2.5447998 , y=-2.0309296 , z=12.79155
x=0.15888977 , y=-1.5633545 , z=11.901001
x=1.1908875 , y=0.6144104 , z=11.220581
x=0.6823273 , y=0.03048706 , z=3.0507812
x=-1.7059174 , y=1.5111389 , z=9.231155
x=0.6086731 , y=-0.6278839 , z=12.243149
x=3.2015228 , y=-0.431015 , z=10.152039
x=0.87094116 , y=-0.7536011 , z=13.377991
x=-1.3195496 , y=-2.2707062 , z=7.637375
x=0.8709564 , y=1.8096771 , z=8.545395
x=2.9001923 , y=1.3418274 , z=12.243179
x=1.4898682 , y=-0.9030304 , z=8.906708
x=1.5297394 , y=0.57299805 , z=9.795181
x=1.8124237 , y=0.62654114 , z=9.701401
x=-0.22026062 , y=-0.18615723 , z=7.475342
x=0.24824524 , y=0.2219696 , z=12.729752
x=2.8094177 , y=0.49415588 , z=11.9748535
x=1.1068115 , y=1.2462158 , z=8.978683
x=-2.5364075 , y=0.54901123 , z=7.7905884
x=-1.5025635 , y=0.38059998 , z=6.7530518
x=2.073578 , y=1.4794617 , z=11.379288
x=1.859375 , y=0.08961487 , z=12.689255
x=-0.0912323 , y=-0.015365601 , z=9.13942
x=0.83535767 , y=1.401413 , z=7.7187653
x=1.7228241 , y=1.0070801 , z=6.2892303
x=0.5307007 , y=0.50956726 , z=7.524231
x=1.4182587 , y=0.84410095 , z=12.446365
x=4.0852203 , y=1.7107849 , z=14.177734
x=1.348053 , y=0.5882263 , z=7.1000366
x=-2.4551544 , y=0.65948486 , z=10.861649
x=0.5006561 , y=0.67089844 , z=11.455383
x=4.8931274 , y=-1.5695801 , z=5.866577
x=2.3423157 , y=0.15296936 , z=16.49321
x=-2.5057068 , y=-1.2353516 , z=11.118546
x=-1.9389801 , y=0.7802582 , z=5.31015
x=-0.0395813 , y=-0.76449585 , z=5.7203827
x=-0.51916504 , y=-1.1310577 , z=9.834702
x=-0.14630127 , y=-0.22763062 , z=14.551743
x=-0.22250366 , y=-1.7994995 , z=12.172668
x=-0.81585693 , y=-1.8168182 , z=10.099686
x=0.24664307 , y=-0.6195526 , z=9.820267
x=0.6945801 , y=-1.2667389 , z=8.58725
x=0.4788971 , y=-0.40141296 , z=10.566605
x=1.8828278 , y=-0.043624878 , z=11.725967
x=1.4090118 , y=-0.65267944 , z=9.942337
x=-1.4527588 , y=-1.2684326 , z=9.158844
x=-0.8323517 , y=-0.4335785 , z=10.177887
x=0.78253174 , y=-0.02494812 , z=7.7814484
x=-0.8907318 , y=0.3271942 , z=8.871429
x=-1.1438599 , y=0.27876282 , z=11.2300415
x=0.5684204 , y=-0.088394165 , z=9.203186
x=-0.018615723 , y=-0.045959473 , z=9.946274
