x=-0.093389988425577 , y=0.13603765081418703 , z=5.830530532184228
x=-1.6588796277513078 , y=-0.20290064064849442 , z=4.991744853116079
x=-0.2000778078964755 , y=0.02372705367237517 , z=4.461975438339211
x=1.1919220563457147 , y=0.19272318418581003 , z=4.800860324857935
x=-0.5403664815135012 , y=-0.7619435939915693 , z=4.74090946062722
x=-0.864137768892362 , y=-0.5101926881777314 , z=5.640279233975861
x=0.7920410945502575 , y=-0.39987333251774915 , z=4.976135350925185
x=0.1863298494663726 , y=-0.2287410042460297 , z=4.867524953471831
x=-0.9547278123990447 , y=0.22470511633841347 , z=5.988548132075621
x=-0.13332925722779052 , y=0.28684558327137033 , z=4.783938586901238
x=0.15974944593114587 , y=0.5368264966569153 , z=4.127446869391846
x=-0.2830996079166641 , y=0.4926224616158408 , z=4.731411009880562
x=0.10984634044207643 , y=-0.07298929983395924 , z=4.170880347384396
x=0.18944259477130157 , y=-0.5574713221351941 , z=4.054366018225388
x=0.033423865639445535 , y=-0.5290064870060521 , z=5.0366660402617205
x=0.47297707151733076 , y=-0.015403511692773464 , z=5.700436088704697
x=-0.20092465772208118 , y=0.30111233258562803 , z=5.310602885650885
x=-1.370515818216014 , y=0.18603993691346254 , z=4.120534743788253
x=-0.37292672365253077 , y=0.3480781661570562 , z=3.938233152951789
x=0.7826647122469298 , y=0.16991164383841395 , z=4.700321703219813
x=-0.2234081391280264 , y=-0.6466575785435754 , z=5.336763678912163
x=-0.5797182959321864 , y=-0.8347650497159491 , z=5.948173994444043
x=0.46168574050925515 , y=-0.43135173234161406 , z=5.151883392210341
x=0.052207147356933534 , y=0.17208598798523933 , z=5.220333271807945
x=-0.9143536747674661 , y=0.2589834610811728 , z=5.650532983215627
x=-0.4592214838095197 , y=0.37615390812308214 , z=4.459717172137596
x=-0.0989441025971169 , y=0.6926850109568999 , z=3.987213115838171
x=-0.6156216768267837 , y=0.5048140473934792 , z=4.618100977358981
x=-0.6174832205875745 , y=-0.4676289478439112 , z=3.8583317275142375
x=0.11427132151280878 , y=-0.6520285900501195 , z=4.2257043369952285
x=0.7798342502172028 , y=-0.4280558843716893 , z=5.0451497970731936
x=0.7685124020982944 , y=-0.14912186208368008 , z=5.319323150071312
x=-0.006896867048175934 , y=0.2939026651514176 , z=5.59672368753998
x=-0.36782273686577227 , y=0.22304956307574292 , z=4.429314500470581
x=0.22667346998711854 , y=0.28990492363234216 , z=4.462456082834825
x=0.6125623364658118 , y=-0.17786135121031588 , z=5.112905412399355
x=0.5687397653101453 , y=-0.7870896933176621 , z=5.1571018181627215
x=0.844438973849895 , y=-0.6408822153184989 , z=5.846880074312813
x=0.5702961379626098 , y=-0.6594442479824503 , z=5.442223184672049
x=-0.3699589346240568 , y=-0.26981703542675894 , z=5.137853150505036
x=-0.18919845788464046 , y=0.18267542544416435 , z=5.473205681444883
x=0.697048957805967 , y=0.21546606103383267 , z=4.735179873068392
x=0.8650685407727575 , y=0.3450340843515007 , z=5.034354369116148
x=0.7556646984377543 , y=0.310549749110621 , z=5.386376871848323
x=0.3963028305503306 , y=-0.42716325887983464 , z=4.1070995857441845
x=-0.14898453508493323 , y=-0.6399438141603953 , z=4.430641994791801
x=0.32378654593427725 , y=-0.2637975353150213 , z=5.335489589534901
x=0.8526938523301233 , y=0.21961638810707126 , z=5.59660161909665
x=-0.11170025492515913 , y=0.4799883777311291 , z=5.340029009771255
x=-0.6015151423443973 , y=0.44896010529204555 , z=4.022216241963205
x=0.43869109749686325 , y=0.704136556796847 , z=3.788867153981448
x=0.5830294024575275 , y=0.14419334868420924 , z=4.364976801557675
x=-0.10023345052979582 , y=-0.46959730149261625 , z=4.8622149761869515
x=0.5033415967958045 , y=-0.42542378356237437 , z=5.230876933600621
x=0.7114911805075125 , y=0.01621221512983834 , z=4.673230138078139
x=-0.4633412937719257 , y=0.5448524968058988 , z=5.010177188058992
x=-0.5806414385348737 , y=0.5237422853874222 , z=4.539977173627431
x=0.044486318316276405 , y=0.6517005311086687 , z=3.7221262325904707
x=0.011291331008075644 , y=0.5425560842157429 , z=4.551215099691549
x=0.008071775815232454 , y=0.0991500930952372 , z=5.152165675485543
x=0.030105129836396276 , y=-0.6936844463366688 , z=4.386865199302384
x=-0.24888229739557005 , y=-0.7904694633423767 , z=4.6905714863087855
x=-0.2990295397713006 , y=-0.39576115183305133 , z=5.247272251395455
x=-0.47995786062029644 , y=0.036971479773739574 , z=5.45933565457145
x=-0.9373635763352742 , y=0.07523993675786622 , z=5.247401949116495
x=-0.4289103634750031 , y=-0.046538594019771236 , z=4.751872732693845
x=0.36928755818573883 , y=-0.1803256079100513 , z=4.798846195542981
x=-0.1083357434558609 , y=-0.7286036504069135 , z=5.1856124289581125
x=-0.4271174832135857 , y=-0.9237147985153774 , z=5.520285954181934
x=0.411080741471035 , y=-0.7952225033545599 , z=5.443405722716813
x=0.4069456729532127 , y=-0.5981658894305154 , z=5.119321634951917
x=-0.3829134481725112 , y=-0.062445638041283204 , z=5.758464374952956
x=-0.29436042181390715 , y=0.13599187514793806 , z=5.311716760196276
