x=0.28059387 , y=8.075897 , z=3.9492035
x=-0.109176636 , y=9.21048 , z=3.1910858
x=-0.7752838 , y=9.381805 , z=4.489746
x=0.09739685 , y=7.9762573 , z=3.969818
x=0.19792175 , y=5.9795685 , z=3.7054596
x=-0.68382263 , y=5.916092 , z=8.970947
x=-0.0776062 , y=5.2865143 , z=10.262573
x=1.144577 , y=4.9477844 , z=9.802475
x=1.0218201 , y=4.711502 , z=8.21582
x=0.29766846 , y=5.6244354 , z=7.9142303
x=0.016311646 , y=5.62619 , z=8.489334
x=0.59233093 , y=4.9271393 , z=9.451019
x=2.000122 , y=5.141876 , z=9.814728
x=2.4254303 , y=6.255127 , z=8.056366
x=1.4076233 , y=7.902817 , z=7.043106
x=0.7429657 , y=8.892883 , z=4.973236
x=0.59924316 , y=9.210983 , z=2.322815
x=0.3117981 , y=9.9687805 , z=4.049515
x=0.5618286 , y=8.940063 , z=4.322464
x=1.202179 , y=7.2451935 , z=3.1835175
x=0.98057556 , y=7.0998535 , z=6.0704803
x=-0.1903534 , y=6.694336 , z=7.8841705
x=-1.1598816 , y=5.6742554 , z=8.309586
x=-0.6033325 , y=5.230301 , z=8.684998
x=1.0865936 , y=5.172241 , z=7.4128876
x=1.6417084 , y=5.5483246 , z=10.035675
x=0.4320526 , y=3.893692 , z=10.445343
x=-0.18722534 , y=4.1762543 , z=11.538254
x=0.0014801025 , y=4.8417053 , z=9.010681
x=-0.21231079 , y=6.6006927 , z=7.174118
x=0.23881531 , y=7.932495 , z=6.7472534
x=1.0623016 , y=8.3224945 , z=4.118454
x=0.28562927 , y=8.344925 , z=2.7865906
x=-0.8066864 , y=8.920074 , z=6.0264587
x=-0.1204834 , y=7.4504547 , z=5.260681
x=1.0592194 , y=6.558563 , z=4.571289
x=0.996048 , y=7.0756226 , z=7.2223663
x=-0.079071045 , y=6.7202606 , z=8.293152
x=-1.2185211 , y=5.5001984 , z=7.7937775
x=-1.4477386 , y=5.190918 , z=7.074875
x=-0.8102417 , y=5.7444916 , z=7.3059235
x=-0.13206482 , y=6.057541 , z=9.707428
x=0.7846222 , y=6.3779755 , z=13.652679
x=1.0592957 , y=4.0849 , z=6.3771515
x=-0.26400757 , y=5.717224 , z=4.3429413
x=-0.51982117 , y=8.292313 , z=8.293076
x=0.61787415 , y=8.1202545 , z=4.9190063
x=0.74684143 , y=7.4537354 , z=3.4930878
x=0.52397156 , y=8.332291 , z=3.4458923
x=1.1634827 , y=8.516312 , z=3.4591217
x=1.2232208 , y=7.953903 , z=11.996811
x=0.19378662 , y=2.8759613 , z=10.26181
x=0.19581604 , y=2.8315735 , z=5.7320404
x=0.5780182 , y=8.237854 , z=9.393906
x=-1.0481567 , y=6.827469 , z=7.805084
x=-1.6709137 , y=3.0587616 , z=3.8638
x=1.0311279 , y=6.0348663 , z=10.592987
x=1.7812042 , y=6.6649933 , z=7.936783
x=-1.4710083 , y=5.138336 , z=8.787521
x=-1.2876892 , y=3.320404 , z=7.027115
x=2.712326 , y=8.413513 , z=9.581772
x=2.2969818 , y=9.347229 , z=4.273636
x=-1.2046204 , y=9.246109 , z=1.4713898
x=0.73887634 , y=9.574509 , z=5.139389
x=4.2660065 , y=8.574753 , z=6.5918274
x=0.8069916 , y=5.0350647 , z=5.920807
x=-4.4890747 , y=4.453476 , z=9.065399
x=-3.2671509 , y=6.280838 , z=10.300735
x=0.4419098 , y=6.8248596 , z=6.3663025
x=1.2787323 , y=7.150131 , z=7.4322815
x=2.2086182 , y=6.515625 , z=5.136841
x=3.0858612 , y=7.0450287 , z=5.583847
x=0.17411804 , y=5.3714447 , z=7.90567
x=-3.3241577 , y=4.40007 , z=7.7049255
x=-1.7417145 , y=6.0963593 , z=7.702301
x=1.8336792 , y=10.223007 , z=7.973984
x=2.4825897 , y=7.0158844 , z=2.4700623
x=1.8011627 , y=7.53389 , z=6.1209564
x=1.5802612 , y=6.20726 , z=9.648087
x=-1.6474915 , y=4.79274 , z=5.0243683
x=-5.1010437 , y=4.2002716 , z=7.4987183
x=-1.7556458 , y=6.6715393 , z=7.6611176
x=3.7095795 , y=9.311386 , z=7.108734
x=2.575119 , y=8.797424 , z=4.254898
x=-1.6868744 , y=7.921219 , z=7.0887146
x=-1.2057648 , y=4.3375854 , z=5.8207703
x=1.7823944 , y=5.4771423 , z=13.225784
x=1.938324 , y=4.039154 , z=10.490372
x=-0.13426208 , y=6.3341064 , z=4.396057
x=-0.7174072 , y=8.984177 , z=2.1841888
x=0.4133606 , y=9.703781 , z=4.2418213
x=1.1749573 , y=6.998123 , z=7.7444763
x=0.43554688 , y=5.402359 , z=10.934738
x=-0.8960266 , y=3.9585419 , z=8.897995
x=-0.69303894 , y=5.2381134 , z=7.7095947
x=1.3292847 , y=7.727539 , z=8.206421
x=1.8814392 , y=8.8654785 , z=2.3715973
x=0.25804138 , y=9.492645 , z=2.3108368
x=0.42715454 , y=7.9437256 , z=4.7473907
x=2.386734 , y=5.3309174 , z=10.913376
x=1.6270599 , y=2.3407593 , z=15.398209
x=-1.9372864 , y=3.5244904 , z=14.877792
x=-2.7684174 , y=4.414261 , z=4.318283
x=0.4135437 , y=9.432251 , z=0.50987244
x=4.090088 , y=10.711273 , z=4.770218
x=4.3141785 , y=8.83638 , z=3.7488556
x=0.68933105 , y=5.789917 , z=5.4890137
x=-1.7233429 , y=4.7222595 , z=9.571548
x=-1.5246735 , y=4.374832 , z=13.073227
x=-0.24143982 , y=4.7645874 , z=13.29393
x=0.73036194 , y=6.9155884 , z=5.1349335
x=2.0536041 , y=9.559143 , z=0.3712921
x=2.8046722 , y=9.717987 , z=-0.5605774
