x=0.14029478777533988 , y=4.037886778375764 , z=1.9745715100372283
x=-0.05458748200187921 , y=4.605169351643651 , z=1.5955184763850456
x=-0.3876359710738618 , y=4.6908308817508635 , z=2.2448386728487684
x=0.048697679611180295 , y=3.988067594941485 , z=1.9848786642209513
x=0.09895936115253323 , y=2.9897384604403103 , z=1.8527014279270928
x=-0.3419060804911554 , y=2.9580006651743678 , z=4.485404950180968
x=-0.038802506423697786 , y=2.6432166669357184 , z=5.13120804962123
x=0.5722797501667312 , y=2.473854331092292 , z=4.901162438887105
x=0.5109022110045902 , y=2.3557149657814467 , z=4.107847254959585
x=0.14883194953077003 , y=2.8121746510606127 , z=3.9570545810578177
x=0.008155697870022205 , y=2.813052017997051 , z=4.244602057878338
x=0.29616093135303273 , y=2.4635319183531528 , z=4.725437285435073
x=1.0000457219855103 , y=2.570898743540077 , z=4.9072887488867565
x=1.2126965795450324 , y=3.1275155865719575 , z=4.02812130290932
x=0.703800868577688 , y=3.9513478813321146 , z=3.5214991166990077
x=0.37147716088798055 , y=4.4463735654260255 , z=2.4865799663095016
x=0.29961699415482884 , y=4.605421117808021 , z=1.1613896869576616
x=0.15589666068852548 , y=4.9843139366283316 , z=2.024726381690667
x=0.28091000521442244 , y=4.469963292099654 , z=2.161198901334219
x=0.6010802735150322 , y=3.6225412706658684 , z=1.5917343546417986
x=0.49028027335943586 , y=3.549872400495652 , z=3.0351936970255227
x=-0.09517523940928625 , y=3.3471167161236126 , z=3.9420249039727437
x=-0.5799319157080148 , y=2.8370842427777525 , z=4.154729166476223
x=-0.3016616405806155 , y=2.61511040785886 , z=4.342432285930064
x=0.5432884948757262 , y=2.586081006179314 , z=3.7063870326785384
x=0.8208416178985585 , y=2.774119813852314 , z=5.017760690100902
x=0.21602299830652827 , y=1.946816197734945 , z=5.222591538009561
x=-0.09361123747911361 , y=2.0880951623346373 , z=5.769038553856465
x=7.400399376914442E-4 , y=2.420815592465169 , z=4.505271589333015
x=-0.10615377003132737 , y=3.300295838828639 , z=3.5870040951012627
x=0.11940582541039993 , y=3.966186826474484 , z=3.3735750512155085
x=0.5311426847643367 , y=4.161183535417326 , z=2.0591954583761303
x=0.14281244941903243 , y=4.172398573648319 , z=1.393273953619453
x=-0.4033370245972534 , y=4.459968938301965 , z=3.0131832308374835
x=-0.060240776783625195 , y=3.7251703143960264 , z=2.630300299775805
x=0.5296015706672885 , y=3.2792314030764116 , z=2.2856095329211716
x=0.49801636095550933 , y=3.537757107495095 , z=3.611127871214462
x=-0.03953491708368107 , y=3.360078858949775 , z=4.146512434384536
x=-0.6092512299404708 , y=2.75005707196078 , z=3.8968290628296085
