x=0.059661865 , y=9.480759 , z=-1.708786
x=-0.016784668 , y=9.460312 , z=-1.7352448
x=-0.12580872 , y=9.474548 , z=-1.7323914
x=-0.1802826 , y=9.4709015 , z=-1.7287445
x=-0.12205505 , y=9.472321 , z=-1.7275085
x=-0.055740356 , y=9.476715 , z=-1.7132263
x=-0.063964844 , y=9.48938 , z=-1.7029572
x=-0.087127686 , y=9.479263 , z=-1.7068634
x=-0.09667969 , y=9.469849 , z=-1.7166443
x=-0.09614563 , y=9.440018 , z=-1.7052002
x=-0.07878113 , y=9.430649 , z=-1.6931
x=-0.018463135 , y=9.453354 , z=-1.7063751
x=0.012283325 , y=9.505753 , z=-1.756134
x=0.012268066 , y=9.529648 , z=-1.797226
x=-0.062408447 , y=9.554459 , z=-1.8444214
x=-0.16317749 , y=9.57489 , z=-1.8347626
x=-0.14009094 , y=9.534988 , z=-1.7728119
x=-0.044326782 , y=9.48494 , z=-1.7126312
x=0.02281189 , y=9.440414 , z=-1.6179199
x=0.04714966 , y=9.4014435 , z=-1.6202698
x=0.01449585 , y=9.395874 , z=-1.6575317
x=-0.106918335 , y=9.472977 , z=-1.6699219
x=-0.15914917 , y=9.519455 , z=-1.6990204
x=-0.00491333 , y=9.529877 , z=-1.6501007
x=0.1854248 , y=9.513855 , z=-1.6446075
x=0.28825378 , y=9.522247 , z=-1.5447845
x=0.22201538 , y=9.476288 , z=-1.5849457
x=0.12600708 , y=9.451675 , z=-1.6351318
x=0.027664185 , y=9.430908 , z=-1.7159119
x=0.03050232 , y=9.430023 , z=-1.8041077
x=0.0851593 , y=9.491333 , z=-1.8413239
x=0.1421814 , y=9.585342 , z=-1.7497559
x=0.18139648 , y=9.571976 , z=-1.807312
x=0.13929749 , y=9.5504 , z=-1.8493805
x=0.069122314 , y=9.524445 , z=-1.8597107
x=0.027175903 , y=9.490051 , z=-1.8291931
x=0.05088806 , y=9.447617 , z=-1.7789459
x=0.11930847 , y=9.429153 , z=-1.6956177
x=0.16046143 , y=9.457718 , z=-1.6156921
x=0.08703613 , y=9.4717865 , z=-1.6861725
x=-0.05847168 , y=9.485474 , z=-1.7320404
x=-0.12390137 , y=9.4944 , z=-1.7838745
x=-0.07382202 , y=9.519745 , z=-1.8327332
x=0.0030670166 , y=9.519272 , z=-1.8014984
x=0.037887573 , y=9.525848 , z=-1.743576
x=0.019012451 , y=9.511841 , z=-1.7117157
x=2.593994E-4 , y=9.492813 , z=-1.7377472
x=-0.016677856 , y=9.4835205 , z=-1.7531738
x=0.001953125 , y=9.454895 , z=-1.801239
x=0.017959595 , y=9.462387 , z=-1.7696991
x=0.04437256 , y=9.497818 , z=-1.6814423
x=0.04298401 , y=9.515945 , z=-1.7355042
x=-0.013717651 , y=9.493011 , z=-1.7484894
x=0.005783081 , y=9.517792 , z=-1.7124939
x=0.023712158 , y=9.510056 , z=-1.7077179
x=0.054977417 , y=9.503769 , z=-1.8079987
x=0.022232056 , y=9.516403 , z=-1.8042908
x=-0.0059661865 , y=9.511749 , z=-1.7576752
x=-0.028869629 , y=9.493454 , z=-1.6994019
x=-0.09680176 , y=9.491531 , z=-1.6653748
x=-0.11935425 , y=9.468231 , z=-1.6274872
x=-0.08390808 , y=9.447479 , z=-1.5584259
x=-0.043563843 , y=9.3936615 , z=-1.5513763
x=-0.0067596436 , y=9.397705 , z=-1.5713043
x=0.005874634 , y=9.411835 , z=-1.6419373
x=0.035079956 , y=9.460419 , z=-1.6690979
x=0.054595947 , y=9.53038 , z=-1.6763916
x=0.024749756 , y=9.54744 , z=-1.7432251
x=-0.013122559 , y=9.55864 , z=-1.777008
x=-0.050186157 , y=9.548187 , z=-1.7859802
x=-0.060577393 , y=9.514038 , z=-1.7595215
x=0.022232056 , y=9.482071 , z=-1.709137
x=0.106918335 , y=9.47908 , z=-1.6590424
x=0.10597229 , y=9.452087 , z=-1.57547
x=0.017196655 , y=9.411041 , z=-1.6380615
x=-0.104263306 , y=9.423309 , z=-1.6275482
x=-0.16944885 , y=9.449997 , z=-1.7117157
x=-0.110946655 , y=9.496216 , z=-1.7328949
x=0.008605957 , y=9.5121765 , z=-1.6617279
x=0.06417847 , y=9.551224 , z=-1.6806488
x=0.016036987 , y=9.53714 , z=-1.7272797
x=-0.058761597 , y=9.486649 , z=-1.7957916
x=-0.08555603 , y=9.453735 , z=-1.7435303
x=-0.038894653 , y=9.453201 , z=-1.6939697
x=-0.045639038 , y=9.456818 , z=-1.7038574
x=-0.06411743 , y=9.485489 , z=-1.7226562
x=-0.07585144 , y=9.5325775 , z=-1.7394562
x=-0.0710907 , y=9.571487 , z=-1.7426758
x=-0.032165527 , y=9.566879 , z=-1.7299957
x=0.044174194 , y=9.517166 , z=-1.698761
x=0.12567139 , y=9.458038 , z=-1.6562042
x=0.11149597 , y=9.432068 , z=-1.6315613
x=-0.022949219 , y=9.443207 , z=-1.6712036
x=-0.16360474 , y=9.460892 , z=-1.7511749
x=-0.21827698 , y=9.482452 , z=-1.8146973
x=-0.09901428 , y=9.512878 , z=-1.8617096
x=0.003921509 , y=9.516342 , z=-1.8935852
x=0.056884766 , y=9.502914 , z=-1.9200897
x=0.043273926 , y=9.480591 , z=-1.8729858
x=0.0045928955 , y=9.457703 , z=-1.818512
x=-0.0024719238 , y=9.470062 , z=-1.8178406
x=0.033798218 , y=9.489944 , z=-1.8683167
x=0.14723206 , y=9.454178 , z=-1.8653717
x=0.3106537 , y=9.393402 , z=-1.7025452
x=0.35313416 , y=9.446915 , z=-1.6277313
x=0.19741821 , y=9.503052 , z=-1.6266785
x=-0.039916992 , y=9.425842 , z=-1.9101715
x=-0.13619995 , y=9.359955 , z=-1.8626709
x=-0.11160278 , y=9.39798 , z=-1.4819183
x=0.028823853 , y=9.444 , z=-1.3651123
x=0.12901306 , y=9.525848 , z=-1.6921997
x=0.120224 , y=9.630997 , z=-1.8630066
x=-0.0541687 , y=9.651688 , z=-1.9185333
x=-0.10076904 , y=9.636932 , z=-1.747879
x=0.1565094 , y=9.485489 , z=-1.7068176
x=0.4406128 , y=9.491364 , z=-1.4438324
x=0.42141724 , y=9.546631 , z=-1.482132
x=0.15689087 , y=9.646469 , z=-1.5588226
x=-0.0060577393 , y=9.577301 , z=-1.799408
x=0.09866333 , y=9.48494 , z=-1.8995361
x=0.2654724 , y=9.520172 , z=-1.6996918
x=0.30015564 , y=9.508881 , z=-1.7020569
x=0.2803192 , y=9.556351 , z=-1.347168
x=0.29766846 , y=9.518219 , z=-1.2202911
x=0.2513275 , y=9.459091 , z=-1.5297089
x=0.0135650635 , y=9.414368 , z=-2.0157623
x=-0.20573425 , y=9.446106 , z=-1.8942719
x=-0.15916443 , y=9.512604 , z=-1.5961456
x=0.084198 , y=9.579971 , z=-1.3874359
x=0.26293945 , y=9.480164 , z=-1.7032776
x=0.27981567 , y=9.484772 , z=-1.6117401
x=0.09408569 , y=9.496902 , z=-1.6897583
x=-0.108932495 , y=9.574524 , z=-1.7655334
x=-0.23475647 , y=9.581558 , z=-1.9070587
x=-0.057540894 , y=9.500626 , z=-1.8481445
x=0.19882202 , y=9.441132 , z=-1.6276245
x=0.25265503 , y=9.44574 , z=-1.5057678
x=0.10171509 , y=9.442703 , z=-1.475296
x=-0.035446167 , y=9.4664 , z=-1.4893951
x=-0.13053894 , y=9.463226 , z=-1.6401215
x=-0.23106384 , y=9.442932 , z=-1.7149048
x=-0.22042847 , y=9.425018 , z=-1.6967621
x=-0.013519287 , y=9.444489 , z=-1.5608978
x=0.17015076 , y=9.466904 , z=-1.4655914
x=0.12670898 , y=9.442917 , z=-1.4868469
x=-0.045822144 , y=9.4266815 , z=-1.6205902
x=-0.14898682 , y=9.462875 , z=-1.7777863
x=-0.12272644 , y=9.532074 , z=-1.820755
x=-0.029556274 , y=9.5299225 , z=-1.8104553
x=0.09790039 , y=9.531296 , z=-1.8369751
x=0.11651611 , y=9.485306 , z=-1.7778168
x=0.013595581 , y=9.477539 , z=-1.6053314
x=-0.09527588 , y=9.485992 , z=-1.5140991
x=-0.031723022 , y=9.451981 , z=-1.6215363
x=0.083984375 , y=9.379883 , z=-1.7644958
x=0.11579895 , y=9.388062 , z=-1.6665497
x=0.037872314 , y=9.354126 , z=-1.7242126
x=-0.039855957 , y=9.426163 , z=-1.7824707
x=-0.15719604 , y=9.524109 , z=-1.8977966
x=-0.17434692 , y=9.674759 , z=-1.8696747
x=-0.02935791 , y=9.66011 , z=-2.1058807
x=0.11425781 , y=9.650024 , z=-2.0298615
x=0.19223022 , y=9.570343 , z=-1.9212494
x=0.14048767 , y=9.504532 , z=-1.6003113
x=-0.0039367676 , y=9.342926 , z=-1.4741821
x=-0.0791626 , y=9.216614 , z=-1.3759613
x=-0.043548584 , y=9.206772 , z=-1.2969971
x=0.04966736 , y=9.232788 , z=-1.4651794
x=0.11795044 , y=9.383896 , z=-1.61763
x=0.069488525 , y=9.491211 , z=-1.8222961
x=-0.07810974 , y=9.61203 , z=-1.9030762
x=-0.1650238 , y=9.700867 , z=-2.0218048
x=-0.114852905 , y=9.712936 , z=-2.124298
x=-0.011260986 , y=9.699188 , z=-2.0682068
x=0.029388428 , y=9.648727 , z=-1.9839935
x=-0.027282715 , y=9.563431 , z=-1.8787842
x=-0.16841125 , y=9.447433 , z=-1.7625427
x=-0.23646545 , y=9.310318 , z=-1.5542145
x=-0.093185425 , y=9.2248535 , z=-1.3151703
x=0.07220459 , y=9.238403 , z=-1.3097992
x=0.14434814 , y=9.363907 , z=-1.4014893
x=0.07772827 , y=9.507721 , z=-1.6047363
x=-0.054885864 , y=9.6311035 , z=-1.8783875
x=-0.20585632 , y=9.752838 , z=-2.02742
x=-0.21244812 , y=9.7552185 , z=-2.1018066
x=-0.062942505 , y=9.749359 , z=-1.9735718
x=0.10636902 , y=9.672058 , z=-1.805954
x=0.115615845 , y=9.6080475 , z=-1.7197876
x=-0.0040130615 , y=9.518616 , z=-1.599884
x=-0.08857727 , y=9.43631 , z=-1.5596161
x=-0.10038757 , y=9.385574 , z=-1.4910278
x=-0.0692749 , y=9.345978 , z=-1.4032135
x=-0.08332825 , y=9.30777 , z=-1.3468018
x=-0.12162781 , y=9.32605 , z=-1.3914642
x=-0.17573547 , y=9.393845 , z=-1.5503845
x=-0.21774292 , y=9.484955 , z=-1.723877
x=-0.20248413 , y=9.583786 , z=-1.8977661
x=-0.11236572 , y=9.654602 , z=-2.0136871
x=-0.025497437 , y=9.659531 , z=-2.0060272
x=-0.015060425 , y=9.601654 , z=-1.9250946
x=-0.07875061 , y=9.516235 , z=-1.780365
x=-0.13711548 , y=9.417099 , z=-1.5973053
x=-0.13877869 , y=9.332657 , z=-1.4607239
x=-0.06335449 , y=9.31073 , z=-1.3766174
x=-7.6293945E-4 , y=9.294907 , z=-1.4055328
x=-5.0354004E-4 , y=9.348907 , z=-1.4911194
x=-0.13194275 , y=9.418869 , z=-1.5454559
x=-0.27287292 , y=9.475357 , z=-1.6384125
x=-0.27574158 , y=9.525467 , z=-1.6969147
x=-0.16186523 , y=9.58696 , z=-1.796463
x=-0.041152954 , y=9.621948 , z=-1.8246307
x=0.035507202 , y=9.648407 , z=-1.8485565
x=0.028274536 , y=9.618912 , z=-1.8497467
x=-0.013366699 , y=9.544785 , z=-1.7601776
x=-0.11329651 , y=9.484375 , z=-1.6413116
x=-0.089782715 , y=9.407013 , z=-1.5514069
x=-0.02168274 , y=9.377792 , z=-1.4920044
x=0.012573242 , y=9.367615 , z=-1.5160828
x=0.01612854 , y=9.421814 , z=-1.6018372
x=-0.009216309 , y=9.5048065 , z=-1.7271881
x=-0.011077881 , y=9.561951 , z=-1.8309174
x=0.011199951 , y=9.593857 , z=-1.9081726
x=0.0572052 , y=9.5707855 , z=-1.8751221
x=0.10194397 , y=9.531097 , z=-1.8158722
x=0.10298157 , y=9.485794 , z=-1.7405548
x=0.045562744 , y=9.438461 , z=-1.6839294
x=0.007385254 , y=9.41066 , z=-1.643692
x=0.007858276 , y=9.403473 , z=-1.6650848
x=0.02960205 , y=9.436996 , z=-1.651001
x=0.013442993 , y=9.41597 , z=-1.6409302
x=-0.03062439 , y=9.44809 , z=-1.6161346
x=-0.04272461 , y=9.470657 , z=-1.6418304
x=-0.07788086 , y=9.4973755 , z=-1.7146912
x=-0.06889343 , y=9.50798 , z=-1.7344666
x=-0.018127441 , y=9.531006 , z=-1.7466278
x=-0.0051727295 , y=9.544281 , z=-1.7729492
x=-0.01953125 , y=9.508545 , z=-1.7735138
x=-0.06750488 , y=9.474197 , z=-1.7279358
x=-0.077056885 , y=9.452515 , z=-1.6663208
x=-0.080581665 , y=9.464539 , z=-1.6439056
x=-0.074645996 , y=9.462585 , z=-1.6652985
x=-0.076187134 , y=9.501038 , z=-1.7181854
x=-0.08103943 , y=9.527359 , z=-1.7495728
x=-0.120010376 , y=9.544815 , z=-1.7615814
x=-0.16145325 , y=9.504578 , z=-1.7359619
x=-0.13226318 , y=9.468903 , z=-1.6814117
x=-0.088760376 , y=9.429138 , z=-1.6490936
x=-0.09063721 , y=9.398743 , z=-1.6394348
x=-0.12745667 , y=9.396225 , z=-1.6710968
x=-0.15083313 , y=9.442947 , z=-1.7043915
x=-0.15501404 , y=9.498627 , z=-1.7261505
x=-0.16828918 , y=9.531342 , z=-1.7272339
x=-0.17089844 , y=9.530151 , z=-1.7051697
x=-0.15908813 , y=9.495972 , z=-1.673172
x=-0.13348389 , y=9.461945 , z=-1.629303
x=-0.14015198 , y=9.460678 , z=-1.6141052
x=-0.17530823 , y=9.448654 , z=-1.6555176
x=-0.16513062 , y=9.453751 , z=-1.7088165
x=-0.12017822 , y=9.4882965 , z=-1.7810974
x=-0.06628418 , y=9.509125 , z=-1.805542
x=-0.024795532 , y=9.522125 , z=-1.8116608
x=-0.039916992 , y=9.534546 , z=-1.7686157
