x=0.029830475838902547 , y=4.740306747688275 , z=-0.8543799227036264
x=-0.00839220547897514 , y=4.730083515559342 , z=-0.8676090902495746
x=-0.06290339470377276 , y=4.737201631661055 , z=-0.8661824153181488
x=-0.09013991612190117 , y=4.735378234288805 , z=-0.8643590179458988
x=-0.061026592387565595 , y=4.736087757115664 , z=-0.8637410464515378
x=-0.027869751467905626 , y=4.738284989095614 , z=-0.8566000425167007
x=-0.03198193215260345 , y=4.744617289593386 , z=-0.8514655386191097
x=-0.04356317571358914 , y=4.739559078472876 , z=-0.8534186337123983
x=-0.04833910355889681 , y=4.734851814126942 , z=-0.8583090007233285
x=-0.048072078839111236 , y=4.71993657620749 , z=-0.8525870424422091
x=-0.039389960807226045 , y=4.715252199694681 , z=-0.8465370252196388
x=-0.009231426026872654 , y=4.726604564924422 , z=-0.8531744968257373
x=0.006141568555068171 , y=4.75280350457424 , z=-0.8780535714320445
x=0.006133939277360012 , y=4.764750953465218 , z=-0.8985992163001173
x=-0.031203745826371206 , y=4.777156159018685 , z=-0.9221965722514538
x=-0.08158749581105469 , y=4.78737176186991 , z=-0.917367239462189
x=-0.07004439863860978 , y=4.767421200663073 , z=-0.8863923719670626
x=-0.02216305174220253 , y=4.742397169780311 , z=-0.8563025006860826
x=0.011405770173698032 , y=4.720134937427902 , z=-0.8089475739515383
x=0.023574468118211987 , y=4.700649762161264 , z=-0.8101224827185948
x=0.007247813822751258 , y=4.697865075797786 , z=-0.8287531788819197
x=-0.053458348901071644 , y=4.736415816057114 , z=-0.8349481523809449
x=-0.07957336649610065 , y=4.759654595956167 , z=-0.8494971849704045
x=-0.0024566274220272685 , y=4.76486539263084 , z=-0.825037720638046
x=0.09271098270955083 , y=4.756854651037273 , z=-0.8222911806631088
x=0.14412468518483582 , y=4.76105075377676 , z=-0.7723804458963311
x=0.11100599065371664 , y=4.738071369319785 , z=-0.7924607048242063
x=0.06300257531397883 , y=4.725765344376524 , z=-0.8175533992063418
x=0.013831880484892664 , y=4.715381897415719 , z=-0.8579427953933368
x=0.01525092613861028 , y=4.714939399308646 , z=-0.9020400205464971
x=0.0425789988892366 , y=4.74559383714003 , z=-0.9206478288766974
x=0.0710896096846276 , y=4.792597817099999 , z=-0.874864533350034
x=0.0906968533945968 , y=4.785914569827652 , z=-0.9036421688652105
x=0.06964767619778552 , y=4.775126771148314 , z=-0.9246760875066055
x=0.03456062801796126 , y=4.762149369766735 , z=-0.9298411085150293
x=0.01358774359823157 , y=4.744952977812544 , z=-0.9145825530987108
x=0.025443641156710994 , y=4.723735956506154 , z=-0.8894593416057426
x=0.05965332240009693 , y=4.714504530479281 , z=-0.847795856041485
x=0.08022948437900235 , y=4.728786538348955 , z=-0.807833699406147
x=0.043517400047340185 , y=4.735820732395878 , z=-0.8430733331401344
x=-0.029235392177666127 , y=4.7426641945000965 , z=-0.8660069419308611
x=-0.06194973499025286 , y=4.74712732195937 , z=-0.891923598305478
x=-0.0369104455520743 , y=4.759799552232622 , z=-0.9163525455270037
x=0.001533484819340003 , y=4.759563044623669 , z=-0.9007354140584019
x=0.01894349654935934 , y=4.762851263315886 , z=-0.8717746758782294
x=0.009506080024366387 , y=4.7558475863797955 , z=-0.855844744023593
x=1.2969772103870673E-4 , y=4.7463338770777215 , z=-0.8688602917937126
x=-0.008338800535018027 , y=4.741687646953452 , z=-0.8765734915566616
x=9.7654754664438E-4 , y=4.727375121972946 , z=-0.9006057163373632
x=0.008979659862503401 , y=4.731121097327652 , z=-0.884835999314598
x=0.02218593957532701 , y=4.748836280165998 , z=-0.8407082570506051
x=0.02149167530388452 , y=4.757899862083291 , z=-0.8677387879706132
x=-0.006858720659635138 , y=4.746433057687928 , z=-0.8742313033002568
x=0.002891496251392344 , y=4.758823004685978 , z=-0.8562338371867091
x=0.011855897558479427 , y=4.754954960887941 , z=-0.8538458732640553
