x=-0.020187378 , y=1.3616791 , z=9.78186
x=-0.0024719238 , y=1.3636017 , z=9.718948
x=-0.00881958 , y=1.3727112 , z=9.721344
x=-0.050720215 , y=1.3624725 , z=9.722626
x=-0.07748413 , y=1.369278 , z=9.730469
x=-0.06941223 , y=1.3511658 , z=9.716095
x=-0.048461914 , y=1.3820496 , z=9.73204
x=-0.03138733 , y=1.3961334 , z=9.670059
x=-0.044204712 , y=1.4193115 , z=9.66011
x=-0.0664978 , y=1.421875 , z=9.642197
x=-0.08950806 , y=1.4204102 , z=9.636093
x=-0.08969116 , y=1.4043274 , z=9.647507
x=-0.10360718 , y=1.3719177 , z=9.683243
x=-0.12168884 , y=1.3571014 , z=9.698532
x=-0.121780396 , y=1.3678589 , z=9.684784
x=-0.1278534 , y=1.3521118 , z=9.670914
x=-0.15531921 , y=1.3486023 , z=9.6857605
x=-0.18357849 , y=1.3306274 , z=9.719406
x=-0.18241882 , y=1.3187714 , z=9.71814
x=-0.18695068 , y=1.3205261 , z=9.693069
x=-0.19151306 , y=1.346344 , z=9.680283
x=-0.18606567 , y=1.3509674 , z=9.640198
x=-0.19577026 , y=1.3397064 , z=9.635651
x=-0.20820618 , y=1.3291473 , z=9.691589
x=-0.22828674 , y=1.3279572 , z=9.719223
x=-0.23217773 , y=1.3396606 , z=9.730911
x=-0.24815369 , y=1.3715973 , z=9.7332
x=-0.23239136 , y=1.3826141 , z=9.712036
x=-0.2363739 , y=1.4160461 , z=9.7035675
x=-0.21289062 , y=1.4092102 , z=9.662979
x=-0.21716309 , y=1.410202 , z=9.651733
x=-0.25756836 , y=1.4035492 , z=9.668976
x=-0.23738098 , y=1.4146423 , z=9.681839
x=-0.23892212 , y=1.4172821 , z=9.6536255
x=-0.24330139 , y=1.4097137 , z=9.620377
x=-0.2639923 , y=1.3987579 , z=9.671188
x=-0.27690125 , y=1.377655 , z=9.719681
x=-0.29907227 , y=1.3519745 , z=9.759399
x=-0.2841797 , y=1.336731 , z=9.774658
x=-0.2805786 , y=1.3459015 , z=9.753998
x=-0.2956848 , y=1.3495789 , z=9.717194
x=-0.29556274 , y=1.3526001 , z=9.656448
x=-0.29808044 , y=1.3727112 , z=9.610611
x=-0.32113647 , y=1.3621521 , z=9.631882
x=-0.36520386 , y=1.3408966 , z=9.660278
x=-0.35887146 , y=1.3396606 , z=9.689178
x=-0.36824036 , y=1.3463287 , z=9.6731415
x=-0.35714722 , y=1.3296967 , z=9.662048
x=-0.35787964 , y=1.3271332 , z=9.644501
x=-0.36669922 , y=1.2988892 , z=9.647675
x=-0.36245728 , y=1.2600403 , z=9.733963
x=-0.34222412 , y=1.2434845 , z=9.750519
x=-0.33103943 , y=1.2459717 , z=9.750244
x=-0.30743408 , y=1.266922 , z=9.711182
x=-0.2849579 , y=1.2940369 , z=9.668961
x=-0.2823944 , y=1.3010864 , z=9.654449
x=-0.27818298 , y=1.2887268 , z=9.660843
x=-0.24984741 , y=1.3106537 , z=9.691101
x=-0.23771667 , y=1.2894897 , z=9.733231
x=-0.22338867 , y=1.2866821 , z=9.734421
x=-0.19674683 , y=1.3491058 , z=9.659378
x=-0.15628052 , y=1.3634338 , z=9.625626
x=-0.13868713 , y=1.3566589 , z=9.647064
x=-0.1532135 , y=1.3548126 , z=9.6918335
x=-0.14071655 , y=1.3572998 , z=9.732986
x=-0.11228943 , y=1.3588104 , z=9.746429
x=-0.08760071 , y=1.377533 , z=9.716934
x=-0.06947327 , y=1.3994904 , z=9.68425
x=-0.05595398 , y=1.3965607 , z=9.654739
x=-0.066726685 , y=1.382431 , z=9.645645
x=-0.07711792 , y=1.3688049 , z=9.675018
x=-0.09333801 , y=1.3691406 , z=9.702957
x=-0.109558105 , y=1.3501434 , z=9.717606
x=-0.12109375 , y=1.3447876 , z=9.733292
x=-0.10821533 , y=1.3776093 , z=9.7109375
x=-0.120025635 , y=1.3799438 , z=9.670013
x=-0.14582825 , y=1.3832245 , z=9.685226
x=-0.16062927 , y=1.3702698 , z=9.700027
x=-0.17648315 , y=1.3488007 , z=9.739365
x=-0.16149902 , y=1.3579865 , z=9.763458
x=-0.18403625 , y=1.3706207 , z=9.724243
x=-0.18260193 , y=1.3953552 , z=9.713806
x=-0.2071228 , y=1.4219971 , z=9.697372
x=-0.19078064 , y=1.4376068 , z=9.661682
x=-0.18739319 , y=1.4487305 , z=9.651901
x=-0.19065857 , y=1.4399872 , z=9.670578
x=-0.19290161 , y=1.4256287 , z=9.686111
x=-0.21099854 , y=1.4263916 , z=9.667282
x=-0.18934631 , y=1.4615326 , z=9.647385
x=-0.16772461 , y=1.4707947 , z=9.628021
x=-0.15512085 , y=1.4627075 , z=9.637421
x=-0.14881897 , y=1.4471283 , z=9.674194
x=-0.1762085 , y=1.4043579 , z=9.729874
x=-0.17562866 , y=1.3864136 , z=9.750137
x=-0.16261292 , y=1.3791656 , z=9.75853
x=-0.14894104 , y=1.3883362 , z=9.750015
x=-0.13916016 , y=1.4014435 , z=9.72699
x=-0.14579773 , y=1.41745 , z=9.708817
x=-0.1607666 , y=1.43573 , z=9.703751
x=-0.17903137 , y=1.426178 , z=9.676773
x=-0.16348267 , y=1.4081879 , z=9.66391
x=-0.13002014 , y=1.3932953 , z=9.656601
x=-0.10316467 , y=1.3967133 , z=9.637527
x=-0.10510254 , y=1.3928375 , z=9.612427
x=-0.12031555 , y=1.3624268 , z=9.589676
x=-0.099731445 , y=1.3498535 , z=9.629898
x=-0.07733154 , y=1.302887 , z=9.660614
x=-0.07675171 , y=1.2798157 , z=9.759552
x=-0.09591675 , y=1.2725372 , z=9.744934
x=-0.14538574 , y=1.2220764 , z=9.732483
x=-0.14212036 , y=1.2223358 , z=9.694809
x=-0.13919067 , y=1.2441406 , z=9.674103
x=-0.091156006 , y=1.2697144 , z=9.662277
x=-0.12750244 , y=1.2511292 , z=9.657333
x=-0.14590454 , y=1.2548676 , z=9.6862335
x=-0.14967346 , y=1.2595673 , z=9.707123
x=-0.16096497 , y=1.2696838 , z=9.719849
x=-0.1593628 , y=1.281311 , z=9.726929
x=-0.15214539 , y=1.2986298 , z=9.701645
x=-0.17955017 , y=1.3109436 , z=9.692627
x=-0.2104187 , y=1.2966461 , z=9.712723
x=-0.22216797 , y=1.298172 , z=9.742218
x=-0.20036316 , y=1.2996521 , z=9.765137
x=-0.17662048 , y=1.3122101 , z=9.746689
x=-0.19725037 , y=1.3558197 , z=9.689194
x=-0.19584656 , y=1.4011383 , z=9.624252
x=-0.23603821 , y=1.4138489 , z=9.595398
x=-0.25372314 , y=1.3992004 , z=9.572006
x=-0.25468445 , y=1.4002991 , z=9.634247
x=-0.23518372 , y=1.3788452 , z=9.653732
x=-0.22587585 , y=1.3713379 , z=9.637802
x=-0.25793457 , y=1.3949127 , z=9.622025
x=-0.302063 , y=1.371933 , z=9.671143
x=-0.28553772 , y=1.3223724 , z=9.7357025
x=-0.26358032 , y=1.3135223 , z=9.800018
x=-0.26649475 , y=1.2801056 , z=9.848679
x=-0.2783661 , y=1.2874298 , z=9.813705
x=-0.25976562 , y=1.3217773 , z=9.766708
x=-0.2657776 , y=1.3404999 , z=9.708542
x=-0.24523926 , y=1.3986053 , z=9.647171
x=-0.22631836 , y=1.4219971 , z=9.618774
x=-0.22883606 , y=1.4438934 , z=9.60878
x=-0.2348938 , y=1.4442444 , z=9.633194
x=-0.2639618 , y=1.4525146 , z=9.646988
x=-0.2674713 , y=1.4771271 , z=9.621689
x=-0.2594757 , y=1.4854279 , z=9.607742
x=-0.24229431 , y=1.4828339 , z=9.597092
x=-0.2511139 , y=1.4559174 , z=9.618149
x=-0.26390076 , y=1.3919983 , z=9.696823
x=-0.25639343 , y=1.3920288 , z=9.727615
x=-0.23872375 , y=1.36969 , z=9.740707
x=-0.20207214 , y=1.3564453 , z=9.7500305
x=-0.19343567 , y=1.3707733 , z=9.728989
x=-0.19099426 , y=1.3903198 , z=9.7065735
x=-0.16781616 , y=1.3944855 , z=9.70903
x=-0.1914978 , y=1.3926697 , z=9.749115
x=-0.2306366 , y=1.3943176 , z=9.773392
x=-0.20732117 , y=1.3946991 , z=9.729767
x=-0.1703186 , y=1.454361 , z=9.626495
x=-0.17678833 , y=1.4708099 , z=9.620743
x=-0.13157654 , y=1.4622345 , z=9.622452
x=-0.12791443 , y=1.4829559 , z=9.684448
x=-0.1560669 , y=1.4763947 , z=9.65947
x=-0.19110107 , y=1.4793243 , z=9.657562
x=-0.16261292 , y=1.4680328 , z=9.607513
x=-0.124801636 , y=1.4774475 , z=9.626419
x=-0.11277771 , y=1.453598 , z=9.624176
x=-0.12512207 , y=1.4012299 , z=9.659775
x=-0.12690735 , y=1.3722229 , z=9.685196
x=-0.13578796 , y=1.3420563 , z=9.719116
x=-0.13476562 , y=1.3420563 , z=9.735504
x=-0.08589172 , y=1.338974 , z=9.723724
x=-0.06097412 , y=1.3252563 , z=9.728012
x=-0.07850647 , y=1.3017578 , z=9.744888
x=-0.09324646 , y=1.3008728 , z=9.773788
x=-0.0763855 , y=1.3067627 , z=9.790436
x=-0.06072998 , y=1.3281708 , z=9.763641
x=-0.05204773 , y=1.3695984 , z=9.6800995
x=-0.0650177 , y=1.4087067 , z=9.582916
x=-0.12870789 , y=1.4272308 , z=9.552795
x=-0.16201782 , y=1.4064331 , z=9.533752
x=-0.14056396 , y=1.400589 , z=9.572739
x=-0.070510864 , y=1.3654938 , z=9.630142
x=-0.03677368 , y=1.35672 , z=9.660736
x=-0.020599365 , y=1.3564148 , z=9.672577
x=-0.007949829 , y=1.367691 , z=9.707321
x=-0.04814148 , y=1.3178558 , z=9.74057
x=-0.07891846 , y=1.275177 , z=9.755112
x=-0.070510864 , y=1.2830505 , z=9.768784
x=-0.04862976 , y=1.2975006 , z=9.760422
x=-0.05607605 , y=1.3083954 , z=9.740799
x=-0.05795288 , y=1.3266449 , z=9.711151
x=-0.026931763 , y=1.3441315 , z=9.706436
x=0.008239746 , y=1.3546143 , z=9.701004
x=0.038894653 , y=1.3708038 , z=9.697403
x=0.039596558 , y=1.3982697 , z=9.691315
x=0.0015411377 , y=1.3782654 , z=9.65863
x=-0.014389038 , y=1.3860931 , z=9.626953
x=-0.019943237 , y=1.3908844 , z=9.634293
x=-0.009155273 , y=1.3872986 , z=9.663391
x=0.018203735 , y=1.3799591 , z=9.683289
x=0.019485474 , y=1.3574066 , z=9.710327
x=0.029678345 , y=1.3556366 , z=9.716553
x=0.022232056 , y=1.3579102 , z=9.716553
x=0.017456055 , y=1.3572083 , z=9.721329
x=0.014022827 , y=1.3647919 , z=9.717026
x=0.04611206 , y=1.3881989 , z=9.705154
x=0.08538818 , y=1.3834686 , z=9.668549
x=0.095184326 , y=1.3647308 , z=9.694244
x=0.071121216 , y=1.3795776 , z=9.720581
x=0.115982056 , y=1.4062042 , z=9.753616
x=0.1511383 , y=1.4277039 , z=9.718063
x=0.15298462 , y=1.4351044 , z=9.658905
x=0.11077881 , y=1.4118958 , z=9.666138
x=0.020629883 , y=1.3786621 , z=9.696411
x=2.1362305E-4 , y=1.3976898 , z=9.670181
x=0.010910034 , y=1.4094086 , z=9.655121
x=0.06060791 , y=1.4275818 , z=9.642273
x=0.012924194 , y=1.3910522 , z=9.664093
x=-0.015060425 , y=1.391861 , z=9.658508
x=-0.017929077 , y=1.3809204 , z=9.663055
x=-0.0011138916 , y=1.3596802 , z=9.690887
x=0.03855896 , y=1.350235 , z=9.729279
x=0.08154297 , y=1.3510895 , z=9.760971
x=0.067214966 , y=1.3359375 , z=9.775375
x=-0.0029754639 , y=1.328064 , z=9.770874
x=-0.067977905 , y=1.3560181 , z=9.729416
x=-0.062820435 , y=1.3819885 , z=9.670883
x=-0.028900146 , y=1.3873291 , z=9.649933
x=-0.009902954 , y=1.3691101 , z=9.665573
x=-0.007827759 , y=1.3717499 , z=9.655533
x=-0.039489746 , y=1.3890076 , z=9.622726
x=-0.12205505 , y=1.3876953 , z=9.581345
x=-0.064453125 , y=1.3802338 , z=9.618393
x=0.03540039 , y=1.3607178 , z=9.680359
x=0.07984924 , y=1.3114929 , z=9.829239
x=-0.011932373 , y=1.2463074 , z=9.90242
x=-0.1411438 , y=1.258728 , z=9.845444
x=-0.16893005 , y=1.3419647 , z=9.7144165
x=-0.06983948 , y=1.3983612 , z=9.566299
x=0.023422241 , y=1.4134674 , z=9.498322
x=0.056869507 , y=1.4065094 , z=9.504288
x=-0.022277832 , y=1.3804016 , z=9.615067
x=-0.18203735 , y=1.3090668 , z=9.670761
x=-0.13728333 , y=1.2951813 , z=9.816528
x=0.04397583 , y=1.3473816 , z=9.804642
x=0.09190369 , y=1.3724823 , z=9.774643
x=0.00680542 , y=1.3549347 , z=9.797943
x=-0.02532959 , y=1.3571777 , z=9.750488
x=-0.0695343 , y=1.3755646 , z=9.703613
x=-0.1257019 , y=1.3738403 , z=9.679459
x=-0.09329224 , y=1.4073792 , z=9.641403
x=0.009506226 , y=1.5025635 , z=9.538864
x=-0.0043640137 , y=1.5239716 , z=9.501007
x=-0.10583496 , y=1.4959259 , z=9.512573
x=-0.16348267 , y=1.4402161 , z=9.602966
x=-0.108078 , y=1.38237 , z=9.70668
x=-0.023391724 , y=1.3572235 , z=9.772278
x=-0.024047852 , y=1.3509979 , z=9.751129
x=-0.05229187 , y=1.337143 , z=9.710068
x=-0.09675598 , y=1.3125305 , z=9.706482
x=-0.10014343 , y=1.2680664 , z=9.779877
x=-0.004348755 , y=1.254303 , z=9.853821
x=0.07521057 , y=1.2724304 , z=9.867004
x=0.04876709 , y=1.3252106 , z=9.836777
x=-0.011764526 , y=1.3483734 , z=9.733246
x=-0.045547485 , y=1.4121704 , z=9.644379
x=-0.045639038 , y=1.4308319 , z=9.626938
x=-0.042266846 , y=1.4503784 , z=9.588089
x=-0.030044556 , y=1.4869843 , z=9.564789
x=-0.07078552 , y=1.4960175 , z=9.574127
x=-0.11453247 , y=1.4609375 , z=9.556992
x=-0.094940186 , y=1.4146271 , z=9.607361
x=0.010772705 , y=1.3930359 , z=9.678925
x=0.027755737 , y=1.3677826 , z=9.755127
x=-0.00440979 , y=1.3170776 , z=9.78656
x=-0.035705566 , y=1.3171387 , z=9.822189
x=-0.04585266 , y=1.307785 , z=9.784775
x=-0.036224365 , y=1.3299255 , z=9.785538
x=-0.010757446 , y=1.3235931 , z=9.786636
x=-3.3569336E-4 , y=1.3305817 , z=9.766617
x=-0.03883362 , y=1.3624878 , z=9.739746
x=-0.062286377 , y=1.402008 , z=9.705185
x=-0.03994751 , y=1.44104 , z=9.666107
x=-0.02798462 , y=1.4881287 , z=9.619934
x=-0.0670166 , y=1.4844666 , z=9.582108
x=-0.10166931 , y=1.4796295 , z=9.540894
x=-0.12373352 , y=1.4625854 , z=9.56871
x=-0.12451172 , y=1.4455261 , z=9.580688
x=-0.108169556 , y=1.4057922 , z=9.63974
x=-0.018447876 , y=1.3782806 , z=9.694077
x=0.0037841797 , y=1.3092499 , z=9.713074
x=-0.04321289 , y=1.2888641 , z=9.748764
x=-0.052719116 , y=1.2774506 , z=9.771591
x=-0.038848877 , y=1.2673492 , z=9.817688
x=0.0017089844 , y=1.256897 , z=9.834381
x=-0.0059814453 , y=1.2715454 , z=9.8607025
x=-0.02154541 , y=1.3100586 , z=9.800858
x=-0.055526733 , y=1.3632965 , z=9.721558
x=-0.08226013 , y=1.4121857 , z=9.636856
x=-0.07217407 , y=1.4504089 , z=9.597351
x=-0.059188843 , y=1.4777222 , z=9.55629
x=-0.074905396 , y=1.4801941 , z=9.538849
x=-0.1131134 , y=1.4839935 , z=9.562744
x=-0.0743866 , y=1.4754639 , z=9.592834
x=-0.054031372 , y=1.4524689 , z=9.624176
x=-0.08143616 , y=1.4186249 , z=9.654343
x=-0.10897827 , y=1.3920593 , z=9.66684
x=-0.13082886 , y=1.3510742 , z=9.684784
x=-0.11051941 , y=1.2897186 , z=9.755615
x=-0.10746765 , y=1.238678 , z=9.821472
x=-0.13374329 , y=1.2004547 , z=9.876862
x=-0.14537048 , y=1.2188568 , z=9.876404
x=-0.16134644 , y=1.2997437 , z=9.734711
x=-0.17655945 , y=1.35112 , z=9.679535
x=-0.18554688 , y=1.3751678 , z=9.588837
x=-0.19664001 , y=1.3943024 , z=9.6302185
x=-0.16308594 , y=1.3880157 , z=9.665863
x=-0.16726685 , y=1.4241028 , z=9.634399
x=-0.16285706 , y=1.4517975 , z=9.611542
x=-0.13311768 , y=1.471878 , z=9.54071
x=-0.094436646 , y=1.467865 , z=9.5473175
x=-0.0801239 , y=1.3802948 , z=9.606995
x=-0.13638306 , y=1.3514252 , z=9.739761
x=-0.16178894 , y=1.3018951 , z=9.756882
x=-0.14749146 , y=1.276474 , z=9.795532
x=-0.1428833 , y=1.2571106 , z=9.803314
x=-0.14677429 , y=1.2603912 , z=9.780441
x=-0.19833374 , y=1.2948456 , z=9.736969
x=-0.24130249 , y=1.3174591 , z=9.692856
x=-0.24909973 , y=1.3400269 , z=9.673752
x=-0.20147705 , y=1.3543396 , z=9.683731
x=-0.1577301 , y=1.3590393 , z=9.682541
x=-0.14497375 , y=1.346695 , z=9.654083
x=-0.18229675 , y=1.359314 , z=9.639984
x=-0.21231079 , y=1.4038239 , z=9.6258545
x=-0.19772339 , y=1.4209747 , z=9.614716
x=-0.15188599 , y=1.4147034 , z=9.630295
x=-0.10348511 , y=1.3777161 , z=9.655655
x=-0.049041748 , y=1.3663635 , z=9.748245
x=-0.095687866 , y=1.3412933 , z=9.8554535
x=-0.12234497 , y=1.360321 , z=9.828812
x=-0.0713501 , y=1.3615265 , z=9.721359
x=-0.043548584 , y=1.361206 , z=9.517151
x=-0.13223267 , y=1.352478 , z=9.406464
x=-0.26994324 , y=1.3052216 , z=9.467926
x=-0.33016968 , y=1.2517395 , z=9.725525
x=-0.2570343 , y=1.2120056 , z=9.861237
x=-0.08969116 , y=1.2528992 , z=10.000748
x=0.033325195 , y=1.2894592 , z=9.899826
x=0.04597473 , y=1.417923 , z=9.76091
x=0.00819397 , y=1.4575653 , z=9.612656
x=-0.042114258 , y=1.464325 , z=9.624924
x=-0.041885376 , y=1.4545288 , z=9.660858
x=-8.087158E-4 , y=1.4662323 , z=9.666565
x=-0.02305603 , y=1.5002136 , z=9.618591
x=-0.08337402 , y=1.5657043 , z=9.58699
x=-0.08329773 , y=1.5664062 , z=9.534653
x=-0.045333862 , y=1.5378723 , z=9.574646
x=-0.0036773682 , y=1.4485321 , z=9.657928
x=0.022354126 , y=1.3385773 , z=9.741867
x=0.015579224 , y=1.3061066 , z=9.823181
x=-0.19868469 , y=1.2754059 , z=9.706299
x=-0.39587402 , y=1.3249054 , z=9.82193
x=-0.29580688 , y=1.2753143 , z=9.679504
x=0.0640564 , y=1.3673096 , z=9.871872
x=0.19830322 , y=1.303833 , z=9.75737
x=-0.18447876 , y=1.3575745 , z=9.850647
x=-0.36276245 , y=1.3130035 , z=9.709488
x=-0.1966095 , y=1.3860779 , z=9.649979
x=0.10435486 , y=1.4387817 , z=9.651352
x=0.1862793 , y=1.4311066 , z=9.519348
x=-0.0036468506 , y=1.5138092 , z=9.541702
x=-0.32562256 , y=1.4345856 , z=9.445984
x=-0.37605286 , y=1.4141235 , z=9.650925
x=-0.19363403 , y=1.3527985 , z=9.83609
