x=-0.010093534407894646 , y=0.6808291133984206 , z=4.890855284703381
x=-0.0012359429887217935 , y=0.6817904023896486 , z=4.859399772712641
x=-0.004409722515316028 , y=0.6863450811814197 , z=4.860597569312822
x=-0.025359719101921245 , y=0.6812258358392448 , z=4.861238428640307
x=-0.038741472202032515 , y=0.6846284936970838 , z=4.865159877382301
x=-0.03470558429441629 , y=0.6755725410574989 , z=4.857973097781215
x=-0.02423058600111368 , y=0.6910141991388131 , z=4.865945692986242
x=-0.015693424245683513 , y=0.698056022463444 , z=4.834955566935699
x=-0.022102017520537257 , y=0.7096448953021379 , z=4.829981277869979
x=-0.03324839225215787 , y=0.7109266139571087 , z=4.8210245058406
x=-0.04475334303606198 , y=0.7101942032971253 , z=4.8179727947573365
x=-0.04484489436855989 , y=0.7021529445927256 , z=4.82367949448304
x=-0.051802795638401095 , y=0.6859483587405953 , z=4.841547262875548
x=-0.06084348972256977 , y=0.6785403300859728 , z=4.849191799139124
x=-0.060889265388818725 , y=0.683918970870225 , z=4.842317819924072
x=-0.0639257179166661 , y=0.6760455562754047 , z=4.835382806487356
x=-0.07765841779135269 , y=0.6742908224025281 , z=4.842806093697395
x=-0.09178784010686357 , y=0.6653035332623165 , z=4.859628651043886
x=-0.09120801500104346 , y=0.6593755844830768 , z=4.858995420994108
x=-0.09347391048036675 , y=0.6602529514195151 , z=4.846460517719603
x=-0.09575506451510636 , y=0.6731616893017205 , z=4.840067183000166
x=-0.09303141237329351 , y=0.6754733604472928 , z=4.820025070460831
x=-0.09788363299568278 , y=0.6698429534986713 , z=4.8177515457038
x=-0.10410149432783254 , y=0.664563493324625 , z=4.845720477781912
x=-0.11414162379177008 , y=0.6639684096633887 , z=4.859537099711388
x=-0.11608708960735067 , y=0.6698200656655467 , z=4.865381126435838
x=-0.12407494336779337 , y=0.685788143908724 , z=4.866525518092062
x=-0.1161938994952649 , y=0.691296482414015 , z=4.855943709910845
x=-0.11818514097709445 , y=0.7080122298725918 , z=4.851709460782817
x=-0.10644368258423742 , y=0.7045943134593365 , z=4.831415582079113
x=-0.108579880342522 , y=0.7050902165103669 , z=4.8257928044081995
x=-0.12878220771372761 , y=0.7017638514296094 , z=4.834413888218419
x=-0.11868867330583296 , y=0.7073103363234412 , z=4.840845369326398
x=-0.11945923035435704 , y=0.7086302013669528 , z=4.8267388348440114
x=-0.12164883305659875 , y=0.7048460796237057 , z=4.810114638717932
x=-0.13199413362886264 , y=0.6993682582292474 , z=4.835520133486103
x=-0.13844850256996535 , y=0.6888169671588632 , z=4.859765978042633
x=-0.14953384307992068 , y=0.6759768927760312 , z=4.879624987916971
x=-0.1420876680367573 , y=0.6683552443455802 , z=4.88725426562513
x=-0.1402871584976317 , y=0.6729404402481839 , z=4.876924223608283
x=-0.14784014342870935 , y=0.6747790961758503 , z=4.858522405776203
x=-0.14777910920704407 , y=0.6762896931620658 , z=4.828150251220021
x=-0.14903794002889034 , y=0.6863450811814197 , z=4.805231900984711
x=-0.16056577864591892 , y=0.6810656210073734 , z=4.815867114109884
x=-0.18259913266708275 , y=0.6704380371599077 , z=4.830065199924769
x=-0.17943298241819666 , y=0.6698200656655467 , z=4.844515051904023
x=-0.18411735893100642 , y=0.6731540600240123 , z=4.836496681032747
x=-0.17857087403717467 , y=0.6648381473221188 , z=4.830950196138915
x=-0.17893707936716632 , y=0.663556428667148 , z=4.822176526774532
x=-0.18334680188248234 , y=0.6494346356293453 , z=4.82376341653783
x=-0.18122586267961407 , y=0.630010494584372 , z=4.866906981977469
x=-0.17110944043859497 , y=0.6217327282710192 , z=4.875184748290822
x=-0.16551717987851425 , y=0.6229763005374491 , z=4.875047421292075
x=-0.15371468726399193 , y=0.6334512988307518 , z=4.855516470359188
x=-0.1424767611998734 , y=0.6470085253181507 , z=4.834406258940711
x=-0.14119504254490267 , y=0.6505332516193203 , z=4.827150815840252
x=-0.13908936189745072 , y=0.6443535366757113 , z=4.83034748319997
x=-0.12492179319339905 , y=0.6553168087423361 , z=4.84547634089525
x=-0.11885651741541248 , y=0.6447350005611193 , z=4.866540776647478
x=-0.11169262564745096 , y=0.643331213462818 , z=4.867135860308714
x=-0.09837190676900497 , y=0.6745425885668973 , z=4.829615072539988
x=-0.07813906228696672 , y=0.6817064803348588 , z=4.812739110249539
x=-0.06934250508945915 , y=0.6783190810324361 , z=4.823458245429503
x=-0.07660557746762672 , y=0.6773959384297489 , z=4.845842546225242
x=-0.07035719902464431 , y=0.6786395106961788 , z=4.866418708204147
x=-0.05614385465434369 , y=0.6793948091892866 , z=4.873140101865036
x=-0.043799683322542075 , y=0.688755932937198 , z=4.858392708055164
x=-0.03473610140524892 , y=0.6997344635592391 , z=4.842050795204287
x=-0.027976561355819857 , y=0.6982696422392725 , z=4.827295772116707
x=-0.033362831417780264 , y=0.691204931081517 , z=4.822748722602644
x=-0.038558369537036695 , y=0.6843919860881309 , z=4.837435082190851
