x=2.0833435 , y=0.24662781 , z=10.975433
x=0.8161926 , y=0.46620178 , z=12.304108
x=-1.9006653 , y=0.48303223 , z=11.645798
x=-2.1055298 , y=0.51397705 , z=9.7634735
x=0.5487976 , y=0.7342377 , z=9.511841
x=1.7418976 , y=0.3753662 , z=11.106781
x=0.5674286 , y=-0.940155 , z=9.670944
x=0.42053223 , y=0.59721375 , z=11.259247
x=0.594223 , y=0.8464813 , z=9.939529
x=-0.220047 , y=1.3103638 , z=8.866898
x=0.17419434 , y=2.7173157 , z=10.305237
x=0.8815613 , y=2.528595 , z=8.082657
x=-0.5462036 , y=2.5826416 , z=7.7564087
x=-1.3409119 , y=2.3333435 , z=8.534393
x=0.5444031 , y=1.2632446 , z=8.409424
x=1.8593903 , y=0.05088806 , z=8.69519
x=1.423584 , y=-0.04083252 , z=10.636673
x=0.64575195 , y=0.798645 , z=11.359528
x=-1.0605164 , y=1.1873627 , z=10.30336
x=-2.5787811 , y=0.6221924 , z=9.548416
x=-0.8536072 , y=0.16795349 , z=10.080521
x=1.9206238 , y=0.09811401 , z=11.83165
x=1.6494904 , y=-0.74832153 , z=10.969711
x=0.14653015 , y=0.108810425 , z=11.149765
x=-0.0048675537 , y=0.7083435 , z=9.175888
x=-0.05545044 , y=1.8739471 , z=8.267319
x=-0.19281006 , y=2.798111 , z=9.583237
x=0.28977966 , y=2.072647 , z=8.821152
x=0.08381653 , y=2.0312805 , z=8.662399
x=-0.5766754 , y=2.3492126 , z=9.203522
x=-0.09098816 , y=1.5865479 , z=8.623444
x=0.5480499 , y=0.043151855 , z=7.1365814
x=1.1791992 , y=0.043289185 , z=9.414383
x=1.8079834 , y=0.82066345 , z=11.470566
x=0.042175293 , y=0.9459839 , z=11.428192
x=-2.667984 , y=0.1655426 , z=10.560333
x=-1.5179138 , y=-0.14706421 , z=10.28154
x=1.4879913 , y=0.2672882 , z=11.481354
x=1.3101349 , y=-0.39382935 , z=10.966568
x=-0.07223511 , y=-0.16157532 , z=9.97287
x=0.42912292 , y=1.2068787 , z=9.541977
x=0.41230774 , y=1.6772156 , z=8.134262
x=-0.6504822 , y=2.46698 , z=10.084305
x=-0.24069214 , y=1.9608002 , z=9.242691
x=0.6202698 , y=2.1184082 , z=8.169479
x=0.10447693 , y=2.5790558 , z=8.473862
x=-0.358078 , y=2.0303955 , z=8.467743
x=0.26669312 , y=0.6461029 , z=7.811249
x=1.3390503 , y=0.13020325 , z=9.146973
x=1.6372833 , y=0.5645447 , z=11.654037
x=-0.07745361 , y=0.5704498 , z=12.134491
x=-2.1309814 , y=0.23925781 , z=10.64827
x=-1.120224 , y=0.291214 , z=9.528107
x=1.2607422 , y=0.72636414 , z=10.962921
x=1.0888824 , y=-0.1769104 , z=10.573685
x=0.17468262 , y=0.14561462 , z=10.326614
x=0.9086914 , y=0.9842682 , z=10.098755
x=0.6239166 , y=1.1842651 , z=7.902725
x=-0.48919678 , y=2.8477936 , z=10.9609375
x=0.12750244 , y=1.8406525 , z=8.699539
x=0.53356934 , y=2.1134338 , z=7.996292
x=-0.27104187 , y=2.5751343 , z=8.7625885
x=-0.21128845 , y=1.7729187 , z=8.780502
x=0.6251221 , y=0.37550354 , z=8.246353
x=1.3079529 , y=-0.1651001 , z=9.724304
x=1.4932404 , y=0.33543396 , z=11.646759
x=-0.18269348 , y=0.6319275 , z=11.583969
x=-2.2932281 , y=0.34703064 , z=10.190338
x=-1.2592316 , y=0.44229126 , z=9.228714
x=1.2944031 , y=0.7547455 , z=10.363388
x=1.2675323 , y=0.013305664 , z=10.546509
x=0.20999146 , y=-0.079452515 , z=10.385269
x=0.53970337 , y=0.72410583 , z=10.147263
x=0.40916443 , y=1.7953949 , z=9.862335
x=-0.35710144 , y=2.423462 , z=9.852692
x=-0.002166748 , y=2.1067047 , z=8.253021
x=0.40449524 , y=2.6552277 , z=8.116684
x=-0.22286987 , y=2.6132202 , z=8.623306
x=-0.42814636 , y=1.336853 , z=8.599304
x=0.59158325 , y=0.08483887 , z=8.2235565
x=1.8572388 , y=0.34526062 , z=10.109909
x=1.3645325 , y=0.75346375 , z=11.282318
x=-1.2168884 , y=0.81196594 , z=11.191452
x=-2.4770813 , y=0.5270996 , z=9.77478
x=-0.20007324 , y=0.38653564 , z=9.281677
x=1.7180634 , y=0.58695984 , z=11.97023
x=0.8351898 , y=-1.0158386 , z=10.26297
x=0.41744995 , y=0.089538574 , z=10.725906
x=0.7648468 , y=0.72543335 , z=9.986649
x=-0.25985718 , y=1.5016327 , z=9.342682
x=-0.5808258 , y=2.6054535 , z=10.223999
x=0.47680664 , y=2.1091614 , z=8.010712
x=0.3865509 , y=2.3835602 , z=8.254318
x=-0.17510986 , y=2.28833 , z=8.865692
x=0.84913635 , y=1.3798676 , z=8.438095
x=1.5640106 , y=0.4671631 , z=8.233871
x=0.8015747 , y=0.22280884 , z=9.318954
x=0.5831299 , y=1.1859894 , z=12.096558
x=0.89411926 , y=1.4612732 , z=11.856049
x=-0.5573273 , y=0.9471741 , z=9.709854
x=-2.8953094 , y=0.66256714 , z=10.056198
x=-2.5711365 , y=-9.918213E-4 , z=10.116577
x=0.5453186 , y=-0.095062256 , z=8.931351
x=2.649887 , y=0.8792877 , z=10.936325
x=1.8902893 , y=-0.11024475 , z=10.208908
x=0.567688 , y=1.1633606 , z=12.510345
x=0.39312744 , y=1.3914642 , z=11.131302
x=0.13342285 , y=1.7543488 , z=9.015549
x=-0.12945557 , y=2.9221344 , z=7.4125824
x=0.61206055 , y=3.4981232 , z=7.92395
x=0.5401764 , y=0.9368744 , z=7.397751
x=-0.12188721 , y=-1.1695557 , z=9.230804
x=1.0588379 , y=-0.2111206 , z=11.827179
x=1.318222 , y=1.5269775 , z=11.333862
x=-1.3376465 , y=1.981842 , z=10.114624
x=-1.5641785 , y=1.1984406 , z=8.250229
x=1.6787567 , y=1.1788025 , z=9.128952
x=1.6748657 , y=0.3622589 , z=11.601471
x=-1.5251312 , y=-1.0798187 , z=10.998001
x=-1.2586975 , y=-0.07183838 , z=10.441132
x=1.4711456 , y=1.1399689 , z=9.048477
x=1.5575714 , y=2.463791 , z=10.021835
x=0.45106506 , y=2.2516174 , z=9.358566
x=0.59965515 , y=2.0553436 , z=8.355759
x=0.30259705 , y=2.211609 , z=8.974808
x=-0.58128357 , y=1.2870636 , z=9.219513
x=-0.07865906 , y=0.20993042 , z=8.818726
x=1.302414 , y=0.107681274 , z=8.853729
x=1.4289703 , y=0.69818115 , z=10.233566
x=-0.33029175 , y=1.0687256 , z=11.461838
x=-2.0765839 , y=0.8051605 , z=10.656738
x=-1.4751129 , y=0.5779419 , z=9.82515
x=0.69880676 , y=0.4972229 , z=10.070938
x=1.5442963 , y=0.29832458 , z=10.928497
x=0.805603 , y=-0.34074402 , z=8.949005
x=0.4216919 , y=1.2967834 , z=10.559326
x=-0.14353943 , y=0.8683014 , z=7.7075195
x=-0.8716278 , y=2.2970886 , z=9.006195
x=0.096084595 , y=2.7851868 , z=9.450729
x=0.5717468 , y=1.6204987 , z=7.567093
x=-0.78382874 , y=1.802124 , z=9.663498
x=-0.7011261 , y=1.2877197 , z=10.1401825
x=0.8732605 , y=0.19815063 , z=9.3628845
x=1.2697449 , y=-0.72125244 , z=9.565735
x=1.2586365 , y=0.008224487 , z=12.020508
x=0.99850464 , y=0.858551 , z=11.520279
x=-0.87976074 , y=0.8828583 , z=9.947189
x=-1.9096985 , y=0.42611694 , z=9.3407135
x=0.23997498 , y=0.5045624 , z=10.225311
x=2.1256104 , y=0.35079956 , z=11.016846
x=1.5666046 , y=0.011871338 , z=10.23674
x=1.301239 , y=1.022522 , z=9.503296
x=1.4981232 , y=2.3216095 , z=8.433701
x=0.38581848 , y=3.078659 , z=9.134476
x=-0.2667694 , y=2.099884 , z=9.6046295
x=1.026474 , y=1.7344971 , z=10.203735
x=1.7159576 , y=2.2639313 , z=9.717636
x=0.520401 , y=2.181137 , z=8.373398
x=-0.1315155 , y=1.0272522 , z=6.9466095
x=1.3529663 , y=0.5470581 , z=7.7180786
x=2.6645203 , y=0.67362976 , z=10.351807
x=1.0827942 , y=0.44934082 , z=12.481583
x=-1.2072906 , y=-0.096710205 , z=12.228546
x=-0.16271973 , y=-0.047973633 , z=10.728851
x=2.406845 , y=0.36132812 , z=10.543655
x=1.9247742 , y=-0.0062561035 , z=10.576172
x=0.24964905 , y=-0.25196838 , z=9.06604
x=0.77207947 , y=1.449585 , z=10.576813
x=1.0450592 , y=0.7870331 , z=8.949417
x=-0.11590576 , y=1.2581177 , z=9.806549
x=0.1685791 , y=2.2322693 , z=10.476608
x=0.8845825 , y=2.2515717 , z=8.069168
x=0.12446594 , y=2.6824036 , z=7.9821777
x=0.19515991 , y=2.7671661 , z=8.5224
x=1.2734833 , y=1.4292755 , z=7.773102
x=0.7740631 , y=3.8146973E-4 , z=8.679413
x=-0.07548523 , y=0.019760132 , z=10.863876
x=-0.15240479 , y=0.8879547 , z=11.644867
x=-1.1977997 , y=0.81977844 , z=10.851212
x=-1.8287201 , y=0.20892334 , z=9.484161
x=0.08973694 , y=0.4711151 , z=9.991165
x=1.2989502 , y=0.018814087 , z=10.822632
x=-0.10620117 , y=-0.48867798 , z=11.074722
x=-0.71287537 , y=-0.046524048 , z=10.249573
x=0.07575989 , y=1.1914825 , z=9.038788
x=-0.34609985 , y=2.2770538 , z=9.575119
x=-1.1387177 , y=1.559494 , z=8.738724
x=-0.37052917 , y=1.7890015 , z=8.860825
x=0.10630798 , y=2.4430695 , z=8.078506
x=-0.8463745 , y=2.0212097 , z=8.376389
x=-0.86402893 , y=0.097961426 , z=8.034271
x=1.5105896 , y=-0.5440216 , z=8.21402
x=2.9061432 , y=0.31819153 , z=11.27359
x=0.47703552 , y=0.335083 , z=13.128952
x=-2.3263397 , y=-0.05267334 , z=12.304367
x=-1.5301819 , y=0.09777832 , z=10.100876
x=0.58540344 , y=0.53842163 , z=10.061966
x=0.6290283 , y=-0.118499756 , z=9.8441925
x=0.41827393 , y=0.78326416 , z=10.86911
x=0.93266296 , y=1.7319794 , z=12.090332
x=-0.077301025 , y=-0.05050659 , z=7.4626465
x=-0.5933533 , y=2.749176 , z=9.784592
x=0.8018646 , y=3.2860565 , z=7.2998962
x=0.49699402 , y=2.8143616 , z=5.511444
x=-0.48641968 , y=3.2949066 , z=8.148651
x=1.0157166 , y=1.6716461 , z=7.089859
x=2.134369 , y=1.1723633 , z=11.128281
x=0.8394928 , y=0.15557861 , z=14.91629
x=-0.118652344 , y=-0.55540466 , z=12.622513
x=-0.03691101 , y=0.21166992 , z=7.7986145
x=-0.50253296 , y=0.5638733 , z=3.9525146
x=-0.72740173 , y=1.9810181 , z=10.825943
x=-0.024795532 , y=-1.8373108 , z=13.582581
x=0.8698425 , y=-2.8759003 , z=13.141876
x=1.1646118 , y=2.2594757 , z=18.183136
x=-0.8969879 , y=0.6984253 , z=5.2116547
