x=1.0416558026058107 , y=0.12331201559697745 , z=5.487632645591012
x=0.40809006460943664 , y=0.23309732181738863 , z=6.151959631306684
x=-0.9503180898837286 , y=0.24151241512948823 , z=5.822809703143571
x=-1.0527487723934743 , y=0.2569845903216351 , z=4.881662005065049
x=0.27439460205165445 , y=0.36711321403891345 , z=4.7558475863797955
x=0.8709354553303319 , y=0.1876802316207168 , z=5.553305468102846
x=0.28370995013331685 , y=-0.47007031671052213 , z=4.835398065042772
x=0.21026289363686806 , y=0.2986023002196437 , z=5.6295372109627735
x=0.29710696178884444 , y=0.42323418086013265 , z=4.969688611261791
x=-0.1100218138293641 , y=0.655171852465881 , z=4.43338090548903
x=0.08709583431634564 , y=1.35863703282441 , z=5.152539510093242
x=0.4407738903111907 , y=1.2642781261298968 , z=4.041266548400479
x=-0.2730976248412674 , y=1.2913010277721968 , z=3.878144961722327
x=-0.6704456664376158 , y=1.1666538885762914 , z=4.267131314950532
x=0.27219737007170464 , y=0.6316126429030854 , z=4.204647530520709
x=0.929680893683158 , y=0.025443641156710994 , z=4.347528643439115
x=0.7117810930604225 , y=-0.02041594714703407 , z=5.318255051192169
x=0.32287103260929817 , y=0.3993163952450535 , z=5.679676824060795
x=-0.530250059272482 , y=0.5936722448604096 , z=5.1516011089351395
x=-1.2893708205120324 , y=0.31109142782790034 , z=4.774134965046254
x=-0.42679705354984304 , y=0.08397545973370853 , z=5.040183137285182
x=0.9602971851260009 , y=0.04905625566346378 , z=5.91573430562895
x=0.8247325495297197 , y=-0.3741550373635444 , z=5.484771666450452
x=0.07326395383145298 , y=0.05440437933688339 , z=5.574797143406731
x=-0.002433739588902791 , y=0.35416632976816725 , z=4.5878737790792545
x=-0.027724795191450602 , y=0.9369592246167419 , z=4.133596067224622
x=-0.09640355312029988 , y=1.399034058289113 , z=4.791544976776273
x=0.14488761295565172 , y=1.0363076789323913 , z=4.410508330919969
x=0.04190762245091859 , y=1.0156247070655715 , z=4.331133325644281
x=-0.2883332924244614 , y=1.174588337392777 , z=4.601690401008731
x=-0.045493382973753424 , y=0.793261778983563 , z=4.31165577965535
x=0.27402076744395465 , y=0.02157559735867427 , z=3.5682360719391912
x=0.5895905812865444 , y=0.021644260858047704 , z=4.707119389657783
x=0.9039778570843695 , y=0.4103254429779273 , z=5.735195077943071
x=0.02108732358535208 , y=0.47298470079503896 , z=5.714008573747512
x=-1.3339715779939312 , y=0.08277003385581937 , z=5.280085774818248
x=-0.7589452878522628 , y=-0.07353097855123855 , z=5.140691241812472
x=0.7439842742665626 , y=0.13364205761382503 , z=5.740588977282739
x=0.6550574133002587 , y=-0.19691165764758944 , z=5.483200035242572
x=-0.03611700067042574 , y=-0.08078642165169797 , z=4.986358583054119
x=0.2145581769865617 , y=0.6034300910491452 , z=4.77091540985341
x=0.20615071295217025 , y=0.838594947125445 , z=4.0670687656094735
x=-0.3252361086988275 , y=1.23347110274435 , z=5.042075198156805
x=-0.12034422656850352 , y=0.9803850733315841 , z=4.621274756885575
x=0.31013013883667223 , y=1.0591878827791608 , z=4.084677138559905
x=0.05223766446776617 , y=1.2895081475107792 , z=4.236865970282265
x=-0.17903625997737238 , y=1.0151822089584983 , z=4.233806629921293
x=0.13334451578320683 , y=0.3230465059965858 , z=3.905564585805451
x=0.6695148945572205 , y=0.06510062668372261 , z=4.573416297822293
x=0.8186291273631924 , y=0.2822680166464748 , z=5.826929513105977
x=-0.038726213646616194 , y=0.2852205471195324 , z=6.067152580302786
x=-1.065474407610684 , y=0.11962707446393656 , z=5.32405330225037
x=-0.5601034229445091 , y=0.1456047650602187 , z=4.763980396416693
x=0.6303614413589473 , y=0.3631765067415033 , z=5.481376637870321
x=0.54443288653195 , y=-0.08845384574839799 , z=5.286761392812888
x=0.08733997120300674 , y=0.07280619716896343 , z=5.163228128162374
