BUMPER : 1
time : 2019-11-17 21:41:00
position : 23.54289584 , 87.29716552
----------------------------------
ACCELEROMETER DATA
----------------------------------
x=-7.1434784 , y=34.04825 , z=-26.033295
x=-2.6373596 , y=32.12149 , z=-37.292328
x=0.46554565 , y=34.908875 , z=-26.529327
x=-0.82554626 , y=30.467377 , z=-24.594666
x=-5.127945 , y=21.33751 , z=-23.38501
x=-6.746063 , y=15.111938 , z=-6.8515778
x=-4.085724 , y=10.967148 , z=4.757309
x=-0.645401 , y=2.5506897 , z=-2.6488647
x=2.5348053 , y=-0.76097107 , z=14.823807
x=6.061386 , y=-6.1935577 , z=27.079422
x=8.506821 , y=-9.157181 , z=30.973145
x=7.7385254 , y=-8.787903 , z=29.713745
x=5.5890656 , y=-2.233078 , z=24.715195
x=4.746048 , y=3.4278564 , z=8.26915
x=2.620407 , y=2.903839 , z=-1.4484253
x=-1.7498932 , y=-2.8516998 , z=11.2204895
x=-2.914444 , y=-10.836136 , z=22.640305
x=-1.2912292 , y=-12.648727 , z=27.684464
x=-3.5728912 , y=-12.183151 , z=27.143814
x=-8.925644 , y=-10.270615 , z=37.8217
x=-8.725449 , y=-8.238602 , z=48.957108
x=3.3943634 , y=-6.8372498 , z=39.200226
x=17.068604 , y=-2.2306213 , z=20.438736
x=20.536163 , y=2.4082794 , z=8.989151
x=15.657242 , y=4.921646 , z=2.9847717
x=10.441666 , y=4.867996 , z=-8.101166
x=6.7673798 , y=10.965149 , z=-16.527405
x=1.9684143 , y=20.508606 , z=-3.9847717
x=-1.3029327 , y=25.29715 , z=-14.736435
x=-1.9619446 , y=30.126312 , z=-32.09807
x=-2.6253662 , y=31.963928 , z=-40.40799
x=-4.8513336 , y=33.519455 , z=-32.1866
-----------------------------------
GPS DATA
-----------------------------------
 23.54217597 , 87.2966432 , 0.0
 23.54217593 , 87.2966419 , 0.0
 23.54217645 , 87.29664198 , 0.0
 23.54217642 , 87.29664215 , 0.0
 23.54217653 , 87.29664202 , 0.0
 23.54217659 , 87.29664198 , 0.0
 23.54217665 , 87.29664198 , 0.0
 23.54217668 , 87.29664199 , 0.0
 23.54218475 , 87.29664564 , 5.543999862670899
 23.5422057 , 87.29665655 , 11.231999588012696
 23.54223299 , 87.29667749 , 15.40800075531006
 23.54226746 , 87.29670274 , 18.503999519348145
 23.5423099 , 87.29673538 , 21.275999450683596
 23.54236089 , 87.2967707 , 24.40800075531006
 23.54241224 , 87.29681473 , 26.387999725341796
 23.54245622 , 87.29684903 , 17.531999588012695
 23.54248153 , 87.29686608 , 6.803999948501587
 23.54250049 , 87.29688055 , 9.179999828338623
 23.54252296 , 87.29689803 , 11.412000274658203
 23.54256785 , 87.29692813 , 20.484000205993652
 23.54261943 , 87.29696055 , 23.724000549316408
 23.54266685 , 87.29700425 , 26.568000411987306
 23.54272785 , 87.29704473 , 29.231999588012695
 23.54278845 , 87.29710063 , 31.895998764038087
 23.54284723 , 87.29714122 , 24.659999656677247
 23.54289584 , 87.29716552 , 17.747999382019042
-----------------------------------
