x=0.44488525 , y=8.144333 , z=5.3561096
x=0.23562622 , y=7.8246155 , z=5.5957184
x=0.16752625 , y=7.8721313 , z=5.578644
x=0.33285522 , y=8.16011 , z=5.2366486
x=0.63853455 , y=8.460159 , z=4.7048645
x=0.8784485 , y=8.594162 , z=4.4124146
x=0.81806946 , y=8.471481 , z=4.671753
x=0.5635376 , y=8.109177 , z=5.2092743
x=0.5051422 , y=7.769623 , z=5.8070374
x=0.6960602 , y=7.6361847 , z=6.058716
x=0.9133301 , y=7.7359314 , z=6.0106354
x=0.94880676 , y=7.832733 , z=5.4327545
x=0.80506897 , y=8.048172 , z=5.1714478
x=0.63204956 , y=8.075409 , z=5.0141144
x=0.54519653 , y=8.044815 , z=5.252777
x=0.54403687 , y=7.9139557 , z=5.4320526
x=0.71240234 , y=7.860901 , z=5.3378906
x=0.8485565 , y=8.186081 , z=5.1694794
x=0.7813873 , y=8.580063 , z=4.946869
x=0.506897 , y=8.660736 , z=4.2032623
x=0.49697876 , y=8.805832 , z=4.5732574
x=0.88279724 , y=8.56041 , z=4.6672363
x=0.9707794 , y=8.362915 , z=4.626953
x=0.42012024 , y=8.168671 , z=5.0605927
x=0.18412781 , y=8.347443 , z=5.914978
x=0.8308258 , y=8.275055 , z=4.9891357
x=1.6915283 , y=8.509735 , z=4.9299316
x=1.8567352 , y=9.000809 , z=5.6957245
x=1.0105743 , y=8.358841 , z=4.205414
x=0.066482544 , y=8.21463 , z=4.434952
x=-0.64538574 , y=8.430069 , z=3.4341888
x=0.19694519 , y=9.322113 , z=5.904587
x=2.76857 , y=7.093979 , z=1.6535645
x=2.8692932 , y=7.231888 , z=6.4759827
x=0.23539734 , y=6.1947174 , z=8.710922
x=-1.0295105 , y=6.960388 , z=7.7993927
x=0.50727844 , y=7.5923004 , z=5.543564
x=1.9417725 , y=7.9665985 , z=5.10437
x=1.7080231 , y=8.157806 , z=6.6027374
x=1.2597961 , y=7.7842255 , z=6.0960693
x=1.4547577 , y=7.9250336 , z=5.200882
x=1.5056152 , y=8.130127 , z=4.4671936
x=1.745697 , y=8.476456 , z=4.263443
x=2.3939362 , y=8.759811 , z=3.9458618
x=2.265152 , y=9.032852 , z=4.6404724
x=1.335968 , y=7.9084625 , z=3.9273376
x=0.5583191 , y=7.6009674 , z=5.8631134
x=0.25857544 , y=7.230606 , z=7.241852
x=0.40899658 , y=6.5901794 , z=6.531708
x=1.0593109 , y=7.8464813 , z=7.111084
x=1.6905365 , y=7.866638 , z=4.59729
x=1.3382874 , y=9.00946 , z=5.164215
x=0.6944885 , y=8.674835 , z=4.0808563
x=0.46357727 , y=8.667923 , z=4.3865356
x=0.35621643 , y=8.501846 , z=5.099533
