x=0.28926086 , y=6.616104 , z=6.8046417
x=-0.12199402 , y=7.0296936 , z=8.58316
x=-1.1281433 , y=6.50531 , z=7.5545197
x=-2.4592743 , y=6.3175507 , z=6.105835
x=-2.4577637 , y=7.0856476 , z=6.347122
x=-1.38414 , y=7.332962 , z=5.3320923
x=-0.5079651 , y=7.5833893 , z=3.9248505
x=0.35830688 , y=10.131393 , z=6.721588
x=0.79081726 , y=11.076904 , z=8.597763
x=-0.9747162 , y=4.7898407 , z=-6.050537
x=-1.5320587 , y=8.264465 , z=6.047821
x=0.12814331 , y=10.57695 , z=14.084503
x=-0.99334717 , y=6.6239014 , z=0.2720642
x=-2.7133484 , y=7.9490204 , z=5.420517
x=-0.013961792 , y=9.124756 , z=8.565689
x=3.6293182 , y=5.903961 , z=3.7905731
x=2.9702148 , y=6.4810486 , z=13.427032
x=-0.6542206 , y=4.2004547 , z=8.8112335
x=-2.553833 , y=5.372513 , z=4.1156006
x=-2.3390503 , y=8.929077 , z=4.606552
x=-1.3144379 , y=9.778656 , z=4.9705963
x=0.072387695 , y=7.3583374 , z=5.3969574
x=0.7462921 , y=4.186783 , z=2.4299011
x=0.4537964 , y=6.7978973 , z=10.829483
x=-1.0092926 , y=7.9755707 , z=9.210297
x=-2.2614136 , y=8.277267 , z=1.5128479
x=-0.740448 , y=10.577316 , z=1.2882233
x=2.4785461 , y=11.446487 , z=3.7875214
x=4.205139 , y=10.018036 , z=10.641098
x=1.7585754 , y=4.756302 , z=4.8041534
x=-1.7757263 , y=5.8082886 , z=5.1813965
x=-2.845337 , y=10.806274 , z=10.762039
x=-3.7276611 , y=6.7012787 , z=-3.9014893
x=-2.456314 , y=6.9597473 , z=4.702713
x=2.585495 , y=7.1118164 , z=12.784531
x=4.4797974 , y=6.3259583 , z=8.7873535
x=-0.5503845 , y=4.645935 , z=6.2025146
x=-4.2042847 , y=6.25325 , z=5.988449
x=-0.2212677 , y=9.371872 , z=11.289307
x=3.0359802 , y=7.8776093 , z=2.9375153
x=1.2738647 , y=7.3643036 , z=2.659134
x=0.621048 , y=9.541763 , z=7.2393646
x=0.41789246 , y=9.09729 , z=1.6964417
x=-2.9380798 , y=8.9006195 , z=3.271469
x=-5.0942993 , y=7.759262 , z=3.6505127
x=-1.3250275 , y=7.612625 , z=5.238434
x=2.7595825 , y=7.605316 , z=6.910675
x=2.2798462 , y=7.105713 , z=10.426666
x=0.6709137 , y=5.93248 , z=6.7158203
x=0.44273376 , y=7.159012 , z=5.949951
x=-0.38272095 , y=7.4639893 , z=5.523361
x=-1.4437714 , y=7.2226562 , z=7.1139984
x=-0.23780823 , y=6.4113007 , z=6.509781
x=0.88868713 , y=7.475769 , z=5.305252
x=-0.6300659 , y=7.9640503 , z=6.1346893
x=-2.216278 , y=7.560959 , z=2.8775787
x=-0.39414978 , y=8.866333 , z=7.081665
x=1.6077576 , y=7.7713776 , z=4.6611023
x=0.9190216 , y=7.862076 , z=4.5281525
x=1.3600922 , y=8.862106 , z=7.2454376
x=1.9261475 , y=8.264496 , z=2.7007904
x=-1.0904388 , y=7.944626 , z=9.168961
x=-4.031616 , y=5.3847504 , z=6.678482
x=-1.5033112 , y=7.4850006 , z=11.123352
x=2.2244415 , y=6.0375824 , z=2.803711
x=1.7866669 , y=8.11763 , z=5.30365
x=0.62028503 , y=8.647446 , z=8.229858
x=0.11569214 , y=7.600525 , z=1.578659
x=-1.0611725 , y=8.465424 , z=3.7554321
x=-1.0814514 , y=8.40889 , z=5.1045227
x=1.080658 , y=7.8453674 , z=7.02919
x=1.8861694 , y=6.297699 , z=8.027405
x=0.26785278 , y=6.076004 , z=8.706772
x=-0.15594482 , y=6.9938965 , z=7.601776
x=0.23512268 , y=7.5049744 , z=3.096405
x=-0.036956787 , y=8.793457 , z=7.828766
x=-0.1328888 , y=7.2886047 , z=7.219269
x=0.13059998 , y=6.6147766 , z=5.471878
x=-0.07098389 , y=8.034683 , z=7.3624573
x=-1.3451385 , y=7.496414 , z=3.2438965
x=-1.9139862 , y=8.763992 , z=6.5529175
x=-1.0870667 , y=8.126831 , z=4.4198456
x=0.48461914 , y=8.380051 , z=2.6097107
x=1.8960266 , y=9.576187 , z=6.3893433
x=1.1595306 , y=6.0391693 , z=-0.20422363
x=-0.631897 , y=8.071289 , z=11.174286
x=-1.8123016 , y=6.228119 , z=10.679596
x=-2.023468 , y=4.3024597 , z=1.8355255
x=-0.008392334 , y=8.903595 , z=9.541809
x=1.519989 , y=7.594681 , z=3.3673248
x=0.237854 , y=7.837921 , z=5.409134
x=-1.5538483 , y=7.3664856 , z=10.443039
x=-1.1051788 , y=5.719696 , z=5.572693
x=0.576355 , y=7.9343414 , z=8.575287
x=0.13941956 , y=6.8984375 , z=4.6323547
x=-0.75357056 , y=7.4056244 , z=4.3885345
x=0.14482117 , y=9.793076 , z=9.452866
x=0.06414795 , y=7.942215 , z=2.049652
x=-1.0007782 , y=8.373932 , z=2.5186462
x=-0.5182495 , y=9.308868 , z=6.187683
x=0.1685791 , y=7.5292816 , z=3.3381805
x=-0.5606537 , y=7.4940643 , z=7.4485016
x=-0.4359131 , y=6.8768463 , z=6.472183
x=1.132431 , y=8.162384 , z=4.988632
x=0.68655396 , y=8.633591 , z=5.7404327
x=-1.0290985 , y=6.3966217 , z=1.9511414
x=0.4369812 , y=8.032745 , z=9.256195
x=2.5591888 , y=7.9510956 , z=11.114334
x=0.44744873 , y=3.9917297 , z=2.0286102
x=-1.3700256 , y=7.406204 , z=10.454666
x=0.73265076 , y=7.638138 , z=5.5075684
x=1.5220184 , y=7.4488373 , z=1.254303
x=-0.6468811 , y=8.930237 , z=11.534225
x=-0.21783447 , y=6.6110535 , z=5.447754
x=1.6776428 , y=7.3817444 , z=2.734192
x=-0.012817383 , y=9.593842 , z=9.775177
x=-2.1403198 , y=6.0193176 , z=0.025482178
x=-0.012969971 , y=8.962555 , z=4.553787
x=1.8732605 , y=11.068878 , z=8.840958
x=0.13116455 , y=7.406845 , z=1.315033
x=-0.4909973 , y=7.5340576 , z=4.581192
x=1.5170441 , y=8.819916 , z=8.132065
x=0.8923187 , y=6.5434723 , z=5.0296173
x=-2.0783844 , y=5.7557526 , z=8.257568
x=-1.5379333 , y=6.0570374 , z=8.606888
x=1.3229065 , y=7.2143555 , z=5.8624115
x=1.2280121 , y=8.447525 , z=6.067322
x=-0.020065308 , y=7.6741943 , z=3.0340424
x=0.73373413 , y=8.455048 , z=3.4804382
x=1.0086823 , y=9.445877 , z=8.406357
x=-0.95254517 , y=6.686493 , z=6.1875763
x=-1.8153076 , y=5.7180634 , z=4.8648224
x=0.07322693 , y=9.021912 , z=9.179337
x=0.5335388 , y=9.151718 , z=6.2206726
x=-1.5096588 , y=6.173935 , z=-0.1483612
x=-1.1415863 , y=8.5399475 , z=7.4203644
x=1.7187195 , y=8.20195 , z=5.249054
x=1.3138428 , y=8.696472 , z=7.609558
x=-0.6718292 , y=5.103668 , z=1.3964844
x=0.33224487 , y=8.976746 , z=6.846161
x=1.8026123 , y=9.862793 , z=10.037048
x=-0.32331848 , y=6.6256866 , z=2.6566467
x=-1.4317474 , y=6.4329224 , z=3.8375854
x=1.2518616 , y=9.777573 , z=13.10791
x=1.4808502 , y=5.078491 , z=0.6213379
x=-1.0391846 , y=6.180847 , z=6.1588287
x=-1.608017 , y=8.135971 , z=8.619186
x=-0.36749268 , y=8.255356 , z=5.8728485
x=-0.07221985 , y=8.07309 , z=4.943619
x=0.5568085 , y=8.921295 , z=8.6145935
x=2.0684052 , y=7.373291 , z=3.7695007
x=1.7239532 , y=8.390152 , z=4.661087
x=-0.3790741 , y=8.452011 , z=4.283951
x=-1.1455383 , y=7.7359467 , z=0.9768677
x=0.026428223 , y=9.965759 , z=4.7224426
x=0.13890076 , y=10.381744 , z=7.111908
x=-0.8571625 , y=7.4954224 , z=4.6960144
x=-0.1655426 , y=7.115082 , z=9.284897
x=1.2519226 , y=5.0421143 , z=4.7549744
x=0.710083 , y=7.033966 , z=7.350418
x=-0.4831848 , y=7.269058 , z=4.0470276
x=-0.5059967 , y=9.980103 , z=2.5275574
x=-0.2749939 , y=10.956482 , z=4.103821
x=-0.7391815 , y=11.510483 , z=10.981567
x=-1.037384 , y=3.6342163 , z=-1.2265625
x=1.2752075 , y=7.1759796 , z=16.108337
x=4.308487 , y=3.7477722 , z=3.5775452
x=3.159851 , y=9.506653 , z=4.877487
x=-2.8321686 , y=9.847992 , z=-2.313675
x=-6.672119 , y=11.813263 , z=0.7348938
x=-2.8013306 , y=11.379669 , z=7.1047363
x=2.8574371 , y=9.204056 , z=10.04982
x=3.002182 , y=3.3795319 , z=3.093048
x=1.9308167 , y=4.493576 , z=11.458115
x=2.9989777 , y=6.070862 , z=3.885849
x=0.60668945 , y=10.885971 , z=1.7958527
x=-5.8871613 , y=11.579681 , z=-2.0075684
x=-5.8023834 , y=12.090424 , z=4.915222
x=2.2737885 , y=9.729294 , z=8.235092
x=5.5136566 , y=4.939804 , z=6.9326324
x=1.6963654 , y=2.0555115 , z=10.693054
x=0.43885803 , y=3.660614 , z=9.507858
x=1.1963348 , y=8.467728 , z=1.5089874
x=-3.8222504 , y=13.016541 , z=-2.3963318
x=-7.1578217 , y=13.685043 , z=-0.6362915
x=1.1003113 , y=13.315216 , z=8.259155
x=8.9375 , y=6.745346 , z=2.0137482
x=4.3366547 , y=3.9741974 , z=12.944824
x=-2.0039062 , y=0.6740265 , z=9.824097
x=0.25810242 , y=5.9367676 , z=5.7501526
x=0.10522461 , y=13.5794525 , z=2.9210968
x=-6.9171143 , y=12.672684 , z=-5.2845764
x=-3.4971008 , y=15.590851 , z=6.770218
x=8.356537 , y=8.002014 , z=-4.28627
x=7.9414062 , y=7.7462616 , z=13.338806
x=-1.579834 , y=-1.3818512 , z=10.465088
x=-2.9181213 , y=3.2955475 , z=11.976105
x=0.7546234 , y=9.831085 , z=2.3215637
x=-2.739563 , y=13.8550415 , z=-0.7925415
x=-4.0350494 , y=13.73584 , z=0.9806061
x=4.241791 , y=10.745132 , z=0.4761505
x=7.9931793 , y=8.313446 , z=6.3378906
x=1.0753479 , y=1.5758057 , z=9.258423
x=-2.6810303 , y=2.2843323 , z=10.676178
x=-0.14970398 , y=8.30661 , z=6.63501
x=-1.9223175 , y=12.329849 , z=1.7707825
x=-3.8709106 , y=12.42308 , z=1.1962128
x=3.0867615 , y=11.741165 , z=1.4147949
x=8.155273 , y=8.820541 , z=3.9016876
x=1.8419342 , y=3.0549164 , z=7.205841
x=-3.6473389 , y=2.3592377 , z=9.253906
x=-1.2462769 , y=8.652344 , z=7.7114563
x=-1.6947021 , y=10.608231 , z=-1.213028
x=-4.145767 , y=12.573944 , z=5.3585663
x=2.5299072 , y=10.371277 , z=0.7414093
x=9.313324 , y=10.283951 , z=6.660446
x=3.1031342 , y=2.9087372 , z=4.015045
x=-4.8115387 , y=2.9136505 , z=10.636139
x=-2.555481 , y=9.029709 , z=8.891785
x=-1.5183105 , y=10.098175 , z=-1.7870941
x=-4.679184 , y=12.736847 , z=7.1134033
x=1.1456451 , y=9.173004 , z=-0.5026703
