x=0.14462821751357433 , y=3.30800140931388 , z=3.4022687646758953
x=-0.06099607527673295 , y=3.5147929815935357 , z=4.291514486505809
x=-0.5640630180750437 , y=3.252605223874936 , z=3.7772019883656722
x=-1.2296183175017295 , y=3.1587269616760367 , z=3.0528707334753276
x=-1.2288630190086216 , y=3.5427695429493555 , z=3.1735125018744497
x=-0.6920594101848309 , y=3.6664248760432003 , z=2.66600531944999
x=-0.2539786549046204 , y=3.7916365817895095 , z=1.9623951828150061
x=0.17915069914299478 , y=5.065619149164185 , z=3.3607426061103847
x=0.3954025757807678 , y=5.538367342350271 , z=4.298815705272518
x=-0.48735063071950274 , y=2.394883677535136 , z=-3.0252222310609587
x=-0.7660176282877263 , y=4.132169392293196 , z=3.0238642196289063
x=0.06407067419312112 , y=5.288394058242434 , z=7.042143754294702
x=-0.49666597880116514 , y=3.3118999702227496 , z=0.13603002153647886
x=-1.3566534206202887 , y=3.9744493342324207 , z=2.7102169837687726
x=-0.006980789102965685 , y=4.562308069479213 , z=4.282778963529967
x=1.8146313321633785 , y=2.951935389396381 , z=1.895257538983205
x=1.485084681559441 , y=3.240474672318963 , z=6.713413436405538
x=-0.3271052817373265 , y=2.100195196779778 , z=4.405549300409666
x=-1.2768969514591921 , y=2.686215276098904 , z=2.0577687834447045
x=-1.169507238439143 , y=4.464470212149779 , z=2.3032407937047275
x=-0.6572088696139596 , y=4.889253136384668 , z=2.48526010126599
x=0.03619329344750733 , y=3.679112364871869 , z=2.698437378987375
x=0.3731403434283592 , y=2.093359363953267 , z=1.214931957913523
x=0.22689471904065517 , y=3.398896623928889 , z=5.414658604312469
x=-0.5046385740061915 , y=3.9877242774446175 , z=4.605077800311154
x=-1.1306894734600288 , y=4.138570356290342 , z=0.7564123676531539
x=-0.37021833006613425 , y=5.28857716090743 , z=0.6441017705113421
x=1.2392540952471345 , y=5.723156077719596 , z=1.8937316834415732
x=2.102537385036183 , y=5.00894124507027 , z=5.3204675417275356
x=0.87927425586535 , y=2.378114525132602 , z=2.4020399400253893
x=-0.8878495640093209 , y=2.904099818166223 , z=2.5906585728042097
x=-1.4226466727958658 , y=5.403054472918359 , z=5.380937196842405
x=-1.8638020269924644 , y=3.350588037480825 , z=-1.9507147586438143
x=-1.2281382376263466 , y=3.4798203725793337 , z=2.351320501821547
x=1.2927277027036226 , y=3.5558537542188486 , z=6.392167439948077
x=2.2398643837830488 , y=3.1629306936932324 , z=4.393609480796396
x=-0.275188046933303 , y=2.322931959469486 , z=3.1012098370342245
x=-2.102110145484526 , y=3.1265771854138538 , z=2.994178700066459
x=-0.11063215604601684 , y=4.685864221962851 , z=5.644566888047847
x=1.5179668684816072 , y=3.9387443145582353 , z=1.4687351394308557
x=0.6369226201879642 , y=3.682095412455759 , z=1.329546596923199
x=0.31051923199978837 , y=4.7708085999654966 , z=3.6196268865813517
x=0.20894302859335653 , y=4.548575369604526 , z=0.8482078370377256
x=-1.4690174227060575 , y=4.450241609224062 , z=1.6357095113516285
x=-2.547110655646037 , y=3.8795716366537527 , z=1.8252283989000115
x=-0.662503588343422 , y=3.8062542778783426 , z=2.619176812877309
x=1.379770132076011 , y=3.802599853856134 , z=3.455284615469894
x=1.1399056409314852 , y=3.552802043135585 , z=5.213253302094774
x=0.3354517115500527 , y=2.9661945094329307 , z=3.3578587391367005
x=0.22136349270223973 , y=3.579451110170185 , z=2.974930032408773
x=-0.19135754347604952 , y=3.7319374837231636 , z=2.761638315521766
x=-0.7218746274683171 , y=3.611272827490917 , z=3.5569447409311157
x=-0.11890229308166142 , y=3.205601243914967 , z=3.254840602243427
x=0.4443367630009011 , y=3.7378272861138626 , z=2.652585419961338
x=-0.31502813512531047 , y=3.9819641727749575 , z=3.067297697621457
x=-1.108122069999294 , y=3.780421543558515 , z=1.4387673365932063
x=-0.19707187247946079 , y=4.433098622213828 , z=3.540778301467526
x=0.8038664749979042 , y=3.885629283154031 , z=2.3305154615113968
x=0.45950376708472157 , y=3.930977709851329 , z=2.2640415648402055
x=0.680035668516772 , y=4.430985312288668 , z=3.622663339109199
x=0.9630589836563546 , y=4.132184650848613 , z=1.3503745250664736
x=-0.5452110728581823 , y=3.9722521022524706 , z=4.58441008699975
x=-2.015777238938996 , y=2.6923339568208475 , z=3.339189896584835
x=-0.7516440690855544 , y=3.7424429991272987 , z=5.561590863693907
x=1.1122037335731592 , y=3.0187449742867316 , z=1.4018340032080074
x=0.8933197561260711 , y=4.05875285290758 , z=2.6517843458019814
x=0.31013776811438043 , y=4.323656633490284 , z=4.114866190451091
x=0.057845183583263196 , y=3.800204260655772 , z=0.7893174424084446
x=-0.5305781182139329 , y=4.232646979709653 , z=1.8776873124213143
x=-0.5407174282880765 , y=4.204380505800923 , z=2.5522222717105034
x=0.5403207058472522 , y=3.922623650760895 , z=3.5145412154291664
x=0.9430702760609774 , y=3.148801271377722 , z=4.013640933819235
x=0.13392434088902694 , y=3.0379554955558765 , z=4.353319265219607
x=-0.07797121817738721 , y=3.496894696090194 , z=3.8008298614278413
x=0.1175595402050254 , y=3.7524297236472792 , z=1.5481788082059176
x=-0.01847811060916163 , y=4.39666119187966 , z=3.914322996614418
x=-0.06644337956035863 , y=3.6442465657455814 , z=3.609579127839706
x=0.06529898790413476 , y=3.3073376621532704 , z=2.735897132534437
x=-0.03549139989835669 , y=4.017280099286026 , z=3.681172269853072
x=-0.672558976362776 , y=3.748149698853002 , z=1.6219234065329846
x=-0.9569784493229516 , y=4.3819290566252045 , z=3.276408570324393
x=-0.543525002484679 , y=4.0633533073656 , z=2.209888951667691
x=0.2423058600111368 , y=4.189961170932502 , z=1.3048353664264711
