x=0.56288147 , y=10.384262 , z=-5.2759857
x=-1.7953339 , y=8.4661255 , z=-5.0559235
x=-0.9233856 , y=7.8940735 , z=-3.1807556
x=0.046447754 , y=8.693481 , z=-0.5787964
x=-0.41311646 , y=8.474457 , z=-0.58843994
x=0.64382935 , y=10.029907 , z=0.18569946
x=3.0227509 , y=11.496841 , z=-4.7071075
x=3.037323 , y=12.798874 , z=-6.301056
x=0.8461304 , y=11.5460205 , z=-4.4602966
x=-0.59646606 , y=8.578217 , z=-4.617859
x=-0.87913513 , y=7.214264 , z=-1.5968323
x=-1.1514435 , y=7.2290344 , z=2.4579773
x=-0.35020447 , y=7.301056 , z=2.6060028
x=2.3541565 , y=8.915283 , z=0.6051941
x=3.8440247 , y=11.543015 , z=-0.65000916
x=1.6651001 , y=11.546997 , z=-3.5003204
x=-1.0099792 , y=9.145233 , z=-5.6942444
x=-0.88668823 , y=7.9452057 , z=-3.8390656
x=-0.07901001 , y=8.184036 , z=-0.88549805
x=-0.43563843 , y=8.320465 , z=0.23895264
x=0.37034607 , y=9.297699 , z=0.2944641
x=2.8722382 , y=10.974365 , z=-3.1091766
x=3.663971 , y=12.339508 , z=-5.99411
x=1.5329132 , y=11.803772 , z=-4.874176
x=-0.42152405 , y=9.736847 , z=-2.7221527
x=-0.7709503 , y=7.5791016 , z=-2.5603485
x=-0.829422 , y=7.742874 , z=1.5005188
x=-0.35421753 , y=7.3829803 , z=1.5095062
x=2.0390778 , y=8.643646 , z=0.37782288
x=4.2777863 , y=11.171234 , z=-0.0925293
x=2.6949158 , y=12.004562 , z=-3.6508331
x=-1.1054535 , y=10.066437 , z=-5.4540863
x=-2.173645 , y=7.7935486 , z=-3.5414276
x=-0.5272217 , y=6.7914276 , z=-1.7700653
x=0.34246826 , y=8.174103 , z=2.4176636
x=0.9443512 , y=8.382797 , z=-0.0362854
x=2.730423 , y=11.097427 , z=-0.38150024
x=3.4793549 , y=12.013168 , z=-5.763031
x=1.8296661 , y=12.345718 , z=-6.5812683
x=-0.49136353 , y=10.703598 , z=-5.0560913
x=-1.5301971 , y=8.182297 , z=-4.143112
x=-1.4292755 , y=7.098343 , z=-0.7702484
x=-0.6419525 , y=7.4775696 , z=2.8310852
x=1.5106659 , y=8.268845 , z=1.5036926
x=3.8531342 , y=10.429367 , z=-1.1983185
x=2.9872284 , y=12.123047 , z=-2.8546448
x=-0.77256775 , y=10.792557 , z=-4.4971466
x=-2.7338715 , y=8.0815735 , z=-4.1934967
x=-1.5340271 , y=6.7608795 , z=-1.8557434
x=-0.36245728 , y=6.95697 , z=1.0077667
x=0.06791687 , y=7.601364 , z=1.4314575
x=1.9534149 , y=10.202286 , z=0.56365967
x=3.8707886 , y=12.575363 , z=-5.162216
x=2.7277374 , y=13.4608 , z=-8.8398285
x=-0.0028381348 , y=12.303772 , z=-6.051468
x=-0.9985504 , y=9.356125 , z=-4.338333
x=-0.66986084 , y=7.1320496 , z=-2.239334
x=-0.9426575 , y=6.714798 , z=1.6482391
x=-0.58631897 , y=7.4868317 , z=4.428406
x=2.1703186 , y=8.755463 , z=0.4754181
x=4.1332703 , y=11.484055 , z=-2.3879395
x=1.936142 , y=12.077637 , z=-4.2367706
x=-1.3486176 , y=9.858902 , z=-4.1332397
x=-1.400116 , y=7.3149567 , z=-2.7266083
x=0.14794922 , y=6.964676 , z=-0.12788391
x=0.13908386 , y=7.7118835 , z=1.3165283
x=0.035751343 , y=9.03302 , z=0.16479492
x=1.5333405 , y=11.844437 , z=-1.5450134
x=2.4028168 , y=13.280869 , z=-6.177475
x=1.1301117 , y=12.236938 , z=-8.43689
x=0.011917114 , y=10.3526 , z=-3.7345123
x=-0.10671997 , y=7.41008 , z=-0.8813782
x=-0.6164093 , y=5.9680634 , z=1.8460693
x=-1.2465973 , y=6.50119 , z=3.892868
x=-0.06852722 , y=8.017319 , z=1.479248
x=2.3844757 , y=10.662186 , z=-2.6534119
x=2.5964203 , y=12.96373 , z=-4.777893
x=-0.021270752 , y=12.276825 , z=-5.788727
x=-1.578537 , y=9.551544 , z=-4.7933197
