x=0.28143642537628544 , y=5.192051539343799 , z=-2.6379524653170887
x=-0.8976531858643055 , y=4.232997926484228 , z=-2.5279230222100164
x=-0.46168574050925515 , y=3.946976305205339 , z=-1.5903534553766219
x=0.02322352134363666 , y=4.346674164335801 , z=-0.2893937620258955
x=-0.2065550646707027 , y=4.2371635121128834 , z=-0.2942154655374521
x=0.32190974361807007 , y=5.014876823127218 , z=0.09284830970829769
x=1.5113522847086331 , y=5.74833269415652 , z=-2.3535177338014965
x=1.5186382449199252 , y=6.399338960993747 , z=-3.150479712473517
x=0.423058707472845 , y=5.772921856209917 , z=-2.2301141668720215
x=-0.2982284656119439 , y=4.289042600528366 , z=-2.3088940884864733
x=-0.4395608351555934 , y=3.6070767247514297 , z=-0.7984039121588623
x=-0.5757129251354028 , y=3.614461865572928 , z=1.2289698288965358
x=-0.17509955267996224 , y=3.650472056355439 , z=1.3029814519433884
x=1.1770602233702205 , y=4.457573345101603 , z=0.30259241246101093
x=1.9219828987948868 , y=5.77141888850141 , z=-0.3249996010898746
x=0.8325373006251666 , y=5.77341012998324 , z=-1.7501334184186004
x=-0.5049818915030587 , y=4.572546560163563 , z=-2.847078596575441
x=-0.4433373276211322 , y=3.9725420148053807 , z=-1.919503383539735
x=-0.039504399972848436 , y=4.091955469493489 , z=-0.4427422439598958
x=-0.2178158785679457 , y=4.1601688414821405 , z=0.11947448890977337
x=0.1851701992547324 , y=4.648778303023489 , z=0.14722980121205662
x=1.4360970893953506 , y=5.487098596151441 , z=-1.554564513647647
x=1.8319574218386079 , y=6.169659555589614 , z=-2.997009162096186
x=0.7664448678393833 , y=5.901795615256143 , z=-2.437050695428132
x=-0.21075879668789843 , y=4.868348915464312 , z=-1.3610555138578966
x=-0.38546925620474454 , y=3.7894927547535167 , z=-1.280154653040576
x=-0.41470464838241067 , y=3.8713777923951898 , z=0.7502479112649613
x=-0.1771060527172081 , y=3.691433648370546 , z=0.7547415558350671
x=1.0195232679744408 , y=4.321756943340953 , z=0.18890854533173043
x=2.138860376204729 , y=5.585531537142111 , z=-0.0462639400222775
x=1.3474372531488323 , y=6.00218928061781 , z=-1.8253886137318829
x=-0.5527182821230109 , y=5.0331413139605505 , z=-2.727001394726723
x=-1.086805868082697 , y=3.8967146236639865 , z=-1.7706866925643812
x=-0.26360680337231734 , y=3.3956618101806297 , z=-0.8850191019795939
x=0.1712315088819255 , y=4.086988809705478 , z=1.2088132771915794
x=0.4721683680802659 , y=4.191334440919971 , z=-0.018142422390002622
x=1.3651905823757189 , y=5.548628720867745 , z=-0.1907472012593968
x=1.7396507908475896 , y=6.006492193245212 , z=-2.8814713804838226
x=0.9148190607076637 , y=6.172764671616834 , z=-3.2905837683061527
x=-0.24567800075814317 , y=5.351717063220155 , z=-2.5280069442648063
x=-0.765086856407331 , y=4.091085731834759 , z=-2.0715243711525155
x=-0.7146268136455659 , y=3.549117102002544 , z=-0.3851183094301692
x=-0.3209713424599665 , y=3.738727540883425 , z=1.415520927416445
x=0.7553213809408872 , y=4.134358994995438 , z=0.7518348010282584
x=1.9265375775866578 , y=5.214603684249118 , z=-0.5991500662548679
x=1.4935913262040383 , y=6.061430622021667 , z=-1.427300532197843
x=-0.3862779596418094 , y=5.396195752258723 , z=-2.248538872537226
x=-1.3669147991377628 , y=4.0407248696832 , z=-2.096716246144857
x=-0.7670018051120789 , y=3.3803879962088947 , z=-0.9278574963109079
x=-0.18122586267961407 , y=3.478431844036449 , z=0.5038756462353756
x=0.03395791507901668 , y=3.800623870929721 , z=0.7157178003578326
x=0.9766925029208351 , y=5.101064773396293 , z=0.2818255185394015
x=1.935364651894998 , y=6.28758530112463 , z=-2.5810685707250536
x=1.3638478294990828 , y=6.730297027973694 , z=-4.419846566834756
x=-0.0014190456537176146 , y=6.151791787197104 , z=-3.0256876170011564
x=-0.49926756249964743 , y=4.677990807368031 , z=-2.169133350150705
x=-0.3349252913881897 , y=3.5659701764598677 , z=-1.1196499086163225
x=-0.47132151825466023 , y=3.357347577530254 , z=0.8241069487576507
x=-0.29315499593601796 , y=3.7433585124522777 , z=2.2141689764619685
x=1.0851426855423183 , y=4.377664290386344 , z=0.23770540555311678
x=2.066603487030753 , y=5.741939359437083 , z=-1.193951444216085
x=0.9680561605551988 , y=6.038725891562185 , z=-2.1183528777251968
x=-0.6742984516802363 , y=4.929375507851877 , z=-2.0665882284753367
x=-0.7000472639452736 , y=3.657422328347572 , z=-1.363283262948679
x=0.07397347665831179 , y=3.4822846292790692 , z=-0.06394097647208241
x=0.06954086630987127 , y=3.855882729369918 , z=0.6582540806599774
x=0.01787539767021705 , y=4.51644085189776 , z=0.08239619924811957
x=0.7666584876152117 , y=5.922127640348387 , z=-0.7724948850619535
x=1.2013899899815403 , y=6.64033258523908 , z=-3.088690192315135
x=0.5650471948993963 , y=6.118375550835367 , z=-4.218380230395395
x=0.00595846589007235 , y=5.176220788099369 , z=-1.867227572683428
x=-0.05335916829086558 , y=3.704983245580237 , z=-0.4406823389786928
x=-0.308199931576508 , y=2.983985985048358 , z=0.9230205342439349
x=-0.6232891009234837 , y=3.250545318893733 , z=1.9464042167387043
x=-0.03426308618734305 , y=4.008597981254141 , z=0.7396126981397874
x=1.192219598176333 , y=5.3310112035202115 , z=-1.3266856177826392
