x=1.9085693 , y=13.046677 , z=0.2931671
x=-1.3504944 , y=9.676331 , z=-11.3402405
x=-1.1234741 , y=12.779617 , z=1.8742218
x=-0.32673645 , y=7.5488434 , z=-7.023041
x=-0.22247314 , y=9.046249 , z=2.692505
x=0.21580505 , y=7.1182556 , z=-0.99198914
x=1.8893127 , y=9.989731 , z=3.593933
x=2.6664734 , y=9.540039 , z=-3.695633
x=1.38237 , y=11.398056 , z=-3.3635864
x=-0.57270813 , y=11.17955 , z=-3.409607
x=-1.5558777 , y=9.626373 , z=-2.4207
x=-1.0238342 , y=7.7171173 , z=-1.8146515
x=-0.6179962 , y=7.0288086 , z=0.22377014
x=-0.10545349 , y=7.670532 , z=0.097473145
x=0.82559204 , y=9.241928 , z=-0.510376
x=1.1948547 , y=10.691177 , z=-2.1976929
x=0.8330078 , y=10.923111 , z=-5.044159
x=1.5569458 , y=11.212021 , z=-3.747757
x=2.218216 , y=10.1297455 , z=-2.0522308
x=0.47898865 , y=8.314697 , z=-1.5151215
x=-2.2037964 , y=7.795456 , z=-0.77705383
x=-2.2997742 , y=8.735519 , z=-0.13322449
x=1.2275848 , y=10.462692 , z=-1.8899078
x=3.3297424 , y=11.082748 , z=-4.666092
x=3.4268036 , y=12.199768 , z=-3.7638702
x=1.9321594 , y=11.198242 , z=-2.9668884
x=0.083984375 , y=8.633743 , z=-1.5202942
x=-1.765564 , y=6.137024 , z=-0.013702393
x=-2.4235687 , y=5.9523163 , z=0.739151
x=-0.39146423 , y=7.9308777 , z=-0.6313782
x=1.7408295 , y=10.104416 , z=-1.2871552
x=2.6895447 , y=12.09874 , z=-1.9762878
x=2.0386047 , y=12.279373 , z=-4.7617188
x=1.5141754 , y=10.784988 , z=-7.196045
x=0.96266174 , y=9.86322 , z=-1.2176514
x=-0.53300476 , y=7.81987 , z=1.0307465
x=-1.8622131 , y=6.5884857 , z=0.24064636
x=-1.0795898 , y=7.8404846 , z=0.21012878
x=1.1542511 , y=10.2517395 , z=0.053833008
x=2.662857 , y=11.378342 , z=-4.2646484
x=2.5051575 , y=12.041443 , z=-5.587143
x=1.0590363 , y=11.106201 , z=-3.4923248
x=-0.31071472 , y=8.837982 , z=-1.3040314
x=-1.6934357 , y=6.5122833 , z=0.21096802
x=-2.3818054 , y=6.1334076 , z=0.34352112
x=-1.2390442 , y=7.7527466 , z=0.8717804
x=1.4027252 , y=9.761612 , z=-1.5335083
x=2.571106 , y=11.694366 , z=-3.067093
x=1.4175568 , y=11.179703 , z=-6.178253
x=0.93470764 , y=11.118591 , z=-3.9720612
x=0.7357178 , y=10.199509 , z=-0.2341919
x=-0.8892975 , y=7.9794464 , z=-0.5309906
x=-1.9855499 , y=7.36145 , z=-0.77375793
x=-0.24620056 , y=9.233322 , z=-0.10281372
x=2.0779572 , y=10.853989 , z=-2.9387665
x=2.4051666 , y=11.537735 , z=-5.185623
x=1.1488037 , y=11.755096 , z=-3.8439026
x=0.07279968 , y=10.455215 , z=-1.1352692
x=-0.34762573 , y=7.4413757 , z=-0.14416504
x=-0.93733215 , y=5.7726593 , z=1.1536255
x=-0.9742737 , y=5.9233093 , z=1.381012
x=0.32374573 , y=7.94014 , z=-0.013687134
x=1.5503235 , y=10.300339 , z=-2.6023254
x=0.9416046 , y=12.753204 , z=-2.9238586
x=0.52394104 , y=11.762207 , z=-6.367401
x=1.384491 , y=11.153549 , z=-5.630478
