x=0.9542700557365551 , y=6.523238430974253 , z=0.14658131260686308
x=-0.6752368528383398 , y=4.838091200073753 , z=-5.670033417037683
x=-0.5617284590963469 , y=6.38971081252605 , z=0.9370965516154887
x=-0.16336572356481335 , y=3.7743638970582367 , z=-3.5114666165127786
x=-0.1112348689849614 , y=4.5230554356707335 , z=1.346231827270943
x=0.10790087462649584 , y=3.559073309411692 , z=-0.495986973085139
x=0.9446419072688582 , y=4.994788934921634 , z=1.796939037158157
x=1.3332162795008236 , y=4.7699464915844745 , z=-1.8477881730830383
x=0.6911744139706845 , y=5.698940750273898 , z=-1.6817674608757855
x=-0.28634968022033996 , y=5.589689493493058 , z=-1.7047773624435938
x=-0.777926930790163 , y=4.813112944857239 , z=-1.2103315034555029
x=-0.5119092756620672 , y=3.858499571623817 , z=-0.9073118514428351
x=-0.3089933764581565 , y=3.5143504834864627 , z=0.11188335759015494
x=-0.052725938241088365 , y=3.8352073867808065 , z=0.04873582599972109
x=0.4127896996776627 , y=4.620893293000168 , z=-0.25518408078250954
x=0.5974182202151158 , y=5.3455068311657135 , z=-1.098829609750756
x=0.41649752864382805 , y=5.461471852329734 , z=-2.5220408490970256
x=0.7784609802297341 , y=5.6059245964560205 , z=-1.8738497857341103
x=1.10909098826823 , y=5.064795187171703 , z=-1.026099705358874
x=0.23949065653682605 , y=4.157284974508456 , z=-0.7575491300316697
x=-1.1018813208340197 , y=3.8976682833775063 , z=-0.3885209672880082
x=-1.1498694776183411 , y=4.36769282442178 , z=-0.06661122366993814
x=0.6137830208991173 , y=5.231266026763738 , z=-0.9449394490994764
x=1.6648457229190885 , y=5.541289355712496 , z=-2.333010235321965
x=1.7133755584206891 , y=6.099790630338291 , z=-1.8819063029939262
x=0.9660649190733692 , y=5.599035358685553 , z=-1.4834214990190622
x=0.04199154450570834 , y=4.316805542108358 , z=-0.7601354551747356
x=-0.8827684650556868 , y=3.0684649771108052 , z=-0.006851091381926979
x=-1.211765807664637 , y=2.976112570453538 , z=0.36956984146094074
x=-0.19572911960282477 , y=3.965378123037419 , z=-0.3156842530082122
x=0.8704014058907608 , y=5.052130586176159 , z=-0.643567721071771
x=1.3447517473955601 , y=6.0492771826325695 , z=-0.9881287902053657
x=1.019286760365488 , y=6.139592572141758 , z=-2.3808229187189984
x=0.7570761148137638 , y=5.392411630515476 , z=-3.597967367167888
x=0.48132350133005697 , y=4.931534593443287 , z=-0.6088163611111057
x=-0.2664982996237097 , y=3.909875127710561 , z=0.5153653384638633
x=-0.9310923100591674 , y=3.294192416662112 , z=0.12032133873537904
x=-0.5397866564076811 , y=3.920182281894284 , z=0.1050627833190606
x=0.5771167122337041 , y=5.125791262448437 , z=0.026916091754385724
x=1.3314081406839897 , y=5.6890837234749565 , z=-2.1322915680980037
x=1.2525595555701643 , y=6.020629244838431 , z=-2.7935286963418715
x=0.5295100193347906 , y=5.553015555549936 , z=-1.7461356768995249
x=-0.15535498197124617 , y=4.4189234242320685 , z=-0.652005702216995
x=-0.8467048693292183 , y=3.256091803787565 , z=0.10548239359300936
x=-1.1908844745774052 , y=3.0666568382939716 , z=0.1717579290437885
x=-0.6195126084579449 , y=3.8763139350723685 , z=0.43588352330026064
x=0.7013518704333689 , y=4.880731233184655 , z=-0.7667424096700015
x=1.2855332938248283 , y=5.847093694088642 , z=-1.5335229657285439
x=0.7087675283656996 , y=5.5897657862701395 , z=-3.0890792854782516
x=0.46734666456870927 , y=5.559210529048961 , z=-1.9860001680440507
x=0.3678532539766049 , y=5.099676244853407 , z=-0.1170941542648277
x=-0.4446419341092274 , y=3.98966211398249 , z=-0.26549123496623267
x=-0.9927597617742183 , y=3.6806687375243334 , z=-0.38687304330304584
x=-0.123098395821149 , y=4.616590380372766 , z=-0.05140607319757682
x=1.0389626675748307 , y=5.426911224311772 , z=-1.4693607402029247
x=1.2025648987485968 , y=5.768779158414388 , z=-2.5927718827293695
x=0.5743930600918913 , y=5.877458219367115 , z=-1.9219218645732215
x=0.036399283945627636 , y=5.227527680686739 , z=-0.567625890764754
x=-0.17381020474728331 , y=3.7206308941596715 , z=-0.0720814157866883
x=-0.46865890033451263 , y=2.886285454717671 , z=0.5768039118476695
x=-0.48712938166596614 , y=2.961609313530327 , z=0.6904954082546583
x=0.16187038513401414 , y=3.970009094606272 , z=-0.006843462104218819
x=0.7751498737043929 , y=5.150090511948924 , z=-1.3011427960157222
x=0.47079509809279724 , y=6.376504532813226 , z=-1.4619069358820531
x=0.2619665086650631 , y=5.8810134627791175 , z=-3.183651811948593
x=0.6922348835721186 , y=5.576689204278354 , z=-2.8151958450330437
x=0.8964935356526653 , y=4.942810665895946 , z=-0.6394555403870731
x=-0.0856081251632546 , y=3.8790528457695976 , z=0.39040539888192355
x=-1.037261338645911 , y=3.3696993781397637 , z=-0.6371972741854579
x=-0.4511954836605362 , y=4.446411711814566 , z=0.07127271234962343
x=0.6063215873005376 , y=5.221767576017079 , z=-0.43750855945209854
x=1.359644097481887 , y=5.569845742174135 , z=-2.386232076614083
x=1.3609334454145658 , y=5.957451196137165 , z=-2.0656345687618165
x=0.645154610835068 , y=5.344194595399911 , z=-0.6872453359509825
x=-0.23209788643761975 , y=3.952621970709377 , z=-0.3237407702680283
x=-0.9655308696337981 , y=3.108785709798427 , z=-0.15588140213310916
x=-1.0496131392554209 , y=3.2179377859690605 , z=-0.06895341192634302
x=-0.11799440903439049 , y=4.155522611357871 , z=-0.341455953106374
x=0.9833910087485989 , y=5.231822964036433 , z=-0.9739078165573569
x=0.9451912152638456 , y=5.709186870235956 , z=-2.3521292052586116
x=0.3848360261549673 , y=5.592779350964863 , z=-2.947853725822516
x=0.2260860156035903 , y=5.420159313540052 , z=-1.968086623985293
x=0.07155499562482531 , y=4.819788562851878 , z=-0.4371652419552314
x=-0.49406439510268285 , y=3.9275292763272414 , z=-0.3881166155694758
x=-0.5309748406547572 , y=4.115812220886903 , z=-0.2558096815545786
x=0.2710224613046481 , y=4.901292136608143 , z=-0.3102522072800028
x=1.0459053102892555 , y=5.494117531642948 , z=-1.0180050417105173
x=1.1423622683535124 , y=5.5685029892974995 , z=-2.2026640256780645
x=0.6657918070356387 , y=5.625005420004126 , z=-1.1224727413683413
x=0.08489860233639579 , y=4.549521400040338 , z=-0.3867814919705479
x=-0.3051177033824116 , y=3.8316902897573453 , z=0.5557699932062746
x=-0.9415444205193455 , y=2.7793382398046953 , z=0.1387384151228754
x=-0.9765094002558392 , y=3.15436301482697 , z=0.23619480856690125
x=-0.12118344711640103 , y=4.351274618793821 , z=-0.3793429462050927
x=0.5648946093452331 , y=5.483200035242572 , z=-1.3296076311448641
x=0.484009007083329 , y=6.195812719573183 , z=-1.8013716475065977
x=0.4211285002126807 , y=5.94789934044655 , z=-3.016898689081357
x=0.7813982521473753 , y=5.446686312131321 , z=-3.4522100165535057
x=0.6343668121557309 , y=5.086256345364755 , z=-0.591963286653782
x=-0.40806717677631216 , y=4.043036540828772 , z=0.09640355312029988
x=-0.9218456254768784 , y=3.762630067943088 , z=-0.3821581496794034
x=-0.23173168110762812 , y=4.5858367619311755 , z=-0.20590657606550916
x=0.8089552032292464 , y=5.204883984448923 , z=-0.41053906275375573
x=1.4818880141997222 , y=5.329767631253781 , z=-1.6972243775125162
x=1.4330835247006277 , y=5.4143076575378934 , z=-1.7673908445944564
x=0.461151691069684 , y=4.816965730099859 , z=-0.9585882269193732
x=-0.5642918964062885 , y=3.995643467705687 , z=-0.39596714233117164
x=-1.1934402826096384 , y=3.5327904477070833 , z=-0.17083478644110123
x=-1.0242457908757914 , y=3.67666336672755 , z=-0.31817902681878024
x=0.14195034103801044 , y=4.446816063533099 , z=-0.594023191634985
x=1.600706385226594 , y=5.365060669931726 , z=-1.5149838208977169
x=1.4483039337284054 , y=5.650952593489576 , z=-1.7097440222316054
