bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-5.6010604,-1.3183885,10.74629,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767192,1
-1.6443185,1.0486736,6.4776416,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767207,0
1.5544003E-8,0.0,9.573639,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767216,0
1.3696555,-0.78248876,7.995721,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767224,0
2.0776105,-3.6021936,12.238357,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767235,0
2.393283,1.5769821,8.452852,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767244,0
2.7711186,0.32344824,9.592407,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767251,0
2.718832,0.30166173,9.546176,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767258,0
2.7669754,0.22778727,9.509628,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767265,0
2.5012012,0.29403624,9.562787,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767272,0
2.7252438,0.2965329,9.592696,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767279,0
2.8601449,0.29188696,9.484091,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767289,0
2.9886749,1.3200499,8.4942875,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767299,0
2.5134833,0.34231532,9.537854,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767306,0
2.7044482,0.0016128825,9.951245,23.54891018,87.30052525,99.92015838623047,4.5509996,34.0,5767313,0
2.4063702,0.3696694,9.584977,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767333,0
2.4130082,0.23721895,9.677164,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767348,0
2.4880936,0.31598285,9.608041,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767368,0
2.5029478,0.35790116,9.382148,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767389,0
2.5720057,0.09682985,9.717483,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767410,0
2.4941707,0.2596287,9.59074,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767429,0
2.4457326,0.4253458,9.458241,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767450,0
2.4929576,0.20824178,9.625829,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767471,0
2.567878,0.14373593,9.564355,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767491,0
2.5255764,0.23296197,9.54672,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767512,0
2.4476123,0.2696552,9.5685835,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767533,0
2.5081134,0.21466266,9.604209,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767553,0
2.4733913,0.22936773,9.632959,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767571,0
2.362679,0.32437813,9.645056,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767592,0
2.4915838,0.33131617,9.484105,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767612,0
2.5096831,0.19731718,9.5805645,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767633,0
2.5330665,0.22553745,9.592456,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767654,0
2.5104904,0.3664756,9.498501,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767674,0
2.598785,0.3440379,9.472797,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767694,0
2.4944117,0.23944591,9.671577,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767714,0
2.4383957,0.3557194,9.56305,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767734,0
2.4598227,0.42220613,9.543016,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767755,0
2.4645445,0.27052566,9.656552,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767776,0
2.3849945,0.27737638,9.693094,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767797,0
2.4218776,0.39895853,9.495679,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767816,0
2.444131,0.24486233,9.648672,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767837,0
2.5007727,0.17214742,9.630018,23.54891023,87.30052525,99.92015838623047,6.068,0.0,5767857,0
