bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-1.340967E-8,0.0,9.880456,0.0,0.0,0.0,0.0,0.0,5615220,0
-4.7137764E-8,4.440892E-16,9.922378,0.0,0.0,0.0,0.0,0.0,5615234,0
-3.5492842E-8,4.440892E-16,9.935845,0.0,0.0,0.0,0.0,0.0,5615246,0
-5.5252677E-8,-4.440892E-16,9.855029,0.0,0.0,0.0,0.0,0.0,5615253,0
-0.3176002,-0.19430226,9.961644,0.0,0.0,0.0,0.0,0.0,5615263,0
0.07385428,-0.19078617,9.886445,0.0,0.0,0.0,0.0,0.0,5615273,0
-0.32266673,-0.19408302,9.890873,0.0,0.0,0.0,0.0,0.0,5615285,0
-0.3910054,-0.21504873,9.936205,0.0,0.0,0.0,0.0,0.0,5615297,0
-0.40156907,-0.18118055,9.898017,0.0,0.0,0.0,0.0,0.0,5615305,0
-0.3349767,-0.30079556,9.949437,0.0,0.0,0.0,0.0,0.0,5615315,0
-0.40242895,-0.36571777,9.888805,0.0,0.0,0.0,0.0,0.0,5615357,0
-0.3128739,-0.48804465,10.041586,0.0,0.0,0.0,0.0,0.0,5615377,0
-0.23494172,-0.1507088,9.687525,0.0,0.0,0.0,0.0,0.0,5615397,0
-0.35504773,-0.4446376,9.996494,0.0,0.0,0.0,0.0,0.0,5615419,0
-0.4995416,-0.3156572,9.903086,0.0,0.0,0.0,0.0,0.0,5615438,0
-0.4867894,-0.27696615,9.935455,0.0,0.0,0.0,0.0,0.0,5615459,0
-0.50034547,-0.19852702,9.900696,0.0,0.0,0.0,0.0,0.0,5615479,0
-0.57170135,-0.2825982,9.87751,0.0,0.0,0.0,0.0,0.0,5615500,0
-0.58912474,-0.47520962,10.081492,0.0,0.0,0.0,0.0,0.0,5615520,0
-0.5650906,-0.18153241,9.795126,0.0,0.0,0.0,0.0,0.0,5615540,0
-0.61441696,-0.23747084,9.900385,0.0,0.0,0.0,0.0,0.0,5615560,0
-0.655964,-0.38417077,10.024382,0.0,0.0,0.0,0.0,0.0,5615581,0
-0.719156,-0.24185793,9.97436,0.0,0.0,0.0,0.0,0.0,5615603,0
-0.7651234,-0.1027872,9.901401,0.0,0.0,0.0,0.0,0.0,5615621,0
-0.59994036,-0.29613185,9.944089,0.0,0.0,0.0,0.0,0.0,5615641,0
-0.5414352,-0.39196655,9.964289,0.0,0.0,0.0,0.0,0.0,5615662,0
-0.53381526,-0.26061258,9.883169,0.0,0.0,0.0,0.0,0.0,5615683,0
-0.6093812,-0.19459476,9.899337,0.0,0.0,0.0,0.0,0.0,5615704,0
-0.56240565,-0.2801489,9.959076,0.0,0.0,0.0,0.0,0.0,5615723,0
-0.42749777,-0.37780774,9.979794,0.0,0.0,0.0,0.0,0.0,5615743,0
-0.43110654,-0.2762327,9.828474,0.0,0.0,0.0,0.0,0.0,5615764,0
-0.39585224,-0.28043044,9.835423,0.0,0.0,0.0,0.0,0.0,5615784,0
-0.36818898,-0.4497157,9.966431,0.0,0.0,0.0,0.0,0.0,5615804,0
-0.38217112,-0.32211024,9.9126425,0.0,0.0,0.0,0.0,0.0,5615825,0
-0.41281608,-0.24581274,9.849571,0.0,0.0,0.0,0.0,0.0,5615845,0
-0.5392778,-0.52652496,10.052302,0.0,0.0,0.0,0.0,0.0,5615865,0
0.10857425,0.0014323075,9.270475,0.0,0.0,0.0,0.0,0.0,5615886,0
-0.5269714,-0.9326713,10.684509,0.0,0.0,0.0,0.0,0.0,5615906,1
-0.27135634,-0.14511403,9.673144,0.0,0.0,0.0,0.0,0.0,5615926,0
-0.3427836,0.13338377,9.477672,0.0,0.0,0.0,0.0,0.0,5615947,0
-0.6266527,-0.72818714,10.296776,0.0,0.0,0.0,0.0,0.0,5615967,0
-0.6199224,-0.36034963,9.882663,0.0,0.0,0.0,0.0,0.0,5615987,0
-0.6887692,-0.10019478,9.851759,0.0,0.0,0.0,0.0,0.0,5616007,0
-0.7102132,-0.10608135,9.683888,0.0,0.0,0.0,0.0,0.0,5616028,0
-0.9531657,-0.8454199,10.576999,0.0,0.0,0.0,0.0,0.0,5616048,0
-0.054436132,0.42057112,9.322865,0.0,0.0,0.0,0.0,0.0,5616070,0
-0.4642866,-0.18882406,9.953231,0.0,0.0,0.0,0.0,0.0,5616089,0
-0.59784895,-0.8626478,10.493024,0.0,0.0,0.0,0.0,0.0,5616109,0
-0.5493965,0.10919757,9.335128,0.0,0.0,0.0,0.0,0.0,5616130,0
-0.6730648,-0.38887247,10.089696,0.0,0.0,0.0,0.0,0.0,5616150,0
-0.55214,-0.43088827,9.991784,0.0,0.0,0.0,0.0,0.0,5616170,0
-0.72611374,-0.24797805,9.878844,0.0,0.0,0.0,0.0,0.0,5616191,0
-0.595634,-0.2736885,9.825008,0.0,0.0,0.0,0.0,0.0,5616211,0
-0.5806972,-0.38712937,10.024294,0.0,0.0,0.0,0.0,0.0,5616231,0
-0.67671734,-0.14977796,9.873879,0.0,0.0,0.0,0.0,0.0,5616253,0
-0.5392887,-0.46546534,10.167477,0.0,0.0,0.0,0.0,0.0,5616272,0
-0.24797729,-0.32651427,9.728836,0.0,0.0,0.0,0.0,0.0,5616292,0
0.18256187,-0.09707675,9.134151,0.0,0.0,0.0,0.0,0.0,5616313,0
-0.5466833,-0.8872432,10.117751,0.0,0.0,0.0,0.0,0.0,5616333,0
-0.10559303,-0.78600085,10.5831,0.0,0.0,0.0,0.0,0.0,5616353,0
0.08923127,0.024655316,9.082906,0.0,0.0,0.0,0.0,0.0,5616374,0
-1.0889114,-0.5125881,10.3238735,0.0,0.0,0.0,0.0,0.0,5616394,0
-1.9465789,-0.006547046,11.212266,0.0,0.0,0.0,0.0,0.0,5616414,0
-0.36657575,1.3934237,8.129146,0.0,0.0,0.0,0.0,0.0,5616436,0
-0.401725,-1.6555642,10.784048,0.0,0.0,0.0,0.0,0.0,5616455,0
-0.9351258,-0.6695849,10.578028,0.0,0.0,0.0,0.0,0.0,5616475,0
-0.3619825,1.3213612,8.238676,0.0,0.0,0.0,0.0,0.0,5616495,0
-0.96132153,-0.906333,11.222628,0.0,0.0,0.0,0.0,0.0,5616516,0
-0.35942993,-0.21055046,9.655494,0.0,0.0,0.0,0.0,0.0,5616536,0
0.23874712,-0.38781166,9.585525,0.0,0.0,0.0,0.0,0.0,5616556,0
0.6375973,-1.0876113,10.157331,0.0,0.0,0.0,0.0,0.0,5616587,0
0.59376854,0.20514038,8.279926,0.0,0.0,0.0,0.0,0.0,5616596,0
-0.8834633,-1.4537297,12.013224,0.0,0.0,0.0,0.0,0.0,5616616,0
-0.6284907,1.202087,9.213898,0.0,0.0,0.0,0.0,0.0,5616637,0
0.3499346,0.23333274,8.883287,0.0,0.0,0.0,0.0,0.0,5616657,0
-0.5347611,-2.1163347,11.435832,0.0,0.0,0.0,0.0,0.0,5616677,0
-1.1559,0.39017773,9.001073,0.0,0.0,0.0,0.0,0.0,5616698,0
-1.2027986,-0.16649371,10.329624,0.0,0.0,0.0,0.0,0.0,5616718,0
-0.602037,-0.187985,9.927715,0.0,0.0,0.0,0.0,0.0,5616738,0
-0.62986726,-0.066513255,9.617833,0.0,0.0,0.0,0.0,0.0,5616759,0
