bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-2.8937852E-9,0.0,10.072413,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739876,0
9.656415E-9,0.0,10.047134,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739890,0
1.1145568E-8,0.0,10.0139675,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739903,0
-2.799097E-9,0.0,10.0656395,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739910,0
-0.027540153,0.048432764,10.020572,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739919,0
0.4473529,-0.003463231,10.039194,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739929,0
0.5026802,-0.086985946,10.007826,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739936,0
0.55831003,0.077634655,9.943211,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739943,0
0.40300602,0.26986623,9.959101,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739950,0
-0.41483003,0.91273403,9.785625,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739957,0
-0.18409668,0.30460715,10.411069,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739964,0
1.6224122,-1.9913002,10.44981,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739971,0
0.24544586,0.51053095,10.34542,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739979,0
-0.14305748,6.0124583,5.2573967,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739986,0
2.6289237,0.10710753,8.637879,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6739993,0
-3.5375478,-3.8785691,9.543985,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6740007,0
1.578318,-5.8971753,11.591253,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6740014,0
-0.26381615,0.3382368,8.1047,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6740027,0
-0.83888006,2.2632153,10.209023,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6740034,0
1.7294445,0.40561894,9.29458,23.54886118,87.30061776,124.95252227783203,4.5509996,2.0,6740041,0
-0.3126946,0.25906357,9.75272,23.54886118,87.30061776,124.95252227783203,4.5509996,0.0,6740067,0
-0.3913473,-0.22772576,10.009501,23.54886118,87.30061776,124.95252227783203,4.5509996,0.0,6740087,0
-0.3677702,-0.9502785,10.311841,23.54886118,87.30061776,124.95252227783203,4.5509996,0.0,6740109,0
-0.30222696,-0.039196055,9.839636,23.54886118,87.30061776,124.95252227783203,4.5509996,0.0,6740129,0
-0.18723345,-0.26952916,10.000894,23.54886118,87.30061776,124.95252227783203,4.5509996,0.0,6740149,0
-0.22954921,-0.57342356,10.0357065,23.54886118,87.30061776,124.95252227783203,4.5509996,0.0,6740170,0
-0.27352574,-0.5517829,10.05445,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740190,0
-0.26968426,-0.2747062,9.995811,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740210,0
-0.1346582,-0.17681466,9.871005,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740230,0
-0.030146886,-0.7231302,10.078586,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740251,0
-0.11188143,-0.44756064,9.950824,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740271,0
-0.25802577,-0.30818254,9.976339,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740292,0
0.05983923,-0.35863632,9.9428215,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740312,0
-0.007924475,-0.33629975,9.930749,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740333,0
-0.22150727,-0.48746008,10.150432,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740354,0
-0.254624,-0.19512694,9.980516,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740373,0
-0.27812183,-0.172778,9.94326,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740393,0
-0.26291108,-0.421844,10.085064,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740413,0
-0.29389402,-0.3302452,9.9744,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740434,0
-0.34354335,-0.35823122,9.9858,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740454,0
-0.34653196,-0.49662215,10.079168,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740475,0
-0.39839202,-0.29908857,9.979661,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740495,0
-0.31338283,-0.2568654,10.00803,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740515,0
-0.34850857,-0.33350778,10.069789,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740537,0
-0.39899907,-0.31021506,10.04654,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740556,0
-0.33473092,-0.493949,10.136409,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740576,0
-0.3164271,-0.24655057,9.969042,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740596,0
-0.33303282,-0.3392358,9.991878,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740617,0
-0.3145784,-0.5750354,10.088008,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740637,0
-0.2748499,-0.30637544,9.977181,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740659,0
-0.17217979,-0.3290376,9.985745,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740678,0
-0.16150837,-0.4689379,10.041611,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740698,0
-0.15011743,-0.45871726,10.001578,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740720,0
-0.1535054,-0.3478986,9.997095,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740739,0
-0.18458366,-0.31399018,9.995291,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740759,0
-0.18096635,-0.40565616,10.021525,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740779,0
-0.18186475,-0.39167964,10.014665,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740800,0
-0.21218218,-0.37154704,9.995928,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740825,0
-0.24982098,-0.38693467,10.033392,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740842,0
-0.26481307,-0.29350317,9.9938,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740861,0
-0.21860136,-0.39727738,10.03205,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740881,0
-0.24119288,-0.39489368,10.028333,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740901,0
-0.2501673,-0.33041576,10.014585,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740924,0
-0.21045502,-0.32904997,10.011199,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740942,0
-0.22621092,-0.35416755,9.988266,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740962,0
-0.28750977,-0.48025048,10.072308,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6740982,0
-0.30987483,-0.33818644,10.009842,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6741006,0
-0.28447753,-0.2851006,9.97797,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6741024,0
-0.27688652,-0.42573708,10.049022,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6741043,0
-0.30087638,-0.46550483,10.049571,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6741063,0
-0.20671816,-0.3419876,10.007917,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6741084,0
-0.25439715,-0.30828908,10.001983,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6741104,0
-0.21708968,-0.4596455,10.052116,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6741125,0
-0.2093295,-0.41709992,9.98615,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6741145,0
-0.1828646,-0.3834229,9.983547,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6741165,0
-0.23229948,-0.38719717,10.043545,23.54886188,87.30061745,124.95252227783203,4.5509996,0.0,6741186,0
-0.18828322,-0.40039635,10.024257,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741206,0
-0.24861962,-0.37420693,10.03351,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741226,0
-0.27802292,-0.17133492,10.021283,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741247,0
-0.07489716,-0.43811002,9.954441,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741266,0
-0.4670569,-1.0231329,10.281347,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741296,0
-0.31790695,0.46150345,9.761984,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741307,0
-0.08233118,-0.19951844,10.013149,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741327,0
-0.24347126,-0.8482076,10.185439,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741348,0
-0.30028373,-0.42725655,10.009866,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741369,0
-0.27916738,0.027262663,9.886645,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741389,0
-0.03985593,-0.48708278,10.027817,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741409,0
-0.18594727,-0.6344259,10.052493,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741429,0
-0.25219327,-0.27744567,9.979789,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741450,0
-0.22567488,-0.20570333,10.0028515,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741470,0
-0.19982338,-0.37896425,10.041095,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741490,0
-0.32646555,-0.46996036,10.086053,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741510,0
-0.36164364,-0.25116205,9.988528,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741531,0
-0.3104352,-0.38407955,10.049169,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741553,0
-0.2779003,-0.39037004,10.04507,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741572,0
-0.34950283,-0.3948658,10.065062,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741592,0
-0.3357759,-0.3727391,10.053266,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741612,0
-0.08586369,-0.40219608,9.958513,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741633,0
-0.21869253,-0.470932,10.03408,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741653,0
-0.1676554,-0.5561228,10.098531,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741673,0
-0.054375015,-0.27714476,9.897814,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741694,0
-0.0598685,-0.46372467,9.993219,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741714,0
-0.11932181,-0.51011395,10.063043,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741734,0
-0.20727618,-0.24358891,9.966967,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741754,0
-0.19528742,-0.296319,10.020029,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741775,0
-0.27350435,-0.33893496,10.053974,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741795,0
-0.2739721,-0.35351005,10.037869,23.54886042,87.3006204,124.95252227783203,4.5509996,0.0,6741816,0
