bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6267778,0
2.0901066E-10,-2.220446E-16,10.087357,0.0,0.0,0.0,0.0,0.0,6267788,0
-0.013731542,1.327715,10.23678,0.0,0.0,0.0,0.0,0.0,6267798,0
0.12893932,0.0037416262,10.120363,0.0,0.0,0.0,0.0,0.0,6267807,0
-0.090195596,0.02679403,10.113795,0.0,0.0,0.0,0.0,0.0,6267830,0
-0.14105114,0.06962743,10.204866,0.0,0.0,0.0,0.0,0.0,6267837,0
0.079881094,0.13001937,10.124878,0.0,0.0,0.0,0.0,0.0,6267844,0
-0.040830903,0.16427596,10.154773,0.0,0.0,0.0,0.0,0.0,6267851,0
0.047891065,0.08481641,10.173688,0.0,0.0,0.0,0.0,0.0,6267858,0
0.0011020191,0.17221853,10.159424,0.0,0.0,0.0,0.0,0.0,6267874,0
-0.15925846,0.13461447,10.168155,0.0,0.0,0.0,0.0,0.0,6267881,0
0.50664896,1.2953607,10.566622,0.0,0.0,0.0,0.0,0.0,6267888,0
0.14746098,0.26464584,10.206001,0.0,0.0,0.0,0.0,0.0,6267895,0
0.0110014295,0.33016714,10.208696,0.0,0.0,0.0,0.0,0.0,6267902,0
0.03629869,0.45536813,10.230993,0.0,0.0,0.0,0.0,0.0,6267914,0
0.03629869,0.45536813,10.230993,0.0,0.0,0.0,0.0,8.0,6267921,0
-0.11773741,-0.37358472,10.111667,0.0,0.0,0.0,0.0,8.0,6267934,0
-0.0010439164,0.30548862,10.196497,0.0,0.0,0.0,0.0,8.0,6267955,0
-0.022468494,0.23787783,10.214506,0.0,0.0,0.0,0.0,8.0,6267975,0
-0.06365792,-0.09385141,10.141278,0.0,0.0,0.0,0.0,8.0,6267996,0
0.0026536272,0.16880703,10.21307,0.0,0.0,0.0,0.0,8.0,6268016,0
0.021784274,0.27446708,10.2079,0.0,0.0,0.0,0.0,8.0,6268036,0
0.042655237,-0.0488614,10.107712,0.0,0.0,0.0,0.0,8.0,6268058,0
0.013218848,0.042451683,10.182235,0.0,0.0,0.0,0.0,8.0,6268077,0
0.0782406,0.3667944,10.2369795,0.0,0.0,0.0,0.0,8.0,6268097,0
0.055916015,-0.03486791,10.121389,0.0,0.0,0.0,0.0,8.0,6268118,0
0.103937395,0.11065811,10.141907,0.0,0.0,0.0,0.0,8.0,6268138,0
0.05904435,0.31264496,10.230145,0.0,0.0,0.0,0.0,8.0,6268159,0
0.069516994,0.1807573,10.185568,0.0,0.0,0.0,0.0,8.0,6268179,0
0.17928968,0.09984863,10.133244,0.0,0.0,0.0,0.0,8.0,6268199,0
0.13272092,0.17700365,10.149414,0.0,0.0,0.0,0.0,8.0,6268219,0
0.10778679,0.21158828,10.181021,0.0,0.0,0.0,0.0,8.0,6268240,0
0.14574607,0.025387147,10.128116,0.0,0.0,0.0,0.0,8.0,6268260,0
0.19949572,0.12820475,10.11103,0.0,0.0,0.0,0.0,8.0,6268280,0
0.13754882,0.18984067,10.154836,0.0,0.0,0.0,0.0,8.0,6268300,0
0.15064834,0.08932035,10.144577,0.0,0.0,0.0,0.0,8.0,6268321,0
0.15064834,0.08932035,10.144577,0.0,0.0,0.0,0.0,7.0,6268335,0
0.17585744,0.1272056,10.156052,0.0,0.0,0.0,0.0,7.0,6268346,0
0.13888325,0.20975131,10.176245,0.0,0.0,0.0,0.0,7.0,6268361,0
0.11970024,0.1413631,10.171376,0.0,0.0,0.0,0.0,7.0,6268382,0
0.15423508,0.1316455,10.144703,0.0,0.0,0.0,0.0,7.0,6268403,0
0.111356504,0.19280966,10.1763525,0.0,0.0,0.0,0.0,7.0,6268423,0
0.08498327,0.16303308,10.171014,0.0,0.0,0.0,0.0,7.0,6268444,0
0.08498327,0.16303308,10.171014,0.0,0.0,0.0,0.0,6.0,6268460,0
0.101585,0.05595049,10.148333,0.0,0.0,0.0,0.0,6.0,6268472,0
0.09407751,-0.0014361148,10.100767,0.0,0.0,0.0,0.0,6.0,6268484,0
0.04914932,0.21191838,10.183788,0.0,0.0,0.0,0.0,6.0,6268503,0
0.026584828,0.23841153,10.209264,0.0,0.0,0.0,0.0,6.0,6268524,0
0.024982687,0.10572409,10.150382,0.0,0.0,0.0,0.0,6.0,6268544,0
-0.021470046,0.2339185,10.186041,0.0,0.0,0.0,0.0,6.0,6268564,0
-0.017685119,0.24617499,10.21332,0.0,0.0,0.0,0.0,6.0,6268586,0
-0.02409526,0.07930855,10.151969,0.0,0.0,0.0,0.0,6.0,6268605,0
0.019151282,0.12815428,10.172674,0.0,0.0,0.0,0.0,6.0,6268626,0
-0.045446444,0.16791818,10.180872,0.0,0.0,0.0,0.0,6.0,6268646,0
0.1963773,0.21158828,10.180424,0.0,0.0,0.0,0.0,6.0,6268666,0
-0.027699167,-0.05765423,10.149296,0.0,0.0,0.0,0.0,6.0,6268689,0
0.015783595,0.38316223,10.207331,0.0,0.0,0.0,0.0,6.0,6268707,0
0.13058141,0.15570182,10.187441,0.0,0.0,0.0,0.0,6.0,6268727,0
0.1530834,0.07320505,10.150423,0.0,0.0,0.0,0.0,6.0,6268748,0
-0.05160446,0.026479578,10.154682,0.0,0.0,0.0,0.0,6.0,6268770,0
0.016703226,0.21891953,10.1649,0.0,0.0,0.0,0.0,6.0,6268788,0
0.008618755,0.2555,10.210628,0.0,0.0,0.0,0.0,6.0,6268809,0
0.012891602,-0.13834575,10.133657,0.0,0.0,0.0,0.0,6.0,6268829,0
0.004926369,0.23032731,10.19482,0.0,0.0,0.0,0.0,6.0,6268849,0
0.004926369,0.23032731,10.19482,0.0,0.0,0.0,0.0,5.0,6268863,0
0.09327647,0.14800966,10.158536,0.0,0.0,0.0,0.0,5.0,6268874,0
0.10434671,0.19526213,10.202665,0.0,0.0,0.0,0.0,5.0,6268890,0
-0.02044544,-0.06834863,10.159192,0.0,0.0,0.0,0.0,5.0,6268910,0
0.041876953,0.20773101,10.171124,0.0,0.0,0.0,0.0,5.0,6268931,0
0.08749161,0.13062912,10.190002,0.0,0.0,0.0,0.0,5.0,6268952,0
0.05124828,-0.070987485,10.139742,0.0,0.0,0.0,0.0,5.0,6268971,0
0.06353265,0.1677146,10.187423,0.0,0.0,0.0,0.0,5.0,6268992,0
0.05396186,0.19784784,10.186931,0.0,0.0,0.0,0.0,5.0,6269012,0
0.01892106,-0.051856384,10.138499,0.0,0.0,0.0,0.0,5.0,6269032,0
-0.04175014,0.1009921,10.194997,0.0,0.0,0.0,0.0,5.0,6269052,0
-0.039350517,0.23674582,10.197846,0.0,0.0,0.0,0.0,5.0,6269074,0
-0.09944513,7.221773E-4,10.160992,0.0,0.0,0.0,0.0,5.0,6269093,0
-0.066339076,0.3928955,10.277844,0.0,0.0,0.0,0.0,5.0,6269114,0
-0.07302416,-0.028952321,10.173415,0.0,0.0,0.0,0.0,5.0,6269135,0
-0.04306854,0.14336617,10.178233,0.0,0.0,0.0,0.0,5.0,6269157,0
-0.015442227,0.17565927,10.192904,0.0,0.0,0.0,0.0,5.0,6269174,0
-0.09651832,0.4069129,10.239832,0.0,0.0,0.0,0.0,5.0,6269195,0
-0.0365426,-0.3851414,10.080097,0.0,0.0,0.0,0.0,5.0,6269215,0
-0.12317497,0.26251835,10.192422,0.0,0.0,0.0,0.0,5.0,6269236,0
-0.13195592,-0.027443925,10.132499,0.0,0.0,0.0,0.0,5.0,6269256,0
-0.13195592,-0.027443925,10.132499,0.0,0.0,0.0,0.0,4.0,6269268,0
-0.028744383,0.08312834,10.170818,0.0,0.0,0.0,0.0,4.0,6269279,0
-0.019087708,0.20463605,10.184059,0.0,0.0,0.0,0.0,4.0,6269297,0
-0.0454518,0.086819485,10.180078,0.0,0.0,0.0,0.0,4.0,6269317,0
-0.029628735,0.3399488,10.218486,0.0,0.0,0.0,0.0,4.0,6269337,0
0.015180254,-0.1284605,10.11777,0.0,0.0,0.0,0.0,4.0,6269358,0
0.03349185,0.38160014,10.169961,0.0,0.0,0.0,0.0,4.0,6269378,0
0.020027127,0.003207921,10.126009,0.0,0.0,0.0,0.0,4.0,6269398,0
0.013162389,0.09294956,10.171589,0.0,0.0,0.0,0.0,4.0,6269420,0
0.1094839,0.35589644,10.254,0.0,0.0,0.0,0.0,4.0,6269439,0
0.14477862,-0.037391126,10.163447,0.0,0.0,0.0,0.0,4.0,6269459,0
0.21673606,0.15638652,10.183145,0.0,0.0,0.0,0.0,4.0,6269480,0
0.07898051,0.12512337,10.1678705,0.0,0.0,0.0,0.0,4.0,6269500,0
0.08324326,-0.1006006,10.091666,0.0,0.0,0.0,0.0,4.0,6269520,0
0.08324326,-0.1006006,10.091666,0.0,0.0,0.0,0.0,3.0,6269534,0
0.019150883,0.015745604,10.172615,0.0,0.0,0.0,0.0,3.0,6269544,0
