bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
4.2695305E-9,-8.881784E-16,10.148474,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968600,0
9.653685E-9,-6.661338E-16,10.127171,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968609,0
5.1759455E-9,8.881784E-16,10.0434885,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968617,0
0.46047312,1.4664545,9.860896,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968627,0
0.76061183,3.1431735,10.047556,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968638,0
0.43147928,3.712738,10.098631,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968648,0
0.7797109,0.8998931,9.88512,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968655,0
1.1581017,2.0229142,9.895444,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968662,0
1.1705908,2.1722968,9.923913,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968671,0
0.17345518,2.0531573,10.035072,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968681,0
0.854722,1.668577,9.9162,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968688,0
0.54351646,2.437807,10.006701,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968695,0
0.71834224,1.8997815,9.941854,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968704,0
0.8687593,2.1645558,9.829619,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968713,0
0.34631276,2.7366672,10.057972,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968720,0
1.0752491,1.9069961,9.773093,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968727,0
0.6270265,2.8027015,9.938812,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968734,0
0.34103388,2.233753,9.9494295,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968741,0
0.4442752,2.0052657,9.910978,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968754,0
0.5032629,2.0328617,9.914815,23.55124705,87.29680061,48.6702766418457,4.5509996,0.0,5968761,0
