bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
-1.2563058E-8,-1.1934898E-15,9.870476,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391793,0
-0.13338093,2.1217475,10.479587,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391805,0
-6.1730336E-9,8.881784E-16,9.573562,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391816,0
0.77094024,2.0595782,11.436454,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391823,0
-0.4026429,0.14352235,10.120769,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391831,0
-0.17398158,0.19006781,10.1729,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391850,0
-0.2721921,0.3562718,10.194388,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391857,0
-0.39433846,0.3487183,10.284883,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391881,0
-0.350064,-0.046289932,10.054527,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391901,0
-0.38306952,0.24532782,10.252226,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391922,0
-0.31748855,0.33268365,10.258968,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391942,0
-0.31748855,0.33268365,10.258968,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391954,0
-0.42943668,-0.1239876,10.082543,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391964,0
-0.4185865,0.2766336,10.26686,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7391983,0
-0.40631005,0.19129744,10.215017,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7392003,0
-0.44165042,0.22524431,10.226237,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7392024,0
-0.41234687,0.14387791,10.16955,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7392044,0
-0.43404466,0.3427259,10.264412,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7392064,0
-0.43825674,0.13360025,10.16032,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7392085,0
-0.37786394,0.21204714,10.174614,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7392105,0
-0.3702431,0.24642871,10.236134,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7392120,0
-0.42197922,0.125815,10.170265,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7392137,0
-0.37161744,0.29659796,10.2393675,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7392155,0
-0.20215221,0.21503326,10.138252,23.55126749,87.29669292,171.25735473632812,4.5509996,3.0,7392176,0
-0.5461651,0.15261729,10.230472,23.55126595,87.29669396,171.25735473632812,4.5509996,3.0,7392197,0
-0.33884802,0.09217408,10.138707,23.55126595,87.29669396,171.25735473632812,4.5509996,3.0,7392217,0
-0.33884802,0.09217408,10.138707,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392227,0
-0.19272909,0.40454254,10.30378,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392237,0
-0.19996734,-0.15072596,10.026577,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392257,0
-0.3357643,0.38588965,10.287957,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392278,0
-0.31113142,0.27439082,10.251859,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392298,0
-0.21900375,0.07845179,10.116363,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392319,0
-0.29175526,0.19375744,10.201887,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392339,0
-0.19403158,0.38587245,10.259241,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392359,0
-0.23469524,-0.008991784,10.095382,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392380,0
-0.17862673,0.18544415,10.169951,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392400,0
-0.18082274,0.3106805,10.235754,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392420,0
-0.17263982,0.017577788,10.077526,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392441,0
-0.16234492,0.39143872,10.249242,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392461,0
-0.09702428,0.20502444,10.168249,23.55126595,87.29669396,171.25735473632812,4.5509996,2.0,7392481,0
-0.09702428,0.20502444,10.168249,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392496,0
-0.1607309,0.120923534,10.148603,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392506,0
-0.1777282,0.019270634,10.106193,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392522,0
-0.28175282,0.36217275,10.286784,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392542,0
-0.2076887,0.14778575,10.175583,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392562,0
-0.21844295,0.1465829,10.174948,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392583,0
-0.23615746,0.14085077,10.17004,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392603,0
-0.24597907,0.3647748,10.267184,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392623,0
-0.2657169,0.16888341,10.161952,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392644,0
-0.24444424,0.22255261,10.167782,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392664,0
-0.2579532,0.24784313,10.220413,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392684,0
-0.24376427,0.077061184,10.154634,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392707,0
-0.25683582,0.25492015,10.222147,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392725,0
-0.30164608,0.29946882,10.253985,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392745,0
-0.35320365,0.20276934,10.207709,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392765,0
-0.354462,0.19372402,10.162613,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392788,0
-0.33550656,-0.055615373,10.051052,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392806,0
-0.1999815,0.48451442,10.327906,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392826,0
-0.36657164,0.076925814,10.095416,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392847,0
-0.21264663,-0.009181472,10.062869,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392867,0
-0.15538725,0.49663258,10.346628,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392887,0
-0.3403432,0.12778038,10.144574,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392908,0
-0.22353846,0.49117786,10.389585,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392928,0
-0.33260283,-0.11822593,10.018245,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392948,0
-0.23422682,-0.3009393,9.900787,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392970,0
-0.32075715,0.93440324,10.577137,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7392989,0
-0.3812189,0.34692448,10.239782,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7393009,0
-0.420424,-0.12820528,10.00104,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7393030,0
-0.40460283,0.56760216,10.367249,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7393050,0
-0.3867617,0.03631841,10.091697,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7393070,0
-0.28403,-0.27530083,9.982785,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7393091,0
-0.20134199,0.37815973,10.284783,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7393111,0
-0.19953194,0.04890739,10.110631,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7393131,0
-0.20230973,0.07120127,10.117958,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7393153,0
-0.3080405,0.25128776,10.238476,23.55126595,87.29669396,171.25735473632812,4.5509996,1.0,7393172,0
-0.4249247,0.28490487,10.250264,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393192,0
-0.47436783,0.1650318,10.209783,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393213,0
-0.49440116,0.42117283,10.272461,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393233,0
-0.540785,0.24062604,10.24255,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393254,0
-0.49622935,0.14932033,10.1919985,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393274,0
-0.41382957,0.27365118,10.221264,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393294,0
-0.3986555,0.18536502,10.159777,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393314,0
-0.43541917,0.042757757,10.082408,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393336,0
-0.40003774,0.1467554,10.163164,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393355,0
-0.45343146,0.21859805,10.198776,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393376,0
-0.4351999,0.08078794,10.124553,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393395,0
-0.5581864,0.100722775,10.161569,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393416,0
-0.48152503,0.35603172,10.278452,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393436,0
-0.50828284,0.118330084,10.170102,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393457,0
-0.535388,0.078021996,10.161237,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393477,0
-0.45847216,0.21074428,10.226815,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393497,0
-0.45954564,0.19051109,10.224233,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393518,0
-0.47098058,0.025374552,10.144286,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393538,0
-0.43153268,0.22683321,10.238885,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393558,0
-0.37944537,0.16356115,10.182149,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393578,0
-0.40916917,0.13496897,10.177533,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393599,0
-0.37455407,0.24495704,10.2033825,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393620,0
-0.4499104,0.18611425,10.200417,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393639,0
-0.5036113,0.17305245,10.195584,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393660,0
-0.5389098,0.213047,10.205995,23.55126518,87.29669449,171.25735473632812,4.5509996,1.0,7393680,0
