bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
0.105213605,3.0813956,10.062648,23.54218554,87.29668055,26.131820678710938,4.5509996,11.0,8003388,0
-1.493633E-8,4.440892E-16,10.054597,23.54218554,87.29668055,26.131820678710938,4.5509996,11.0,8003401,0
-0.9890663,-3.684969,9.593091,23.54218554,87.29668055,26.131820678710938,4.5509996,11.0,8003419,0
-0.23875485,2.4101288,8.94483,23.54218554,87.29668055,26.131820678710938,4.5509996,11.0,8003426,0
-1.8217624,-0.71113616,10.086996,23.54218554,87.29668055,26.131820678710938,4.5509996,11.0,8003434,0
-1.5697504,-2.6048665,9.357847,23.54218554,87.29668055,26.131820678710938,4.5509996,11.0,8003441,0
-1.317478,-0.44871938,9.976158,23.54218554,87.29668055,26.131820678710938,4.5509996,11.0,8003448,0
-1.3877684,-2.3423834,9.729879,23.54218554,87.29668055,26.131820678710938,4.5509996,11.0,8003456,0
-1.7748791,-1.9761167,9.668435,23.54218554,87.29668055,26.131820678710938,4.5509996,11.0,8003481,0
-1.6931936,-2.6032746,9.611876,23.54218554,87.29668055,26.131820678710938,4.5509996,11.0,8003501,0
-1.5918752,-2.6707442,9.624606,23.54218554,87.29668055,26.131820678710938,4.5509996,11.0,8003522,0
-1.5918752,-2.6707442,9.624606,23.54218554,87.29668055,26.131820678710938,4.5509996,21.0,8003538,0
-1.585901,-2.2768312,9.694766,23.54218554,87.29668055,26.131820678710938,4.5509996,21.0,8003551,0
-1.5939088,-2.3001187,9.668903,23.54218554,87.29668055,26.131820678710938,4.5509996,21.0,8003563,0
-1.5898798,-2.599985,9.620921,23.54218554,87.29668055,26.131820678710938,4.5509996,21.0,8003583,0
-1.6577863,-2.3938787,9.67014,23.54218554,87.29668055,26.131820678710938,4.5509996,21.0,8003603,0
-1.6208677,-2.276695,9.657584,23.54218554,87.29668055,26.131820678710938,4.5509996,21.0,8003625,0
-1.680157,-2.610524,9.60812,23.54218554,87.29668055,26.131820678710938,4.5509996,21.0,8003645,0
