bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp
1.8056567E-10,8.881784E-16,10.109548,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928073,0
-0.11079575,-1.1026068,10.272905,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928085,0
3.380979E-11,0.0,10.191671,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928096,0
-1.4200248E-9,0.0,9.954966,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928108,0
0.87480557,-0.36264527,10.023434,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928115,0
0.37983102,-0.42737198,10.179792,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928128,0
0.515147,0.29298517,9.894214,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928135,0
0.0846654,0.7359826,10.015173,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928144,0
0.19131488,-0.117907435,10.042684,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928151,0
0.3286713,-0.6265458,9.962715,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928158,0
-0.06071629,-0.007040742,10.178024,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928171,0
-0.08868921,0.10579306,10.072003,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928178,0
-0.17919023,0.13396123,10.188377,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928185,0
0.30105478,0.62794703,9.940693,23.54310004,87.29736931,-19.91207504272461,4.5509996,3.0,7928192,0
0.2661958,0.5692088,9.908765,23.54309848,87.29736799,-19.91207504272461,4.5509996,3.0,7928201,0
0.15227579,1.3562834,9.860664,23.54309848,87.29736799,-19.91207504272461,4.5509996,3.0,7928208,0
-0.07597676,-0.6009947,10.252787,23.54309848,87.29736799,-19.91207504272461,4.5509996,3.0,7928222,0
0.22357996,-0.26369125,10.025803,23.54309848,87.29736799,-19.91207504272461,4.5509996,3.0,7928229,0
0.070810296,-0.075601794,9.846095,23.54309848,87.29736799,-19.91207504272461,4.5509996,3.0,7928236,0
0.45316726,-2.6978421,10.552224,23.54309848,87.29736799,-19.91207504272461,4.5509996,1.0,7928243,0
-2.2363362,1.5407127,10.064358,23.54309848,87.29736799,-19.91207504272461,4.5509996,1.0,7928250,0
-0.8113104,-0.7220542,9.293092,23.54309848,87.29736799,-19.91207504272461,4.5509996,1.0,7928262,0
-3.844134,-6.9543915,10.929348,23.54309848,87.29736799,-19.91207504272461,4.5509996,1.0,7928269,0
-0.106391236,-2.431527,9.83864,23.54309848,87.29736799,-19.91207504272461,4.5509996,1.0,7928276,0
0.27548504,-5.1003904,10.129586,23.54309848,87.29736799,-19.91207504272461,4.5509996,1.0,7928283,0
2.9907718,0.53152734,8.715221,23.54309848,87.29736799,-19.91207504272461,4.5509996,1.0,7928290,0
